Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.33,0.33,0.33,0.33,000,0.325
2015-01-02,0.34,0.345,0.34,0.34,112700,0.334
2015-01-05,0.335,0.335,0.32,0.335,83000,0.33
2015-01-06,0.335,0.335,0.335,0.335,000,0.33
2015-01-07,0.335,0.335,0.335,0.335,10000,0.33
2015-01-08,0.335,0.335,0.33,0.33,41000,0.325
2015-01-09,0.33,0.33,0.33,0.33,000,0.325
2015-01-12,0.33,0.33,0.33,0.33,000,0.325
2015-01-13,0.33,0.33,0.33,0.33,000,0.325
2015-01-14,0.33,0.33,0.33,0.33,000,0.325
2015-01-15,0.335,0.345,0.335,0.345,108700,0.339
2015-01-16,0.34,0.34,0.34,0.34,60000,0.334
2015-01-19,0.34,0.345,0.34,0.345,34000,0.339
2015-01-20,0.345,0.35,0.345,0.35,199900,0.344
2015-01-21,0.355,0.375,0.355,0.375,388000,0.369
2015-01-22,0.37,0.38,0.37,0.375,219900,0.369
2015-01-23,0.38,0.40,0.38,0.40,173800,0.394
2015-01-26,0.40,0.40,0.40,0.40,000,0.394
2015-01-27,0.41,0.43,0.40,0.40,1544600,0.394
2015-01-28,0.40,0.415,0.40,0.415,194900,0.408
2015-01-29,0.415,0.415,0.415,0.415,34300,0.408
2015-01-30,0.415,0.415,0.41,0.41,130300,0.403
2015-02-02,0.41,0.41,0.40,0.41,69600,0.403
2015-02-03,0.41,0.41,0.40,0.40,242000,0.394
2015-02-04,0.405,0.405,0.40,0.40,110000,0.394
2015-02-05,0.405,0.405,0.40,0.40,155500,0.394
2015-02-06,0.40,0.40,0.39,0.39,287300,0.384
2015-02-09,0.405,0.405,0.40,0.40,113300,0.394
2015-02-10,0.40,0.41,0.40,0.41,40000,0.403
2015-02-11,0.40,0.40,0.38,0.40,36400,0.394
2015-02-12,0.41,0.41,0.40,0.40,63000,0.394
2015-02-13,0.40,0.40,0.40,0.40,24400,0.394
2015-02-16,0.41,0.41,0.385,0.385,68400,0.379
2015-02-17,0.405,0.405,0.40,0.40,56400,0.394
2015-02-18,0.40,0.405,0.40,0.405,54000,0.398
2015-02-19,0.405,0.405,0.405,0.405,000,0.398
2015-02-20,0.41,0.41,0.41,0.41,5000,0.403
2015-02-23,0.41,0.41,0.40,0.40,46000,0.394
2015-02-24,0.41,0.41,0.40,0.405,174200,0.398
2015-02-25,0.405,0.41,0.405,0.41,162000,0.403
2015-02-26,0.40,0.40,0.39,0.40,80300,0.394
2015-02-27,0.40,0.40,0.40,0.40,45500,0.394
2015-03-02,0.40,0.40,0.40,0.40,16000,0.394
2015-03-03,0.40,0.40,0.39,0.39,90700,0.384
2015-03-04,0.395,0.40,0.395,0.40,54300,0.394
2015-03-05,0.40,0.40,0.39,0.40,89100,0.394
2015-03-06,0.40,0.40,0.385,0.40,90100,0.394
2015-03-09,0.40,0.43,0.39,0.43,488900,0.423
2015-03-10,0.44,0.475,0.42,0.45,167700,0.443
2015-03-11,0.45,0.46,0.44,0.46,55800,0.453
2015-03-12,0.46,0.46,0.45,0.46,216400,0.453
2015-03-13,0.465,0.465,0.46,0.46,60900,0.453
2015-03-16,0.46,0.46,0.46,0.46,7700,0.453
2015-03-17,0.46,0.465,0.46,0.465,48000,0.457
2015-03-18,0.47,0.49,0.47,0.49,147400,0.482
2015-03-19,0.50,0.50,0.50,0.50,86400,0.492
2015-03-20,0.50,0.505,0.50,0.505,191000,0.497
2015-03-23,0.505,0.52,0.505,0.52,182600,0.512
2015-03-24,0.52,0.535,0.515,0.535,297800,0.526
2015-03-25,0.54,0.54,0.505,0.52,123600,0.512
2015-03-26,0.50,0.50,0.495,0.495,34000,0.487
2015-03-27,0.495,0.505,0.495,0.505,105500,0.497
2015-03-30,0.48,0.48,0.44,0.44,196000,0.433
2015-03-31,0.50,0.52,0.50,0.52,184000,0.512
2015-04-01,0.50,0.50,0.48,0.49,40300,0.482
2015-04-02,0.52,0.52,0.52,0.52,4500,0.512
2015-04-03,0.52,0.52,0.52,0.52,000,0.512
2015-04-06,0.52,0.52,0.52,0.52,000,0.512
2015-04-07,0.52,0.54,0.52,0.54,176500,0.531
2015-04-08,0.545,0.55,0.54,0.54,162200,0.531
2015-04-09,0.54,0.545,0.54,0.545,60000,0.536
2015-04-10,0.545,0.58,0.545,0.58,322200,0.571
2015-04-13,0.57,0.655,0.57,0.65,486300,0.639
2015-04-14,0.65,0.86,0.65,0.85,790600,0.836
2015-04-15,0.85,0.86,0.75,0.765,493800,0.753
2015-04-16,0.765,0.765,0.765,0.765,900,0.753
2015-04-17,0.765,0.86,0.765,0.81,145000,0.797
2015-04-20,0.83,0.85,0.80,0.83,164300,0.817
2015-04-21,0.83,0.86,0.83,0.83,130000,0.817
2015-04-22,0.85,0.85,0.85,0.85,49600,0.836
2015-04-23,0.85,0.85,0.83,0.85,54200,0.836
2015-04-24,0.85,0.90,0.85,0.90,224500,0.885
2015-04-27,0.90,0.97,0.90,0.97,160100,0.954
2015-04-28,0.97,1.03,0.97,1.03,362900,1.013
2015-04-29,1.00,1.13,1.00,1.00,935900,0.984
2015-04-30,1.00,1.03,0.90,1.01,199800,0.994
2015-05-01,1.01,1.02,1.01,1.02,17500,1.003
2015-05-04,1.01,1.01,0.955,1.00,66100,0.984
2015-05-05,1.005,1.01,1.00,1.01,30300,0.994
2015-05-06,1.01,1.01,0.985,1.01,154500,0.994
2015-05-07,1.00,1.01,1.00,1.00,63600,0.984
2015-05-08,1.01,1.05,1.01,1.05,172000,1.033
2015-05-11,1.05,1.06,1.05,1.06,42400,1.043
2015-05-12,1.03,1.05,0.98,0.98,181000,0.964
2015-05-13,1.00,1.045,1.00,1.04,165600,1.023
2015-05-14,1.03,1.055,1.005,1.05,222000,1.033
2015-05-15,1.05,1.05,1.00,1.00,40100,0.984
2015-05-18,1.015,1.05,1.00,1.04,383200,1.023
2015-05-19,1.04,1.045,1.04,1.04,59700,1.023
2015-05-20,1.04,1.04,1.00,1.00,115000,0.984
2015-05-21,1.00,1.00,0.97,1.00,112200,0.984
2015-05-22,1.00,1.00,0.95,0.95,212100,0.935
2015-05-25,0.95,0.97,0.80,0.97,699800,0.954
2015-05-26,0.97,0.97,0.90,0.935,111000,0.92
2015-05-27,0.91,0.91,0.91,0.91,5000,0.895
2015-05-28,0.91,0.91,0.88,0.88,147500,0.866
2015-05-29,0.89,0.89,0.80,0.86,466900,0.846
2015-06-01,0.85,0.885,0.805,0.885,50300,0.871
2015-06-02,0.88,0.88,0.865,0.865,3300,0.851
2015-06-03,0.87,0.875,0.87,0.87,22200,0.856
2015-06-04,0.875,0.875,0.86,0.875,12600,0.861
2015-06-05,0.875,0.875,0.845,0.845,40700,0.831
2015-06-08,0.845,0.845,0.845,0.845,000,0.831
2015-06-09,0.83,0.83,0.80,0.80,102000,0.787
2015-06-10,0.80,0.80,0.78,0.78,150200,0.767
2015-06-11,0.765,0.82,0.75,0.82,63400,0.807
2015-06-12,0.82,0.82,0.82,0.82,11000,0.807
2015-06-15,0.84,0.84,0.84,0.84,8000,0.826
2015-06-16,0.84,0.84,0.84,0.84,13500,0.826
2015-06-17,0.84,0.84,0.84,0.84,10000,0.826
2015-06-18,0.84,0.84,0.84,0.84,3000,0.826
2015-06-19,0.86,0.88,0.86,0.88,12300,0.866
2015-06-22,0.885,0.90,0.87,0.90,62000,0.885
2015-06-23,0.94,0.965,0.94,0.965,9200,0.949
2015-06-24,0.965,0.965,0.965,0.965,12700,0.949
2015-06-25,0.96,0.96,0.895,0.90,23600,0.885
2015-06-26,0.895,0.90,0.895,0.90,25000,0.885
2015-06-29,0.90,0.90,0.87,0.90,4800,0.885
2015-06-30,0.87,0.89,0.84,0.86,38000,0.846
2015-07-01,0.86,0.86,0.82,0.86,48500,0.846
2015-07-02,0.90,0.90,0.85,0.855,15000,0.841
2015-07-03,0.86,0.86,0.86,0.86,15200,0.846
2015-07-06,0.86,0.86,0.86,0.86,000,0.846
2015-07-07,0.895,0.895,0.88,0.88,8000,0.866
2015-07-08,0.89,0.89,0.85,0.89,24000,0.876
2015-07-09,0.85,0.89,0.85,0.89,22200,0.876
2015-07-10,0.88,0.88,0.88,0.88,10000,0.875
2015-07-13,0.88,0.88,0.88,0.88,24100,0.875
2015-07-14,0.87,0.89,0.87,0.89,51000,0.885
2015-07-15,0.885,0.885,0.855,0.885,10400,0.88
2015-07-16,0.885,0.885,0.86,0.86,46300,0.856
2015-07-17,0.86,0.86,0.86,0.86,000,0.856
2015-07-20,0.88,0.88,0.86,0.86,31700,0.856
2015-07-21,0.88,0.88,0.82,0.85,100300,0.846
2015-07-22,0.85,0.85,0.85,0.85,35000,0.846
2015-07-23,0.85,0.85,0.80,0.84,60800,0.836
2015-07-24,0.85,0.85,0.82,0.85,63300,0.846
2015-07-27,0.845,0.845,0.84,0.84,3400,0.836
2015-07-28,0.84,0.84,0.84,0.84,12800,0.836
2015-07-29,0.84,0.84,0.80,0.83,49300,0.826
2015-07-30,0.80,0.83,0.80,0.83,16900,0.826
2015-07-31,0.83,0.835,0.80,0.835,70800,0.831
2015-08-03,0.82,0.83,0.82,0.83,12500,0.826
2015-08-04,0.83,0.83,0.83,0.83,000,0.826
2015-08-05,0.80,0.855,0.80,0.855,118700,0.851
2015-08-06,0.88,0.92,0.88,0.89,31300,0.885
2015-08-07,0.89,0.89,0.89,0.89,000,0.885
2015-08-10,0.89,0.89,0.89,0.89,000,0.885
2015-08-11,0.84,0.90,0.84,0.88,135500,0.875
2015-08-12,0.90,0.90,0.90,0.90,2000,0.895
