Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.92,2.92,2.92,2.92,000,2.76335
2015-01-02,2.95,2.95,2.87,2.90,303600,2.74442
2015-01-05,2.87,2.92,2.79,2.82,1535300,2.66871
2015-01-06,2.74,2.77,2.68,2.70,2800300,2.55515
2015-01-07,2.70,2.73,2.52,2.59,5436600,2.45105
2015-01-08,2.64,2.67,2.635,2.65,2801500,2.50783
2015-01-09,2.69,2.74,2.67,2.73,1599200,2.58354
2015-01-12,2.71,2.74,2.70,2.73,902200,2.58354
2015-01-13,2.75,2.84,2.74,2.82,2118600,2.66871
2015-01-14,2.86,2.87,2.75,2.78,2215300,2.63086
2015-01-15,2.76,2.80,2.72,2.78,3554500,2.63086
2015-01-16,2.78,2.79,2.62,2.67,1875100,2.52676
2015-01-19,2.69,2.76,2.59,2.62,1768100,2.47944
2015-01-20,2.61,2.63,2.48,2.56,4405400,2.42266
2015-01-21,2.59,2.68,2.58,2.62,1538900,2.47944
2015-01-22,2.63,2.65,2.54,2.58,2273200,2.44159
2015-01-23,2.58,2.67,2.56,2.64,3828900,2.49837
2015-01-26,2.64,2.64,2.64,2.64,000,2.49837
2015-01-27,2.63,2.71,2.61,2.68,1359900,2.53622
2015-01-28,2.67,2.74,2.65,2.72,3565700,2.57408
2015-01-29,2.74,2.75,2.71,2.72,2533300,2.57408
2015-01-30,2.76,2.79,2.74,2.78,2264800,2.63086
2015-02-02,2.77,2.79,2.72,2.76,3596800,2.61193
2015-02-03,2.76,2.84,2.75,2.82,2169900,2.66871
2015-02-04,2.85,2.88,2.79,2.82,2954400,2.66871
2015-02-05,2.80,2.88,2.79,2.83,3199500,2.67818
2015-02-06,2.84,2.88,2.80,2.80,890000,2.64979
2015-02-09,2.80,2.81,2.75,2.78,1027200,2.63086
2015-02-10,2.78,2.855,2.73,2.77,3342800,2.62139
2015-02-11,2.83,2.83,2.72,2.74,1473600,2.593
2015-02-12,2.74,2.775,2.69,2.71,1899800,2.56461
2015-02-13,2.73,2.785,2.70,2.76,1230400,2.61193
2015-02-16,2.74,2.81,2.73,2.79,664500,2.64032
