Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.089,0.089,0.089,0.089,000,0.089
2015-01-02,0.09,0.092,0.09,0.092,564500,0.092
2015-01-05,0.093,0.093,0.09,0.091,1515500,0.091
2015-01-06,0.091,0.0925,0.091,0.092,834500,0.092
2015-01-07,0.091,0.092,0.091,0.092,195700,0.092
2015-01-08,0.092,0.0925,0.092,0.092,473300,0.092
2015-01-09,0.093,0.094,0.093,0.094,310200,0.094
2015-01-12,0.093,0.095,0.093,0.093,471500,0.093
2015-01-13,0.092,0.092,0.089,0.091,1784200,0.091
2015-01-14,0.09,0.09,0.09,0.09,20800,0.09
2015-01-15,0.089,0.0905,0.089,0.09,354400,0.09
2015-01-16,0.09,0.0905,0.09,0.09,861100,0.09
2015-01-19,0.09,0.091,0.09,0.091,255500,0.091
2015-01-20,0.09,0.091,0.09,0.09,671500,0.09
2015-01-21,0.09,0.091,0.09,0.09,226500,0.09
2015-01-22,0.09,0.09,0.09,0.09,206000,0.09
2015-01-23,0.09,0.0905,0.09,0.09,353700,0.09
2015-01-26,0.09,0.09,0.09,0.09,000,0.09
2015-01-27,0.091,0.091,0.09,0.09,316700,0.09
2015-01-28,0.091,0.091,0.089,0.09,605100,0.09
2015-01-29,0.09,0.0905,0.072,0.075,1531400,0.075
2015-01-30,0.076,0.076,0.068,0.07,4120600,0.07
2015-02-02,0.068,0.07,0.067,0.069,1181900,0.069
2015-02-03,0.069,0.071,0.069,0.071,453500,0.071
2015-02-04,0.071,0.073,0.07,0.07,782100,0.07
2015-02-05,0.07,0.072,0.07,0.071,486200,0.071
2015-02-06,0.071,0.071,0.07,0.071,328100,0.071
2015-02-09,0.072,0.072,0.07,0.072,592800,0.072
2015-02-10,0.07,0.071,0.07,0.07,974500,0.07
2015-02-11,0.07,0.07,0.07,0.07,555100,0.07
2015-02-12,0.07,0.071,0.069,0.069,994700,0.069
2015-02-13,0.068,0.068,0.066,0.066,36500,0.066
2015-02-16,0.068,0.069,0.066,0.069,130000,0.069
2015-02-17,0.066,0.066,0.065,0.066,383400,0.066
2015-02-18,0.066,0.066,0.064,0.064,551600,0.064
