Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.001,0.001,0.001,0.001,000,0.28731
2015-01-02,0.001,0.001,0.001,0.001,000,0.28731
2015-01-05,0.001,0.001,0.001,0.001,000,0.28731
2015-01-06,0.001,0.001,0.001,0.001,000,0.28731
2015-01-07,0.001,0.001,0.001,0.001,3400,0.28731
2015-01-08,0.001,0.001,0.001,0.001,000,0.28731
2015-01-09,0.001,0.001,0.001,0.001,000,0.28731
2015-01-12,0.001,0.001,0.001,0.001,000,0.28731
2015-01-13,0.001,0.001,0.001,0.001,000,0.28731
2015-01-14,0.001,0.001,0.001,0.001,000,0.28731
2015-01-15,0.001,0.001,0.001,0.001,000,0.28731
2015-01-16,0.001,0.001,0.001,0.001,000,0.28731
2015-01-19,0.001,0.001,0.001,0.001,000,0.28731
2015-01-20,0.001,0.001,0.001,0.001,000,0.28731
2015-01-21,0.001,0.001,0.001,0.001,000,0.28731
2015-01-22,0.001,0.001,0.001,0.001,000,0.28731
2015-01-23,0.001,0.001,0.001,0.001,000,0.28731
2015-01-26,0.001,0.001,0.001,0.001,000,0.28731
2015-01-27,0.001,0.001,0.001,0.001,000,0.28731
2015-01-28,0.001,0.001,0.001,0.001,000,0.28731
2015-01-29,0.001,0.001,0.001,0.001,000,0.28731
2015-01-30,0.001,0.001,0.001,0.001,000,0.28731
2015-02-02,0.001,0.001,0.001,0.001,000,0.28731
2015-02-03,0.001,0.001,0.001,0.001,000,0.28731
2015-02-04,0.001,0.001,0.001,0.001,000,0.28731
2015-02-05,0.001,0.001,0.001,0.001,000,0.28731
2015-02-06,0.001,0.001,0.001,0.001,3400,0.28731
2015-02-09,0.001,0.001,0.001,0.001,35000,0.28731
2015-02-10,0.001,0.001,0.001,0.001,000,0.28731
2015-02-11,0.02873,0.02873,0.02873,0.02873,000,0.2873
2015-02-12,0.016,0.016,0.016,0.016,19600,0.16
2015-02-13,0.016,0.02,0.016,0.02,50900,0.20
2015-02-16,0.022,0.022,0.019,0.02,117500,0.20
2015-02-17,0.023,0.024,0.023,0.023,8200,0.23
2015-02-18,0.022,0.023,0.022,0.023,169500,0.23
2015-02-19,0.022,0.026,0.022,0.025,322600,0.25
