Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.25,0.25,0.25,0.25,000,0.24274
2015-01-02,0.295,0.295,0.295,0.295,2000,0.28643
2015-01-05,0.295,0.295,0.295,0.295,000,0.28643
2015-01-06,0.295,0.295,0.295,0.295,000,0.28643
2015-01-07,0.295,0.295,0.295,0.295,000,0.28643
2015-01-08,0.295,0.295,0.295,0.295,000,0.28643
2015-01-09,0.295,0.295,0.295,0.295,000,0.28643
2015-01-12,0.295,0.295,0.295,0.295,000,0.28643
2015-01-13,0.295,0.295,0.295,0.295,000,0.28643
2015-01-14,0.295,0.295,0.295,0.295,000,0.28643
2015-01-15,0.295,0.295,0.295,0.295,000,0.28643
2015-01-16,0.295,0.295,0.295,0.295,000,0.28643
2015-01-19,0.295,0.295,0.295,0.295,000,0.28643
2015-01-20,0.295,0.295,0.295,0.295,000,0.28643
2015-01-21,0.26,0.26,0.26,0.26,13300,0.25245
2015-01-22,0.26,0.26,0.26,0.26,000,0.25245
2015-01-23,0.28,0.28,0.28,0.28,69800,0.27187
2015-01-26,0.28,0.28,0.28,0.28,000,0.27187
2015-01-27,0.28,0.28,0.28,0.28,000,0.27187
2015-01-28,0.28,0.28,0.28,0.28,000,0.27187
2015-01-29,0.28,0.28,0.28,0.28,000,0.27187
2015-01-30,0.28,0.28,0.28,0.28,000,0.27187
2015-02-02,0.28,0.28,0.28,0.28,000,0.27187
2015-02-03,0.28,0.28,0.28,0.28,000,0.27187
2015-02-04,0.27,0.27,0.27,0.27,2900,0.26216
2015-02-05,0.29,0.29,0.29,0.29,2500,0.28158
2015-02-06,0.29,0.29,0.29,0.29,000,0.28158
2015-02-09,0.29,0.29,0.29,0.29,000,0.28158
2015-02-10,0.29,0.29,0.29,0.29,000,0.28158
2015-02-11,0.29,0.29,0.29,0.29,000,0.28158
2015-02-12,0.29,0.29,0.29,0.29,5500,0.28158
2015-02-13,0.29,0.29,0.29,0.29,300,0.28158
2015-02-16,0.29,0.29,0.29,0.29,000,0.28158
2015-02-17,0.29,0.29,0.29,0.29,000,0.28158
2015-02-18,0.29,0.29,0.29,0.29,000,0.28158
2015-02-19,0.29,0.29,0.29,0.29,000,0.28158
