Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.02,0.02,0.02,0.02,000,0.02
2015-01-02,0.02,0.02,0.02,0.02,000,0.02
2015-01-05,0.02,0.02,0.02,0.02,000,0.02
2015-01-06,0.024,0.024,0.022,0.022,813500,0.022
2015-01-07,0.022,0.023,0.022,0.023,28400,0.023
2015-01-08,0.024,0.025,0.024,0.024,314100,0.024
2015-01-09,0.025,0.032,0.025,0.032,4144400,0.032
2015-01-12,0.032,0.035,0.032,0.033,5208400,0.033
2015-01-13,0.033,0.037,0.027,0.027,3431500,0.027
2015-01-14,0.026,0.029,0.026,0.029,482600,0.029
2015-01-15,0.028,0.031,0.028,0.03,4202300,0.03
2015-01-16,0.03,0.033,0.03,0.03,4417800,0.03
2015-01-19,0.028,0.032,0.028,0.03,1043700,0.03
2015-01-20,0.032,0.032,0.032,0.032,580000,0.032
2015-01-21,0.03,0.031,0.03,0.031,247600,0.031
2015-01-22,0.032,0.034,0.031,0.034,3481700,0.034
2015-01-23,0.033,0.034,0.033,0.034,158000,0.034
2015-01-26,0.034,0.034,0.034,0.034,000,0.034
2015-01-27,0.033,0.033,0.031,0.032,3430300,0.032
2015-01-28,0.032,0.032,0.032,0.032,000,0.032
2015-01-29,0.031,0.033,0.03,0.031,581400,0.031
2015-01-30,0.032,0.032,0.032,0.032,250000,0.032
2015-02-02,0.031,0.031,0.031,0.031,18500,0.031
2015-02-03,0.031,0.031,0.031,0.031,303400,0.031
2015-02-04,0.032,0.032,0.032,0.032,350000,0.032
2015-02-05,0.03,0.03,0.03,0.03,28500,0.03
2015-02-06,0.031,0.032,0.031,0.032,300000,0.032
2015-02-09,0.031,0.032,0.031,0.032,236900,0.032
2015-02-10,0.031,0.031,0.03,0.03,332500,0.03
2015-02-11,0.03,0.031,0.03,0.03,346800,0.03
2015-02-12,0.03,0.032,0.03,0.032,1829000,0.032
2015-02-13,0.031,0.032,0.031,0.032,703000,0.032
2015-02-16,0.031,0.033,0.031,0.033,750000,0.033
2015-02-17,0.032,0.033,0.032,0.033,606000,0.033
2015-02-18,0.033,0.034,0.033,0.033,2562000,0.033
2015-02-19,0.033,0.033,0.03,0.03,112500,0.03
2015-02-20,0.03,0.03,0.03,0.03,000,0.03
2015-02-23,0.03,0.03,0.03,0.03,465500,0.03
2015-02-24,0.03,0.032,0.03,0.032,490000,0.032
2015-02-25,0.03,0.032,0.03,0.032,328000,0.032
2015-02-26,0.03,0.03,0.03,0.03,335900,0.03
2015-02-27,0.03,0.03,0.03,0.03,000,0.03
2015-03-02,0.031,0.031,0.03,0.03,94000,0.03
2015-03-03,0.029,0.029,0.029,0.029,27200,0.029
2015-03-04,0.029,0.029,0.029,0.029,000,0.029
2015-03-05,0.03,0.03,0.03,0.03,202200,0.03
2015-03-06,0.029,0.029,0.029,0.029,51900,0.029
2015-03-09,0.029,0.029,0.029,0.029,28000,0.029
2015-03-10,0.03,0.03,0.03,0.03,700000,0.03
2015-03-11,0.03,0.03,0.029,0.029,1058100,0.029
2015-03-12,0.03,0.03,0.029,0.029,278500,0.029
2015-03-13,0.029,0.029,0.029,0.029,000,0.029
2015-03-16,0.029,0.029,0.029,0.029,393000,0.029
2015-03-17,0.029,0.029,0.029,0.029,000,0.029
2015-03-18,0.029,0.029,0.029,0.029,7000,0.029
2015-03-19,0.029,0.029,0.029,0.029,66300,0.029
2015-03-20,0.029,0.029,0.029,0.029,8000,0.029
2015-03-23,0.029,0.029,0.028,0.028,392500,0.028
2015-03-24,0.028,0.028,0.025,0.025,822000,0.025
2015-03-25,0.027,0.029,0.027,0.029,553000,0.029
2015-03-26,0.029,0.029,0.026,0.026,921200,0.026
2015-03-27,0.026,0.026,0.026,0.026,000,0.026
2015-03-30,0.026,0.028,0.026,0.028,2033300,0.028
2015-03-31,0.028,0.028,0.028,0.028,000,0.028
2015-04-01,0.025,0.025,0.025,0.025,128500,0.025
2015-04-02,0.025,0.025,0.025,0.025,000,0.025
2015-04-03,0.025,0.025,0.025,0.025,000,0.025
2015-04-06,0.025,0.025,0.025,0.025,000,0.025
2015-04-07,0.023,0.023,0.023,0.023,4000,0.023
2015-04-08,0.024,0.024,0.02,0.02,475900,0.02
2015-04-09,0.02,0.02,0.018,0.018,463000,0.018
2015-04-10,0.018,0.022,0.017,0.022,198200,0.022
2015-04-13,0.022,0.022,0.022,0.022,000,0.022
2015-04-14,0.022,0.022,0.022,0.022,000,0.022
2015-04-15,0.022,0.022,0.022,0.022,000,0.022
2015-04-16,0.023,0.023,0.023,0.023,730800,0.023
2015-04-17,0.023,0.023,0.023,0.023,5500,0.023
2015-04-20,0.023,0.023,0.023,0.023,1322100,0.023
2015-04-21,0.023,0.023,0.023,0.023,500000,0.023
2015-04-22,0.024,0.027,0.024,0.025,148000,0.025
2015-04-23,0.022,0.022,0.022,0.022,200000,0.022
2015-04-24,0.026,0.026,0.02,0.02,263000,0.02
2015-04-27,0.02,0.02,0.02,0.02,4200,0.02
2015-04-28,0.02,0.02,0.019,0.019,20000,0.019
2015-04-29,0.02,0.021,0.019,0.019,150600,0.019
2015-04-30,0.019,0.019,0.019,0.019,20000,0.019
2015-05-01,0.02,0.02,0.02,0.02,10000,0.02
2015-05-04,0.02,0.02,0.02,0.02,3000,0.02
2015-05-05,0.022,0.022,0.02,0.02,502000,0.02
2015-05-06,0.02,0.02,0.02,0.02,000,0.02
2015-05-07,0.021,0.021,0.02,0.02,109000,0.02
2015-05-08,0.02,0.02,0.02,0.02,800,0.02
2015-05-11,0.02,0.02,0.02,0.02,220000,0.02
2015-05-12,0.02,0.02,0.02,0.02,521500,0.02
2015-05-13,0.02,0.02,0.02,0.02,000,0.02
2015-05-14,0.02,0.02,0.02,0.02,306900,0.02
2015-05-15,0.02,0.02,0.02,0.02,000,0.02
2015-05-18,0.02,0.02,0.02,0.02,000,0.02
2015-05-19,0.022,0.022,0.022,0.022,2200,0.022
2015-05-20,0.022,0.022,0.022,0.022,000,0.022
2015-05-21,0.022,0.022,0.022,0.022,56800,0.022
2015-05-22,0.022,0.022,0.022,0.022,1600,0.022
2015-05-25,0.022,0.022,0.022,0.022,000,0.022
