Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.066,0.066,0.066,0.066,000,0.066
2015-01-02,0.066,0.066,0.066,0.066,000,0.066
2015-01-05,0.069,0.069,0.069,0.069,100000,0.069
2015-01-06,0.072,0.072,0.072,0.072,80000,0.072
2015-01-07,0.071,0.071,0.067,0.067,90000,0.067
2015-01-08,0.067,0.067,0.066,0.066,225200,0.066
2015-01-09,0.067,0.067,0.067,0.067,39300,0.067
2015-01-12,0.066,0.066,0.066,0.066,67700,0.066
2015-01-13,0.067,0.07,0.067,0.07,25000,0.07
2015-01-14,0.066,0.066,0.066,0.066,98400,0.066
2015-01-15,0.068,0.072,0.068,0.071,235400,0.071
2015-01-16,0.071,0.073,0.071,0.073,343000,0.073
2015-01-19,0.07,0.07,0.069,0.07,35600,0.07
2015-01-20,0.07,0.073,0.07,0.072,191000,0.072
2015-01-21,0.072,0.072,0.07,0.07,26600,0.07
2015-01-22,0.071,0.071,0.071,0.071,72700,0.071
2015-01-23,0.071,0.071,0.071,0.071,000,0.071
2015-01-26,0.071,0.071,0.071,0.071,000,0.071
2015-01-27,0.071,0.071,0.071,0.071,22300,0.071
2015-01-28,0.071,0.072,0.071,0.072,78700,0.072
2015-01-29,0.072,0.073,0.072,0.073,30000,0.073
2015-01-30,0.071,0.073,0.071,0.071,196800,0.071
2015-02-02,0.072,0.074,0.071,0.074,360200,0.074
2015-02-03,0.071,0.071,0.071,0.071,170900,0.071
2015-02-04,0.07,0.071,0.07,0.07,72000,0.07
2015-02-05,0.07,0.07,0.07,0.07,299800,0.07
2015-02-06,0.07,0.07,0.07,0.07,132300,0.07
2015-02-09,0.069,0.07,0.068,0.068,59200,0.068
2015-02-10,0.068,0.069,0.068,0.069,72100,0.069
2015-02-11,0.069,0.069,0.069,0.069,44800,0.069
2015-02-12,0.069,0.069,0.069,0.069,177500,0.069
2015-02-13,0.069,0.069,0.069,0.069,000,0.069
2015-02-16,0.069,0.07,0.069,0.069,104200,0.069
2015-02-17,0.069,0.069,0.067,0.067,1001300,0.067
2015-02-18,0.068,0.07,0.067,0.067,446100,0.067
2015-02-19,0.067,0.067,0.066,0.066,148600,0.066
2015-02-20,0.066,0.067,0.066,0.067,210500,0.067
2015-02-23,0.068,0.071,0.068,0.071,550100,0.071
2015-02-24,0.071,0.072,0.07,0.072,520400,0.072
2015-02-25,0.072,0.072,0.072,0.072,000,0.072
2015-02-26,0.067,0.067,0.066,0.066,449100,0.066
2015-02-27,0.067,0.067,0.067,0.067,12600,0.067
2015-03-02,0.067,0.067,0.066,0.067,50000,0.067
2015-03-03,0.066,0.066,0.065,0.065,194800,0.065
2015-03-04,0.065,0.065,0.064,0.064,457800,0.064
2015-03-05,0.064,0.065,0.064,0.065,119500,0.065
2015-03-06,0.065,0.065,0.063,0.063,207800,0.063
2015-03-09,0.063,0.063,0.063,0.063,20200,0.063
2015-03-10,0.063,0.063,0.061,0.062,119700,0.062
2015-03-11,0.061,0.061,0.058,0.058,174500,0.058
2015-03-12,0.059,0.059,0.058,0.058,155000,0.058
2015-03-13,0.058,0.058,0.058,0.058,35900,0.058
2015-03-16,0.058,0.058,0.058,0.058,101100,0.058
2015-03-17,0.058,0.061,0.057,0.061,309200,0.061
2015-03-18,0.061,0.061,0.059,0.059,30700,0.059
2015-03-19,0.059,0.059,0.057,0.057,69000,0.057
2015-03-20,0.058,0.058,0.057,0.057,173900,0.057
2015-03-23,0.058,0.061,0.058,0.061,31100,0.061
2015-03-24,0.061,0.061,0.061,0.061,000,0.061
2015-03-25,0.06,0.06,0.06,0.06,16800,0.06
2015-03-26,0.06,0.06,0.059,0.059,32700,0.059
2015-03-27,0.059,0.059,0.059,0.059,000,0.059
2015-03-30,0.059,0.059,0.059,0.059,000,0.059
2015-03-31,0.059,0.061,0.058,0.058,97000,0.058
2015-04-01,0.06,0.06,0.058,0.058,150000,0.058
2015-04-02,0.059,0.063,0.059,0.063,288900,0.063
2015-04-03,0.063,0.063,0.063,0.063,000,0.063
2015-04-06,0.063,0.063,0.063,0.063,000,0.063
2015-04-07,0.06,0.063,0.06,0.063,325400,0.063
2015-04-08,0.064,0.07,0.064,0.07,2012700,0.07
2015-04-09,0.068,0.078,0.068,0.078,1243600,0.078
2015-04-10,0.074,0.075,0.068,0.068,260800,0.068
2015-04-13,0.069,0.069,0.069,0.069,158000,0.069
2015-04-14,0.068,0.068,0.067,0.067,142600,0.067
2015-04-15,0.067,0.068,0.067,0.068,25000,0.068
2015-04-16,0.067,0.067,0.067,0.067,106300,0.067
2015-04-17,0.067,0.07,0.066,0.07,308200,0.07
2015-04-20,0.07,0.07,0.07,0.07,11800,0.07
2015-04-21,0.067,0.067,0.067,0.067,64700,0.067
2015-04-22,0.066,0.07,0.066,0.07,76900,0.07
2015-04-23,0.066,0.067,0.066,0.066,55000,0.066
2015-04-24,0.067,0.067,0.067,0.067,38400,0.067
2015-04-27,0.076,0.081,0.073,0.073,861600,0.073
2015-04-28,0.074,0.075,0.074,0.075,230100,0.075
2015-04-29,0.076,0.076,0.07,0.07,235500,0.07
2015-04-30,0.07,0.075,0.07,0.07,200000,0.07
2015-05-01,0.07,0.07,0.069,0.07,108500,0.07
2015-05-04,0.07,0.07,0.067,0.067,133200,0.067
2015-05-05,0.067,0.067,0.067,0.067,28700,0.067
2015-05-06,0.067,0.07,0.066,0.07,389300,0.07
2015-05-07,0.073,0.073,0.072,0.072,136100,0.072
2015-05-08,0.073,0.073,0.073,0.073,110000,0.073
2015-05-11,0.073,0.081,0.073,0.081,714900,0.081
2015-05-12,0.075,0.075,0.075,0.075,105300,0.075
2015-05-13,0.074,0.074,0.074,0.074,132000,0.074
2015-05-14,0.075,0.08,0.075,0.079,567700,0.079
2015-05-15,0.078,0.078,0.078,0.078,15000,0.078
2015-05-18,0.078,0.085,0.078,0.084,645000,0.084
