Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.038,0.038,0.038,0.038,000,0.038
2015-01-02,0.038,0.038,0.038,0.038,000,0.038
2015-01-05,0.035,0.038,0.035,0.038,75000,0.038
2015-01-06,0.038,0.038,0.038,0.038,000,0.038
2015-01-07,0.038,0.038,0.038,0.038,000,0.038
2015-01-08,0.035,0.035,0.035,0.035,60000,0.035
2015-01-09,0.035,0.035,0.035,0.035,000,0.035
2015-01-12,0.035,0.035,0.035,0.035,000,0.035
2015-01-13,0.035,0.035,0.035,0.035,000,0.035
2015-01-14,0.035,0.035,0.035,0.035,000,0.035
2015-01-15,0.035,0.035,0.035,0.035,000,0.035
2015-01-16,0.031,0.031,0.031,0.031,294000,0.031
2015-01-19,0.031,0.031,0.031,0.031,000,0.031
2015-01-20,0.031,0.031,0.031,0.031,000,0.031
2015-01-21,0.031,0.031,0.031,0.031,000,0.031
2015-01-22,0.031,0.031,0.031,0.031,37700,0.031
2015-01-23,0.034,0.034,0.034,0.034,48000,0.034
2015-01-26,0.034,0.034,0.034,0.034,000,0.034
2015-01-27,0.031,0.031,0.031,0.031,10000,0.031
2015-01-28,0.031,0.031,0.031,0.031,36200,0.031
2015-01-29,0.031,0.031,0.031,0.031,12500,0.031
2015-01-30,0.031,0.031,0.025,0.028,431700,0.028
2015-02-02,0.03,0.03,0.03,0.03,31100,0.03
2015-02-03,0.031,0.031,0.031,0.031,38000,0.031
2015-02-04,0.039,0.039,0.035,0.035,136900,0.035
2015-02-05,0.038,0.038,0.032,0.032,53700,0.032
2015-02-06,0.032,0.032,0.032,0.032,000,0.032
2015-02-09,0.036,0.036,0.036,0.036,12100,0.036
2015-02-10,0.036,0.036,0.036,0.036,000,0.036
2015-02-11,0.027,0.03,0.027,0.03,219400,0.03
2015-02-12,0.028,0.028,0.027,0.027,410800,0.027
2015-02-13,0.028,0.03,0.026,0.03,367000,0.03
2015-02-16,0.032,0.032,0.032,0.032,10000,0.032
2015-02-17,0.032,0.032,0.032,0.032,000,0.032
2015-02-18,0.036,0.039,0.036,0.039,738000,0.039
2015-02-19,0.039,0.039,0.039,0.039,000,0.039
2015-02-20,0.039,0.039,0.039,0.039,000,0.039
2015-02-23,0.039,0.039,0.039,0.039,000,0.039
2015-02-24,0.033,0.033,0.028,0.028,1019600,0.028
2015-02-25,0.028,0.028,0.028,0.028,000,0.028
2015-02-26,0.028,0.028,0.028,0.028,000,0.028
2015-02-27,0.028,0.028,0.028,0.028,000,0.028
2015-03-02,0.035,0.035,0.035,0.035,50000,0.035
2015-03-03,0.035,0.035,0.035,0.035,000,0.035
2015-03-04,0.035,0.035,0.035,0.035,000,0.035
2015-03-05,0.035,0.035,0.035,0.035,000,0.035
2015-03-06,0.035,0.035,0.035,0.035,000,0.035
2015-03-09,0.035,0.035,0.035,0.035,000,0.035
2015-03-10,0.035,0.035,0.035,0.035,000,0.035
2015-03-11,0.026,0.03,0.025,0.03,260000,0.03
2015-03-12,0.033,0.034,0.033,0.034,320000,0.034
2015-03-13,0.035,0.035,0.035,0.035,100000,0.035
2015-03-16,0.035,0.038,0.035,0.038,100000,0.038
2015-03-17,0.03,0.035,0.03,0.032,178200,0.032
2015-03-18,0.038,0.045,0.038,0.044,1070400,0.044
2015-03-19,0.044,0.044,0.044,0.044,000,0.044
2015-03-20,0.043,0.047,0.043,0.045,698800,0.045
2015-03-23,0.043,0.055,0.043,0.054,1526000,0.054
2015-03-24,0.054,0.054,0.054,0.054,000,0.054
2015-03-25,0.05,0.054,0.048,0.05,858500,0.05
2015-03-26,0.05,0.05,0.05,0.05,000,0.05
2015-03-27,0.05,0.05,0.05,0.05,90200,0.05
2015-03-30,0.05,0.05,0.05,0.05,000,0.05
2015-03-31,0.05,0.05,0.05,0.05,000,0.05
2015-04-01,0.045,0.045,0.045,0.045,70000,0.045
2015-04-02,0.045,0.045,0.045,0.045,82300,0.045
2015-04-03,0.045,0.045,0.045,0.045,000,0.045
2015-04-06,0.045,0.045,0.045,0.045,000,0.045
2015-04-07,0.046,0.046,0.045,0.045,70000,0.045
2015-04-08,0.05,0.054,0.05,0.051,480000,0.051
2015-04-09,0.05,0.05,0.046,0.05,260000,0.05
2015-04-10,0.05,0.05,0.05,0.05,4500,0.05
2015-04-13,0.05,0.05,0.05,0.05,000,0.05
2015-04-14,0.05,0.05,0.05,0.05,000,0.05
2015-04-15,0.05,0.055,0.047,0.05,1731100,0.05
2015-04-16,0.05,0.05,0.05,0.05,175000,0.05
2015-04-17,0.05,0.05,0.05,0.05,535000,0.05
2015-04-20,0.05,0.05,0.05,0.05,20500,0.05
2015-04-21,0.05,0.05,0.05,0.05,79400,0.05
2015-04-22,0.049,0.049,0.047,0.048,246000,0.048
2015-04-23,0.047,0.048,0.047,0.048,339300,0.048
2015-04-24,0.048,0.048,0.047,0.047,363500,0.047
2015-04-27,0.048,0.058,0.048,0.058,744000,0.058
2015-04-28,0.059,0.065,0.059,0.065,444900,0.065
2015-04-29,0.063,0.085,0.063,0.085,1563400,0.085
2015-04-30,0.08,0.08,0.066,0.069,746100,0.069
2015-05-01,0.06,0.063,0.06,0.063,180000,0.063
2015-05-04,0.063,0.065,0.063,0.064,844300,0.064
2015-05-05,0.064,0.064,0.06,0.061,400000,0.061
2015-05-06,0.062,0.062,0.058,0.058,481600,0.058
2015-05-07,0.058,0.058,0.057,0.057,230000,0.057
2015-05-08,0.058,0.06,0.057,0.057,1432500,0.057
2015-05-11,0.06,0.06,0.058,0.058,82500,0.058
2015-05-12,0.058,0.06,0.058,0.06,275400,0.06
2015-05-13,0.061,0.061,0.061,0.061,265000,0.061
2015-05-14,0.061,0.061,0.06,0.061,418000,0.061
2015-05-15,0.061,0.063,0.061,0.062,290300,0.062
2015-05-18,0.062,0.062,0.06,0.06,35200,0.06
2015-05-19,0.061,0.061,0.059,0.06,193500,0.06
2015-05-20,0.06,0.065,0.06,0.065,539400,0.065
2015-05-21,0.069,0.079,0.069,0.079,251000,0.079
2015-05-22,0.069,0.078,0.064,0.07,707100,0.07
2015-05-25,0.07,0.074,0.065,0.065,254900,0.065
2015-05-26,0.07,0.072,0.07,0.072,264100,0.072
2015-05-27,0.071,0.071,0.045,0.061,9208600,0.061
2015-05-28,0.059,0.068,0.058,0.068,884200,0.068
2015-05-29,0.062,0.062,0.062,0.062,15000,0.062
2015-06-01,0.056,0.065,0.056,0.065,404000,0.065
2015-06-02,0.065,0.065,0.065,0.065,000,0.065
2015-06-03,0.065,0.065,0.065,0.065,000,0.065
2015-06-04,0.065,0.065,0.065,0.065,000,0.065
2015-06-05,0.064,0.069,0.064,0.069,267400,0.069
2015-06-08,0.069,0.069,0.069,0.069,000,0.069
2015-06-09,0.066,0.075,0.066,0.075,535000,0.075
2015-06-10,0.074,0.078,0.07,0.078,1034900,0.078
2015-06-11,0.072,0.073,0.072,0.072,42000,0.072
2015-06-12,0.072,0.072,0.072,0.072,000,0.072
2015-06-15,0.072,0.072,0.072,0.072,000,0.072
2015-06-16,0.072,0.072,0.072,0.072,10000,0.072
2015-06-17,0.072,0.077,0.072,0.077,500000,0.077
2015-06-18,0.077,0.079,0.077,0.079,977800,0.079
2015-06-19,0.077,0.089,0.077,0.089,1063600,0.089
2015-06-22,0.078,0.078,0.078,0.078,233200,0.078
2015-06-23,0.078,0.078,0.078,0.078,523600,0.078
2015-06-24,0.078,0.08,0.078,0.079,59500,0.079
2015-06-25,0.085,0.125,0.085,0.098,1624900,0.098
2015-06-26,0.11,0.13,0.11,0.12,1314600,0.12
2015-06-29,0.125,0.14,0.125,0.14,1727000,0.14
2015-06-30,0.14,0.16,0.14,0.16,835000,0.16
2015-07-01,0.16,0.16,0.145,0.145,899000,0.145
2015-07-02,0.14,0.14,0.135,0.14,392600,0.14
2015-07-03,0.14,0.14,0.125,0.13,469500,0.13
2015-07-06,0.13,0.145,0.125,0.145,938500,0.145
2015-07-07,0.14,0.14,0.13,0.13,328500,0.13
2015-07-08,0.135,0.135,0.125,0.13,435400,0.13
2015-07-09,0.125,0.13,0.115,0.115,254300,0.115
2015-07-10,0.12,0.13,0.11,0.13,701200,0.13
2015-07-13,0.13,0.14,0.13,0.14,661100,0.14
2015-07-14,0.13,0.14,0.12,0.135,1010300,0.135
2015-07-15,0.125,0.14,0.12,0.135,556200,0.135
2015-07-16,0.13,0.14,0.13,0.13,436500,0.13
2015-07-17,0.13,0.14,0.13,0.14,453600,0.14
2015-07-20,0.14,0.16,0.125,0.13,2016700,0.13
2015-07-21,0.135,0.135,0.135,0.135,49200,0.135
2015-07-22,0.135,0.135,0.13,0.13,195000,0.13
2015-07-23,0.125,0.135,0.125,0.13,496000,0.13
2015-07-24,0.13,0.135,0.125,0.13,349100,0.13
