Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.08,0.08,0.08,0.08,000,0.08
2015-01-02,0.09,0.09,0.089,0.089,81500,0.089
2015-01-05,0.089,0.089,0.089,0.089,000,0.089
2015-01-06,0.085,0.089,0.081,0.088,264400,0.088
2015-01-07,0.088,0.089,0.086,0.086,113400,0.086
2015-01-08,0.086,0.086,0.081,0.081,551300,0.081
2015-01-09,0.08,0.08,0.08,0.08,39100,0.08
2015-01-12,0.08,0.08,0.08,0.08,000,0.08
2015-01-13,0.082,0.083,0.08,0.08,151600,0.08
2015-01-14,0.08,0.08,0.08,0.08,000,0.08
2015-01-15,0.08,0.08,0.08,0.08,000,0.08
2015-01-16,0.083,0.084,0.08,0.08,44200,0.08
2015-01-19,0.08,0.08,0.08,0.08,15700,0.08
2015-01-20,0.08,0.08,0.08,0.08,9300,0.08
2015-01-21,0.08,0.08,0.076,0.076,123000,0.076
2015-01-22,0.076,0.076,0.076,0.076,78600,0.076
2015-01-23,0.075,0.076,0.072,0.072,526500,0.072
2015-01-26,0.072,0.072,0.072,0.072,000,0.072
2015-01-27,0.072,0.072,0.07,0.07,622000,0.07
2015-01-28,0.067,0.073,0.066,0.07,294000,0.07
2015-01-29,0.07,0.075,0.07,0.07,147400,0.07
2015-01-30,0.072,0.075,0.072,0.075,100300,0.075
2015-02-02,0.075,0.075,0.074,0.075,119600,0.075
2015-02-03,0.071,0.071,0.071,0.071,18000,0.071
2015-02-04,0.07,0.071,0.064,0.067,675100,0.067
2015-02-05,0.066,0.066,0.059,0.06,1694300,0.06
2015-02-06,0.06,0.07,0.058,0.068,886500,0.068
2015-02-09,0.069,0.069,0.069,0.069,94200,0.069
2015-02-10,0.061,0.061,0.061,0.061,33000,0.061
2015-02-11,0.062,0.064,0.062,0.064,68300,0.064
2015-02-12,0.065,0.065,0.062,0.062,48800,0.062
2015-02-13,0.063,0.066,0.063,0.066,165000,0.066
2015-02-16,0.065,0.068,0.064,0.064,70000,0.064
2015-02-17,0.065,0.065,0.065,0.065,86000,0.065
2015-02-18,0.065,0.065,0.065,0.065,4700,0.065
2015-02-19,0.066,0.066,0.064,0.064,151000,0.064
2015-02-20,0.064,0.065,0.064,0.064,28000,0.064
2015-02-23,0.075,0.15,0.075,0.10,5934800,0.10
2015-02-24,0.10,0.10,0.09,0.092,1625300,0.092
2015-02-25,0.09,0.092,0.088,0.089,863700,0.089
2015-02-26,0.089,0.089,0.084,0.084,405700,0.084
2015-02-27,0.084,0.088,0.084,0.088,548500,0.088
2015-03-02,0.089,0.095,0.089,0.095,225600,0.095
2015-03-03,0.096,0.099,0.095,0.099,441600,0.099
2015-03-04,0.095,0.095,0.085,0.094,1151900,0.094
2015-03-05,0.09,0.093,0.09,0.093,135000,0.093
2015-03-06,0.093,0.093,0.093,0.093,6700,0.093
2015-03-09,0.092,0.092,0.085,0.085,34100,0.085
2015-03-10,0.086,0.086,0.085,0.085,193900,0.085
2015-03-11,0.085,0.087,0.084,0.084,149600,0.084
2015-03-12,0.084,0.084,0.076,0.076,335400,0.076
2015-03-13,0.078,0.078,0.075,0.075,140000,0.075
2015-03-16,0.075,0.078,0.075,0.076,582000,0.076
2015-03-17,0.078,0.08,0.076,0.076,83000,0.076
2015-03-18,0.078,0.078,0.077,0.078,51000,0.078
2015-03-19,0.08,0.083,0.08,0.081,116100,0.081
2015-03-20,0.082,0.082,0.081,0.081,170000,0.081
2015-03-23,0.082,0.082,0.078,0.078,265900,0.078
2015-03-24,0.079,0.084,0.079,0.08,326400,0.08
2015-03-25,0.08,0.082,0.079,0.079,924200,0.079
2015-03-26,0.079,0.08,0.079,0.08,49500,0.08
2015-03-27,0.081,0.082,0.079,0.079,236900,0.079
2015-03-30,0.08,0.08,0.078,0.078,104600,0.078
2015-03-31,0.078,0.08,0.078,0.08,106000,0.08
2015-04-01,0.079,0.08,0.079,0.08,319000,0.08
2015-04-02,0.079,0.079,0.079,0.079,96800,0.079
2015-04-03,0.079,0.079,0.079,0.079,000,0.079
2015-04-06,0.079,0.079,0.079,0.079,000,0.079
2015-04-07,0.079,0.079,0.079,0.079,2500,0.079
2015-04-08,0.08,0.08,0.078,0.078,315600,0.078
2015-04-09,0.078,0.08,0.077,0.08,436400,0.08
2015-04-10,0.077,0.077,0.076,0.076,531000,0.076
2015-04-13,0.077,0.077,0.075,0.075,324500,0.075
2015-04-14,0.076,0.078,0.074,0.074,397600,0.074
2015-04-15,0.074,0.074,0.074,0.074,195200,0.074
2015-04-16,0.075,0.076,0.075,0.075,158900,0.075
2015-04-17,0.074,0.074,0.073,0.073,741000,0.073
2015-04-20,0.077,0.078,0.074,0.075,1096900,0.075
2015-04-21,0.076,0.076,0.072,0.073,361100,0.073
2015-04-22,0.073,0.076,0.073,0.076,299900,0.076
2015-04-23,0.072,0.079,0.072,0.075,999600,0.075
2015-04-24,0.078,0.078,0.076,0.076,317600,0.076
2015-04-27,0.077,0.079,0.077,0.078,232500,0.078
2015-04-28,0.078,0.078,0.078,0.078,200000,0.078
2015-04-29,0.079,0.08,0.079,0.08,329600,0.08
2015-04-30,0.083,0.083,0.08,0.08,135000,0.08
2015-05-01,0.08,0.083,0.08,0.08,142000,0.08
2015-05-04,0.083,0.084,0.08,0.08,237700,0.08
2015-05-05,0.08,0.084,0.08,0.084,81000,0.084
2015-05-06,0.084,0.084,0.084,0.084,000,0.084
2015-05-07,0.08,0.08,0.076,0.076,340500,0.076
2015-05-08,0.078,0.087,0.077,0.087,294100,0.087
2015-05-11,0.081,0.082,0.08,0.08,83100,0.08
2015-05-12,0.10,0.105,0.089,0.094,1710000,0.094
2015-05-13,0.095,0.095,0.089,0.089,223700,0.089
2015-05-14,0.094,0.094,0.094,0.094,10000,0.094
2015-05-15,0.093,0.093,0.089,0.093,171700,0.093
2015-05-18,0.093,0.093,0.089,0.089,299000,0.089
2015-05-19,0.093,0.096,0.093,0.093,740000,0.093
2015-05-20,0.093,0.093,0.09,0.09,259800,0.09
2015-05-21,0.09,0.09,0.09,0.09,38500,0.09
2015-05-22,0.092,0.092,0.085,0.092,166100,0.092
2015-05-25,0.093,0.093,0.088,0.093,41400,0.093
2015-05-26,0.088,0.088,0.087,0.087,150000,0.087
2015-05-27,0.09,0.09,0.085,0.086,225200,0.086
2015-05-28,0.085,0.088,0.084,0.088,81800,0.088
2015-05-29,0.088,0.088,0.088,0.088,000,0.088
2015-06-01,0.088,0.088,0.086,0.088,136600,0.088
2015-06-02,0.084,0.084,0.084,0.084,1100,0.084
2015-06-03,0.084,0.085,0.082,0.082,162300,0.082
2015-06-04,0.085,0.088,0.083,0.083,489800,0.083
2015-06-05,0.083,0.083,0.082,0.082,276900,0.082
2015-06-08,0.082,0.082,0.082,0.082,000,0.082
2015-06-09,0.083,0.085,0.083,0.085,78400,0.085
2015-06-10,0.084,0.085,0.082,0.082,220000,0.082
2015-06-11,0.081,0.081,0.08,0.08,376300,0.08
2015-06-12,0.077,0.08,0.077,0.08,624800,0.08
2015-06-15,0.08,0.08,0.08,0.08,290600,0.08
2015-06-16,0.081,0.081,0.078,0.08,155400,0.08
2015-06-17,0.079,0.08,0.077,0.08,227700,0.08
2015-06-18,0.078,0.08,0.077,0.08,361000,0.08
2015-06-19,0.08,0.083,0.077,0.077,254700,0.077
2015-06-22,0.077,0.079,0.077,0.079,50200,0.079
2015-06-23,0.078,0.085,0.078,0.083,426100,0.083
2015-06-24,0.082,0.082,0.079,0.079,352500,0.079
2015-06-25,0.08,0.08,0.079,0.079,168000,0.079
2015-06-26,0.079,0.083,0.079,0.083,218200,0.083
2015-06-29,0.085,0.088,0.083,0.083,265500,0.083
2015-06-30,0.084,0.085,0.082,0.082,104900,0.082
2015-07-01,0.084,0.085,0.081,0.081,99000,0.081
2015-07-02,0.13,0.14,0.115,0.125,4931900,0.125
2015-07-03,0.115,0.115,0.105,0.105,1078000,0.105
2015-07-06,0.105,0.115,0.105,0.115,933800,0.115
2015-07-07,0.115,0.115,0.11,0.115,476800,0.115
2015-07-08,0.115,0.115,0.11,0.11,429600,0.11
2015-07-09,0.11,0.115,0.11,0.115,296000,0.115
2015-07-10,0.115,0.115,0.11,0.11,78900,0.11
2015-07-13,0.11,0.11,0.11,0.11,1100,0.11
2015-07-14,0.125,0.125,0.11,0.12,7350600,0.12
2015-07-15,0.115,0.115,0.105,0.11,2307900,0.11
2015-07-16,0.11,0.11,0.105,0.11,1926400,0.11
2015-07-17,0.105,0.115,0.105,0.115,1410000,0.115
2015-07-20,0.12,0.12,0.12,0.12,2155400,0.12
2015-07-21,0.12,0.12,0.12,0.12,1153500,0.12
2015-07-22,0.12,0.125,0.12,0.12,1235400,0.12
2015-07-23,0.125,0.125,0.12,0.12,753200,0.12
2015-07-24,0.12,0.12,0.12,0.12,241300,0.12
2015-07-27,0.12,0.125,0.12,0.12,905800,0.12
2015-07-28,0.12,0.12,0.12,0.12,205900,0.12
2015-07-29,0.125,0.125,0.125,0.125,826900,0.125
2015-07-30,0.125,0.125,0.125,0.125,1207500,0.125
2015-07-31,0.125,0.13,0.125,0.13,130000,0.13
2015-08-03,0.125,0.13,0.125,0.13,374400,0.13
2015-08-04,0.125,0.13,0.125,0.125,298400,0.125
2015-08-05,0.125,0.125,0.125,0.125,3333300,0.125
2015-08-06,0.125,0.125,0.125,0.125,182100,0.125
2015-08-07,0.125,0.125,0.125,0.125,1229500,0.125
2015-08-10,0.125,0.125,0.12,0.12,686000,0.12
2015-08-11,0.12,0.13,0.12,0.13,2853500,0.13
2015-08-12,0.13,0.14,0.13,0.13,7348900,0.13
2015-08-13,0.13,0.135,0.13,0.135,1682300,0.135
2015-08-14,0.135,0.1375,0.135,0.135,1047600,0.135
2015-08-17,0.135,0.135,0.135,0.135,743800,0.135
2015-08-18,0.135,0.1375,0.135,0.135,1232000,0.135
2015-08-19,0.14,0.14,0.137,0.14,693200,0.14
2015-08-20,0.14,0.14,0.135,0.135,1209100,0.135
2015-08-21,0.135,0.135,0.135,0.135,871900,0.135
2015-08-24,0.135,0.135,0.13,0.13,4102100,0.13
2015-08-25,0.13,0.135,0.125,0.135,1980400,0.135
2015-08-26,0.135,0.135,0.13,0.13,212000,0.13
2015-08-27,0.135,0.137,0.135,0.135,2348200,0.135
2015-08-28,0.135,0.135,0.13,0.13,468100,0.13
2015-08-31,0.13,0.13,0.13,0.13,109800,0.13
