Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.11,4.11,4.11,4.11,000,3.9312
2015-01-02,4.19,4.21,4.17,4.21,1200,4.02685
2015-01-05,4.14,4.18,4.11,4.12,23200,3.94076
2015-01-06,4.10,4.13,4.02,4.11,184200,3.9312
2015-01-07,4.19,4.19,4.13,4.13,99200,3.95033
2015-01-08,4.19,4.19,4.14,4.14,5400,3.95989
2015-01-09,4.17,4.17,4.06,4.06,63600,3.88337
2015-01-12,4.10,4.11,4.04,4.07,29700,3.89294
2015-01-13,4.10,4.17,4.07,4.17,35000,3.98859
2015-01-14,4.15,4.16,4.09,4.15,60900,3.96946
2015-01-15,4.15,4.16,4.01,4.11,56700,3.9312
2015-01-16,4.16,4.19,4.12,4.13,52700,3.95033
2015-01-19,4.13,4.16,4.09,4.16,29200,3.97902
2015-01-20,4.18,4.18,4.11,4.11,64500,3.9312
2015-01-21,4.11,4.16,4.09,4.10,6900,3.92163
2015-01-22,4.15,4.15,4.07,4.07,44700,3.89294
2015-01-23,4.07,4.19,4.07,4.13,35900,3.95033
2015-01-26,4.13,4.13,4.13,4.13,000,3.95033
2015-01-27,4.13,4.25,4.13,4.22,54600,4.03641
2015-01-28,4.24,4.26,4.15,4.25,35800,4.06511
2015-01-29,4.25,4.25,4.06,4.10,56600,3.92163
2015-01-30,4.15,4.28,4.07,4.28,13500,4.0938
2015-02-02,4.19,4.19,4.13,4.19,33600,4.00772
2015-02-03,4.20,4.23,4.15,4.23,32300,4.04598
2015-02-04,4.29,4.29,4.00,4.20,41500,4.01728
2015-02-05,4.25,4.30,4.20,4.30,15800,4.11293
2015-02-06,4.30,4.34,4.26,4.29,7900,4.10337
2015-02-09,4.29,4.30,4.19,4.28,39300,4.0938
2015-02-10,4.22,4.31,4.22,4.30,116900,4.11293
2015-02-11,4.34,4.34,4.26,4.32,7600,4.13206
2015-02-12,4.32,4.33,4.29,4.29,5800,4.10337
2015-02-13,4.28,4.32,4.26,4.26,9900,4.07467
2015-02-16,4.30,4.32,4.23,4.24,14300,4.05554
2015-02-17,4.30,4.32,4.25,4.28,11400,4.0938
2015-02-18,4.26,4.29,4.23,4.27,9100,4.08424
2015-02-19,4.27,4.28,4.22,4.23,320000,4.04598
2015-02-20,4.25,4.30,4.20,4.22,196600,4.03641
2015-02-23,4.20,4.20,4.03,4.07,175400,3.89294
2015-02-24,4.10,4.12,4.10,4.11,554600,3.9312
2015-02-25,4.11,4.14,4.05,4.10,141700,3.92163
2015-02-26,4.10,4.15,4.09,4.11,22400,3.9312
2015-02-27,4.12,4.22,4.10,4.21,535000,4.02685
2015-03-02,4.25,4.42,4.21,4.30,19100,4.11293
2015-03-03,4.30,4.45,4.30,4.41,80100,4.21815
2015-03-04,4.40,4.45,4.30,4.30,64900,4.11293
2015-03-05,4.39,4.39,4.30,4.33,160600,4.14163
2015-03-06,4.30,4.38,4.30,4.35,17100,4.16076
2015-03-09,4.33,4.40,4.30,4.30,55000,4.11293
2015-03-10,4.33,4.37,4.32,4.34,22100,4.15119
2015-03-11,4.29,4.33,4.24,4.26,224100,4.07467
2015-03-12,4.27,4.41,4.27,4.35,31900,4.16076
2015-03-13,4.35,4.40,4.32,4.32,47300,4.13206
2015-03-16,4.37,4.37,4.18,4.32,36700,4.13206
2015-03-17,4.29,4.35,4.26,4.31,82000,4.19119
2015-03-18,4.26,4.27,4.22,4.25,59100,4.13284
2015-03-19,4.31,4.31,4.27,4.29,38100,4.17174
2015-03-20,4.33,4.35,4.30,4.32,95100,4.20091
2015-03-23,4.36,4.42,4.35,4.42,51500,4.29815
2015-03-24,4.42,4.44,4.39,4.42,44100,4.29815
2015-03-25,4.41,4.41,4.36,4.40,33200,4.27871
2015-03-26,4.38,4.43,4.37,4.43,52600,4.30788
2015-03-27,4.41,4.46,4.40,4.44,115700,4.3176
2015-03-30,4.43,4.45,4.41,4.44,48800,4.3176
2015-03-31,4.48,4.48,4.40,4.45,98000,4.32733
2015-04-01,4.43,4.48,4.41,4.48,22700,4.3565
