Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,6.05,6.05,6.05,6.05,000,5.8178
2015-01-02,6.05,6.10,6.01,6.08,616600,5.8467
2015-01-05,6.02,6.17,6.02,6.06,2221000,5.8274
2015-01-06,5.98,6.00,5.94,5.99,1977400,5.7601
2015-01-07,5.93,5.98,5.93,5.95,2729000,5.7217
2015-01-08,6.00,6.03,5.93,6.01,4829700,5.7794
2015-01-09,6.02,6.11,6.02,6.10,1626000,5.8659
2015-01-12,6.02,6.12,6.01,6.01,1591200,5.7794
2015-01-13,5.92,6.015,5.915,6.00,2721800,5.7697
2015-01-14,5.98,5.98,5.84,5.88,2880600,5.6544
2015-01-15,5.88,5.88,5.76,5.84,4806600,5.6159
2015-01-16,5.75,5.78,5.70,5.77,2523900,5.5486
2015-01-19,5.83,5.88,5.79,5.81,2436500,5.587
2015-01-20,5.75,5.82,5.74,5.82,1461400,5.5967
2015-01-21,5.87,5.91,5.81,5.89,1918400,5.664
2015-01-22,5.92,5.95,5.88,5.91,2343800,5.6832
2015-01-23,5.97,6.01,5.95,6.01,2355800,5.7794
2015-01-26,6.01,6.01,6.01,6.01,000,5.7794
2015-01-27,6.02,6.09,6.01,6.02,3253900,5.789
2015-01-28,6.03,6.07,6.00,6.04,1795800,5.8082
2015-01-29,6.00,6.09,5.995,6.05,2079600,5.8178
2015-01-30,6.09,6.095,6.03,6.03,5873000,5.7986
2015-02-02,6.00,6.02,5.96,5.98,2148500,5.7505
2015-02-03,6.00,6.02,5.93,6.00,5774700,5.7697
2015-02-04,6.10,6.10,6.02,6.09,6179800,5.8563
2015-02-05,6.06,6.12,6.06,6.06,3971200,5.8274
2015-02-06,6.11,6.16,6.09,6.12,2954600,5.8851
2015-02-09,6.10,6.13,6.04,6.13,3271700,5.8948
2015-02-10,6.20,6.23,6.16,6.19,3196200,5.9525
2015-02-11,6.25,6.33,6.22,6.25,3115600,6.0102
2015-02-12,6.26,6.31,6.20,6.21,3759000,5.9717
2015-02-13,6.30,6.45,6.27,6.40,5265800,6.1544
2015-02-16,6.42,6.47,6.38,6.41,2831400,6.164
2015-02-17,6.39,6.39,6.24,6.31,5721100,6.0679
2015-02-18,6.50,6.64,6.45,6.51,14399000,6.2602
2015-02-19,6.55,6.57,6.39,6.49,6823100,6.2409
2015-02-20,6.50,6.50,6.37,6.39,3466000,6.2584
2015-02-23,6.41,6.50,6.33,6.46,3067200,6.327
2015-02-24,6.43,6.57,6.42,6.50,3646200,6.3662
2015-02-25,6.52,6.575,6.49,6.52,3028000,6.3858
2015-02-26,6.51,6.52,6.37,6.49,2643400,6.3564
2015-02-27,6.49,6.525,6.46,6.48,3767000,6.3466
2015-03-02,6.40,6.51,6.38,6.40,3719400,6.2682
2015-03-03,6.49,6.51,6.38,6.44,6978300,6.3074
2015-03-04,6.41,6.42,6.26,6.29,7808200,6.1605
2015-03-05,6.29,6.36,6.25,6.33,5142000,6.1997
2015-03-06,6.33,6.38,6.29,6.32,2148700,6.1899
2015-03-09,6.31,6.31,6.21,6.25,2074100,6.1213
2015-03-10,6.22,6.32,6.22,6.26,6077600,6.1311
2015-03-11,6.20,6.37,6.18,6.32,3920400,6.1899
2015-03-12,6.36,6.51,6.35,6.45,3413700,6.3172
2015-03-13,6.52,6.54,6.40,6.45,2557700,6.3172
