Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.065,0.065,0.065,0.065,000,0.065
2015-01-02,0.066,0.066,0.06,0.06,35000,0.06
2015-01-05,0.065,0.065,0.06,0.06,176000,0.06
2015-01-06,0.06,0.06,0.06,0.06,000,0.06
2015-01-07,0.058,0.058,0.058,0.058,8500,0.058
2015-01-08,0.056,0.056,0.056,0.056,2300,0.056
2015-01-09,0.056,0.056,0.056,0.056,000,0.056
2015-01-12,0.056,0.056,0.056,0.056,000,0.056
2015-01-13,0.053,0.053,0.05,0.053,1061700,0.053
2015-01-14,0.053,0.053,0.053,0.053,000,0.053
2015-01-15,0.051,0.051,0.046,0.046,70000,0.046
2015-01-16,0.048,0.048,0.048,0.048,90000,0.048
2015-01-19,0.049,0.049,0.048,0.048,26600,0.048
2015-01-20,0.048,0.048,0.048,0.048,000,0.048
2015-01-21,0.047,0.047,0.047,0.047,210200,0.047
2015-01-22,0.047,0.047,0.047,0.047,000,0.047
2015-01-23,0.047,0.047,0.047,0.047,19900,0.047
2015-01-26,0.047,0.047,0.047,0.047,000,0.047
2015-01-27,0.048,0.048,0.047,0.047,290000,0.047
2015-01-28,0.047,0.047,0.047,0.047,000,0.047
2015-01-29,0.047,0.047,0.047,0.047,442000,0.047
2015-01-30,0.047,0.05,0.047,0.05,77200,0.05
2015-02-02,0.05,0.05,0.05,0.05,000,0.05
2015-02-03,0.047,0.047,0.047,0.047,137200,0.047
2015-02-04,0.046,0.046,0.046,0.046,116600,0.046
2015-02-05,0.046,0.046,0.045,0.045,360000,0.045
2015-02-06,0.046,0.046,0.046,0.046,38000,0.046
2015-02-09,0.046,0.046,0.045,0.045,168500,0.045
2015-02-10,0.045,0.045,0.041,0.041,70800,0.041
2015-02-11,0.041,0.041,0.041,0.041,000,0.041
2015-02-12,0.041,0.041,0.041,0.041,000,0.041
2015-02-13,0.033,0.033,0.032,0.033,70900,0.033
2015-02-16,0.032,0.034,0.03,0.03,558100,0.03
2015-02-17,0.03,0.03,0.03,0.03,500000,0.03
2015-02-18,0.03,0.03,0.03,0.03,93000,0.03
2015-02-19,0.03,0.03,0.03,0.03,14000,0.03
2015-02-20,0.034,0.034,0.03,0.03,572000,0.03
2015-02-23,0.03,0.03,0.03,0.03,000,0.03
2015-02-24,0.03,0.03,0.03,0.03,000,0.03
2015-02-25,0.03,0.03,0.024,0.03,520600,0.03
2015-02-26,0.03,0.03,0.03,0.03,000,0.03
2015-02-27,0.03,0.03,0.03,0.03,000,0.03
2015-03-02,0.026,0.026,0.026,0.026,100000,0.026
