Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.0252,0.0252,0.0252,0.0252,000,0.0252
2015-01-02,0.02427,0.02427,0.02427,0.02427,172100,0.02427
2015-01-05,0.02427,0.0252,0.02427,0.0252,440300,0.0252
2015-01-06,0.0252,0.0252,0.02427,0.02427,302200,0.02427
2015-01-07,0.02427,0.02427,0.02147,0.0224,2230700,0.0224
2015-01-08,0.0224,0.0224,0.02053,0.02053,1635600,0.02053
2015-01-09,0.02147,0.02147,0.02053,0.02147,319300,0.02147
2015-01-12,0.0224,0.02707,0.0224,0.02613,1354800,0.02613
2015-01-13,0.02613,0.02613,0.02427,0.02427,373900,0.02427
2015-01-14,0.02613,0.028,0.02613,0.02707,3306800,0.02707
2015-01-15,0.02707,0.028,0.02707,0.02707,1160800,0.02707
2015-01-16,0.02707,0.02707,0.02707,0.02707,172900,0.02707
2015-01-19,0.02707,0.028,0.02707,0.028,252600,0.028
2015-01-20,0.028,0.028,0.02707,0.028,1249100,0.028
2015-01-21,0.028,0.028,0.02707,0.02707,501200,0.02707
2015-01-22,0.02707,0.02707,0.02613,0.02613,329000,0.02613
2015-01-23,0.02613,0.02613,0.0252,0.0252,542500,0.0252
2015-01-26,0.0252,0.0252,0.0252,0.0252,000,0.0252
2015-01-27,0.0252,0.02613,0.0252,0.0252,387600,0.0252
2015-01-28,0.0252,0.02613,0.02427,0.02427,565000,0.02427
2015-01-29,0.0252,0.0252,0.02427,0.0252,153500,0.0252
2015-01-30,0.0252,0.0252,0.0252,0.0252,289000,0.0252
2015-02-02,0.0252,0.0252,0.02333,0.02333,1897300,0.02333
2015-02-03,0.02427,0.0252,0.02333,0.02427,773700,0.02427
2015-02-04,0.02427,0.02427,0.02333,0.02427,363100,0.02427
2015-02-05,0.02333,0.02333,0.02333,0.02333,180600,0.02333
2015-02-06,0.02333,0.02333,0.02333,0.02333,248500,0.02333
2015-02-09,0.0224,0.02333,0.0224,0.02333,1007600,0.02333
2015-02-10,0.02333,0.02333,0.02333,0.02333,000,0.02333
2015-02-11,0.02333,0.02333,0.02333,0.02333,285800,0.02333
2015-02-12,0.02333,0.02333,0.0224,0.0224,531000,0.0224
2015-02-13,0.0224,0.02427,0.0224,0.02333,278500,0.02333
2015-02-16,0.02333,0.02333,0.0224,0.0224,911100,0.0224
2015-02-17,0.0224,0.0224,0.02147,0.02147,1634600,0.02147
2015-02-18,0.02147,0.02147,0.02147,0.02147,283900,0.02147
2015-02-19,0.02147,0.0224,0.02147,0.0224,318900,0.0224
2015-02-20,0.02053,0.0224,0.02053,0.0224,154300,0.0224
2015-02-23,0.0224,0.0224,0.02053,0.02147,740700,0.02147
2015-02-24,0.0224,0.0224,0.02147,0.02147,225200,0.02147
2015-02-25,0.02147,0.02147,0.02053,0.02053,1043900,0.02053
2015-02-26,0.02053,0.02147,0.02053,0.02147,606200,0.02147
2015-02-27,0.0224,0.0224,0.02147,0.02147,572800,0.02147
2015-03-02,0.02147,0.02333,0.02053,0.02147,990300,0.02147
2015-03-03,0.0224,0.0224,0.02053,0.02147,184200,0.02147
2015-03-04,0.02147,0.02147,0.02053,0.02053,515900,0.02053
2015-03-05,0.02147,0.02147,0.02053,0.02053,262800,0.02053
2015-03-06,0.02053,0.02053,0.0196,0.0196,442500,0.0196
2015-03-09,0.0196,0.02053,0.0196,0.0196,659100,0.0196
2015-03-10,0.0196,0.0196,0.0168,0.01773,3618700,0.01773
2015-03-11,0.01773,0.01773,0.01773,0.01773,495200,0.01773
2015-03-12,0.01773,0.01773,0.0168,0.0168,519900,0.0168
2015-03-13,0.01773,0.01773,0.01773,0.01773,892000,0.01773
2015-03-16,0.0168,0.0168,0.0168,0.0168,185900,0.0168
2015-03-17,0.0168,0.0168,0.0168,0.0168,170000,0.0168
2015-03-18,0.0168,0.0168,0.0168,0.0168,246000,0.0168
2015-03-19,0.0168,0.0252,0.0168,0.02333,8644700,0.02333
2015-03-20,0.02333,0.02333,0.02147,0.0224,1830200,0.0224
2015-03-23,0.02333,0.02333,0.0224,0.0224,588800,0.0224
2015-03-24,0.0224,0.0224,0.02147,0.0224,430700,0.0224
2015-03-25,0.0224,0.0224,0.02053,0.02147,1884500,0.02147
2015-03-26,0.02053,0.0224,0.02053,0.0224,250000,0.0224
2015-03-27,0.02147,0.0224,0.02147,0.0224,727200,0.0224
2015-03-30,0.0224,0.0224,0.02147,0.0224,1199600,0.0224
2015-03-31,0.02053,0.02053,0.02053,0.02053,737200,0.02053
2015-04-01,0.02147,0.02147,0.02053,0.02053,52500,0.02053
2015-04-02,0.02053,0.02053,0.02053,0.02053,243800,0.02053
2015-04-03,0.02053,0.02053,0.02053,0.02053,000,0.02053
2015-04-06,0.02053,0.02053,0.02053,0.02053,000,0.02053
2015-04-07,0.0196,0.02053,0.0196,0.0196,210500,0.0196
2015-04-08,0.0196,0.0196,0.0196,0.0196,197200,0.0196
2015-04-09,0.02053,0.02053,0.0196,0.02053,535400,0.02053
2015-04-10,0.0196,0.0196,0.01867,0.01867,308300,0.01867
2015-04-13,0.01867,0.01867,0.01773,0.01773,1650600,0.01773
2015-04-14,0.01773,0.01867,0.01773,0.01867,1668000,0.01867
2015-04-15,0.01867,0.0196,0.01867,0.01867,1124500,0.01867
2015-04-16,0.02053,0.02147,0.02053,0.02053,591200,0.02053
2015-04-17,0.02053,0.02147,0.01867,0.01867,1024600,0.01867
2015-04-20,0.01867,0.02053,0.01867,0.02053,391700,0.02053
2015-04-21,0.02053,0.02053,0.0196,0.0196,25800,0.0196
2015-04-22,0.0196,0.02147,0.0196,0.02053,920900,0.02053
2015-04-23,0.02147,0.02147,0.02053,0.02053,333800,0.02053
2015-04-24,0.02147,0.02147,0.02053,0.02053,156300,0.02053
2015-04-27,0.02147,0.02147,0.02053,0.02053,1275500,0.02053
