Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.24,0.24,0.24,0.24,000,0.24
2015-01-02,0.245,0.25,0.245,0.25,101000,0.25
2015-01-05,0.25,0.25,0.245,0.25,33900,0.25
2015-01-06,0.25,0.25,0.25,0.25,342600,0.25
2015-01-07,0.25,0.27,0.25,0.27,61000,0.27
2015-01-08,0.27,0.27,0.245,0.255,67000,0.255
2015-01-09,0.25,0.25,0.25,0.25,60000,0.25
2015-01-12,0.25,0.255,0.25,0.25,122900,0.25
2015-01-13,0.25,0.26,0.24,0.255,245600,0.255
2015-01-14,0.25,0.25,0.245,0.25,489000,0.25
2015-01-15,0.25,0.25,0.245,0.245,375500,0.245
2015-01-16,0.25,0.255,0.25,0.25,91500,0.25
2015-01-19,0.255,0.29,0.255,0.28,956700,0.28
2015-01-20,0.28,0.285,0.265,0.285,782700,0.285
2015-01-21,0.285,0.285,0.275,0.285,357900,0.285
2015-01-22,0.275,0.28,0.275,0.28,106000,0.28
2015-01-23,0.28,0.28,0.27,0.27,437100,0.27
2015-01-26,0.27,0.27,0.27,0.27,000,0.27
2015-01-27,0.27,0.27,0.265,0.27,343200,0.27
2015-01-28,0.265,0.265,0.235,0.25,750100,0.25
2015-01-29,0.24,0.245,0.235,0.24,289600,0.24
2015-01-30,0.24,0.245,0.24,0.24,752300,0.24
2015-02-02,0.24,0.25,0.24,0.245,429400,0.245
2015-02-03,0.25,0.25,0.25,0.25,98200,0.25
2015-02-04,0.25,0.25,0.24,0.25,135300,0.25
2015-02-05,0.24,0.25,0.235,0.25,163100,0.25
2015-02-06,0.255,0.255,0.245,0.245,326200,0.245
2015-02-09,0.245,0.26,0.24,0.26,94900,0.26
2015-02-10,0.265,0.275,0.265,0.265,327800,0.265
2015-02-11,0.265,0.265,0.25,0.255,80500,0.255
2015-02-12,0.26,0.265,0.255,0.255,679100,0.255
2015-02-13,0.26,0.26,0.255,0.255,171000,0.255
2015-02-16,0.26,0.26,0.25,0.25,8357300,0.25
2015-02-17,0.255,0.26,0.25,0.25,738400,0.25
2015-02-18,0.25,0.26,0.25,0.26,722500,0.26
2015-02-19,0.255,0.26,0.252,0.255,358500,0.255
2015-02-20,0.255,0.255,0.255,0.255,66300,0.255
2015-02-23,0.255,0.255,0.25,0.255,308100,0.255
2015-02-24,0.255,0.255,0.252,0.255,246700,0.255
2015-02-25,0.26,0.265,0.26,0.26,545600,0.26
2015-02-26,0.265,0.265,0.26,0.26,227800,0.26
2015-02-27,0.26,0.26,0.257,0.26,190600,0.26
2015-03-02,0.27,0.275,0.27,0.27,208700,0.27
2015-03-03,0.265,0.28,0.265,0.275,335600,0.275
2015-03-04,0.265,0.27,0.265,0.27,114600,0.27
2015-03-05,0.27,0.275,0.27,0.275,80000,0.275
2015-03-06,0.275,0.275,0.27,0.27,290800,0.27
2015-03-09,0.265,0.265,0.265,0.265,58000,0.265
2015-03-10,0.265,0.265,0.265,0.265,55300,0.265
2015-03-11,0.265,0.265,0.26,0.262,158400,0.262
2015-03-12,0.26,0.265,0.26,0.265,391800,0.265
2015-03-13,0.265,0.265,0.26,0.265,37200,0.265
2015-03-16,0.265,0.265,0.26,0.26,484000,0.26
2015-03-17,0.26,0.26,0.255,0.26,116400,0.26
2015-03-18,0.26,0.26,0.26,0.26,14900,0.26
2015-03-19,0.265,0.27,0.25,0.27,314400,0.27
2015-03-20,0.27,0.27,0.26,0.265,20300,0.265
2015-03-23,0.265,0.265,0.265,0.265,75000,0.265
2015-03-24,0.265,0.27,0.265,0.265,112500,0.265
2015-03-25,0.26,0.26,0.25,0.26,264500,0.26
2015-03-26,0.26,0.265,0.26,0.26,55000,0.26
2015-03-27,0.27,0.275,0.265,0.275,91100,0.275
2015-03-30,0.265,0.265,0.26,0.26,166200,0.26
2015-03-31,0.255,0.265,0.255,0.265,74000,0.265
2015-04-01,0.25,0.25,0.25,0.25,7400,0.25
2015-04-02,0.25,0.26,0.25,0.25,58800,0.25
2015-04-03,0.25,0.25,0.25,0.25,000,0.25
2015-04-06,0.25,0.25,0.25,0.25,000,0.25
2015-04-07,0.25,0.25,0.25,0.25,13400,0.25
2015-04-08,0.25,0.25,0.235,0.235,222000,0.235
2015-04-09,0.24,0.25,0.24,0.24,122100,0.24
2015-04-10,0.24,0.25,0.24,0.25,37500,0.25
2015-04-13,0.25,0.25,0.25,0.25,110000,0.25
2015-04-14,0.255,0.255,0.255,0.255,700,0.255
2015-04-15,0.255,0.27,0.255,0.26,230000,0.26
2015-04-16,0.26,0.27,0.26,0.265,119200,0.265
2015-04-17,0.255,0.255,0.25,0.255,57400,0.255
2015-04-20,0.25,0.25,0.245,0.245,87000,0.245
2015-04-21,0.25,0.255,0.25,0.255,162200,0.255
2015-04-22,0.25,0.25,0.245,0.245,13000,0.245
2015-04-23,0.245,0.265,0.245,0.265,38300,0.265
2015-04-24,0.26,0.26,0.255,0.255,173900,0.255
2015-04-27,0.255,0.26,0.255,0.26,83000,0.26
2015-04-28,0.26,0.265,0.26,0.26,235700,0.26
2015-04-29,0.26,0.26,0.24,0.25,333300,0.25
2015-04-30,0.25,0.25,0.245,0.25,211300,0.25
2015-05-01,0.25,0.255,0.245,0.255,96100,0.255
2015-05-04,0.25,0.255,0.25,0.25,109900,0.25
2015-05-05,0.25,0.25,0.24,0.245,420000,0.245
2015-05-06,0.245,0.245,0.235,0.24,28000,0.24
2015-05-07,0.245,0.245,0.235,0.245,35200,0.245
2015-05-08,0.24,0.25,0.225,0.25,307700,0.25
2015-05-11,0.235,0.255,0.23,0.245,4527000,0.245
2015-05-12,0.25,0.255,0.25,0.255,122900,0.255
2015-05-13,0.255,0.255,0.255,0.255,000,0.255
2015-05-14,0.245,0.26,0.245,0.26,331000,0.26
2015-05-15,0.255,0.26,0.25,0.26,412200,0.26
2015-05-18,0.26,0.26,0.25,0.25,40200,0.25
2015-05-19,0.255,0.255,0.25,0.255,362000,0.255
2015-05-20,0.255,0.255,0.25,0.25,410600,0.25
2015-05-21,0.25,0.255,0.25,0.255,164700,0.255
2015-05-22,0.255,0.255,0.25,0.25,279700,0.25
2015-05-25,0.25,0.255,0.25,0.25,744200,0.25
2015-05-26,0.25,0.26,0.245,0.26,213600,0.26
2015-05-27,0.255,0.26,0.245,0.26,863200,0.26
2015-05-28,0.255,0.255,0.255,0.255,100000,0.255
2015-05-29,0.255,0.255,0.25,0.255,241700,0.255
2015-06-01,0.255,0.255,0.24,0.245,344200,0.245
2015-06-02,0.245,0.245,0.24,0.24,24300,0.24
2015-06-03,0.235,0.24,0.235,0.235,130400,0.235
2015-06-04,0.24,0.25,0.24,0.25,198000,0.25
2015-06-05,0.245,0.245,0.235,0.24,143000,0.24
2015-06-08,0.24,0.24,0.24,0.24,000,0.24
2015-06-09,0.24,0.24,0.235,0.24,323300,0.24
2015-06-10,0.235,0.24,0.235,0.235,113700,0.235
2015-06-11,0.235,0.24,0.235,0.24,24400,0.24
2015-06-12,0.24,0.24,0.24,0.24,307800,0.24
2015-06-15,0.235,0.235,0.23,0.23,49200,0.23
2015-06-16,0.232,0.232,0.225,0.225,157300,0.225
2015-06-17,0.227,0.23,0.22,0.23,248200,0.23
2015-06-18,0.23,0.23,0.225,0.23,452100,0.23
2015-06-19,0.23,0.23,0.22,0.23,366600,0.23
2015-06-22,0.22,0.225,0.22,0.225,96000,0.225
2015-06-23,0.225,0.225,0.215,0.215,893900,0.215
2015-06-24,0.215,0.215,0.20,0.21,741400,0.21
2015-06-25,0.215,0.22,0.215,0.215,159400,0.215
2015-06-26,0.215,0.215,0.215,0.215,000,0.215
2015-06-29,0.215,0.215,0.215,0.215,000,0.215
2015-06-30,0.215,0.215,0.215,0.215,000,0.215
2015-07-01,0.215,0.215,0.215,0.215,000,0.215
