Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.14,0.14,0.14,0.14,000,0.14
2015-01-02,0.14,0.14,0.14,0.14,000,0.14
2015-01-05,0.14,0.14,0.14,0.14,000,0.14
2015-01-06,0.14,0.14,0.14,0.14,000,0.14
2015-01-07,0.14,0.14,0.14,0.14,000,0.14
2015-01-08,0.14,0.14,0.14,0.14,000,0.14
2015-01-09,0.14,0.14,0.14,0.14,000,0.14
2015-01-12,0.14,0.14,0.14,0.14,000,0.14
2015-01-13,0.14,0.14,0.14,0.14,000,0.14
2015-01-14,0.14,0.14,0.14,0.14,000,0.14
2015-01-15,0.12,0.14,0.12,0.14,47500,0.14
2015-01-16,0.14,0.14,0.14,0.14,21200,0.14
2015-01-19,0.14,0.14,0.14,0.14,000,0.14
2015-01-20,0.14,0.14,0.14,0.14,000,0.14
2015-01-21,0.14,0.14,0.14,0.14,000,0.14
2015-01-22,0.14,0.14,0.14,0.14,000,0.14
2015-01-23,0.14,0.14,0.14,0.14,12500,0.14
2015-01-26,0.14,0.14,0.14,0.14,000,0.14
2015-01-27,0.14,0.14,0.14,0.14,000,0.14
2015-01-28,0.14,0.14,0.14,0.14,000,0.14
2015-01-29,0.14,0.14,0.14,0.14,000,0.14
2015-01-30,0.14,0.14,0.14,0.14,000,0.14
2015-02-02,0.14,0.14,0.14,0.14,000,0.14
2015-02-03,0.14,0.14,0.14,0.14,000,0.14
2015-02-04,0.14,0.14,0.14,0.14,000,0.14
2015-02-05,0.14,0.14,0.14,0.14,000,0.14
2015-02-06,0.14,0.14,0.14,0.14,000,0.14
2015-02-09,0.14,0.14,0.14,0.14,000,0.14
2015-02-10,0.14,0.14,0.14,0.14,000,0.14
2015-02-11,0.14,0.14,0.14,0.14,000,0.14
2015-02-12,0.14,0.14,0.14,0.14,000,0.14
2015-02-13,0.14,0.14,0.14,0.14,000,0.14
2015-02-16,0.11,0.13,0.11,0.13,180400,0.13
2015-02-17,0.13,0.13,0.13,0.13,000,0.13
2015-02-18,0.13,0.13,0.13,0.13,000,0.13
2015-02-19,0.13,0.13,0.13,0.13,000,0.13
2015-02-20,0.13,0.13,0.13,0.13,000,0.13
2015-02-23,0.13,0.13,0.13,0.13,000,0.13
2015-02-24,0.11,0.11,0.11,0.11,24300,0.11
2015-02-25,0.11,0.11,0.11,0.11,000,0.11
2015-02-26,0.13,0.13,0.13,0.13,100000,0.13
2015-02-27,0.13,0.13,0.13,0.13,4300,0.13
2015-03-02,0.13,0.13,0.13,0.13,000,0.13
2015-03-03,0.13,0.13,0.13,0.13,000,0.13
