Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.20,0.20,0.20,0.20,000,0.20
2015-01-02,0.20,0.20,0.20,0.20,000,0.20
2015-01-05,0.20,0.20,0.20,0.20,000,0.20
2015-01-06,0.20,0.20,0.20,0.20,000,0.20
2015-01-07,0.20,0.20,0.20,0.20,000,0.20
2015-01-08,0.20,0.20,0.20,0.20,000,0.20
2015-01-09,0.20,0.20,0.20,0.20,000,0.20
2015-01-12,0.20,0.20,0.20,0.20,000,0.20
2015-01-13,0.20,0.20,0.20,0.20,000,0.20
2015-01-14,0.20,0.20,0.20,0.20,000,0.20
2015-01-15,0.20,0.20,0.20,0.20,000,0.20
2015-01-16,0.20,0.20,0.20,0.20,000,0.20
2015-01-19,0.20,0.20,0.20,0.20,000,0.20
2015-01-20,0.20,0.20,0.20,0.20,000,0.20
2015-01-21,0.20,0.20,0.20,0.20,000,0.20
2015-01-22,0.20,0.20,0.20,0.20,000,0.20
2015-01-23,0.20,0.20,0.20,0.20,000,0.20
2015-01-26,0.20,0.20,0.20,0.20,000,0.20
2015-01-27,0.20,0.20,0.20,0.20,000,0.20
2015-01-28,0.20,0.20,0.20,0.20,000,0.20
2015-01-29,0.20,0.20,0.20,0.20,000,0.20
2015-01-30,0.20,0.20,0.20,0.20,000,0.20
2015-02-02,0.20,0.20,0.20,0.20,000,0.20
2015-02-03,0.20,0.20,0.20,0.20,000,0.20
2015-02-04,0.20,0.20,0.20,0.20,000,0.20
2015-02-05,0.20,0.20,0.20,0.20,000,0.20
2015-02-06,0.20,0.20,0.20,0.20,000,0.20
2015-02-09,0.20,0.20,0.20,0.20,000,0.20
2015-02-10,0.20,0.20,0.20,0.20,000,0.20
2015-02-11,0.20,0.20,0.20,0.20,000,0.20
2015-02-12,0.14,0.14,0.14,0.14,3500,0.14
2015-02-13,0.14,0.14,0.14,0.14,000,0.14
2015-02-16,0.14,0.14,0.14,0.14,000,0.14
2015-02-17,0.14,0.14,0.14,0.14,000,0.14
2015-02-18,0.14,0.14,0.14,0.14,000,0.14
2015-02-19,0.14,0.14,0.14,0.14,000,0.14
2015-02-20,0.14,0.19,0.14,0.19,6500,0.19
2015-02-23,0.19,0.19,0.19,0.19,000,0.19
2015-02-24,0.19,0.19,0.19,0.19,000,0.19
2015-02-25,0.19,0.19,0.19,0.19,000,0.19
2015-02-26,0.19,0.19,0.19,0.19,000,0.19
2015-02-27,0.19,0.19,0.19,0.19,000,0.19
2015-03-02,0.19,0.19,0.19,0.19,000,0.19
2015-03-03,0.19,0.19,0.19,0.19,000,0.19
2015-03-04,0.19,0.19,0.19,0.19,000,0.19
2015-03-05,0.19,0.19,0.19,0.19,000,0.19
2015-03-06,0.19,0.19,0.19,0.19,000,0.19
2015-03-09,0.19,0.19,0.19,0.19,000,0.19
2015-03-10,0.19,0.19,0.19,0.19,000,0.19
2015-03-11,0.19,0.19,0.19,0.19,000,0.19
2015-03-12,0.19,0.19,0.19,0.19,000,0.19
2015-03-13,0.19,0.19,0.19,0.19,000,0.19
2015-03-16,0.19,0.19,0.19,0.19,000,0.19
2015-03-17,0.19,0.19,0.19,0.19,000,0.19
2015-03-18,0.19,0.19,0.19,0.19,000,0.19
2015-03-19,0.19,0.19,0.19,0.19,000,0.19
2015-03-20,0.19,0.19,0.19,0.19,000,0.19
2015-03-23,0.19,0.19,0.19,0.19,000,0.19
2015-03-24,0.16,0.16,0.16,0.16,1595000,0.16
2015-03-25,0.16,0.16,0.16,0.16,000,0.16
2015-03-26,0.16,0.16,0.16,0.16,000,0.16
2015-03-27,0.16,0.16,0.16,0.16,000,0.16
2015-03-30,0.15,0.15,0.15,0.15,79100,0.15
2015-03-31,0.15,0.15,0.15,0.15,000,0.15
2015-04-01,0.15,0.15,0.15,0.15,000,0.15
2015-04-02,0.15,0.15,0.15,0.15,000,0.15
2015-04-03,0.15,0.15,0.15,0.15,000,0.15
2015-04-06,0.15,0.15,0.15,0.15,000,0.15
2015-04-07,0.15,0.15,0.15,0.15,000,0.15
2015-04-08,0.14,0.14,0.14,0.14,3100,0.14
2015-04-09,0.14,0.14,0.14,0.14,000,0.14
2015-04-10,0.14,0.14,0.14,0.14,000,0.14
2015-04-13,0.14,0.14,0.14,0.14,000,0.14
2015-04-14,0.14,0.14,0.14,0.14,000,0.14
2015-04-15,0.14,0.14,0.14,0.14,000,0.14
2015-04-16,0.14,0.14,0.14,0.14,000,0.14
2015-04-17,0.14,0.14,0.14,0.14,000,0.14
2015-04-20,0.14,0.14,0.14,0.14,000,0.14
2015-04-21,0.14,0.14,0.14,0.14,5000,0.14
2015-04-22,0.14,0.14,0.14,0.14,000,0.14
2015-04-23,0.14,0.14,0.14,0.14,000,0.14
2015-04-24,0.14,0.14,0.14,0.14,000,0.14
2015-04-27,0.14,0.14,0.14,0.14,000,0.14
2015-04-28,0.14,0.14,0.14,0.14,000,0.14
2015-04-29,0.14,0.14,0.14,0.14,000,0.14
2015-04-30,0.14,0.14,0.14,0.14,000,0.14
2015-05-01,0.14,0.14,0.14,0.14,000,0.14
2015-05-04,0.14,0.14,0.14,0.14,000,0.14
2015-05-05,0.145,0.15,0.145,0.15,12500,0.15
2015-05-06,0.15,0.15,0.15,0.15,5000,0.15
2015-05-07,0.15,0.15,0.15,0.15,000,0.15
2015-05-08,0.15,0.15,0.15,0.15,000,0.15
2015-05-11,0.15,0.15,0.15,0.15,000,0.15
2015-05-12,0.15,0.15,0.15,0.15,000,0.15
2015-05-13,0.15,0.15,0.15,0.15,000,0.15
2015-05-14,0.15,0.15,0.15,0.15,000,0.15
2015-05-15,0.15,0.15,0.15,0.15,000,0.15
2015-05-18,0.15,0.15,0.15,0.15,2000,0.15
2015-05-19,0.15,0.15,0.15,0.15,000,0.15
2015-05-20,0.15,0.15,0.15,0.15,000,0.15
2015-05-21,0.15,0.15,0.15,0.15,000,0.15
2015-05-22,0.15,0.15,0.15,0.15,2000,0.15
2015-05-25,0.15,0.15,0.15,0.15,000,0.15
2015-05-26,0.15,0.15,0.15,0.15,000,0.15
2015-05-27,0.15,0.15,0.15,0.15,000,0.15
2015-05-28,0.15,0.15,0.15,0.15,000,0.15
2015-05-29,0.15,0.15,0.15,0.15,000,0.15
2015-06-01,0.15,0.15,0.15,0.15,000,0.15
2015-06-02,0.15,0.15,0.15,0.15,000,0.15
2015-06-03,0.15,0.15,0.15,0.15,7000,0.15
2015-06-04,0.15,0.15,0.15,0.15,000,0.15
2015-06-05,0.15,0.15,0.15,0.15,000,0.15
2015-06-08,0.15,0.15,0.15,0.15,000,0.15
2015-06-09,0.15,0.15,0.15,0.15,000,0.15
2015-06-10,0.15,0.15,0.15,0.15,000,0.15
2015-06-11,0.15,0.15,0.15,0.15,000,0.15
2015-06-12,0.15,0.15,0.15,0.15,000,0.15
2015-06-15,0.135,0.135,0.135,0.135,3000,0.135
2015-06-16,0.135,0.135,0.135,0.135,000,0.135
