Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.008,0.008,0.008,0.008,000,0.08
2015-01-02,0.008,0.009,0.008,0.009,26000,0.09
2015-01-05,0.009,0.009,0.009,0.009,000,0.09
2015-01-06,0.009,0.01,0.009,0.009,102700,0.09
2015-01-07,0.008,0.009,0.008,0.009,27000,0.09
2015-01-08,0.008,0.008,0.008,0.008,47700,0.08
2015-01-09,0.008,0.008,0.008,0.008,000,0.08
2015-01-12,0.008,0.008,0.008,0.008,26800,0.08
2015-01-13,0.008,0.008,0.008,0.008,10000,0.08
2015-01-14,0.007,0.007,0.006,0.007,144300,0.07
2015-01-15,0.007,0.007,0.007,0.007,77200,0.07
2015-01-16,0.007,0.007,0.007,0.007,000,0.07
2015-01-19,0.007,0.007,0.007,0.007,130500,0.07
2015-01-20,0.007,0.007,0.007,0.007,8800,0.07
2015-01-21,0.007,0.007,0.007,0.007,48300,0.07
2015-01-22,0.008,0.008,0.007,0.007,3200,0.07
2015-01-23,0.008,0.008,0.007,0.008,42300,0.08
2015-01-26,0.008,0.008,0.008,0.008,000,0.08
2015-01-27,0.008,0.009,0.008,0.008,87500,0.08
2015-01-28,0.007,0.01,0.007,0.01,151300,0.10
2015-01-29,0.01,0.01,0.01,0.01,000,0.10
2015-01-30,0.01,0.01,0.008,0.008,146500,0.08
2015-02-02,0.007,0.007,0.007,0.007,21200,0.07
2015-02-03,0.008,0.009,0.008,0.008,95800,0.08
2015-02-04,0.008,0.008,0.008,0.008,14700,0.08
2015-02-05,0.008,0.009,0.008,0.009,73600,0.09
2015-02-06,0.008,0.009,0.008,0.009,204800,0.09
2015-02-09,0.009,0.01,0.009,0.01,35800,0.10
2015-02-10,0.008,0.01,0.008,0.01,162200,0.10
2015-02-11,0.01,0.01,0.01,0.01,000,0.10
2015-02-12,0.01,0.01,0.01,0.01,000,0.10
2015-02-13,0.01,0.012,0.009,0.01,1079300,0.10
2015-02-16,0.01,0.01,0.009,0.009,102300,0.09
2015-02-17,0.009,0.009,0.008,0.008,407100,0.08
2015-02-18,0.008,0.008,0.008,0.008,217300,0.08
2015-02-19,0.008,0.008,0.008,0.008,120000,0.08
2015-02-20,0.007,0.008,0.007,0.008,50800,0.08
2015-02-23,0.008,0.008,0.008,0.008,000,0.08
2015-02-24,0.009,0.009,0.008,0.008,215800,0.08
2015-02-25,0.008,0.009,0.008,0.009,211600,0.09
2015-02-26,0.009,0.009,0.009,0.009,177800,0.09
2015-02-27,0.008,0.01,0.008,0.01,715300,0.10
2015-03-02,0.011,0.012,0.01,0.011,672700,0.11
2015-03-03,0.011,0.013,0.011,0.013,1198600,0.13
2015-03-04,0.014,0.014,0.013,0.013,615100,0.13
2015-03-05,0.012,0.012,0.01,0.01,427500,0.10
2015-03-06,0.011,0.012,0.011,0.012,319100,0.12
2015-03-09,0.011,0.012,0.011,0.011,228300,0.11
2015-03-10,0.012,0.012,0.012,0.012,47200,0.12
2015-03-11,0.011,0.012,0.011,0.012,30000,0.12
2015-03-12,0.012,0.012,0.01,0.012,1000400,0.12
2015-03-13,0.011,0.012,0.011,0.012,84500,0.12
2015-03-16,0.011,0.011,0.011,0.011,40000,0.11
2015-03-17,0.01,0.01,0.01,0.01,233600,0.10
2015-03-18,0.01,0.01,0.009,0.01,231400,0.10
2015-03-19,0.01,0.01,0.01,0.01,000,0.10
2015-03-20,0.01,0.01,0.01,0.01,44600,0.10
2015-03-23,0.01,0.01,0.01,0.01,596200,0.10
2015-03-24,0.01,0.011,0.01,0.01,293300,0.10
2015-03-25,0.01,0.01,0.01,0.01,000,0.10
2015-03-26,0.01,0.01,0.01,0.01,11100,0.10
2015-03-27,0.011,0.011,0.011,0.011,18000,0.11
2015-03-30,0.011,0.011,0.011,0.011,333400,0.11
2015-03-31,0.011,0.011,0.01,0.01,159700,0.10
2015-04-01,0.01,0.011,0.009,0.011,108800,0.11
2015-04-02,0.011,0.011,0.011,0.011,10000,0.11
2015-04-03,0.011,0.011,0.011,0.011,000,0.11
2015-04-06,0.011,0.011,0.011,0.011,000,0.11
2015-04-07,0.011,0.011,0.011,0.011,18100,0.11
2015-04-08,0.011,0.011,0.011,0.011,90900,0.11
2015-04-09,0.01,0.01,0.01,0.01,145700,0.10
2015-04-10,0.009,0.011,0.009,0.011,195000,0.11
2015-04-13,0.011,0.011,0.011,0.011,57200,0.11
2015-04-14,0.011,0.011,0.01,0.01,55100,0.10
2015-04-15,0.01,0.01,0.01,0.01,700,0.10
2015-04-16,0.011,0.011,0.011,0.011,242000,0.11
2015-04-17,0.011,0.011,0.011,0.011,74800,0.11
2015-04-20,0.11,0.11,0.11,0.11,30500,1.10
2015-04-21,0.11,0.12,0.11,0.11,127900,1.10
2015-04-22,0.11,0.11,0.11,0.11,000,1.10
2015-04-23,0.11,0.11,0.10,0.10,25000,1.00
2015-04-24,0.10,0.10,0.09,0.10,258500,1.00
2015-04-27,0.10,0.10,0.10,0.10,20000,1.00
2015-04-28,0.09,0.10,0.09,0.10,98000,1.00
2015-04-29,0.09,0.10,0.09,0.10,94400,1.00
2015-04-30,0.10,0.10,0.10,0.10,000,1.00
2015-05-01,0.10,0.10,0.10,0.10,67200,1.00
2015-05-04,0.10,0.10,0.10,0.10,000,0.10
2015-05-05,0.10,0.10,0.10,0.10,000,0.10
2015-05-06,0.10,0.10,0.10,0.10,000,0.10
2015-05-07,0.10,0.10,0.10,0.10,000,0.10
2015-05-08,0.10,0.10,0.10,0.10,000,0.10
2015-05-11,0.105,0.105,0.10,0.10,50000,0.10
2015-05-12,0.10,0.10,0.10,0.10,000,0.10
2015-05-13,0.10,0.10,0.10,0.10,000,0.10
2015-05-14,0.10,0.10,0.092,0.092,43400,0.092
2015-05-15,0.092,0.092,0.092,0.092,000,0.092
2015-05-18,0.092,0.092,0.088,0.088,176500,0.088
2015-05-19,0.085,0.091,0.084,0.084,142000,0.084
2015-05-20,0.091,0.091,0.086,0.086,60000,0.086
2015-05-21,0.085,0.09,0.084,0.09,62500,0.09
2015-05-22,0.084,0.09,0.084,0.09,20300,0.09
2015-05-25,0.09,0.091,0.09,0.091,2000,0.091
2015-05-26,0.091,0.091,0.091,0.091,10000,0.091
2015-05-27,0.091,0.091,0.091,0.091,5500,0.091
2015-05-28,0.09,0.09,0.053,0.06,1005000,0.06
2015-05-29,0.059,0.079,0.058,0.068,564100,0.068
2015-06-01,0.075,0.075,0.074,0.075,140000,0.075
2015-06-02,0.075,0.075,0.075,0.075,000,0.075
2015-06-03,0.07,0.075,0.07,0.075,32900,0.075
2015-06-04,0.075,0.075,0.075,0.075,000,0.075
2015-06-05,0.068,0.068,0.062,0.062,12100,0.062
2015-06-08,0.062,0.062,0.062,0.062,000,0.062
2015-06-09,0.072,0.075,0.055,0.058,692600,0.058
2015-06-10,0.057,0.057,0.052,0.057,619200,0.057
2015-06-11,0.053,0.053,0.044,0.046,1947100,0.046
2015-06-12,0.045,0.045,0.042,0.043,766200,0.043
2015-06-15,0.042,0.042,0.038,0.04,456100,0.04
2015-06-16,0.036,0.037,0.036,0.037,239700,0.037
2015-06-17,0.037,0.039,0.036,0.039,284900,0.039
2015-06-18,0.04,0.04,0.037,0.037,188500,0.037
2015-06-19,0.037,0.037,0.035,0.035,295900,0.035
2015-06-22,0.035,0.035,0.035,0.035,000,0.035
