Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.014,0.014,0.014,0.014,000,0.014
2015-01-02,0.014,0.014,0.014,0.014,000,0.014
2015-01-05,0.014,0.014,0.013,0.014,1735700,0.014
2015-01-06,0.014,0.014,0.014,0.014,300000,0.014
2015-01-07,0.014,0.014,0.014,0.014,000,0.014
2015-01-08,0.013,0.013,0.013,0.013,270000,0.013
2015-01-09,0.014,0.014,0.014,0.014,6600,0.014
2015-01-12,0.013,0.013,0.013,0.013,926900,0.013
2015-01-13,0.013,0.013,0.013,0.013,000,0.013
2015-01-14,0.013,0.013,0.013,0.013,100000,0.013
2015-01-15,0.013,0.013,0.013,0.013,201500,0.013
2015-01-16,0.013,0.013,0.013,0.013,000,0.013
2015-01-19,0.013,0.013,0.012,0.013,1616600,0.013
2015-01-20,0.013,0.013,0.013,0.013,000,0.013
2015-01-21,0.013,0.013,0.013,0.013,000,0.013
2015-01-22,0.013,0.013,0.013,0.013,000,0.013
2015-01-23,0.014,0.014,0.013,0.013,823300,0.013
2015-01-26,0.013,0.013,0.013,0.013,000,0.013
2015-01-27,0.012,0.012,0.011,0.012,1383000,0.012
2015-01-28,0.012,0.012,0.012,0.012,77600,0.012
2015-01-29,0.012,0.012,0.012,0.012,000,0.012
2015-01-30,0.012,0.014,0.012,0.013,1040000,0.013
2015-02-02,0.012,0.012,0.011,0.012,1021600,0.012
2015-02-03,0.013,0.013,0.013,0.013,302000,0.013
2015-02-04,0.013,0.013,0.013,0.013,000,0.013
2015-02-05,0.013,0.013,0.013,0.013,000,0.013
2015-02-06,0.012,0.012,0.012,0.012,580000,0.012
2015-02-09,0.012,0.014,0.011,0.011,2293200,0.011
2015-02-10,0.012,0.012,0.012,0.012,270700,0.012
2015-02-11,0.012,0.012,0.012,0.012,323800,0.012
2015-02-12,0.012,0.012,0.012,0.012,000,0.012
2015-02-13,0.012,0.012,0.012,0.012,182000,0.012
2015-02-16,0.012,0.012,0.012,0.012,000,0.012
2015-02-17,0.012,0.012,0.012,0.012,1204700,0.012
2015-02-18,0.011,0.011,0.011,0.011,1249000,0.011
2015-02-19,0.012,0.012,0.011,0.011,243200,0.011
2015-02-20,0.011,0.011,0.011,0.011,000,0.011
2015-02-23,0.011,0.011,0.011,0.011,000,0.011
2015-02-24,0.012,0.012,0.011,0.011,1600000,0.011
2015-02-25,0.011,0.011,0.011,0.011,138300,0.011
2015-02-26,0.011,0.011,0.011,0.011,000,0.011
2015-02-27,0.011,0.011,0.01,0.01,2028400,0.01
2015-03-02,0.011,0.012,0.01,0.012,1100000,0.012
2015-03-03,0.011,0.011,0.011,0.011,30000,0.011
2015-03-04,0.011,0.011,0.01,0.01,1050000,0.01
2015-03-05,0.01,0.011,0.01,0.011,1033200,0.011
2015-03-06,0.011,0.011,0.01,0.01,1000000,0.01
2015-03-09,0.01,0.011,0.01,0.011,1450000,0.011
2015-03-10,0.01,0.01,0.01,0.01,1959500,0.01
2015-03-11,0.01,0.01,0.009,0.009,808000,0.009
2015-03-12,0.01,0.01,0.01,0.01,740700,0.01
2015-03-13,0.01,0.01,0.01,0.01,000,0.01
2015-03-16,0.009,0.009,0.009,0.009,1092800,0.009
2015-03-17,0.009,0.01,0.008,0.008,2047800,0.008
2015-03-18,0.009,0.01,0.008,0.009,2381300,0.009
2015-03-19,0.009,0.009,0.009,0.009,700000,0.009
2015-03-20,0.009,0.009,0.009,0.009,000,0.009
2015-03-23,0.009,0.009,0.009,0.009,214500,0.009
2015-03-24,0.009,0.009,0.009,0.009,232500,0.009
2015-03-25,0.008,0.008,0.008,0.008,1894100,0.008
2015-03-26,0.008,0.008,0.008,0.008,2058400,0.008
2015-03-27,0.008,0.008,0.008,0.008,250000,0.008
2015-03-30,0.008,0.008,0.008,0.008,155000,0.008
2015-03-31,0.008,0.008,0.007,0.007,2778400,0.007
2015-04-01,0.008,0.009,0.008,0.009,2048500,0.009
2015-04-02,0.009,0.01,0.009,0.009,769400,0.009
2015-04-03,0.009,0.009,0.009,0.009,000,0.009
2015-04-06,0.009,0.009,0.009,0.009,000,0.009
2015-04-07,0.009,0.009,0.009,0.009,500000,0.009
2015-04-08,0.01,0.01,0.009,0.009,671900,0.009
2015-04-09,0.009,0.009,0.009,0.009,10000,0.009
2015-04-10,0.009,0.009,0.009,0.009,000,0.009
2015-04-13,0.01,0.01,0.01,0.01,300000,0.01
2015-04-14,0.01,0.01,0.009,0.009,431100,0.009
2015-04-15,0.009,0.009,0.009,0.009,330600,0.009
2015-04-16,0.008,0.009,0.008,0.009,285300,0.009
2015-04-17,0.01,0.01,0.009,0.009,543300,0.009
2015-04-20,0.009,0.009,0.009,0.009,650000,0.009
2015-04-21,0.009,0.009,0.009,0.009,000,0.009
2015-04-22,0.008,0.009,0.008,0.009,455000,0.009
2015-04-23,0.009,0.01,0.009,0.01,1000000,0.01
2015-04-24,0.01,0.01,0.009,0.009,598500,0.009
2015-04-27,0.01,0.01,0.009,0.009,2241500,0.009
2015-04-28,0.008,0.009,0.008,0.009,601300,0.009
2015-04-29,0.009,0.009,0.009,0.009,000,0.009
2015-04-30,0.009,0.009,0.009,0.009,1147400,0.009
2015-05-01,0.009,0.009,0.009,0.009,000,0.009
2015-05-04,0.008,0.008,0.008,0.008,100000,0.008
2015-05-05,0.008,0.008,0.008,0.008,69000,0.008
2015-05-06,0.008,0.008,0.008,0.008,2069000,0.008
2015-05-07,0.009,0.009,0.009,0.009,150000,0.009
2015-05-08,0.008,0.008,0.008,0.008,400000,0.008
2015-05-11,0.008,0.008,0.008,0.008,217100,0.008
