Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.86,0.86,0.86,0.86,000,0.82974
2015-01-02,0.86,0.8625,0.84,0.84,189400,0.81045
2015-01-05,0.84,0.87,0.835,0.85,74400,0.8201
2015-01-06,0.84,0.85,0.805,0.82,369100,0.79115
2015-01-07,0.82,0.82,0.805,0.805,289600,0.77668
2015-01-08,0.805,0.845,0.805,0.815,258300,0.78633
2015-01-09,0.82,0.85,0.82,0.82,104900,0.79115
2015-01-12,0.83,0.845,0.82,0.845,443000,0.81527
2015-01-13,0.84,0.84,0.81,0.815,245600,0.78633
2015-01-14,0.845,0.88,0.84,0.84,1910600,0.81045
2015-01-15,0.85,0.865,0.845,0.855,807400,0.82492
2015-01-16,0.86,0.86,0.83,0.83,869600,0.8008
2015-01-19,0.86,0.86,0.84,0.85,249000,0.8201
2015-01-20,0.85,0.86,0.84,0.845,405400,0.81527
2015-01-21,0.86,0.86,0.84,0.84,554200,0.81045
2015-01-22,0.85,0.855,0.845,0.845,322600,0.81527
2015-01-23,0.85,0.87,0.845,0.85,472300,0.8201
2015-01-26,0.85,0.85,0.85,0.85,000,0.8201
2015-01-27,0.86,0.88,0.852,0.875,749800,0.84422
2015-01-28,0.88,0.895,0.86,0.865,661100,0.83457
2015-01-29,0.89,0.92,0.855,0.915,1251900,0.88281
2015-01-30,0.915,0.92,0.88,0.91,1557100,0.87798
2015-02-02,0.91,0.94,0.90,0.925,1320900,0.89246
2015-02-03,0.925,0.995,0.925,0.99,1854000,0.95517
2015-02-04,1.00,1.045,1.00,1.035,1661400,0.99859
2015-02-05,1.03,1.03,1.01,1.02,498200,0.98411
2015-02-06,1.02,1.025,1.005,1.01,513100,0.97447
2015-02-09,1.01,1.06,1.007,1.06,953100,1.02271
2015-02-10,1.085,1.14,1.075,1.095,1698300,1.05648
2015-02-11,1.105,1.135,1.075,1.085,1096900,1.04683
2015-02-12,1.09,1.12,1.085,1.11,961200,1.07095
2015-02-13,1.115,1.13,1.11,1.13,446200,1.09024
2015-02-16,1.13,1.165,1.115,1.13,689700,1.09024
2015-02-17,1.13,1.145,1.12,1.13,410800,1.09024
2015-02-18,1.13,1.14,1.125,1.13,662100,1.09024
2015-02-19,1.135,1.14,1.125,1.125,395800,1.08542
2015-02-20,1.13,1.13,1.085,1.09,735400,1.05165
2015-02-23,1.095,1.135,1.092,1.11,582600,1.07095
2015-02-24,1.12,1.12,1.095,1.105,484100,1.06612
2015-02-25,1.10,1.14,1.10,1.14,609800,1.09989
2015-02-26,1.14,1.145,1.11,1.11,651500,1.07095
2015-02-27,1.12,1.145,1.11,1.14,1096900,1.09989
2015-03-02,1.14,1.165,1.14,1.155,467800,1.11436
2015-03-03,1.16,1.24,1.155,1.24,770400,1.19637
2015-03-04,1.235,1.335,1.205,1.275,2381900,1.23014
2015-03-05,1.31,1.42,1.295,1.34,1906300,1.29286
2015-03-06,1.34,1.36,1.32,1.345,859100,1.29768
2015-03-09,1.35,1.385,1.342,1.385,807700,1.33627
2015-03-10,1.385,1.42,1.35,1.395,1244700,1.34592
2015-03-11,1.39,1.51,1.38,1.485,1954800,1.43275
2015-03-12,1.51,1.55,1.495,1.505,1924900,1.45205
2015-03-13,1.525,1.535,1.505,1.505,1154600,1.45205
2015-03-16,1.515,1.53,1.487,1.53,730300,1.47617
2015-03-17,1.53,1.6575,1.53,1.625,1908900,1.56783
2015-03-18,1.61,1.64,1.58,1.63,1451400,1.57265
2015-03-19,1.645,1.69,1.64,1.66,1074300,1.6016
2015-03-20,1.63,1.645,1.52,1.57,3837500,1.51476
2015-03-23,1.575,1.58,1.45,1.55,2709400,1.49547
