Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.835,0.835,0.835,0.835,000,0.835
2015-01-02,0.84,0.845,0.825,0.835,346500,0.835
2015-01-05,0.845,0.845,0.80,0.82,1696900,0.82
2015-01-06,0.805,0.83,0.805,0.83,1107800,0.83
2015-01-07,0.825,0.83,0.82,0.83,581900,0.83
2015-01-08,0.82,0.825,0.767,0.775,964900,0.775
2015-01-09,0.795,0.825,0.775,0.815,1083600,0.815
2015-01-12,0.795,0.847,0.79,0.82,808600,0.82
2015-01-13,0.81,0.83,0.81,0.82,690800,0.82
2015-01-14,0.82,0.82,0.79,0.80,2073000,0.80
2015-01-15,0.80,0.825,0.79,0.805,1344400,0.805
2015-01-16,0.79,0.81,0.775,0.775,784000,0.775
2015-01-19,0.795,0.795,0.76,0.77,661800,0.77
2015-01-20,0.77,0.785,0.76,0.78,785000,0.78
2015-01-21,0.78,0.79,0.77,0.785,468200,0.785
2015-01-22,0.78,0.795,0.775,0.775,246500,0.775
2015-01-23,0.785,0.795,0.775,0.795,162900,0.795
2015-01-26,0.795,0.795,0.795,0.795,000,0.795
2015-01-27,0.79,0.80,0.77,0.79,524200,0.79
2015-01-28,0.775,0.80,0.775,0.80,532200,0.80
2015-01-29,0.785,0.80,0.78,0.80,956300,0.80
2015-01-30,0.795,0.81,0.78,0.81,1150200,0.81
2015-02-02,0.80,0.82,0.78,0.82,1215600,0.82
2015-02-03,0.815,0.875,0.815,0.86,2679800,0.86
2015-02-04,0.87,0.89,0.862,0.88,1693300,0.88
2015-02-05,0.885,0.95,0.885,0.92,1988300,0.92
2015-02-06,0.94,0.95,0.92,0.935,9920600,0.935
2015-02-09,0.935,0.945,0.905,0.915,1590500,0.915
2015-02-10,0.91,0.91,0.87,0.875,2747400,0.875
2015-02-11,0.89,0.93,0.885,0.90,994100,0.90
2015-02-12,0.905,0.93,0.89,0.925,1384600,0.925
2015-02-13,0.905,0.95,0.905,0.94,1382200,0.94
2015-02-16,0.94,0.945,0.915,0.925,436600,0.925
2015-02-17,0.92,0.925,0.915,0.92,578200,0.92
2015-02-18,0.915,0.925,0.91,0.92,1195300,0.92
2015-02-19,0.92,0.94,0.905,0.915,884700,0.915
2015-02-20,0.915,0.92,0.89,0.895,475300,0.895
2015-02-23,0.905,0.95,0.90,0.945,2162900,0.945
2015-02-24,0.94,0.9525,0.935,0.945,1759000,0.945
2015-02-25,0.95,0.97,0.935,0.945,1834700,0.945
2015-02-26,0.94,0.95,0.94,0.945,376600,0.945
2015-02-27,0.95,0.98,0.945,0.965,1631200,0.965
2015-03-02,0.97,0.985,0.965,0.97,1522900,0.97
2015-03-03,0.985,0.99,0.97,0.98,1069200,0.98
2015-03-04,0.985,0.99,0.965,0.98,1550900,0.98
2015-03-05,0.98,0.98,0.95,0.965,1730500,0.965
2015-03-06,0.96,0.98,0.95,0.965,688800,0.965
2015-03-09,0.96,0.96,0.937,0.95,1588100,0.95
2015-03-10,0.95,0.96,0.942,0.955,1470400,0.955
2015-03-11,0.94,0.95,0.92,0.94,2158500,0.94
2015-03-12,0.94,0.955,0.93,0.95,3964200,0.95
2015-03-13,0.945,0.95,0.925,0.925,2204000,0.925
2015-03-16,0.925,0.94,0.925,0.93,998400,0.93
2015-03-17,0.94,0.945,0.922,0.94,2785000,0.94
2015-03-18,0.935,0.94,0.93,0.94,1466200,0.94
2015-03-19,0.94,0.96,0.935,0.942,213662800,0.942
2015-03-20,1.00,1.075,0.942,0.99,19330200,0.99
2015-03-23,1.01,1.015,0.995,1.005,4315900,1.005
2015-03-24,1.00,1.055,1.00,1.03,4697700,1.03
2015-03-25,1.055,1.08,1.03,1.04,2701900,1.04
2015-03-26,1.035,1.04,1.015,1.015,4812200,1.015
2015-03-27,1.01,1.025,1.00,1.01,2377200,1.01
2015-03-30,1.01,1.025,0.957,0.975,2747000,0.975
2015-03-31,0.985,1.005,0.98,0.995,2788600,0.995
2015-04-01,0.99,1.00,0.985,0.995,1746000,0.995
2015-04-02,0.99,1.00,0.975,0.98,5021800,0.98
2015-04-03,0.98,0.98,0.98,0.98,000,0.98
2015-04-06,0.98,0.98,0.98,0.98,000,0.98
2015-04-07,0.98,1.00,0.965,0.97,2121400,0.97
2015-04-08,0.965,1.00,0.965,1.00,2876800,1.00
2015-04-09,1.00,1.005,0.985,0.99,1290100,0.99
2015-04-10,0.99,0.99,0.975,0.98,1393900,0.98
2015-04-13,0.98,0.985,0.965,0.97,2279300,0.97
2015-04-14,0.97,0.97,0.94,0.95,3686800,0.95
2015-04-15,0.945,0.95,0.92,0.94,3095800,0.94
2015-04-16,0.945,0.955,0.94,0.95,2245900,0.95
2015-04-17,0.94,0.96,0.93,0.935,2263900,0.935
2015-04-20,0.93,0.935,0.885,0.915,5594200,0.915
2015-04-21,0.91,0.935,0.895,0.935,6568900,0.935
2015-04-22,0.93,0.94,0.915,0.93,3203100,0.93
2015-04-23,0.93,0.93,0.915,0.93,7545700,0.93
2015-04-24,0.93,0.935,0.925,0.93,5917500,0.93
2015-04-27,0.925,0.95,0.91,0.94,2932500,0.94
2015-04-28,0.95,0.95,0.90,0.915,7994000,0.915
2015-04-29,0.905,0.9325,0.905,0.925,2421000,0.925
2015-04-30,0.925,0.94,0.915,0.94,2334900,0.94
2015-05-01,0.94,0.94,0.93,0.935,1210700,0.935
2015-05-04,0.935,0.955,0.935,0.95,2648200,0.95
2015-05-05,0.965,0.97,0.94,0.955,1624100,0.955
2015-05-06,0.93,0.96,0.902,0.91,5226900,0.91
2015-05-07,0.90,0.93,0.90,0.91,1674800,0.91
2015-05-08,0.915,0.93,0.905,0.91,1600400,0.91
2015-05-11,0.91,0.92,0.905,0.905,675400,0.905
2015-05-12,0.905,0.935,0.905,0.935,2525100,0.935
2015-05-13,0.92,0.935,0.91,0.935,942900,0.935
2015-05-14,0.915,0.93,0.91,0.92,1729100,0.92
2015-05-15,0.93,0.95,0.915,0.92,1728600,0.92
2015-05-18,0.915,0.94,0.91,0.91,434900,0.91
2015-05-19,0.91,0.915,0.89,0.91,1581100,0.91
2015-05-20,0.915,0.915,0.875,0.90,1448900,0.90
2015-05-21,0.91,0.915,0.84,0.885,110016200,0.885
2015-05-22,0.885,0.89,0.85,0.865,1990900,0.865
2015-05-25,0.84,0.87,0.825,0.855,3848500,0.855
2015-05-26,0.835,0.855,0.83,0.845,2601800,0.845
2015-05-27,0.82,0.84,0.81,0.83,3980300,0.83
2015-05-28,0.83,0.845,0.81,0.82,2802400,0.82
2015-05-29,0.82,0.88,0.82,0.845,6407600,0.845
2015-06-01,0.83,0.835,0.815,0.835,1970800,0.835
2015-06-02,0.83,0.84,0.79,0.805,3088500,0.805
2015-06-03,0.80,0.82,0.79,0.805,2130100,0.805
2015-06-04,0.815,0.832,0.79,0.79,2629100,0.79
2015-06-05,0.795,0.80,0.755,0.77,2228800,0.77
2015-06-08,0.77,0.77,0.77,0.77,000,0.77
2015-06-09,0.785,0.80,0.765,0.77,2212700,0.77
2015-06-10,0.775,0.775,0.745,0.765,2274100,0.765
2015-06-11,0.765,0.79,0.765,0.78,3031700,0.78
2015-06-12,0.78,0.785,0.765,0.77,1824900,0.77
2015-06-15,0.76,0.79,0.75,0.775,3086300,0.775
2015-06-16,0.78,0.79,0.75,0.775,9841900,0.775
2015-06-17,0.78,0.785,0.755,0.78,4474900,0.78
2015-06-18,0.77,0.78,0.76,0.77,4248100,0.77
2015-06-19,0.755,0.83,0.705,0.81,5849400,0.81
2015-06-22,0.79,0.805,0.77,0.775,2571200,0.775
2015-06-23,0.78,0.80,0.765,0.79,1856100,0.79
2015-06-24,0.795,0.80,0.77,0.78,1770200,0.78
2015-06-25,0.78,0.785,0.74,0.77,2999500,0.77
2015-06-26,0.765,0.77,0.735,0.745,2656600,0.745
2015-06-29,0.725,0.7525,0.72,0.725,2251500,0.725
2015-06-30,0.72,0.737,0.69,0.71,3406900,0.71
2015-07-01,0.70,0.72,0.70,0.705,1344300,0.705
2015-07-02,0.705,0.72,0.695,0.705,3283600,0.705
2015-07-03,0.70,0.705,0.682,0.70,1431200,0.70
2015-07-06,0.685,0.69,0.65,0.66,1881300,0.66
2015-07-07,0.66,0.695,0.655,0.68,2892000,0.68
2015-07-08,0.67,0.68,0.65,0.655,1376300,0.655
2015-07-09,0.645,0.69,0.645,0.68,1621100,0.68
2015-07-10,0.685,0.695,0.63,0.655,1506900,0.655
2015-07-13,0.655,0.66,0.625,0.64,3770100,0.64
2015-07-14,0.645,0.66,0.62,0.65,3649100,0.65
2015-07-15,0.675,0.71,0.66,0.70,3544200,0.70
2015-07-16,0.70,0.7025,0.665,0.69,2589000,0.69
2015-07-17,0.69,0.70,0.685,0.69,1818400,0.69
2015-07-20,0.695,0.735,0.69,0.735,2471400,0.735
2015-07-21,0.73,0.735,0.70,0.715,1361900,0.715
2015-07-22,0.715,0.715,0.69,0.70,1610200,0.70
2015-07-23,0.70,0.715,0.69,0.705,2466500,0.705
2015-07-24,0.705,0.705,0.66,0.695,284100,0.695
2015-07-27,0.685,0.70,0.665,0.70,824900,0.70
2015-07-28,0.685,0.70,0.675,0.69,1183500,0.69
2015-07-29,0.69,0.715,0.685,0.715,1181000,0.715
2015-07-30,0.705,0.72,0.69,0.72,950700,0.72
2015-07-31,0.72,0.725,0.695,0.715,1646300,0.715
2015-08-03,0.73,0.735,0.71,0.71,491500,0.71
2015-08-04,0.71,0.765,0.705,0.74,2524800,0.74
2015-08-05,0.725,0.74,0.705,0.725,835600,0.725
2015-08-06,0.725,0.735,0.70,0.71,668000,0.71
2015-08-07,0.70,0.71,0.677,0.69,1348500,0.69
2015-08-10,0.685,0.7075,0.672,0.70,1370500,0.70
2015-08-11,0.70,0.705,0.68,0.69,1209400,0.69
2015-08-12,0.685,0.70,0.642,0.66,4029400,0.66
2015-08-13,0.66,0.685,0.66,0.675,901800,0.675
2015-08-14,0.675,0.687,0.665,0.675,1619000,0.675
2015-08-17,0.68,0.685,0.662,0.675,845700,0.675
2015-08-18,0.685,0.685,0.655,0.665,2274000,0.665
2015-08-19,0.66,0.67,0.645,0.66,1521500,0.66
2015-08-20,0.55,0.595,0.475,0.575,10952000,0.575
2015-08-21,0.57,0.605,0.54,0.55,4212100,0.55
2015-08-24,0.54,0.55,0.505,0.51,2022700,0.51
2015-08-25,0.505,0.535,0.50,0.52,11031900,0.52
2015-08-26,0.51,0.53,0.50,0.515,1484600,0.515
2015-08-27,0.52,0.545,0.505,0.515,3115300,0.515
2015-08-28,0.52,0.54,0.50,0.51,57443400,0.51
2015-08-31,0.51,0.525,0.495,0.505,2881600,0.505
2015-09-01,0.50,0.51,0.49,0.49,1010900,0.49
2015-09-02,0.49,0.505,0.47,0.485,2151900,0.485
2015-09-03,0.485,0.52,0.47,0.48,1706100,0.48
2015-09-04,0.475,0.49,0.47,0.475,1410200,0.475
2015-09-07,0.475,0.4925,0.475,0.485,13021000,0.485
2015-09-08,0.49,0.515,0.485,0.505,1487800,0.505
2015-09-09,0.515,0.527,0.50,0.525,2719700,0.525
2015-09-10,0.505,0.5125,0.485,0.505,1409800,0.505
2015-09-11,0.505,0.515,0.495,0.505,783300,0.505
2015-09-14,0.515,0.52,0.49,0.51,1741900,0.51
2015-09-15,0.51,0.53,0.495,0.495,2990700,0.495
2015-09-16,0.505,0.54,0.50,0.53,2115500,0.53
2015-09-17,0.545,0.555,0.515,0.525,3204600,0.525
2015-09-18,0.525,0.555,0.515,0.54,1190000,0.54
2015-09-21,0.53,0.53,0.485,0.51,2142400,0.51
2015-09-22,0.525,0.525,0.51,0.525,572800,0.525
2015-09-23,0.51,0.525,0.50,0.50,1473500,0.50
2015-09-24,0.505,0.51,0.485,0.505,2000000,0.505
2015-09-25,0.505,0.515,0.49,0.505,4564900,0.505
2015-09-28,0.50,0.505,0.49,0.50,6496300,0.50
2015-09-29,0.485,0.51,0.48,0.49,2398600,0.49
2015-09-30,0.49,0.50,0.485,0.49,1003800,0.49
2015-10-01,0.495,0.505,0.495,0.50,2883700,0.50
2015-10-02,0.495,0.505,0.48,0.49,1743100,0.49
2015-10-05,0.485,0.53,0.485,0.52,588700,0.52
2015-10-06,0.525,0.55,0.525,0.545,937700,0.545
2015-10-07,0.55,0.56,0.52,0.53,1681400,0.53
2015-10-08,0.535,0.54,0.505,0.51,801000,0.51
2015-10-09,0.52,0.545,0.515,0.545,508900,0.545
2015-10-12,0.525,0.535,0.515,0.525,1037000,0.525
2015-10-13,0.525,0.525,0.495,0.50,675000,0.50
2015-10-14,0.50,0.515,0.475,0.475,1374800,0.475
2015-10-15,0.495,0.495,0.47,0.475,1050500,0.475
2015-10-16,0.495,0.51,0.485,0.495,645900,0.495
2015-10-19,0.50,0.51,0.49,0.50,357500,0.50
2015-10-20,0.495,0.52,0.495,0.52,854200,0.52
2015-10-21,0.515,0.5325,0.505,0.53,869000,0.53
2015-10-22,0.525,0.525,0.497,0.51,2725400,0.51
2015-10-23,0.52,0.54,0.52,0.535,1107700,0.535
2015-10-26,0.535,0.5375,0.52,0.53,1603700,0.53
2015-10-27,0.525,0.535,0.515,0.535,1305200,0.535
2015-10-28,0.535,0.535,0.515,0.53,611200,0.53
2015-10-29,0.535,0.5375,0.51,0.515,1498500,0.515
2015-10-30,0.515,0.535,0.51,0.515,1145100,0.515
2015-11-02,0.535,0.535,0.51,0.515,621700,0.515
2015-11-03,0.525,0.535,0.52,0.53,584100,0.53
2015-11-04,0.53,0.545,0.52,0.52,1131800,0.52
2015-11-05,0.525,0.535,0.485,0.485,2407300,0.485
2015-11-06,0.495,0.505,0.49,0.495,520400,0.495
2015-11-09,0.495,0.495,0.482,0.485,1462100,0.485
2015-11-10,0.485,0.505,0.48,0.495,11408400,0.495
2015-11-11,0.50,0.525,0.495,0.515,6537400,0.515
2015-11-12,0.50,0.52,0.50,0.51,1141700,0.51
2015-11-13,0.50,0.51,0.49,0.495,1170200,0.495
2015-11-16,0.485,0.495,0.475,0.475,924600,0.475
2015-11-17,0.49,0.495,0.475,0.48,1699100,0.48
2015-11-18,0.48,0.50,0.475,0.49,1009400,0.49
2015-11-19,0.50,0.51,0.49,0.51,3066300,0.51
2015-11-20,0.515,0.515,0.50,0.515,1846800,0.515
2015-11-23,0.51,0.5175,0.505,0.515,825600,0.515
2015-11-24,0.50,0.51,0.485,0.485,2837600,0.485
2015-11-25,0.50,0.50,0.455,0.475,972100,0.475
2015-11-26,0.47,0.50,0.47,0.495,2474600,0.495
2015-11-27,0.50,0.50,0.485,0.485,1056300,0.485
2015-11-30,0.485,0.49,0.47,0.475,1720900,0.475
2015-12-01,0.485,0.5025,0.475,0.485,16579800,0.485
2015-12-02,0.485,0.51,0.475,0.495,685200,0.495
2015-12-03,0.495,0.53,0.49,0.525,1111800,0.525
2015-12-04,0.505,0.51,0.485,0.495,1847900,0.495
2015-12-07,0.505,0.52,0.495,0.50,981300,0.50
2015-12-08,0.495,0.505,0.485,0.485,1007400,0.485
2015-12-09,0.485,0.485,0.47,0.47,805200,0.47
2015-12-10,0.475,0.475,0.435,0.44,1116300,0.44
2015-12-11,0.445,0.455,0.43,0.435,3875200,0.435
2015-12-14,0.44,0.46,0.44,0.44,2944700,0.44
2015-12-15,0.44,0.465,0.44,0.46,2334400,0.46
2015-12-16,0.465,0.465,0.45,0.455,2454700,0.455
