Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.225,1.225,1.225,1.225,000,1.13952
2015-01-02,1.225,1.255,1.225,1.25,11800,1.16277
2015-01-05,1.25,1.295,1.235,1.26,21100,1.17208
2015-01-06,1.26,1.26,1.23,1.26,1400,1.17208
2015-01-07,1.26,1.27,1.23,1.26,16100,1.17208
2015-01-08,1.25,1.27,1.25,1.25,24700,1.16277
2015-01-09,1.255,1.265,1.25,1.255,115600,1.16742
2015-01-12,1.255,1.255,1.255,1.255,000,1.16742
2015-01-13,1.27,1.27,1.25,1.255,5019300,1.16742
2015-01-14,1.255,1.27,1.235,1.25,1557200,1.16277
2015-01-15,1.24,1.255,1.24,1.245,82800,1.15812
2015-01-16,1.245,1.25,1.225,1.24,29200,1.15347
2015-01-19,1.24,1.245,1.225,1.225,30200,1.13952
2015-01-20,1.235,1.255,1.225,1.255,26300,1.16742
2015-01-21,1.255,1.27,1.245,1.27,40900,1.18138
2015-01-22,1.27,1.275,1.225,1.245,41400,1.15812
2015-01-23,1.24,1.24,1.22,1.23,25400,1.14417
2015-01-26,1.23,1.23,1.23,1.23,000,1.14417
2015-01-27,1.23,1.23,1.17,1.17,83700,1.08836
2015-01-28,1.21,1.23,1.185,1.21,13100,1.12556
2015-01-29,1.21,1.23,1.20,1.23,17700,1.14417
2015-01-30,1.22,1.24,1.20,1.24,58800,1.15347
2015-02-02,1.24,1.27,1.24,1.24,33100,1.15347
2015-02-03,1.232,1.27,1.23,1.27,11400,1.18138
2015-02-04,1.265,1.27,1.22,1.27,72100,1.18138
2015-02-05,1.27,1.27,1.235,1.26,37000,1.17208
2015-02-06,1.27,1.27,1.235,1.26,800,1.17208
2015-02-09,1.27,1.29,1.24,1.255,59800,1.16742
2015-02-10,1.28,1.28,1.22,1.275,37400,1.18603
2015-02-11,1.28,1.28,1.24,1.265,500,1.17673
2015-02-12,1.26,1.26,1.21,1.24,110100,1.15347
2015-02-13,1.235,1.285,1.235,1.255,131400,1.16742
2015-02-16,1.23,1.26,1.205,1.26,87800,1.17208
2015-02-17,1.26,1.275,1.215,1.22,14600,1.13487
2015-02-18,1.22,1.27,1.22,1.27,45500,1.18138
2015-02-19,1.27,1.27,1.27,1.27,000,1.18138
2015-02-20,1.225,1.27,1.225,1.245,9300,1.15812
2015-02-23,1.23,1.27,1.22,1.22,71800,1.13487
2015-02-24,1.26,1.285,1.235,1.26,77100,1.17208
2015-02-25,1.245,1.26,1.245,1.26,42200,1.17208
2015-02-26,1.25,1.285,1.24,1.26,170700,1.17208
2015-02-27,1.26,1.285,1.26,1.285,3387400,1.19533
2015-03-02,1.265,1.265,1.255,1.265,78700,1.17673
2015-03-03,1.28,1.29,1.27,1.27,123700,1.18138
2015-03-04,1.27,1.275,1.27,1.27,77700,1.18138
2015-03-05,1.27,1.27,1.26,1.27,72000,1.18138
2015-03-06,1.27,1.285,1.26,1.285,50500,1.19533
2015-03-09,1.26,1.27,1.26,1.26,109500,1.17208
2015-03-10,1.26,1.26,1.225,1.225,27100,1.13952
2015-03-11,1.215,1.27,1.215,1.27,3700,1.18138
2015-03-12,1.255,1.26,1.255,1.26,74000,1.17208
2015-03-13,1.26,1.265,1.26,1.26,2200,1.17208
2015-03-16,1.23,1.265,1.23,1.237,25500,1.15068
2015-03-17,1.25,1.25,1.23,1.23,11000,1.14417
2015-03-18,1.23,1.24,1.23,1.24,34200,1.15347
2015-03-19,1.24,1.27,1.24,1.26,33700,1.17208
2015-03-20,1.24,1.25,1.24,1.25,3800,1.16277
2015-03-23,1.25,1.25,1.25,1.25,165800,1.16277
2015-03-24,1.25,1.28,1.25,1.28,50900,1.19068
2015-03-25,1.255,1.285,1.255,1.285,37000,1.19533
2015-03-26,1.28,1.285,1.255,1.255,5100,1.16742
2015-03-27,1.255,1.255,1.255,1.255,000,1.16742
2015-03-30,1.26,1.27,1.26,1.27,149200,1.18138
2015-03-31,1.27,1.28,1.27,1.27,130900,1.18138
2015-04-01,1.27,1.28,1.265,1.28,80400,1.19068
2015-04-02,1.265,1.27,1.265,1.265,128100,1.17673
2015-04-03,1.265,1.265,1.265,1.265,000,1.17673
2015-04-06,1.265,1.265,1.265,1.265,000,1.17673
2015-04-07,1.265,1.28,1.26,1.28,82900,1.19068
2015-04-08,1.26,1.27,1.26,1.265,103700,1.17673
2015-04-09,1.265,1.275,1.265,1.265,127700,1.17673
2015-04-10,1.265,1.28,1.26,1.27,105300,1.18138
2015-04-13,1.27,1.28,1.26,1.26,237300,1.17208
2015-04-14,1.27,1.28,1.26,1.27,248000,1.18138
2015-04-15,1.265,1.265,1.24,1.26,12400,1.17208
2015-04-16,1.27,1.275,1.265,1.265,123400,1.17673
2015-04-17,1.27,1.27,1.265,1.27,18200,1.18138
2015-04-20,1.275,1.275,1.265,1.265,1400,1.17673
2015-04-21,1.265,1.27,1.255,1.265,20200,1.17673
2015-04-22,1.255,1.265,1.255,1.26,14900,1.17208
2015-04-23,1.26,1.27,1.26,1.27,21700,1.18138
2015-04-24,1.265,1.27,1.265,1.27,77100,1.18138
2015-04-27,1.28,1.28,1.265,1.265,26900,1.17673
2015-04-28,1.265,1.275,1.265,1.275,26200,1.18603
2015-04-29,1.27,1.27,1.265,1.265,59600,1.17673
2015-04-30,1.27,1.27,1.26,1.26,77600,1.17208
2015-05-01,1.26,1.26,1.25,1.26,36200,1.17208
2015-05-04,1.26,1.26,1.26,1.26,9100,1.17208
2015-05-05,1.265,1.27,1.26,1.27,39900,1.18138
2015-05-06,1.27,1.27,1.27,1.27,3300,1.18138
2015-05-07,1.26,1.26,1.25,1.26,28400,1.17208
2015-05-08,1.255,1.26,1.25,1.25,105700,1.16277
2015-05-11,1.26,1.26,1.22,1.24,71200,1.15347
2015-05-12,1.24,1.25,1.24,1.245,143700,1.15812
2015-05-13,1.245,1.27,1.24,1.27,59500,1.18138
2015-05-14,1.265,1.265,1.265,1.265,35700,1.17673
2015-05-15,1.27,1.285,1.265,1.275,585800,1.18603
2015-05-18,1.275,1.275,1.27,1.275,308200,1.18603
2015-05-19,1.285,1.30,1.277,1.295,109000,1.20463
2015-05-20,1.29,1.29,1.29,1.29,200,1.19998
2015-05-21,1.29,1.30,1.285,1.30,151300,1.20928
2015-05-22,1.32,1.34,1.32,1.32,29500,1.22789
2015-05-25,1.33,1.33,1.32,1.33,27800,1.23719
2015-05-26,1.32,1.32,1.30,1.30,267700,1.20928
2015-05-27,1.31,1.315,1.285,1.31,244600,1.21859
2015-05-28,1.325,1.325,1.295,1.30,420100,1.20928
2015-05-29,1.305,1.32,1.305,1.31,103300,1.21859
2015-06-01,1.31,1.31,1.30,1.31,179800,1.21859
2015-06-02,1.305,1.31,1.30,1.305,175200,1.21394
2015-06-03,1.305,1.32,1.305,1.31,62500,1.21859
2015-06-04,1.31,1.31,1.30,1.31,8800,1.21859
2015-06-05,1.30,1.31,1.30,1.30,54200,1.20928
2015-06-08,1.30,1.30,1.30,1.30,000,1.20928
2015-06-09,1.31,1.32,1.30,1.30,78500,1.20928
2015-06-10,1.31,1.31,1.30,1.305,32200,1.21394
2015-06-11,1.305,1.305,1.30,1.305,79300,1.21394
2015-06-12,1.30,1.31,1.30,1.31,92500,1.21859
2015-06-15,1.31,1.31,1.305,1.305,26600,1.21394
2015-06-16,1.31,1.315,1.31,1.315,76600,1.22324
2015-06-17,1.315,1.315,1.30,1.30,94600,1.20928
2015-06-18,1.31,1.31,1.30,1.31,174900,1.21859
2015-06-19,1.315,1.315,1.30,1.30,38700,1.20928
2015-06-22,1.30,1.305,1.295,1.305,27000,1.21394
2015-06-23,1.305,1.32,1.305,1.32,77100,1.22789
2015-06-24,1.325,1.355,1.325,1.355,99400,1.26045
2015-06-25,1.355,1.355,1.325,1.35,37700,1.2558
2015-06-26,1.255,1.305,1.255,1.305,33100,1.25579
