Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.01,0.01,0.01,0.01,000,0.01
2015-01-02,0.012,0.014,0.012,0.014,2185600,0.014
2015-01-05,0.013,0.013,0.012,0.012,89500,0.012
2015-01-06,0.013,0.014,0.013,0.014,2200000,0.014
2015-01-07,0.014,0.015,0.014,0.015,840000,0.015
2015-01-08,0.016,0.016,0.016,0.016,396700,0.016
2015-01-09,0.016,0.016,0.016,0.016,000,0.016
2015-01-12,0.016,0.016,0.016,0.016,000,0.016
2015-01-13,0.015,0.015,0.013,0.013,277500,0.013
2015-01-14,0.015,0.015,0.015,0.015,400000,0.015
2015-01-15,0.015,0.015,0.015,0.015,000,0.015
2015-01-16,0.015,0.015,0.011,0.011,550000,0.011
2015-01-19,0.011,0.011,0.011,0.011,000,0.011
2015-01-20,0.011,0.011,0.011,0.011,000,0.011
2015-01-21,0.013,0.014,0.013,0.014,550000,0.014
2015-01-22,0.014,0.014,0.014,0.014,000,0.014
2015-01-23,0.014,0.014,0.014,0.014,000,0.014
2015-01-26,0.014,0.014,0.014,0.014,000,0.014
2015-01-27,0.014,0.014,0.014,0.014,188700,0.014
2015-01-28,0.014,0.014,0.014,0.014,150000,0.014
2015-01-29,0.014,0.014,0.014,0.014,000,0.014
2015-01-30,0.015,0.015,0.015,0.015,200000,0.015
2015-02-02,0.014,0.014,0.014,0.014,20000,0.014
2015-02-03,0.014,0.014,0.014,0.014,30000,0.014
2015-02-04,0.014,0.014,0.014,0.014,000,0.014
2015-02-05,0.014,0.014,0.014,0.014,000,0.014
2015-02-06,0.012,0.015,0.012,0.014,937500,0.014
2015-02-09,0.014,0.014,0.014,0.014,132700,0.014
2015-02-10,0.014,0.014,0.014,0.014,000,0.014
2015-02-11,0.015,0.019,0.015,0.018,2760800,0.018
2015-02-12,0.019,0.019,0.016,0.016,2073600,0.016
2015-02-13,0.015,0.017,0.015,0.017,649000,0.017
2015-02-16,0.017,0.021,0.016,0.019,3626500,0.019
2015-02-17,0.017,0.022,0.015,0.015,3701700,0.015
2015-02-18,0.015,0.015,0.012,0.012,2240600,0.012
2015-02-19,0.013,0.014,0.013,0.014,550000,0.014
2015-02-20,0.014,0.014,0.014,0.014,000,0.014
2015-02-23,0.014,0.016,0.014,0.016,1686200,0.016
2015-02-24,0.023,0.035,0.022,0.023,72044600,0.023
2015-02-25,0.024,0.024,0.019,0.02,11047800,0.02
2015-02-26,0.02,0.02,0.018,0.019,4031100,0.019
2015-02-27,0.019,0.021,0.019,0.021,2713100,0.021
2015-03-02,0.021,0.021,0.019,0.019,1867300,0.019
2015-03-03,0.021,0.022,0.018,0.022,1966800,0.022
2015-03-04,0.022,0.022,0.021,0.021,1555900,0.021
2015-03-05,0.021,0.021,0.02,0.02,699200,0.02
2015-03-06,0.023,0.024,0.021,0.023,2966600,0.023
2015-03-09,0.023,0.024,0.023,0.023,4102000,0.023
2015-03-10,0.023,0.023,0.023,0.023,000,0.023
2015-03-11,0.023,0.023,0.023,0.023,000,0.023
2015-03-12,0.021,0.021,0.019,0.02,3107100,0.02
2015-03-13,0.021,0.023,0.021,0.023,4044400,0.023
2015-03-16,0.022,0.022,0.02,0.02,1725000,0.02
2015-03-17,0.02,0.021,0.02,0.021,160000,0.021
2015-03-18,0.02,0.02,0.02,0.02,950000,0.02
2015-03-19,0.02,0.02,0.019,0.02,1595700,0.02
2015-03-20,0.019,0.019,0.018,0.019,3548200,0.019
2015-03-23,0.019,0.019,0.019,0.019,510000,0.019
2015-03-24,0.02,0.02,0.02,0.02,1074000,0.02
2015-03-25,0.02,0.02,0.02,0.02,225000,0.02
2015-03-26,0.02,0.021,0.02,0.021,3666300,0.021
2015-03-27,0.021,0.022,0.02,0.02,2399300,0.02
2015-03-30,0.02,0.021,0.02,0.02,735500,0.02
2015-03-31,0.021,0.021,0.021,0.021,1064500,0.021
2015-04-01,0.021,0.021,0.021,0.021,000,0.021
2015-04-02,0.021,0.021,0.02,0.02,1439500,0.02
2015-04-03,0.02,0.02,0.02,0.02,000,0.02
2015-04-06,0.02,0.02,0.02,0.02,000,0.02
2015-04-07,0.02,0.02,0.02,0.02,2761300,0.02
2015-04-08,0.02,0.02,0.02,0.02,1814100,0.02
2015-04-09,0.02,0.02,0.02,0.02,2759900,0.02
2015-04-10,0.02,0.021,0.02,0.021,1148200,0.021
2015-04-13,0.02,0.02,0.02,0.02,150000,0.02
2015-04-14,0.019,0.019,0.019,0.019,134000,0.019
2015-04-15,0.019,0.019,0.019,0.019,328900,0.019
2015-04-16,0.019,0.02,0.019,0.019,938100,0.019
2015-04-17,0.019,0.02,0.019,0.02,150000,0.02
2015-04-20,0.02,0.02,0.02,0.02,25000,0.02
2015-04-21,0.02,0.02,0.019,0.019,200700,0.019
2015-04-22,0.019,0.019,0.019,0.019,800000,0.019
2015-04-23,0.019,0.019,0.019,0.019,000,0.019
2015-04-24,0.018,0.018,0.018,0.018,238100,0.018
2015-04-27,0.019,0.019,0.019,0.019,33300,0.019
2015-04-28,0.018,0.018,0.018,0.018,83500,0.018
2015-04-29,0.018,0.018,0.015,0.016,2495400,0.016
2015-04-30,0.016,0.017,0.016,0.017,1629500,0.017
2015-05-01,0.017,0.017,0.016,0.017,1283300,0.017
2015-05-04,0.017,0.017,0.017,0.017,562600,0.017
2015-05-05,0.017,0.017,0.017,0.017,136100,0.017
2015-05-06,0.017,0.017,0.016,0.017,778100,0.017
2015-05-07,0.018,0.018,0.018,0.018,1055500,0.018
2015-05-08,0.018,0.018,0.018,0.018,833000,0.018
2015-05-11,0.018,0.018,0.018,0.018,713400,0.018
2015-05-12,0.018,0.018,0.018,0.018,100000,0.018
2015-05-13,0.018,0.018,0.018,0.018,000,0.018
2015-05-14,0.02,0.022,0.019,0.021,15110700,0.021
2015-05-15,0.02,0.022,0.02,0.021,8395900,0.021
2015-05-18,0.021,0.022,0.021,0.021,1627700,0.021
2015-05-19,0.022,0.025,0.022,0.022,8588600,0.022
2015-05-20,0.022,0.024,0.022,0.024,3329300,0.024
2015-05-21,0.026,0.026,0.023,0.023,4894500,0.023
2015-05-22,0.023,0.023,0.023,0.023,1948400,0.023
2015-05-25,0.023,0.023,0.023,0.023,1050000,0.023
2015-05-26,0.023,0.023,0.023,0.023,756000,0.023
2015-05-27,0.023,0.023,0.022,0.022,1644000,0.022
2015-05-28,0.023,0.023,0.021,0.021,1216100,0.021
2015-05-29,0.022,0.022,0.022,0.022,700000,0.022
2015-06-01,0.022,0.022,0.022,0.022,836600,0.022
2015-06-02,0.022,0.023,0.022,0.022,1158300,0.022
2015-06-03,0.022,0.022,0.022,0.022,000,0.022
2015-06-04,0.022,0.022,0.022,0.022,818000,0.022
2015-06-05,0.022,0.022,0.022,0.022,400000,0.022
