Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-02,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-05,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-06,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-07,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-08,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-09,1.90,1.90,1.90,1.90,7900,1.90
2015-01-12,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-13,1.91,1.91,1.91,1.91,100,1.91
2015-01-14,1.91,1.91,1.91,1.91,000,1.91
2015-01-15,1.91,1.91,1.91,1.91,000,1.91
2015-01-16,1.91,1.91,1.91,1.91,000,1.91
2015-01-19,1.91,1.91,1.91,1.91,000,1.91
2015-01-20,1.91,1.91,1.91,1.91,000,1.91
2015-01-21,1.87,1.87,1.87,1.87,000,1.87
2015-01-22,1.93,1.93,1.88,1.88,99100,1.88
2015-01-23,1.87,1.87,1.87,1.87,000,1.87
2015-01-27,14.7808,14.7808,14.7808,14.7808,000,14.7808
2015-01-28,1.96,1.96,1.96,1.96,000,1.96
2015-01-29,1.9624,1.9624,1.9624,1.9624,000,1.9624
2015-01-30,1.96,1.96,1.96,1.96,000,1.96
2015-02-02,1.97,1.97,1.97,1.97,96600,1.97
2015-02-03,1.9624,1.9624,1.9624,1.9624,000,1.9624
2015-02-04,2.01,2.01,2.01,2.01,000,2.01
2015-02-05,1.99,1.99,1.99,1.99,10000,1.99
2015-02-06,2.01,2.01,2.01,2.01,000,2.01
2015-02-09,2.00,2.00,2.00,2.00,19100,2.00
2015-02-10,2.01,2.01,2.01,2.01,000,2.01
2015-02-11,2.04,2.04,2.04,2.04,000,2.04
2015-02-12,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-13,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-16,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-17,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-18,2.07,2.07,2.07,2.07,000,2.07
2015-02-19,2.05,2.05,2.05,2.05,9700,2.05
2015-02-20,2.0587,2.0587,2.0587,2.0587,000,2.0587
2015-02-23,2.07,2.07,2.07,2.07,000,2.07
2015-02-24,2.04,2.04,2.04,2.04,46900,2.04
2015-02-25,2.07,2.07,2.07,2.07,000,2.07
2015-02-26,2.07,2.07,2.07,2.07,000,2.07
2015-02-27,2.07,2.07,2.07,2.07,000,2.07
2015-03-02,2.07,2.07,2.07,2.07,000,2.07
2015-03-03,2.07,2.07,2.07,2.07,000,2.07
2015-03-04,2.08,2.08,2.08,2.08,000,2.08
2015-03-05,2.08,2.08,2.08,2.08,000,2.08
2015-03-06,2.08,2.08,2.08,2.08,000,2.08
2015-03-09,2.08,2.08,2.08,2.08,000,2.08
2015-03-10,2.00,2.00,2.00,2.00,20000,2.00
2015-03-11,2.04,2.04,2.04,2.04,000,2.04
2015-03-12,2.04,2.04,2.04,2.04,000,2.04
2015-03-13,2.01,2.01,2.01,2.01,91900,2.01
2015-03-16,2.04,2.04,2.04,2.04,000,2.04
2015-03-17,2.04,2.04,2.04,2.04,000,2.04
2015-03-18,2.06,2.06,2.06,2.06,000,2.06
2015-03-19,2.06,2.06,2.06,2.06,000,2.06
2015-03-20,2.06,2.06,2.06,2.06,000,2.06
2015-03-23,2.06,2.06,2.06,2.06,31000,2.06
2015-03-24,2.06,2.06,2.06,2.06,000,2.06
2015-03-25,2.05,2.07,2.05,2.07,17700,2.07
2015-03-26,2.10,2.10,2.10,2.10,000,2.10
2015-03-27,2.10,2.10,2.10,2.10,000,2.10
2015-03-30,2.10,2.10,2.10,2.10,000,2.10
2015-03-31,2.08,2.08,2.08,2.08,000,2.08
2015-04-01,2.08,2.08,2.08,2.08,000,2.08
2015-04-02,2.08,2.08,2.08,2.08,000,2.08
2015-04-07,2.03,2.03,2.03,2.03,8900,2.03
2015-04-08,2.09,2.09,2.09,2.09,000,2.09
2015-04-09,2.09,2.09,2.09,2.09,000,2.09
2015-04-10,2.0802,2.0802,2.0802,2.0802,000,2.0802
2015-04-13,2.0802,2.0802,2.0802,2.0802,000,2.0802
2015-04-14,2.0961,2.0961,2.0961,2.0961,000,2.0961
2015-04-15,2.09,2.09,2.09,2.09,000,2.09
2015-04-16,2.06,2.10,2.03,2.03,16500,2.03
2015-04-17,2.09,2.09,2.09,2.09,000,2.09
2015-04-20,2.09,2.09,2.09,2.09,000,2.09
2015-04-21,2.03,2.03,2.01,2.01,10000,2.01
2015-04-22,2.06,2.06,2.06,2.06,000,2.06
2015-04-23,2.00,2.00,2.00,2.00,5000,2.00
2015-04-24,2.06,2.06,2.06,2.06,000,2.06
2015-04-27,2.06,2.06,2.06,2.06,000,2.06
2015-04-28,2.05,2.05,2.05,2.05,15600,2.05
2015-04-29,2.09,2.09,2.09,2.09,000,2.09
2015-04-30,2.03,2.03,2.03,2.03,000,2.03
2015-05-01,2.09,2.09,2.09,2.09,000,2.09
2015-05-04,2.09,2.09,2.09,2.09,000,2.09
2015-05-05,2.09,2.09,2.09,2.09,000,2.09
2015-05-06,2.04,2.04,2.04,2.04,000,2.04
2015-05-07,1.95,1.95,1.95,1.95,5600,1.95
2015-05-08,2.04,2.04,2.04,2.04,000,2.04
2015-05-11,2.04,2.04,2.04,2.04,000,2.04
2015-05-12,2.04,2.04,2.04,2.04,000,2.04
2015-05-13,1.94,1.94,1.94,1.94,1500,1.94
2015-05-14,1.98,1.98,1.98,1.98,000,1.98
2015-05-15,2.02,2.02,2.02,2.02,37100,2.02
2015-05-18,1.98,1.98,1.98,1.98,000,1.98
2015-05-19,1.98,1.98,1.98,1.98,000,1.98
2015-05-20,1.97,1.97,1.97,1.97,000,1.97
2015-05-21,1.92,1.92,1.92,1.92,4600,1.92
2015-05-22,1.97,1.97,1.97,1.97,000,1.97
2015-05-25,1.97,1.97,1.97,1.97,000,1.97
2015-05-26,1.96,1.96,1.96,1.96,4300,1.96
2015-05-27,2.02,2.02,2.02,2.02,000,2.02
2015-05-28,2.02,2.02,2.02,2.02,000,2.02
2015-05-29,2.02,2.02,2.02,2.02,000,2.02
2015-06-01,2.02,2.02,2.02,2.02,000,2.02
2015-06-02,1.96,1.96,1.96,1.96,13500,1.96
2015-06-03,1.97,1.97,1.97,1.97,000,1.97
2015-06-04,1.97,1.97,1.97,1.97,000,1.97
2015-06-05,1.94,1.94,1.94,1.94,28300,1.94
2015-06-09,1.97,1.97,1.97,1.97,000,1.97
2015-06-10,1.92,1.92,1.92,1.92,000,1.92
2015-06-11,1.92,1.92,1.92,1.92,000,1.92
2015-06-12,1.97,1.97,1.97,1.97,23800,1.97
2015-06-15,1.9224,1.9224,1.9224,1.9224,000,1.9224
2015-06-16,1.9224,1.9224,1.9224,1.9224,000,1.9224
2015-06-17,1.98,2.02,1.98,2.02,31700,2.02
2015-06-18,1.95,1.95,1.95,1.95,000,1.95
2015-06-19,1.95,1.95,1.95,1.95,000,1.95
2015-06-22,1.95,1.95,1.95,1.95,000,1.95
2015-06-23,1.95,1.95,1.95,1.95,000,1.95
2015-06-24,2.00,2.00,2.00,2.00,000,2.00
2015-06-25,2.02,2.02,2.02,2.02,6200,2.02
2015-06-26,2.00,2.00,2.00,2.00,000,2.00
2015-06-29,2.00,2.00,2.00,2.00,000,2.00
2015-06-30,1.93,1.93,1.93,1.93,000,1.93
2015-07-01,1.93,1.93,1.93,1.93,32200,1.93
2015-07-02,1.93,1.93,1.93,1.93,000,1.93
2015-07-03,1.93,1.93,1.93,1.93,000,1.93
2015-07-06,1.95,1.95,1.95,1.95,12800,1.95
2015-07-07,1.93,1.93,1.93,1.93,000,1.93
2015-07-08,1.99,1.99,1.99,1.99,12500,1.99
2015-07-09,1.97,1.97,1.97,1.97,000,1.97
2015-07-10,1.97,1.97,1.97,1.97,000,1.97
2015-07-13,1.96,1.96,1.96,1.96,19300,1.96
2015-07-14,1.97,1.97,1.97,1.97,000,1.97
2015-07-15,1.97,1.97,1.97,1.97,000,1.97
2015-07-16,1.95,1.95,1.95,1.95,4400,1.95
2015-07-17,1.97,1.97,1.97,1.97,000,1.97
2015-07-20,1.97,1.97,1.97,1.97,000,1.97
2015-07-21,1.97,1.97,1.97,1.97,000,1.97
2015-07-22,1.97,1.97,1.97,1.97,11400,1.97
2015-07-23,1.97,1.97,1.97,1.97,000,1.97
2015-07-24,1.9679,1.9679,1.9679,1.9679,000,1.9679
2015-07-27,1.9679,1.9679,1.9679,1.9679,000,1.9679
2015-07-28,1.9679,1.9679,1.9679,1.9679,000,1.9679
2015-07-29,1.99,1.99,1.93,1.93,18500,1.93
2015-07-30,1.97,1.97,1.97,1.97,000,1.97
2015-07-31,1.97,1.97,1.97,1.97,000,1.97
2015-08-03,1.97,1.97,1.97,1.97,000,1.97
2015-08-04,1.97,1.97,1.97,1.97,000,1.97
2015-08-05,2.10,2.10,2.10,2.10,5200,2.10
2015-08-06,2.01,2.01,2.01,2.01,000,2.01
2015-08-07,2.01,2.01,2.01,2.01,000,2.01
2015-08-10,2.01,2.01,2.01,2.01,000,2.01
2015-08-11,1.93,1.97,1.93,1.97,15300,1.97
