Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.925,0.925,0.925,0.925,000,0.881
2015-01-02,0.925,0.925,0.925,0.925,000,0.881
2015-01-05,0.925,0.925,0.925,0.925,000,0.881
2015-01-06,0.925,0.925,0.925,0.925,000,0.881
2015-01-07,0.90,0.90,0.90,0.90,10000,0.857
2015-01-08,0.93,0.93,0.93,0.93,1000,0.886
2015-01-09,0.93,0.93,0.90,0.90,18100,0.857
2015-01-12,0.90,0.90,0.90,0.90,18500,0.857
2015-01-13,0.90,0.90,0.90,0.90,000,0.857
2015-01-14,0.90,0.90,0.90,0.90,000,0.857
2015-01-15,0.92,0.94,0.92,0.94,125700,0.895
2015-01-16,0.94,0.94,0.94,0.94,000,0.895
2015-01-19,0.94,0.94,0.94,0.94,000,0.895
2015-01-20,0.88,0.88,0.87,0.87,27900,0.829
2015-01-21,0.87,0.87,0.865,0.865,10000,0.824
2015-01-22,0.87,0.88,0.87,0.88,39100,0.838
2015-01-23,0.88,0.88,0.88,0.88,000,0.838
2015-01-26,0.88,0.88,0.88,0.88,000,0.838
2015-01-27,0.90,0.91,0.88,0.91,45800,0.867
2015-01-28,0.90,0.94,0.90,0.94,207400,0.895
2015-01-29,0.94,0.94,0.94,0.94,000,0.895
2015-01-30,0.94,0.94,0.94,0.94,000,0.895
2015-02-02,0.91,0.91,0.90,0.91,8100,0.867
2015-02-03,0.91,0.91,0.91,0.91,6700,0.867
2015-02-04,0.92,0.945,0.92,0.94,38600,0.895
2015-02-05,0.95,0.96,0.95,0.96,68500,0.914
2015-02-06,0.95,0.98,0.95,0.98,163700,0.933
2015-02-09,0.98,0.98,0.97,0.97,17600,0.924
2015-02-10,0.98,0.98,0.98,0.98,83200,0.933
2015-02-11,0.98,0.98,0.98,0.98,000,0.933
2015-02-12,0.98,0.98,0.98,0.98,000,0.933
2015-02-13,0.98,0.98,0.98,0.98,4200,0.933
2015-02-16,0.98,0.98,0.97,0.98,17300,0.933
2015-02-17,0.98,0.98,0.98,0.98,12000,0.933
2015-02-18,0.98,0.98,0.98,0.98,000,0.933
2015-02-19,0.98,0.98,0.98,0.98,000,0.933
2015-02-20,0.98,0.98,0.98,0.98,000,0.933
2015-02-23,0.98,0.98,0.95,0.95,93100,0.905
2015-02-24,0.95,0.95,0.95,0.95,000,0.905
2015-02-25,0.95,0.95,0.95,0.95,000,0.905
2015-02-26,0.95,0.95,0.90,0.90,33900,0.857
2015-02-27,0.90,0.90,0.85,0.85,224500,0.81
2015-03-02,0.87,0.87,0.87,0.87,23400,0.829
2015-03-03,0.85,0.85,0.85,0.85,40800,0.829
2015-03-04,0.85,0.85,0.85,0.85,000,0.829
2015-03-05,0.85,0.85,0.85,0.85,000,0.829
2015-03-06,0.85,0.85,0.85,0.85,000,0.829
2015-03-09,0.80,0.80,0.80,0.80,2000,0.78
2015-03-10,0.82,0.82,0.82,0.82,500,0.80
2015-03-11,0.82,0.82,0.82,0.82,24200,0.80
2015-03-12,0.82,0.82,0.82,0.82,000,0.80
2015-03-13,0.82,0.82,0.80,0.82,51800,0.80
2015-03-16,0.82,0.82,0.82,0.82,000,0.80
2015-03-17,0.82,0.82,0.82,0.82,000,0.80
2015-03-18,0.82,0.82,0.82,0.82,000,0.80
2015-03-19,0.82,0.82,0.82,0.82,000,0.80
2015-03-20,0.82,0.82,0.805,0.805,1300,0.785
