Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.215,0.215,0.215,0.215,000,0.215
2015-01-02,0.215,0.215,0.215,0.215,000,0.215
2015-01-05,0.15,0.15,0.15,0.15,99300,0.15
2015-01-06,0.215,0.215,0.215,0.215,000,0.215
2015-01-07,0.215,0.215,0.215,0.215,000,0.215
2015-01-08,0.215,0.215,0.215,0.215,000,0.215
2015-01-09,0.15,0.15,0.15,0.15,36400,0.15
2015-01-12,0.215,0.215,0.215,0.215,000,0.215
2015-01-13,0.215,0.215,0.215,0.215,000,0.215
2015-01-14,0.21,0.21,0.21,0.21,000,0.21
2015-01-15,0.21,0.21,0.21,0.21,000,0.21
2015-01-16,0.15,0.15,0.15,0.15,15400,0.15
2015-01-19,0.21,0.21,0.21,0.21,000,0.21
2015-01-20,0.21,0.21,0.21,0.21,000,0.21
2015-01-21,0.0282,0.0282,0.0282,0.0282,000,0.0282
2015-01-22,0.0282,0.0282,0.0282,0.0282,000,0.0282
2015-01-23,0.145,0.145,0.145,0.145,20000,0.145
2015-01-27,0.145,0.145,0.145,0.145,34000,0.145
2015-01-28,0.21,0.21,0.21,0.21,000,0.21
2015-01-29,0.21,0.21,0.21,0.21,000,0.21
2015-01-30,0.14,0.145,0.14,0.145,75900,0.145
2015-02-02,0.21,0.21,0.21,0.21,000,0.21
2015-02-03,0.14,0.14,0.14,0.14,5900,0.14
2015-02-04,0.21,0.21,0.21,0.21,000,0.21
2015-02-05,0.21,0.21,0.21,0.21,000,0.21
2015-02-06,0.145,0.145,0.145,0.145,236000,0.145
2015-02-09,0.21,0.21,0.21,0.21,000,0.21
2015-02-10,0.21,0.21,0.21,0.21,000,0.21
2015-02-11,0.21,0.21,0.21,0.21,000,0.21
2015-02-12,0.145,0.145,0.145,0.145,270900,0.145
2015-02-13,0.234,0.234,0.234,0.234,000,0.234
2015-02-16,0.234,0.234,0.234,0.234,000,0.234
2015-02-17,0.234,0.234,0.234,0.234,000,0.234
2015-02-18,0.145,0.145,0.14,0.14,100000,0.14
2015-02-19,0.234,0.234,0.234,0.234,000,0.234
2015-02-20,0.234,0.234,0.234,0.234,000,0.234
2015-02-23,0.145,0.145,0.14,0.14,15000,0.14
2015-02-24,0.234,0.234,0.234,0.234,000,0.234
