Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.15,5.15,5.15,5.15,000,4.96
2015-01-02,5.22,5.22,5.06,5.17,86600,4.979
2015-01-05,5.15,5.25,5.01,5.19,139900,4.999
2015-01-06,5.12,5.16,5.02,5.07,121800,4.883
2015-01-07,5.06,5.06,4.96,5.00,105800,4.816
2015-01-08,5.00,5.11,4.97,5.07,144600,4.883
2015-01-09,5.10,5.20,5.08,5.18,162700,4.989
2015-01-12,5.15,5.21,5.11,5.16,121400,4.97
2015-01-13,5.12,5.15,5.05,5.09,171400,4.902
2015-01-14,5.09,5.09,5.00,5.00,155300,4.816
2015-01-15,5.00,5.03,4.94,4.98,210700,4.796
2015-01-16,4.94,4.95,4.81,4.87,211500,4.69
2015-01-19,4.91,4.91,4.86,4.90,134700,4.719
2015-01-20,4.88,4.88,4.82,4.87,88100,4.69
2015-01-21,4.87,4.97,4.87,4.97,69900,4.787
2015-01-22,4.98,5.02,4.95,4.98,77500,4.796
2015-01-23,4.98,5.05,4.98,5.02,78800,4.835
2015-01-26,5.02,5.02,5.02,5.02,000,4.835
2015-01-27,5.03,5.10,5.02,5.07,183000,4.883
2015-01-28,5.05,5.12,5.05,5.10,195600,4.912
2015-01-29,5.06,5.14,5.03,5.13,140500,4.941
2015-01-30,5.14,5.14,5.04,5.11,177200,4.922
2015-02-02,5.06,5.14,5.03,5.09,139500,4.902
2015-02-03,5.11,5.11,5.02,5.09,169000,4.902
2015-02-04,5.10,5.10,5.03,5.07,127200,4.883
2015-02-05,5.06,5.15,5.06,5.13,132400,4.941
2015-02-06,5.14,5.16,5.08,5.08,75100,4.893
2015-02-09,5.07,5.13,5.07,5.11,143300,4.922
2015-02-10,5.11,5.15,5.09,5.11,80000,4.922
2015-02-11,5.13,5.14,5.06,5.11,120500,4.922
2015-02-12,5.13,5.25,5.13,5.25,272300,5.056
2015-02-13,5.25,5.32,5.15,5.15,308800,4.96
2015-02-16,5.17,5.24,5.10,5.23,94800,5.037
2015-02-17,5.22,5.25,5.21,5.23,111700,5.037
2015-02-18,5.24,5.25,4.88,5.05,368100,4.864
2015-02-19,5.07,5.17,5.01,5.04,326000,4.854
2015-02-20,5.06,5.07,4.83,4.93,356800,4.748
2015-02-23,4.98,4.98,4.87,4.89,417800,4.71
2015-02-24,4.87,4.98,4.86,4.88,222600,4.70
2015-02-25,4.89,4.90,4.87,4.89,284700,4.71
2015-02-26,4.87,4.87,4.74,4.79,227900,4.668
2015-02-27,4.81,4.81,4.715,4.80,738000,4.678
2015-03-02,4.83,4.98,4.80,4.91,325400,4.785
2015-03-03,4.93,4.96,4.81,4.85,270000,4.726
2015-03-04,4.85,4.89,4.81,4.83,152400,4.707
2015-03-05,4.82,4.86,4.80,4.85,134000,4.726
2015-03-06,4.85,4.86,4.76,4.77,222700,4.648
2015-03-09,4.76,4.85,4.64,4.67,460900,4.551
2015-03-10,4.66,4.73,4.64,4.65,299400,4.531
2015-03-11,4.62,4.79,4.61,4.69,314000,4.57
2015-03-12,4.71,4.80,4.70,4.71,144900,4.59
2015-03-13,4.72,4.75,4.69,4.73,149600,4.609
2015-03-16,4.73,4.79,4.71,4.73,173900,4.609
2015-03-17,4.76,4.79,4.72,4.73,133100,4.609
2015-03-18,4.75,4.75,4.70,4.75,165900,4.629
2015-03-19,4.75,4.86,4.75,4.84,413500,4.717
2015-03-20,4.86,4.92,4.86,4.90,199000,4.775
2015-03-23,4.86,4.88,4.79,4.83,142100,4.707
2015-03-24,4.81,4.91,4.81,4.86,87500,4.736
2015-03-25,4.91,4.91,4.84,4.85,126100,4.726
2015-03-26,4.85,4.90,4.85,4.86,259100,4.736
2015-03-27,4.85,4.89,4.84,4.87,141000,4.746
2015-03-30,4.82,4.87,4.77,4.78,149900,4.658
2015-03-31,4.77,4.80,4.76,4.80,215800,4.678
2015-04-01,4.78,4.81,4.76,4.78,155400,4.658
2015-04-02,4.80,4.89,4.78,4.88,141600,4.756
2015-04-03,4.88,4.88,4.88,4.88,000,4.756
2015-04-06,4.88,4.88,4.88,4.88,000,4.756
2015-04-07,4.91,5.07,4.89,4.90,167700,4.775
2015-04-08,4.90,5.02,4.90,5.00,91800,4.873
2015-04-09,5.00,5.08,4.98,5.05,191600,4.921
2015-04-10,5.09,5.09,5.04,5.05,57100,4.921
2015-04-13,5.06,5.09,4.93,4.99,59700,4.863
