Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.73,4.73,4.73,4.73,000,4.73
2015-01-02,4.76,4.78,4.66,4.68,172900,4.68
2015-01-05,4.66,4.76,4.62,4.70,516700,4.70
2015-01-06,4.67,4.70,4.50,4.57,472400,4.57
2015-01-07,4.52,4.57,4.45,4.47,426300,4.47
2015-01-08,4.50,4.50,4.32,4.44,454500,4.44
2015-01-09,4.50,4.52,4.40,4.52,310100,4.52
2015-01-12,4.46,4.60,4.45,4.55,221700,4.55
2015-01-13,4.46,4.52,4.35,4.45,330100,4.45
2015-01-14,4.46,4.49,4.34,4.41,617800,4.41
2015-01-15,4.40,4.42,4.35,4.41,562900,4.41
2015-01-16,4.32,4.40,4.29,4.31,830500,4.31
2015-01-19,4.32,4.43,4.30,4.30,219600,4.30
2015-01-20,4.28,4.30,4.20,4.26,246600,4.26
2015-01-21,4.25,4.34,4.24,4.25,347500,4.25
2015-01-22,4.28,4.28,4.12,4.19,417900,4.19
2015-01-23,4.19,4.20,4.13,4.16,282800,4.16
2015-01-26,4.16,4.16,4.16,4.16,000,4.16
2015-01-27,4.17,4.20,4.08,4.11,393900,4.11
2015-01-28,3.08,3.08,2.59,2.64,6013400,2.64
2015-01-29,2.75,2.77,2.60,2.62,3333500,2.62
2015-01-30,2.70,2.77,2.66,2.73,1871700,2.73
2015-02-02,2.77,2.84,2.70,2.72,2093700,2.72
2015-02-03,2.76,2.78,2.70,2.73,1211000,2.73
2015-02-04,2.80,2.82,2.74,2.82,1647000,2.82
2015-02-05,2.83,2.90,2.76,2.85,1496700,2.85
2015-02-06,2.90,3.08,2.89,3.08,1605600,3.08
2015-02-09,3.16,3.20,3.05,3.15,855700,3.15
2015-02-10,2.70,2.70,2.36,2.45,6210600,2.45
2015-02-11,2.50,2.53,2.11,2.14,6984300,2.14
2015-02-12,2.18,2.27,2.10,2.15,3670100,2.15
2015-02-13,2.21,2.25,2.17,2.24,2622500,2.24
2015-02-16,2.28,2.38,2.26,2.33,2644600,2.33
2015-02-17,2.33,2.34,2.19,2.22,1813300,2.22
2015-02-18,2.24,2.30,2.22,2.26,1460500,2.26
2015-02-19,2.30,2.32,2.24,2.25,884200,2.25
2015-02-20,2.26,2.32,2.24,2.31,732600,2.31
2015-02-23,2.31,2.32,2.27,2.29,532400,2.29
2015-02-24,2.28,2.39,2.28,2.36,1678200,2.36
2015-02-25,2.38,2.39,2.25,2.30,863000,2.30
2015-02-26,2.30,2.31,2.20,2.26,1330100,2.26
2015-02-27,2.25,2.28,2.22,2.22,1223300,2.22
2015-03-02,2.26,2.27,2.22,2.23,522200,2.23
2015-03-03,2.24,2.27,2.18,2.24,952700,2.24
2015-03-04,2.26,2.32,2.22,2.31,901900,2.31
2015-03-05,2.25,2.31,2.25,2.27,440500,2.27
2015-03-06,2.23,2.29,2.19,2.21,677400,2.21
2015-03-09,2.19,2.20,1.83,1.90,2798300,1.90
2015-03-10,1.955,2.01,1.885,1.90,1564000,1.90
2015-03-11,1.87,1.89,1.80,1.825,2913400,1.825
2015-03-12,1.84,1.92,1.81,1.905,1474500,1.905
2015-03-13,1.91,1.98,1.89,1.97,1600800,1.97
2015-03-16,1.92,1.96,1.85,1.895,2897500,1.895
2015-03-17,1.90,2.00,1.90,1.98,1755400,1.98
2015-03-18,1.99,2.00,1.85,1.875,2962900,1.875
2015-03-19,1.94,1.94,1.825,1.90,3121100,1.90
2015-03-20,1.91,1.93,1.835,1.875,10285000,1.875
2015-03-23,1.88,1.88,1.76,1.825,3720500,1.825
2015-03-24,1.84,1.915,1.785,1.90,2735300,1.90
2015-03-25,1.90,2.08,1.87,2.04,3280200,2.04
2015-03-26,2.04,2.04,1.91,1.93,1974200,1.93
2015-03-27,1.92,1.955,1.88,1.935,2615700,1.935
2015-03-30,1.905,1.92,1.815,1.82,1374000,1.82
2015-03-31,1.855,1.895,1.835,1.845,1566800,1.845
