Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.25,0.25,0.25,0.25,000,0.25
2015-01-02,0.285,0.29,0.265,0.265,46100,0.265
2015-01-05,0.265,0.265,0.265,0.265,000,0.265
2015-01-06,0.265,0.265,0.265,0.265,000,0.265
2015-01-07,0.265,0.265,0.265,0.265,000,0.265
2015-01-08,0.285,0.285,0.26,0.265,178800,0.265
2015-01-09,0.26,0.26,0.26,0.26,60000,0.26
2015-01-12,0.25,0.25,0.25,0.25,12000,0.25
2015-01-13,0.25,0.25,0.25,0.25,11900,0.25
2015-01-14,0.26,0.26,0.24,0.245,45500,0.245
2015-01-15,0.25,0.25,0.235,0.245,117600,0.245
2015-01-16,0.245,0.25,0.235,0.25,12300,0.25
2015-01-19,0.265,0.265,0.20,0.225,374600,0.225
2015-01-20,0.235,0.235,0.235,0.235,5000,0.235
2015-01-21,0.23,0.23,0.23,0.23,30000,0.23
2015-01-22,0.25,0.25,0.25,0.25,9700,0.25
2015-01-23,0.235,0.24,0.23,0.24,107300,0.24
2015-01-26,0.24,0.24,0.24,0.24,000,0.24
2015-01-27,0.24,0.255,0.24,0.255,79900,0.255
2015-01-28,0.245,0.25,0.23,0.235,292700,0.235
2015-01-29,0.235,0.235,0.235,0.235,000,0.235
2015-01-30,0.235,0.235,0.235,0.235,000,0.235
2015-02-02,0.235,0.235,0.235,0.235,100000,0.235
2015-02-03,0.235,0.235,0.235,0.235,000,0.235
2015-02-04,0.235,0.235,0.235,0.235,000,0.235
2015-02-05,0.24,0.24,0.235,0.235,144200,0.235
2015-02-06,0.23,0.23,0.23,0.23,5000,0.23
2015-02-09,0.225,0.225,0.215,0.215,125700,0.215
2015-02-10,0.215,0.215,0.21,0.21,30800,0.21
2015-02-11,0.22,0.22,0.21,0.22,380300,0.22
2015-02-12,0.22,0.22,0.22,0.22,245600,0.22
2015-02-13,0.22,0.22,0.22,0.22,140900,0.22
2015-02-16,0.22,0.24,0.22,0.23,143000,0.23
2015-02-17,0.23,0.23,0.23,0.23,10000,0.23
2015-02-18,0.23,0.23,0.225,0.225,75800,0.225
2015-02-19,0.22,0.23,0.22,0.23,42500,0.23
2015-02-20,0.22,0.23,0.22,0.225,114200,0.225
2015-02-23,0.225,0.225,0.225,0.225,31100,0.225
2015-02-24,0.225,0.225,0.22,0.22,125000,0.22
2015-02-25,0.225,0.225,0.21,0.21,165400,0.21
2015-02-26,0.21,0.225,0.21,0.225,70900,0.225
2015-02-27,0.225,0.225,0.225,0.225,32400,0.225
2015-03-02,0.225,0.23,0.21,0.21,58300,0.21
2015-03-03,0.21,0.21,0.19,0.20,441500,0.20
2015-03-04,0.195,0.20,0.19,0.19,203700,0.19
2015-03-05,0.195,0.20,0.19,0.20,78000,0.20
2015-03-06,0.195,0.20,0.195,0.20,10000,0.20
2015-03-09,0.19,0.19,0.19,0.19,50000,0.19
2015-03-10,0.19,0.19,0.19,0.19,000,0.19
2015-03-11,0.19,0.195,0.19,0.195,206600,0.195
2015-03-12,0.195,0.195,0.195,0.195,6700,0.195
2015-03-13,0.195,0.21,0.195,0.21,31100,0.21
2015-03-16,0.195,0.195,0.195,0.195,40100,0.195
2015-03-17,0.195,0.20,0.195,0.20,35000,0.20
2015-03-18,0.20,0.205,0.20,0.205,105000,0.205
2015-03-19,0.20,0.20,0.20,0.20,1000,0.20
2015-03-20,0.21,0.22,0.21,0.22,62200,0.22
2015-03-23,0.22,0.22,0.22,0.22,000,0.22
2015-03-24,0.21,0.22,0.21,0.22,300000,0.22
2015-03-25,0.21,0.235,0.21,0.23,246500,0.23
2015-03-26,0.235,0.235,0.225,0.23,62000,0.23
2015-03-27,0.23,0.23,0.23,0.23,000,0.23
2015-03-30,0.22,0.22,0.21,0.21,244000,0.21
2015-03-31,0.215,0.225,0.215,0.22,271600,0.22
2015-04-01,0.225,0.225,0.215,0.215,356100,0.215
2015-04-02,0.22,0.23,0.22,0.23,188500,0.23
2015-04-03,0.23,0.23,0.23,0.23,000,0.23
2015-04-06,0.23,0.23,0.23,0.23,000,0.23
2015-04-07,0.23,0.235,0.23,0.235,56600,0.235
2015-04-08,0.235,0.25,0.23,0.23,297900,0.23
2015-04-09,0.23,0.23,0.23,0.23,102000,0.23
2015-04-10,0.23,0.23,0.23,0.23,700,0.23
2015-04-13,0.24,0.24,0.23,0.24,12000,0.24
