Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.05,0.05,0.05,0.05,000,0.05
2015-01-02,0.051,0.053,0.051,0.052,610000,0.052
2015-01-05,0.052,0.06,0.052,0.06,449600,0.06
2015-01-06,0.062,0.075,0.06,0.075,706100,0.075
2015-01-07,0.075,0.09,0.075,0.09,297000,0.09
2015-01-08,0.087,0.087,0.075,0.075,415900,0.075
2015-01-09,0.075,0.075,0.074,0.075,219000,0.075
2015-01-12,0.098,0.098,0.085,0.085,122200,0.085
2015-01-13,0.086,0.091,0.086,0.09,289700,0.09
2015-01-14,0.09,0.09,0.085,0.085,454500,0.085
2015-01-15,0.085,0.085,0.085,0.085,000,0.085
2015-01-16,0.09,0.095,0.087,0.09,296800,0.09
2015-01-19,0.09,0.095,0.09,0.093,358500,0.093
2015-01-20,0.093,0.093,0.09,0.093,265400,0.093
2015-01-21,0.094,0.105,0.093,0.098,1002300,0.098
2015-01-22,0.098,0.10,0.095,0.095,275900,0.095
2015-01-23,0.099,0.10,0.091,0.098,1013200,0.098
2015-01-26,0.098,0.098,0.098,0.098,000,0.098
2015-01-27,0.098,0.098,0.098,0.098,000,0.098
2015-01-28,0.098,0.098,0.098,0.098,000,0.098
2015-01-29,0.096,0.10,0.096,0.10,511800,0.10
2015-01-30,0.095,0.097,0.092,0.096,435900,0.096
2015-02-02,0.097,0.10,0.096,0.099,160800,0.099
2015-02-03,0.098,0.098,0.09,0.09,234400,0.09
2015-02-04,0.095,0.095,0.095,0.095,27000,0.095
2015-02-05,0.09,0.092,0.089,0.089,553400,0.089
2015-02-06,0.088,0.089,0.083,0.083,269700,0.083
2015-02-09,0.087,0.089,0.087,0.088,250400,0.088
2015-02-10,0.088,0.088,0.088,0.088,10000,0.088
2015-02-11,0.083,0.092,0.083,0.092,428500,0.092
2015-02-12,0.089,0.092,0.088,0.092,110000,0.092
2015-02-13,0.092,0.092,0.09,0.091,140000,0.091
2015-02-16,0.093,0.096,0.093,0.096,296000,0.096
2015-02-17,0.093,0.093,0.091,0.091,150000,0.091
2015-02-18,0.091,0.092,0.09,0.09,189200,0.09
2015-02-19,0.09,0.09,0.09,0.09,135800,0.09
2015-02-20,0.092,0.105,0.092,0.105,1770300,0.105
2015-02-23,0.11,0.14,0.11,0.125,3644500,0.125
2015-02-24,0.125,0.135,0.12,0.12,922000,0.12
2015-02-25,0.125,0.14,0.125,0.135,2113500,0.135
2015-02-26,0.135,0.14,0.135,0.135,1389900,0.135
2015-02-27,0.135,0.145,0.135,0.14,881000,0.14
2015-03-02,0.14,0.14,0.13,0.13,1334300,0.13
2015-03-03,0.125,0.13,0.125,0.13,1115400,0.13
2015-03-04,0.135,0.14,0.125,0.125,976500,0.125
2015-03-05,0.125,0.125,0.12,0.125,610800,0.125
2015-03-06,0.125,0.13,0.12,0.125,280100,0.125
2015-03-09,0.125,0.125,0.12,0.125,278000,0.125
2015-03-10,0.12,0.125,0.12,0.125,323800,0.125
2015-03-11,0.12,0.12,0.115,0.12,362500,0.12
2015-03-12,0.12,0.125,0.12,0.12,571600,0.12
2015-03-13,0.125,0.125,0.115,0.115,853000,0.115
2015-03-16,0.12,0.12,0.12,0.12,217100,0.12
2015-03-17,0.12,0.125,0.12,0.12,471000,0.12
2015-03-18,0.12,0.125,0.12,0.125,879700,0.125
2015-03-19,0.125,0.14,0.125,0.135,1272400,0.135
2015-03-20,0.13,0.14,0.13,0.14,675000,0.14
2015-03-23,0.14,0.16,0.14,0.15,1904700,0.15
2015-03-24,0.155,0.155,0.145,0.15,605000,0.15
2015-03-25,0.15,0.165,0.15,0.15,767600,0.15
2015-03-26,0.155,0.155,0.15,0.155,505800,0.155
2015-03-27,0.15,0.15,0.145,0.145,105400,0.145
2015-03-30,0.15,0.15,0.145,0.145,268500,0.145
2015-03-31,0.145,0.15,0.145,0.15,149000,0.15
2015-04-01,0.15,0.15,0.14,0.15,973300,0.15
2015-04-02,0.15,0.155,0.15,0.15,299600,0.15
2015-04-03,0.15,0.15,0.15,0.15,000,0.15
2015-04-06,0.15,0.15,0.15,0.15,000,0.15
2015-04-07,0.155,0.16,0.155,0.16,438300,0.16
2015-04-08,0.155,0.16,0.155,0.16,400100,0.16
2015-04-09,0.16,0.16,0.155,0.16,467500,0.16
2015-04-10,0.155,0.155,0.155,0.155,492700,0.155
2015-04-13,0.155,0.155,0.155,0.155,343300,0.155
2015-04-14,0.155,0.155,0.15,0.15,133500,0.15
2015-04-15,0.15,0.155,0.15,0.155,237400,0.155
2015-04-16,0.16,0.16,0.15,0.15,134900,0.15
2015-04-17,0.155,0.155,0.145,0.145,185000,0.145
2015-04-20,0.15,0.15,0.135,0.145,664800,0.145
2015-04-21,0.145,0.145,0.135,0.14,422900,0.14
2015-04-22,0.135,0.14,0.135,0.135,337000,0.135
2015-04-23,0.135,0.135,0.13,0.135,481700,0.135
2015-04-24,0.14,0.14,0.135,0.135,2058400,0.135
2015-04-27,0.145,0.145,0.135,0.135,587100,0.135
2015-04-28,0.14,0.145,0.14,0.145,187600,0.145
2015-04-29,0.14,0.14,0.135,0.14,473000,0.14
2015-04-30,0.14,0.15,0.14,0.145,100000,0.145
2015-05-01,0.145,0.15,0.14,0.14,210000,0.14
2015-05-04,0.14,0.145,0.14,0.145,65000,0.145
2015-05-05,0.14,0.145,0.14,0.145,43600,0.145
2015-05-06,0.15,0.155,0.15,0.155,417800,0.155
2015-05-07,0.15,0.15,0.14,0.15,279500,0.15
2015-05-08,0.145,0.145,0.145,0.145,72000,0.145
2015-05-11,0.15,0.15,0.145,0.145,497300,0.145
2015-05-12,0.15,0.155,0.15,0.155,292700,0.155
2015-05-13,0.155,0.16,0.155,0.16,269900,0.16
2015-05-14,0.16,0.165,0.16,0.16,597400,0.16
2015-05-15,0.16,0.16,0.155,0.16,431200,0.16
2015-05-18,0.16,0.16,0.16,0.16,000,0.16
2015-05-19,0.18,0.19,0.165,0.165,1771800,0.165
2015-05-20,0.165,0.17,0.155,0.155,1024700,0.155
2015-05-21,0.165,0.17,0.165,0.17,887100,0.17
2015-05-22,0.175,0.18,0.175,0.18,1020600,0.18
2015-05-25,0.18,0.18,0.175,0.175,854700,0.175
2015-05-26,0.175,0.195,0.175,0.19,2046300,0.19
2015-05-27,0.185,0.185,0.18,0.185,518600,0.185
2015-05-28,0.185,0.185,0.18,0.18,951000,0.18
2015-05-29,0.19,0.19,0.18,0.185,755500,0.185
2015-06-01,0.185,0.19,0.185,0.19,260800,0.19
2015-06-02,0.19,0.19,0.175,0.18,1406500,0.18
2015-06-03,0.185,0.19,0.18,0.18,154500,0.18
2015-06-04,0.18,0.18,0.175,0.18,257100,0.18
2015-06-05,0.175,0.18,0.175,0.175,455000,0.175
2015-06-08,0.175,0.175,0.175,0.175,000,0.175
2015-06-09,0.17,0.17,0.17,0.17,370400,0.17
2015-06-10,0.17,0.175,0.165,0.17,781300,0.17
2015-06-11,0.17,0.17,0.165,0.17,123800,0.17
2015-06-12,0.17,0.17,0.165,0.165,79600,0.165
2015-06-15,0.165,0.17,0.165,0.17,491100,0.17
2015-06-16,0.17,0.185,0.165,0.175,847800,0.175
2015-06-17,0.18,0.185,0.17,0.175,605600,0.175
2015-06-18,0.175,0.175,0.17,0.17,318200,0.17
2015-06-19,0.18,0.18,0.175,0.175,98200,0.175
2015-06-22,0.175,0.175,0.17,0.17,185400,0.17
2015-06-23,0.17,0.17,0.165,0.17,848700,0.17
2015-06-24,0.165,0.165,0.165,0.165,495000,0.165
2015-06-25,0.165,0.165,0.16,0.165,825600,0.165
2015-06-26,0.165,0.17,0.165,0.165,204300,0.165
2015-06-29,0.165,0.165,0.16,0.16,244800,0.16
2015-06-30,0.16,0.16,0.15,0.155,1534800,0.155
2015-07-01,0.155,0.165,0.155,0.155,285000,0.155
2015-07-02,0.16,0.16,0.16,0.16,105000,0.16
2015-07-03,0.16,0.16,0.15,0.16,193500,0.16
2015-07-06,0.155,0.155,0.15,0.15,349800,0.15
2015-07-07,0.155,0.155,0.155,0.155,83300,0.155
2015-07-08,0.15,0.155,0.14,0.14,374400,0.14
2015-07-09,0.145,0.15,0.145,0.15,166000,0.15
2015-07-10,0.155,0.155,0.15,0.155,76900,0.155
2015-07-13,0.155,0.16,0.15,0.15,556600,0.15
2015-07-14,0.15,0.15,0.145,0.15,691900,0.15
2015-07-15,0.155,0.16,0.15,0.16,62700,0.16
2015-07-16,0.16,0.16,0.155,0.155,212200,0.155
2015-07-17,0.15,0.16,0.145,0.16,496200,0.16
2015-07-20,0.155,0.16,0.145,0.145,382800,0.145
2015-07-21,0.145,0.145,0.14,0.145,728000,0.145
2015-07-22,0.145,0.15,0.145,0.145,365000,0.145
2015-07-23,0.145,0.15,0.145,0.15,80300,0.15
2015-07-24,0.15,0.155,0.145,0.15,241500,0.15
2015-07-27,0.15,0.15,0.145,0.145,184700,0.145
2015-07-28,0.145,0.15,0.145,0.145,147600,0.145
2015-07-29,0.145,0.145,0.145,0.145,000,0.145
