Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.125,0.125,0.125,0.125,000,0.125
2015-01-02,0.125,0.13,0.125,0.13,72000,0.13
2015-01-05,0.13,0.145,0.13,0.145,65700,0.145
2015-01-06,0.145,0.145,0.145,0.145,000,0.145
2015-01-07,0.145,0.145,0.145,0.145,000,0.145
2015-01-08,0.145,0.145,0.145,0.145,000,0.145
2015-01-09,0.14,0.14,0.135,0.135,23500,0.135
2015-01-12,0.135,0.135,0.135,0.135,000,0.135
2015-01-13,0.135,0.135,0.135,0.135,000,0.135
2015-01-14,0.135,0.135,0.135,0.135,000,0.135
2015-01-15,0.135,0.135,0.135,0.135,000,0.135
2015-01-16,0.135,0.135,0.135,0.135,000,0.135
2015-01-19,0.135,0.135,0.135,0.135,000,0.135
2015-01-20,0.14,0.15,0.14,0.15,93000,0.15
2015-01-21,0.15,0.15,0.15,0.15,000,0.15
2015-01-22,0.15,0.15,0.15,0.15,000,0.15
2015-01-23,0.15,0.15,0.15,0.15,76300,0.15
2015-01-26,0.15,0.15,0.15,0.15,000,0.15
2015-01-27,0.16,0.17,0.16,0.165,297200,0.165
2015-01-28,0.17,0.17,0.165,0.165,70500,0.165
2015-01-29,0.16,0.16,0.15,0.15,28700,0.15
2015-01-30,0.17,0.17,0.15,0.155,38500,0.155
2015-02-02,0.175,0.175,0.175,0.175,11000,0.175
2015-02-03,0.17,0.17,0.13,0.13,564100,0.13
2015-02-04,0.13,0.13,0.13,0.13,000,0.13
2015-02-05,0.13,0.13,0.13,0.13,000,0.13
2015-02-06,0.13,0.13,0.13,0.13,000,0.13
2015-02-09,0.13,0.13,0.13,0.13,000,0.13
2015-02-10,0.13,0.13,0.13,0.13,000,0.13
2015-02-11,0.13,0.13,0.13,0.13,000,0.13
2015-02-12,0.13,0.13,0.13,0.13,000,0.13
2015-02-13,0.13,0.13,0.13,0.13,000,0.13
2015-02-16,0.15,0.15,0.15,0.15,50000,0.15
2015-02-17,0.15,0.15,0.15,0.15,000,0.15
2015-02-18,0.16,0.165,0.16,0.165,11700,0.165
2015-02-19,0.155,0.155,0.155,0.155,65000,0.155
2015-02-20,0.155,0.155,0.155,0.155,000,0.155
2015-02-23,0.175,0.185,0.175,0.18,77000,0.18
2015-02-24,0.19,0.20,0.19,0.20,55000,0.20
2015-02-25,0.20,0.22,0.20,0.22,55000,0.22
2015-02-26,0.22,0.22,0.205,0.205,38800,0.205
2015-02-27,0.21,0.215,0.21,0.215,20200,0.215
2015-03-02,0.215,0.215,0.205,0.205,16500,0.205
2015-03-03,0.205,0.205,0.19,0.19,25000,0.19
2015-03-04,0.19,0.19,0.19,0.19,15200,0.19
2015-03-05,0.175,0.175,0.16,0.16,97000,0.16
2015-03-06,0.155,0.16,0.15,0.15,115000,0.15
2015-03-09,0.17,0.185,0.17,0.185,33500,0.185
2015-03-10,0.185,0.185,0.18,0.18,41000,0.18
2015-03-11,0.17,0.17,0.17,0.17,100000,0.17
2015-03-12,0.19,0.21,0.19,0.19,95000,0.19
2015-03-13,0.19,0.19,0.19,0.19,000,0.19
2015-03-16,0.205,0.22,0.20,0.20,67300,0.20
2015-03-17,0.195,0.195,0.19,0.19,11500,0.19
2015-03-18,0.20,0.20,0.185,0.185,70000,0.185
2015-03-19,0.21,0.215,0.185,0.20,80000,0.20
2015-03-20,0.19,0.19,0.19,0.19,25000,0.19
2015-03-23,0.20,0.205,0.185,0.185,70100,0.185
2015-03-24,0.20,0.205,0.20,0.205,13600,0.205
2015-03-25,0.215,0.22,0.21,0.215,38700,0.215
