Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,12.18,12.18,12.18,12.18,000,10.70419
2015-01-02,12.18,12.24,12.08,12.20,549000,10.72176
2015-01-05,12.15,12.23,12.11,12.17,775700,10.6954
2015-01-06,12.05,12.05,11.85,11.90,1367800,10.45811
2015-01-07,11.87,12.00,11.77,11.94,1147100,10.49326
2015-01-08,12.00,12.01,11.84,11.94,1289800,10.49326
2015-01-09,12.07,12.07,11.92,12.02,658800,10.56357
2015-01-12,11.97,12.055,11.93,11.95,581200,10.50205
2015-01-13,11.90,11.93,11.81,11.88,822500,10.44054
2015-01-14,11.88,11.95,11.79,11.87,955600,10.43175
2015-01-15,11.90,11.90,11.71,11.80,1405100,10.37023
2015-01-16,11.75,11.79,11.61,11.71,1391200,10.29113
2015-01-19,11.80,11.88,11.68,11.74,960600,10.3175
2015-01-20,11.75,11.91,11.72,11.88,962900,10.44054
2015-01-21,11.90,11.99,11.85,11.97,1098300,10.51963
2015-01-22,12.00,12.07,11.98,12.01,1488700,10.55478
2015-01-23,12.09,12.135,12.02,12.09,1014700,10.62509
2015-01-26,12.09,12.09,12.09,12.09,000,10.62509
2015-01-27,12.10,12.18,12.06,12.12,1423300,10.65146
2015-01-28,12.07,12.40,12.05,12.37,1715100,10.87116
2015-01-29,12.28,12.55,12.25,12.50,1869100,10.98541
2015-01-30,12.53,12.66,12.51,12.51,2193700,10.9942
2015-02-02,12.50,12.68,12.46,12.67,1606300,11.13481
2015-02-03,12.70,12.99,12.66,12.96,2398000,11.38967
2015-02-04,13.00,13.18,13.00,13.12,2169400,11.53029
2015-02-05,13.10,13.35,13.01,13.34,1999100,11.72363
2015-02-06,13.30,13.41,13.24,13.33,1162000,11.71484
2015-02-09,13.27,13.43,13.26,13.40,775500,11.77636
2015-02-10,13.47,13.69,13.40,13.68,2109300,12.02243
2015-02-11,13.74,14.20,13.61,13.67,2359100,12.01365
2015-02-12,13.65,13.84,13.65,13.80,1842800,12.12789
2015-02-13,13.73,14.09,13.73,14.04,1181000,12.33881
2015-02-16,14.05,14.15,14.03,14.14,897200,12.4267
2015-02-17,14.11,14.11,13.91,14.07,1449200,12.36518
2015-02-18,14.08,14.10,13.86,14.06,1260400,12.35639
2015-02-19,14.10,14.23,14.01,14.10,986400,12.39154
2015-02-20,14.10,14.10,13.93,13.97,890700,12.2773
2015-02-23,13.99,14.13,13.98,14.08,674200,12.37397
2015-02-24,14.06,14.36,14.05,14.22,1271500,12.497
2015-02-25,14.26,14.345,14.22,14.31,1509100,12.5761
2015-02-26,14.30,14.31,14.13,14.20,1011800,12.47943
2015-02-27,14.20,14.20,13.75,13.96,3315100,12.26851
2015-03-02,13.95,14.25,13.945,14.19,1377100,12.47064
2015-03-03,14.22,14.38,14.01,14.08,1698100,12.37397
2015-03-04,14.06,14.13,13.82,13.97,1528300,12.2773
2015-03-05,14.00,14.00,13.67,13.85,1401100,12.17184
2015-03-06,13.90,14.05,13.84,13.92,967600,12.23335
2015-03-09,13.86,13.945,13.78,13.81,576900,12.13668
