Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.014,0.014,0.014,0.014,000,0.014
2015-01-02,0.014,0.014,0.014,0.014,000,0.014
2015-01-05,0.014,0.014,0.014,0.014,000,0.014
2015-01-06,0.014,0.014,0.014,0.014,000,0.014
2015-01-07,0.014,0.014,0.014,0.014,109700,0.014
2015-01-08,0.014,0.014,0.014,0.014,000,0.014
2015-01-09,0.014,0.014,0.014,0.014,000,0.014
2015-01-12,0.014,0.014,0.014,0.014,000,0.014
2015-01-13,0.014,0.014,0.014,0.014,000,0.014
2015-01-14,0.014,0.014,0.014,0.014,000,0.014
2015-01-15,0.014,0.014,0.014,0.014,000,0.014
2015-01-16,0.014,0.014,0.014,0.014,000,0.014
2015-01-19,0.014,0.014,0.014,0.014,000,0.014
2015-01-20,0.013,0.013,0.013,0.013,50000,0.013
2015-01-21,0.013,0.013,0.013,0.013,000,0.013
2015-01-22,0.013,0.013,0.013,0.013,000,0.013
2015-01-23,0.013,0.013,0.013,0.013,000,0.013
2015-01-26,0.013,0.013,0.013,0.013,000,0.013
2015-01-27,0.013,0.013,0.013,0.013,177600,0.013
2015-01-28,0.013,0.015,0.013,0.015,210000,0.015
2015-01-29,0.013,0.013,0.011,0.011,685700,0.011
2015-01-30,0.011,0.011,0.011,0.011,837400,0.011
2015-02-02,0.011,0.011,0.011,0.011,000,0.011
2015-02-03,0.011,0.011,0.01,0.01,447500,0.01
2015-02-04,0.01,0.01,0.01,0.01,000,0.01
2015-02-05,0.01,0.01,0.01,0.01,000,0.01
2015-02-06,0.01,0.01,0.01,0.01,000,0.01
2015-02-09,0.01,0.01,0.009,0.009,125000,0.009
2015-02-10,0.009,0.009,0.009,0.009,000,0.009
2015-02-11,0.009,0.009,0.009,0.009,000,0.009
2015-02-12,0.009,0.009,0.009,0.009,000,0.009
2015-02-13,0.009,0.009,0.009,0.009,000,0.009
2015-02-16,0.009,0.009,0.009,0.009,000,0.009
2015-02-17,0.009,0.009,0.009,0.009,000,0.009
2015-02-18,0.012,0.012,0.011,0.011,250000,0.011
2015-02-19,0.011,0.011,0.011,0.011,151800,0.011
2015-02-20,0.011,0.011,0.011,0.011,000,0.011
2015-02-23,0.011,0.011,0.011,0.011,000,0.011
2015-02-24,0.011,0.011,0.011,0.011,000,0.011
2015-02-25,0.011,0.011,0.011,0.011,000,0.011
2015-02-26,0.011,0.011,0.011,0.011,000,0.011
2015-02-27,0.011,0.011,0.011,0.011,900,0.011
2015-03-02,0.011,0.011,0.011,0.011,000,0.011
2015-03-03,0.013,0.013,0.013,0.013,24500,0.013
2015-03-04,0.013,0.013,0.013,0.013,000,0.013
2015-03-05,0.013,0.013,0.013,0.013,000,0.013
2015-03-06,0.013,0.013,0.013,0.013,000,0.013
2015-03-09,0.013,0.013,0.012,0.012,432500,0.012
2015-03-10,0.012,0.012,0.012,0.012,484500,0.012
2015-03-11,0.012,0.012,0.012,0.012,000,0.012
2015-03-12,0.012,0.012,0.012,0.012,57700,0.012
2015-03-13,0.012,0.012,0.012,0.012,000,0.012
2015-03-16,0.012,0.012,0.012,0.012,000,0.012
2015-03-17,0.012,0.012,0.012,0.012,000,0.012
2015-03-18,0.012,0.012,0.012,0.012,90000,0.012
2015-03-19,0.012,0.012,0.012,0.012,000,0.012
2015-03-20,0.012,0.012,0.012,0.012,33300,0.012
2015-03-23,0.012,0.012,0.012,0.012,000,0.012
2015-03-24,0.012,0.012,0.012,0.012,000,0.012
2015-03-25,0.012,0.012,0.012,0.012,11200,0.012
2015-03-26,0.012,0.012,0.012,0.012,000,0.012
2015-03-27,0.013,0.013,0.013,0.013,40000,0.013
2015-03-30,0.014,0.015,0.014,0.015,285000,0.015
2015-03-31,0.015,0.015,0.015,0.015,000,0.015
2015-04-01,0.015,0.015,0.015,0.015,60000,0.015
2015-04-02,0.014,0.014,0.014,0.014,140000,0.014
2015-04-03,0.014,0.014,0.014,0.014,000,0.014
2015-04-06,0.014,0.014,0.014,0.014,000,0.014
2015-04-07,0.014,0.014,0.014,0.014,700,0.014
2015-04-08,0.014,0.014,0.014,0.014,000,0.014
2015-04-09,0.014,0.014,0.014,0.014,153000,0.014
2015-04-10,0.014,0.014,0.014,0.014,000,0.014
2015-04-13,0.014,0.014,0.014,0.014,000,0.014
2015-04-14,0.014,0.014,0.014,0.014,000,0.014
2015-04-15,0.014,0.014,0.014,0.014,37500,0.014
2015-04-16,0.014,0.014,0.014,0.014,000,0.014
2015-04-17,0.014,0.014,0.014,0.014,60200,0.014
2015-04-20,0.015,0.017,0.015,0.017,433700,0.017
2015-04-21,0.017,0.017,0.017,0.017,99800,0.017
2015-04-22,0.017,0.017,0.016,0.016,103200,0.016
2015-04-23,0.018,0.018,0.017,0.017,31500,0.017
2015-04-24,0.017,0.017,0.017,0.017,000,0.017
2015-04-27,0.017,0.017,0.017,0.017,000,0.017
2015-04-28,0.016,0.016,0.012,0.013,520000,0.013
2015-04-29,0.012,0.012,0.012,0.012,148200,0.012
2015-04-30,0.012,0.012,0.012,0.012,5000,0.012
2015-05-01,0.012,0.012,0.012,0.012,000,0.012
2015-05-04,0.012,0.012,0.012,0.012,000,0.012
2015-05-05,0.012,0.012,0.012,0.012,000,0.012
2015-05-06,0.012,0.012,0.011,0.011,52300,0.011
2015-05-07,0.011,0.011,0.011,0.011,000,0.011
2015-05-08,0.011,0.011,0.011,0.011,000,0.011
2015-05-11,0.011,0.011,0.011,0.011,000,0.011
2015-05-12,0.012,0.012,0.011,0.011,29100,0.011
2015-05-13,0.011,0.011,0.011,0.011,50000,0.011
