Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.38,0.38,0.38,0.38,000,0.364
2015-01-02,0.38,0.38,0.38,0.38,282600,0.364
2015-01-05,0.38,0.38,0.35,0.375,632300,0.359
2015-01-06,0.375,0.375,0.355,0.355,51500,0.34
2015-01-07,0.36,0.37,0.36,0.37,277500,0.354
2015-01-08,0.37,0.375,0.36,0.36,147400,0.345
2015-01-09,0.375,0.38,0.375,0.38,43000,0.364
2015-01-12,0.38,0.39,0.37,0.39,304500,0.373
2015-01-13,0.39,0.39,0.38,0.38,52700,0.364
2015-01-14,0.385,0.39,0.38,0.38,64700,0.364
2015-01-15,0.38,0.38,0.375,0.38,38600,0.364
2015-01-16,0.38,0.395,0.38,0.395,100000,0.378
2015-01-19,0.40,0.43,0.395,0.40,278200,0.383
2015-01-20,0.40,0.41,0.40,0.41,18100,0.393
2015-01-21,0.40,0.405,0.395,0.395,38600,0.378
2015-01-22,0.395,0.40,0.395,0.40,45000,0.383
2015-01-23,0.40,0.40,0.39,0.39,6500,0.373
2015-01-26,0.39,0.39,0.39,0.39,000,0.373
2015-01-27,0.39,0.39,0.385,0.385,137600,0.369
2015-01-28,0.39,0.40,0.39,0.395,35000,0.378
2015-01-29,0.395,0.42,0.395,0.42,133600,0.402
2015-01-30,0.42,0.435,0.41,0.43,130700,0.412
2015-02-02,0.42,0.425,0.41,0.42,59900,0.402
2015-02-03,0.42,0.425,0.41,0.425,108900,0.407
2015-02-04,0.425,0.435,0.42,0.435,154900,0.417
2015-02-05,0.435,0.44,0.43,0.43,291900,0.412
2015-02-06,0.43,0.43,0.425,0.425,140200,0.407
2015-02-09,0.43,0.44,0.43,0.44,217600,0.421
2015-02-10,0.44,0.44,0.43,0.44,325000,0.421
2015-02-11,0.44,0.44,0.44,0.44,74800,0.421
2015-02-12,0.44,0.445,0.435,0.435,244600,0.417
2015-02-13,0.435,0.435,0.435,0.435,47000,0.417
2015-02-16,0.44,0.445,0.435,0.435,187900,0.417
2015-02-17,0.44,0.44,0.44,0.44,229200,0.421
2015-02-18,0.44,0.44,0.425,0.425,216100,0.407
2015-02-19,0.40,0.425,0.40,0.425,607500,0.407
2015-02-20,0.425,0.43,0.42,0.43,170900,0.412
2015-02-23,0.43,0.44,0.43,0.44,71100,0.421
2015-02-24,0.435,0.435,0.385,0.41,929800,0.393
2015-02-25,0.405,0.41,0.40,0.41,229000,0.393
2015-02-26,0.41,0.41,0.405,0.41,93000,0.393
2015-02-27,0.41,0.41,0.40,0.40,94800,0.383
2015-03-02,0.405,0.415,0.40,0.415,175800,0.397
2015-03-03,0.41,0.41,0.395,0.40,276900,0.383
2015-03-04,0.40,0.42,0.395,0.40,292100,0.383
2015-03-05,0.40,0.40,0.395,0.40,144000,0.383
2015-03-06,0.40,0.42,0.395,0.42,188400,0.402
2015-03-09,0.415,0.42,0.415,0.415,218300,0.397
2015-03-10,0.415,0.415,0.40,0.40,144900,0.383
2015-03-11,0.40,0.40,0.395,0.40,133400,0.383
2015-03-12,0.405,0.41,0.405,0.41,58100,0.393
2015-03-13,0.41,0.415,0.405,0.405,55700,0.388
2015-03-16,0.405,0.415,0.405,0.415,124500,0.397
2015-03-17,0.415,0.415,0.405,0.41,146200,0.393
