Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.57,4.57,4.57,4.57,000,4.041
2015-01-02,4.56,4.70,4.56,4.66,37800,4.12
2015-01-05,4.65,4.80,4.56,4.77,139600,4.218
2015-01-06,4.67,4.71,4.57,4.58,202400,4.05
2015-01-07,4.59,4.68,4.47,4.54,172400,4.014
2015-01-08,4.54,4.69,4.52,4.65,236500,4.112
2015-01-09,4.68,4.87,4.66,4.80,238700,4.244
2015-01-12,4.77,4.79,4.54,4.54,234800,4.014
2015-01-13,4.53,4.81,4.45,4.63,185100,4.094
2015-01-14,4.57,4.61,4.32,4.32,593200,3.82
2015-01-15,4.32,4.40,4.17,4.35,426700,3.846
2015-01-16,4.30,4.35,4.075,4.14,410400,3.661
2015-01-19,4.15,4.30,4.135,4.14,387600,3.661
2015-01-20,4.14,4.35,4.14,4.32,393300,3.82
2015-01-21,4.34,4.50,4.30,4.34,1046700,3.837
2015-01-22,4.35,4.49,4.33,4.42,361300,3.908
2015-01-23,4.45,4.48,4.31,4.43,233300,3.917
2015-01-26,4.43,4.43,4.43,4.43,000,3.917
2015-01-27,4.43,4.60,4.29,4.38,363900,3.873
2015-01-28,4.38,4.62,4.34,4.60,402600,4.067
2015-01-29,4.51,4.53,4.29,4.34,826200,3.837
2015-01-30,4.38,4.41,4.32,4.35,499800,3.846
2015-02-02,4.35,4.36,4.30,4.33,530300,3.829
2015-02-03,4.36,4.54,4.33,4.40,468700,3.89
2015-02-04,4.50,4.635,4.50,4.61,478500,4.076
2015-02-05,4.62,4.74,4.56,4.65,1010400,4.112
2015-02-06,4.68,4.69,4.54,4.60,359400,4.067
2015-02-09,4.61,4.64,4.54,4.61,422700,4.076
2015-02-10,4.61,4.69,4.60,4.65,953700,4.112
2015-02-11,4.75,4.82,4.74,4.79,344100,4.235
2015-02-12,4.80,4.95,4.78,4.92,645500,4.35
2015-02-13,4.94,5.11,4.93,4.99,736700,4.412
2015-02-16,4.96,5.01,4.81,4.98,418000,4.403
2015-02-17,4.98,5.03,4.87,4.99,789600,4.412
2015-02-18,5.04,5.04,4.91,5.00,439500,4.421
2015-02-19,5.08,5.08,4.84,5.00,540600,4.421
2015-02-20,5.05,5.05,4.82,5.00,165300,4.421
2015-02-23,5.00,5.07,4.93,4.96,248500,4.386
2015-02-24,4.97,5.14,4.97,5.13,314300,4.536
2015-02-25,5.16,5.16,4.96,5.01,421900,4.43
2015-02-26,4.92,5.05,4.91,4.97,192500,4.394
2015-02-27,4.81,5.14,4.70,5.11,546700,4.518
2015-03-02,5.14,5.59,5.13,5.49,638700,4.854
2015-03-03,5.40,5.40,5.19,5.22,499000,4.616
2015-03-04,5.21,5.37,5.09,5.30,547000,4.686
2015-03-05,5.11,5.31,5.11,5.27,359200,4.66
2015-03-06,5.28,5.31,5.11,5.16,204000,4.562
2015-03-09,5.13,5.20,5.04,5.09,202700,4.501
2015-03-10,5.05,5.16,5.04,5.07,151900,4.483
2015-03-11,5.03,5.08,4.98,5.00,167700,4.421
2015-03-12,5.01,5.20,5.00,5.16,336900,4.562
2015-03-13,5.15,5.15,4.99,5.04,308200,4.456
2015-03-16,5.02,5.11,4.86,5.03,417500,4.448
2015-03-17,5.05,5.05,4.90,4.96,426500,4.386
2015-03-18,4.95,5.02,4.91,4.98,405000,4.403
2015-03-19,4.99,5.04,4.95,5.01,477400,4.43
2015-03-20,5.00,5.05,4.96,5.00,404600,4.421
2015-03-23,4.98,4.99,4.87,4.90,418300,4.333
2015-03-24,4.83,4.95,4.81,4.89,269500,4.324
2015-03-25,4.99,5.03,4.86,4.98,572900,4.403
2015-03-26,4.88,4.99,4.83,4.88,433600,4.315
2015-03-27,4.71,4.92,4.71,4.85,421700,4.418
2015-03-30,4.82,4.84,4.65,4.66,151500,4.245
2015-03-31,4.66,4.78,4.61,4.64,373600,4.226
2015-04-01,4.57,4.73,4.57,4.63,456000,4.217
2015-04-02,4.63,4.66,4.54,4.58,389700,4.172
2015-04-03,4.58,4.58,4.58,4.58,000,4.172
2015-04-06,4.58,4.58,4.58,4.58,000,4.172
2015-04-07,4.58,4.67,4.54,4.58,483800,4.172
2015-04-08,4.59,4.72,4.555,4.65,787300,4.236
2015-04-09,4.65,4.83,4.65,4.77,280100,4.345
2015-04-10,4.78,4.78,4.65,4.75,314100,4.327
2015-04-13,4.74,4.87,4.71,4.76,417900,4.336
2015-04-14,4.76,4.81,4.71,4.80,319900,4.372
2015-04-15,4.79,4.81,4.58,4.76,681700,4.336
2015-04-16,4.82,4.90,4.70,4.73,343500,4.308
2015-04-17,4.74,4.75,4.56,4.60,437100,4.19
2015-04-20,4.59,4.60,4.41,4.50,322400,4.099
2015-04-21,4.51,4.55,4.46,4.49,266700,4.09
2015-04-22,4.50,4.60,4.46,4.52,718100,4.117
2015-04-23,4.53,4.53,4.42,4.46,260900,4.062
2015-04-24,4.51,4.63,4.48,4.61,291800,4.199
2015-04-27,4.62,4.65,4.55,4.64,237800,4.226
2015-04-28,4.65,4.71,4.54,4.60,154100,4.19
2015-04-29,4.59,4.59,4.49,4.52,342400,4.117
2015-04-30,4.45,4.62,4.45,4.53,330000,4.126
2015-05-01,4.50,4.74,4.45,4.70,273600,4.281
2015-05-04,4.68,4.75,4.55,4.71,231700,4.29
2015-05-05,4.80,4.87,4.70,4.70,241100,4.281
2015-05-06,4.58,4.88,4.58,4.79,615000,4.363
2015-05-07,4.60,4.84,4.60,4.81,500100,4.381
2015-05-08,4.72,5.00,4.72,4.86,707600,4.427
2015-05-11,4.87,4.94,4.86,4.86,297600,4.427
2015-05-12,4.85,4.94,4.84,4.92,212100,4.481
2015-05-13,4.88,4.98,4.83,4.95,227900,4.509
2015-05-14,4.92,4.94,4.71,4.91,233600,4.472
2015-05-15,4.92,4.99,4.89,4.96,448700,4.518
2015-05-18,4.93,4.99,4.91,4.93,315900,4.491
2015-05-19,4.92,4.96,4.82,4.84,450700,4.409
2015-05-20,4.85,4.87,4.74,4.82,256100,4.39
2015-05-21,4.87,4.93,4.76,4.83,194800,4.399
2015-05-22,4.83,4.99,4.83,4.97,250800,4.527
2015-05-25,4.98,5.09,4.96,5.05,190400,4.60
2015-05-26,5.06,5.09,4.96,4.98,760400,4.536
2015-05-27,4.94,5.13,4.94,5.04,413100,4.591
2015-05-28,5.06,5.12,5.02,5.08,331800,4.627
2015-05-29,5.09,5.10,4.94,4.94,571400,4.50
2015-06-01,4.93,4.94,4.79,4.87,444100,4.436
2015-06-02,4.92,4.93,4.66,4.68,409500,4.263
2015-06-03,4.66,4.81,4.59,4.63,646000,4.217
2015-06-04,4.68,4.69,4.46,4.55,494800,4.144
2015-06-05,4.54,4.57,4.42,4.50,195500,4.099
2015-06-08,4.50,4.50,4.50,4.50,000,4.099
2015-06-09,4.49,4.59,4.44,4.48,281800,4.081
2015-06-10,4.59,4.59,4.42,4.43,590300,4.035
2015-06-11,4.46,4.52,4.39,4.47,984800,4.072
2015-06-12,4.42,4.45,4.39,4.40,340800,4.008
2015-06-15,4.38,4.38,4.25,4.25,494000,3.871
2015-06-16,4.32,4.37,4.15,4.17,710700,3.798
2015-06-17,4.19,4.35,4.13,4.29,796600,3.908
2015-06-18,4.18,4.18,3.94,4.02,1283400,3.662
2015-06-19,4.06,4.125,3.90,3.90,2100500,3.552
2015-06-22,3.94,4.025,3.92,3.94,688100,3.589
2015-06-23,3.94,3.985,3.91,3.94,884400,3.589
2015-06-24,3.94,3.99,3.91,3.93,468300,3.58
2015-06-25,3.95,3.96,3.85,3.86,510700,3.516
2015-06-26,3.83,3.90,3.77,3.84,871600,3.498
2015-06-29,3.85,3.86,3.68,3.73,1001700,3.398
2015-06-30,3.72,3.75,3.61,3.66,1217400,3.334
2015-07-01,3.66,3.79,3.65,3.73,721300,3.398
2015-07-02,3.76,3.88,3.73,3.77,1742600,3.434
2015-07-03,3.77,3.79,3.65,3.67,1106500,3.343
2015-07-06,3.65,3.67,3.56,3.60,795700,3.279
2015-07-07,3.60,3.685,3.60,3.63,392100,3.306
2015-07-08,3.60,3.63,3.57,3.60,695100,3.279
2015-07-09,3.58,3.66,3.52,3.61,669300,3.288
2015-07-10,3.63,3.66,3.51,3.54,533400,3.224
2015-07-13,3.56,3.64,3.47,3.47,625000,3.161
2015-07-14,3.54,3.68,3.52,3.53,709600,3.215
2015-07-15,3.55,3.65,3.55,3.62,414900,3.297
2015-07-16,3.67,3.67,3.51,3.55,370500,3.234
2015-07-17,3.57,3.69,3.53,3.69,853000,3.361
2015-07-20,3.69,3.73,3.57,3.60,950400,3.279
2015-07-21,3.63,3.63,3.31,3.35,1671900,3.051
2015-07-22,3.36,3.43,3.28,3.31,1147200,3.015
2015-07-23,3.32,3.32,3.23,3.29,565200,2.997
2015-07-24,3.27,3.39,3.26,3.34,709900,3.042
2015-07-27,3.33,3.36,3.25,3.32,707500,3.024
2015-07-28,3.28,3.355,3.23,3.28,463400,2.988
2015-07-29,3.35,3.37,3.30,3.34,235700,3.042
2015-07-30,3.35,3.38,3.31,3.34,225400,3.042
2015-07-31,3.36,3.40,3.32,3.34,331200,3.042
2015-08-03,3.36,3.37,3.31,3.32,564900,3.024
2015-08-04,3.31,3.44,3.30,3.42,694200,3.115
2015-08-05,3.46,3.49,3.40,3.43,750900,3.124
2015-08-06,3.42,3.45,3.36,3.43,326400,3.124
2015-08-07,3.40,3.44,3.37,3.41,711100,3.106
2015-08-10,3.40,3.43,3.37,3.42,532700,3.115
2015-08-11,3.43,3.45,3.26,3.29,737500,2.997
2015-08-12,3.30,3.32,3.12,3.19,1137200,2.906
2015-08-13,3.25,3.35,3.24,3.30,923000,3.006
2015-08-14,3.30,3.37,3.26,3.30,550200,3.006
2015-08-17,3.27,3.36,3.26,3.30,220500,3.006
2015-08-18,3.29,3.34,3.18,3.21,496000,2.924
2015-08-19,3.22,3.22,3.11,3.20,337200,2.915
2015-08-20,3.12,3.21,3.09,3.13,728400,2.851
2015-08-21,3.04,3.25,3.02,3.04,1115900,2.769
2015-08-24,3.01,3.10,2.92,2.97,666900,2.705
2015-08-25,2.97,3.17,2.93,3.11,979600,2.833
2015-08-26,3.03,3.07,2.99,3.03,555600,2.76
2015-08-27,3.07,3.11,3.01,3.06,629500,2.787
2015-08-28,3.08,3.13,3.04,3.12,392600,2.842
2015-08-31,3.08,3.16,3.05,3.12,312800,2.842
2015-09-01,3.11,3.11,3.02,3.03,242900,2.76
2015-09-02,3.00,3.04,2.97,3.01,387600,2.742
2015-09-03,3.04,3.06,2.97,3.00,280000,2.733
2015-09-04,3.00,3.00,2.885,2.93,713300,2.669
2015-09-07,2.92,2.93,2.77,2.81,447800,2.56
2015-09-08,2.83,2.90,2.82,2.90,267400,2.641
2015-09-09,2.92,3.04,2.91,2.95,837700,2.687
2015-09-10,2.95,2.975,2.79,2.90,677200,2.641
2015-09-11,2.88,2.92,2.82,2.90,182900,2.641
2015-09-14,2.96,2.98,2.84,2.92,329800,2.66
2015-09-15,2.95,2.96,2.86,2.87,188600,2.614
2015-09-16,2.87,2.99,2.86,2.95,403900,2.687
2015-09-17,3.01,3.02,2.97,2.99,442200,2.723
2015-09-18,2.98,3.10,2.975,3.08,654000,2.805
2015-09-21,3.05,3.05,2.99,3.00,706300,2.733
2015-09-22,3.05,3.07,3.02,3.06,178900,2.787
2015-09-23,3.03,3.05,3.00,3.02,272000,2.751
2015-09-24,3.04,3.09,2.99,3.09,743700,2.815
2015-09-25,3.09,3.13,3.03,3.05,566200,2.778
2015-09-28,2.94,2.99,2.90,2.98,340700,2.848
2015-09-29,2.91,2.97,2.87,2.95,648700,2.819
2015-09-30,2.93,3.02,2.92,2.99,2412500,2.857
2015-10-01,2.99,3.02,2.95,3.00,904800,2.867
2015-10-02,2.97,3.055,2.97,3.02,304200,2.886
2015-10-05,3.02,3.07,2.99,3.06,214800,2.924
2015-10-06,3.09,3.15,3.04,3.14,317100,3.001
2015-10-07,3.09,3.15,3.03,3.08,599600,2.943
2015-10-08,3.15,3.15,3.01,3.06,454900,2.924
2015-10-09,3.12,3.15,3.05,3.11,328000,2.972
2015-10-12,3.07,3.08,3.01,3.02,535200,2.886
2015-10-13,3.04,3.05,2.96,2.98,1171500,2.848
2015-10-14,2.93,2.96,2.84,2.89,1925800,2.762
2015-10-15,2.95,3.06,2.91,3.05,577200,2.915
2015-10-16,3.08,3.15,3.07,3.15,317500,3.01
2015-10-19,3.13,3.14,2.98,2.98,369900,2.848
2015-10-20,2.98,3.00,2.84,2.87,349400,2.743
2015-10-21,2.86,2.92,2.86,2.90,336100,2.771
2015-10-22,2.89,2.895,2.76,2.78,503300,2.657
2015-10-23,2.81,2.90,2.81,2.90,564200,2.771
2015-10-26,2.92,2.97,2.90,2.96,338400,2.829
2015-10-27,2.95,2.95,2.85,2.89,534000,2.762
2015-10-28,2.90,2.91,2.85,2.86,264000,2.733
2015-10-29,2.87,2.89,2.83,2.85,218800,2.724
2015-10-30,2.84,2.87,2.80,2.82,145900,2.695
2015-11-02,2.82,2.82,2.67,2.67,355500,2.552
2015-11-03,2.70,2.75,2.66,2.75,155800,2.628
2015-11-04,2.80,2.81,2.70,2.72,285400,2.599
2015-11-05,2.72,2.76,2.69,2.69,146300,2.571
2015-11-06,2.70,2.72,2.66,2.70,241900,2.58
2015-11-09,2.67,2.70,2.57,2.62,344800,2.504
2015-11-10,2.61,2.85,2.61,2.76,772900,2.638
2015-11-11,2.78,2.78,2.62,2.70,535600,2.58
2015-11-12,2.73,2.75,2.65,2.70,314300,2.58
2015-11-13,2.69,2.74,2.64,2.70,865900,2.58
2015-11-16,2.67,2.70,2.63,2.68,349700,2.561
2015-11-17,2.72,2.75,2.68,2.73,353600,2.609
2015-11-18,2.72,2.95,2.71,2.90,662500,2.771
2015-11-19,2.93,2.93,2.83,2.85,462600,2.724
2015-11-20,2.86,2.91,2.81,2.83,241000,2.704
2015-11-23,2.82,2.84,2.77,2.79,258500,2.666
2015-11-24,2.78,2.78,2.72,2.74,217400,2.618
2015-11-25,2.76,2.78,2.68,2.69,178200,2.571
2015-11-26,2.68,2.72,2.63,2.69,498000,2.571
2015-11-27,2.71,2.73,2.68,2.73,199700,2.609
2015-11-30,2.73,2.83,2.72,2.74,290400,2.618
2015-12-01,2.77,2.79,2.72,2.79,624400,2.666
2015-12-02,2.76,2.83,2.75,2.80,619100,2.676
2015-12-03,2.74,2.88,2.70,2.87,505700,2.743
2015-12-04,2.84,2.90,2.81,2.86,605200,2.733
2015-12-07,2.90,2.90,2.85,2.89,1084900,2.762
2015-12-08,2.88,2.88,2.80,2.83,379100,2.704
2015-12-09,2.81,2.87,2.78,2.86,329500,2.733
2015-12-10,2.84,2.85,2.76,2.78,443500,2.657
2015-12-11,2.78,2.83,2.75,2.82,211800,2.695
2015-12-14,2.79,2.82,2.77,2.79,808800,2.666
2015-12-15,2.78,2.83,2.76,2.77,561500,2.647
2015-12-16,2.81,2.82,2.76,2.81,229900,2.685
2015-12-17,2.85,2.88,2.81,2.84,452300,2.714
2015-12-18,2.83,2.84,2.61,2.71,2623200,2.59
2015-12-21,2.68,2.79,2.68,2.79,345200,2.666
2015-12-22,2.80,2.83,2.80,2.82,267000,2.695
2015-12-23,2.80,2.96,2.77,2.95,231900,2.819
2015-12-24,2.98,3.05,2.91,2.92,301000,2.79
2015-12-25,2.92,2.92,2.92,2.92,000,2.79
