Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.50,0.50,0.50,0.50,000,0.44506
2015-01-02,0.50,0.50,0.50,0.50,000,0.44506
2015-01-05,0.50,0.50,0.50,0.50,000,0.44506
2015-01-06,0.49,0.50,0.48,0.50,26800,0.44506
2015-01-07,0.50,0.50,0.50,0.50,000,0.44506
2015-01-08,0.50,0.50,0.50,0.50,000,0.44506
2015-01-09,0.50,0.50,0.50,0.50,000,0.44506
2015-01-12,0.49,0.49,0.49,0.49,10200,0.43615
2015-01-13,0.475,0.50,0.475,0.50,11000,0.44506
2015-01-14,0.50,0.50,0.50,0.50,000,0.44506
2015-01-15,0.48,0.48,0.475,0.475,48900,0.4228
2015-01-16,0.46,0.475,0.455,0.475,51000,0.4228
2015-01-19,0.475,0.475,0.475,0.475,23900,0.4228
2015-01-20,0.475,0.475,0.475,0.475,000,0.4228
2015-01-21,0.46,0.47,0.46,0.47,45000,0.41835
2015-01-22,0.47,0.48,0.47,0.48,659300,0.42725
2015-01-23,0.48,0.48,0.48,0.48,000,0.42725
2015-01-26,0.48,0.48,0.48,0.48,000,0.42725
2015-01-27,0.455,0.46,0.455,0.46,22700,0.40945
2015-01-28,0.47,0.475,0.455,0.475,145000,0.4228
2015-01-29,0.46,0.48,0.46,0.48,293300,0.42725
2015-01-30,0.48,0.48,0.48,0.48,000,0.42725
2015-02-02,0.48,0.48,0.48,0.48,000,0.42725
2015-02-03,0.455,0.455,0.455,0.455,7400,0.405
2015-02-04,0.455,0.46,0.44,0.46,111700,0.40945
2015-02-05,0.46,0.47,0.44,0.465,185400,0.4139
2015-02-06,0.465,0.465,0.445,0.445,3100,0.3961
2015-02-09,0.445,0.445,0.445,0.445,000,0.3961
2015-02-10,0.445,0.47,0.445,0.47,4700,0.41835
2015-02-11,0.47,0.47,0.47,0.47,000,0.41835
2015-02-12,0.465,0.465,0.445,0.445,1500,0.3961
2015-02-13,0.45,0.45,0.45,0.45,10400,0.40055
2015-02-16,0.46,0.46,0.46,0.46,5000,0.40945
2015-02-17,0.46,0.46,0.46,0.46,42500,0.40945
2015-02-18,0.46,0.465,0.46,0.46,246400,0.40945
2015-02-19,0.45,0.47,0.445,0.47,124000,0.41835
2015-02-20,0.45,0.47,0.45,0.47,39200,0.41835
2015-02-23,0.47,0.47,0.47,0.47,50000,0.41835
2015-02-24,0.47,0.48,0.45,0.48,335300,0.42725
2015-02-25,0.50,0.51,0.50,0.51,264900,0.45396
2015-02-26,0.51,0.51,0.51,0.51,000,0.45396
2015-02-27,0.51,0.51,0.51,0.51,1005300,0.45396
2015-03-02,0.51,0.51,0.51,0.51,000,0.45396
2015-03-03,0.53,0.55,0.53,0.55,101800,0.48956
2015-03-04,0.55,0.55,0.55,0.55,000,0.48956
2015-03-05,0.53,0.53,0.53,0.53,20000,0.47176
2015-03-06,0.52,0.52,0.51,0.51,229600,0.45396
2015-03-09,0.51,0.51,0.50,0.51,309700,0.45396
2015-03-10,0.51,0.525,0.50,0.50,38300,0.44506
2015-03-11,0.50,0.52,0.50,0.52,100100,0.46286
2015-03-12,0.50,0.51,0.50,0.505,209400,0.44951
2015-03-13,0.505,0.505,0.505,0.505,18600,0.44951
2015-03-16,0.52,0.525,0.52,0.525,30000,0.46731
2015-03-17,0.525,0.54,0.525,0.54,47800,0.48066
2015-03-18,0.525,0.55,0.525,0.545,2687500,0.48511
