Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.99,0.99,0.99,0.99,000,0.99
2015-01-02,0.99,0.99,0.99,0.99,000,0.99
2015-01-05,0.945,0.945,0.945,0.945,29600,0.945
2015-01-06,0.99,0.99,0.99,0.99,000,0.99
2015-01-07,0.94,0.94,0.94,0.94,51200,0.94
2015-01-08,0.99,0.99,0.99,0.99,000,0.99
2015-01-09,0.99,0.99,0.99,0.99,000,0.99
2015-01-12,0.99,0.99,0.99,0.99,000,0.99
2015-01-13,0.925,0.925,0.92,0.92,75300,0.92
2015-01-14,0.98,0.98,0.98,0.98,000,0.98
2015-01-15,0.98,0.98,0.98,0.98,000,0.98
2015-01-16,0.98,0.98,0.98,0.98,000,0.98
2015-01-19,0.98,0.98,0.98,0.98,000,0.98
2015-01-20,0.98,0.98,0.98,0.98,000,0.98
2015-01-21,0.5013,0.5013,0.5013,0.5013,000,0.5013
2015-01-22,0.5013,0.5013,0.5013,0.5013,000,0.5013
2015-01-23,0.915,0.915,0.915,0.915,148500,0.915
2015-01-27,0.98,0.98,0.98,0.98,000,0.98
2015-01-28,0.98,0.98,0.98,0.98,000,0.98
2015-01-29,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-01-30,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-02,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-03,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-04,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-05,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-06,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-09,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-10,0.9777,0.9777,0.9777,0.9777,000,0.9777
2015-02-11,0.98,0.98,0.98,0.98,000,0.98
2015-02-12,0.98,0.98,0.98,0.98,000,0.98
2015-02-13,0.98,0.98,0.98,0.98,000,0.98
2015-02-16,0.98,0.98,0.98,0.98,000,0.98
2015-02-17,0.98,0.98,0.98,0.98,000,0.98
2015-02-18,0.98,0.98,0.98,0.98,000,0.98
2015-02-19,0.98,0.98,0.98,0.98,000,0.98
2015-02-20,0.98,0.98,0.98,0.98,000,0.98
2015-02-23,0.98,0.98,0.98,0.98,000,0.98
2015-02-24,0.98,0.98,0.98,0.98,000,0.98
2015-02-25,0.98,0.98,0.98,0.98,000,0.98
2015-02-26,0.98,0.98,0.98,0.98,000,0.98
2015-02-27,0.98,0.98,0.98,0.98,000,0.98
2015-03-02,0.98,0.98,0.98,0.98,000,0.98
2015-03-03,0.98,0.98,0.98,0.98,000,0.98
2015-03-04,0.98,0.98,0.98,0.98,000,0.98
2015-03-05,0.98,0.98,0.98,0.98,000,0.98
2015-03-06,0.98,0.98,0.98,0.98,000,0.98
2015-03-09,0.98,0.98,0.98,0.98,000,0.98
2015-03-10,1.03,1.03,1.03,1.03,000,1.03
2015-03-11,1.03,1.03,1.03,1.03,000,1.03
2015-03-12,1.03,1.03,1.03,1.03,000,1.03
2015-03-13,1.03,1.03,1.03,1.03,000,1.03
2015-03-16,1.03,1.03,1.03,1.03,000,1.03
2015-03-17,1.03,1.03,1.03,1.03,000,1.03
2015-03-18,1.03,1.03,1.03,1.03,000,1.03
2015-03-19,1.03,1.03,1.03,1.03,000,1.03
2015-03-20,0.955,0.955,0.955,0.955,9900,0.955
2015-03-23,1.03,1.03,1.03,1.03,000,1.03
2015-03-24,1.03,1.03,1.03,1.03,000,1.03
2015-03-25,1.03,1.03,1.03,1.03,000,1.03
2015-03-26,0.94,0.94,0.94,0.94,8600,0.94
2015-03-27,1.03,1.03,1.03,1.03,000,1.03
2015-03-30,1.03,1.03,1.03,1.03,000,1.03
2015-03-31,1.03,1.03,1.03,1.03,000,1.03
2015-04-01,1.03,1.03,1.03,1.03,000,1.03
2015-04-02,0.935,0.935,0.935,0.935,10000,0.935
2015-04-07,1.03,1.03,1.03,1.03,000,1.03
2015-04-08,1.03,1.03,1.03,1.03,000,1.03
2015-04-09,1.03,1.03,1.03,1.03,000,1.03
2015-04-10,0.935,0.94,0.93,0.94,47900,0.94
2015-04-13,1.03,1.03,1.03,1.03,000,1.03
2015-04-14,1.03,1.03,1.03,1.03,000,1.03
2015-04-15,1.03,1.03,1.03,1.03,000,1.03
2015-04-16,1.03,1.03,1.03,1.03,000,1.03
2015-04-17,1.03,1.03,1.03,1.03,000,1.03
2015-04-20,0.94,0.94,0.935,0.935,40100,0.935
2015-04-22,1.03,1.03,1.03,1.03,000,1.03
2015-04-23,1.03,1.03,1.03,1.03,000,1.03
2015-04-24,1.03,1.03,1.03,1.03,000,1.03
2015-04-27,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-04-28,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-04-29,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-04-30,1.03,1.03,1.03,1.03,000,1.03
2015-05-01,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-04,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-05,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-06,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-07,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-08,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-11,0.925,0.93,0.92,0.92,45200,0.92
2015-05-12,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-13,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-14,1.0275,1.0275,1.0275,1.0275,000,1.0275
2015-05-15,0.925,0.935,0.925,0.935,17500,0.935
2015-05-18,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-19,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-20,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-21,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-22,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-25,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-26,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-27,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-28,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-05-29,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-01,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-02,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-03,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-04,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-05,0.925,0.925,0.925,0.925,4500,0.925
2015-06-09,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-10,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-11,1.0289,1.0289,1.0289,1.0289,000,1.0289
2015-06-12,1.01,1.01,1.01,1.01,000,1.01
2015-06-15,1.01,1.01,1.01,1.01,000,1.01
2015-06-16,1.01,1.01,1.01,1.01,000,1.01
2015-06-17,1.01,1.01,1.01,1.01,000,1.01
2015-06-18,1.01,1.01,1.01,1.01,000,1.01
2015-06-19,1.01,1.01,1.01,1.01,000,1.01
2015-06-22,1.01,1.01,1.01,1.01,000,1.01
2015-06-23,1.01,1.01,1.01,1.01,000,1.01
2015-06-24,1.01,1.01,1.01,1.01,000,1.01
2015-06-25,1.01,1.01,1.01,1.01,000,1.01
2015-06-26,1.01,1.01,1.01,1.01,000,1.01
2015-06-29,1.01,1.01,1.01,1.01,000,1.01
2015-06-30,0.97,0.97,0.97,0.97,000,0.97
2015-07-01,1.01,1.01,1.01,1.01,000,1.01
2015-07-02,0.905,0.905,0.90,0.90,21000,0.90
2015-07-03,1.01,1.01,1.01,1.01,000,1.01
2015-07-06,1.01,1.01,1.01,1.01,000,1.01
2015-07-07,1.01,1.01,1.01,1.01,000,1.01
2015-07-08,1.01,1.01,1.01,1.01,000,1.01
2015-07-09,1.01,1.01,1.01,1.01,000,1.01
2015-07-10,1.01,1.01,1.01,1.01,000,1.01
2015-07-13,0.97,0.97,0.97,0.97,000,0.97
2015-07-14,0.97,0.97,0.97,0.97,000,0.97
2015-07-15,0.97,0.97,0.97,0.97,000,0.97
2015-07-16,0.97,0.97,0.97,0.97,000,0.97
2015-07-17,0.97,0.97,0.97,0.97,000,0.97
2015-07-20,0.97,0.97,0.97,0.97,000,0.97
2015-07-21,0.97,0.97,0.97,0.97,000,0.97
2015-07-22,0.97,0.97,0.97,0.97,000,0.97
2015-07-23,0.97,0.97,0.97,0.97,000,0.97
2015-07-24,0.97,0.97,0.97,0.97,000,0.97
2015-07-27,0.97,0.97,0.97,0.97,000,0.97
2015-07-28,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-07-29,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-07-30,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-07-31,0.97,0.97,0.97,0.97,000,0.97
2015-08-03,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-04,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-05,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-06,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-07,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-10,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-11,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-12,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-13,0.9675,0.9675,0.9675,0.9675,000,0.9675
2015-08-14,0.9675,0.9675,0.9675,0.9675,000,0.9675
