Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.64,0.64,0.64,0.64,000,0.64
2015-01-02,0.64,0.66,0.62,0.65,285300,0.65
2015-01-05,0.65,0.65,0.605,0.605,77600,0.605
2015-01-06,0.60,0.60,0.60,0.60,27600,0.60
2015-01-07,0.60,0.60,0.60,0.60,000,0.60
2015-01-08,0.625,0.645,0.625,0.63,36900,0.63
2015-01-09,0.63,0.63,0.60,0.60,89200,0.60
2015-01-12,0.60,0.60,0.60,0.60,000,0.60
2015-01-13,0.60,0.62,0.58,0.62,19100,0.62
2015-01-14,0.60,0.60,0.60,0.60,28300,0.60
2015-01-15,0.60,0.60,0.60,0.60,000,0.60
2015-01-16,0.61,0.62,0.61,0.62,11700,0.62
2015-01-19,0.60,0.61,0.58,0.59,44800,0.59
2015-01-20,0.615,0.62,0.61,0.61,54200,0.61
2015-01-21,0.60,0.60,0.59,0.60,239500,0.60
2015-01-22,0.60,0.61,0.595,0.60,39000,0.60
2015-01-23,0.60,0.60,0.56,0.57,196400,0.57
2015-01-26,0.57,0.57,0.57,0.57,000,0.57
2015-01-27,0.57,0.57,0.57,0.57,000,0.57
2015-01-28,0.57,0.57,0.57,0.57,900,0.57
2015-01-29,0.57,0.57,0.54,0.54,199300,0.54
2015-01-30,0.57,0.58,0.57,0.57,135300,0.57
2015-02-02,0.565,0.565,0.525,0.54,252700,0.54
2015-02-03,0.54,0.54,0.54,0.54,38900,0.54
2015-02-04,0.54,0.54,0.535,0.54,172700,0.54
2015-02-05,0.54,0.55,0.54,0.55,176100,0.55
2015-02-06,0.595,0.595,0.57,0.57,12700,0.57
2015-02-09,0.57,0.57,0.57,0.57,000,0.57
2015-02-10,0.565,0.59,0.565,0.59,139800,0.59
2015-02-11,0.59,0.60,0.58,0.60,54100,0.60
2015-02-12,0.60,0.60,0.59,0.59,14900,0.59
2015-02-13,0.59,0.59,0.59,0.59,23500,0.59
2015-02-16,0.59,0.59,0.58,0.585,29400,0.585
2015-02-17,0.585,0.585,0.57,0.57,56400,0.57
2015-02-18,0.57,0.57,0.57,0.57,4700,0.57
2015-02-19,0.575,0.58,0.57,0.575,26500,0.575
2015-02-20,0.575,0.575,0.57,0.575,68600,0.575
2015-02-23,0.58,0.58,0.57,0.57,27000,0.57
2015-02-24,0.565,0.565,0.56,0.56,31600,0.56
2015-02-25,0.565,0.59,0.565,0.57,38700,0.57
2015-02-26,0.57,0.59,0.57,0.59,11700,0.59
2015-02-27,0.59,0.60,0.57,0.60,153800,0.60
2015-03-02,0.61,0.61,0.61,0.61,17700,0.61
2015-03-03,0.60,0.60,0.60,0.60,107300,0.60
2015-03-04,0.59,0.60,0.59,0.595,96600,0.595
2015-03-05,0.60,0.60,0.595,0.60,154800,0.60
2015-03-06,0.60,0.60,0.60,0.60,158200,0.60
2015-03-09,0.595,0.595,0.585,0.59,88200,0.59
2015-03-10,0.60,0.61,0.60,0.60,187200,0.60
2015-03-11,0.60,0.60,0.60,0.60,154600,0.60
2015-03-12,0.62,0.67,0.62,0.67,143000,0.67
2015-03-13,0.69,0.75,0.69,0.75,161000,0.75
2015-03-16,0.76,0.84,0.76,0.835,208800,0.835
2015-03-17,0.82,0.825,0.76,0.76,662300,0.76
2015-03-18,0.76,0.76,0.735,0.75,158100,0.75
2015-03-19,0.78,0.80,0.75,0.76,88800,0.76
2015-03-20,0.78,0.825,0.76,0.825,85900,0.825
2015-03-23,0.825,0.85,0.825,0.85,92400,0.85
2015-03-24,0.845,0.88,0.845,0.85,83700,0.85
2015-03-25,0.85,0.85,0.815,0.83,66800,0.83
2015-03-26,0.815,0.87,0.80,0.87,462300,0.87
2015-03-27,0.89,0.895,0.86,0.89,47900,0.89
2015-03-30,0.89,0.89,0.82,0.83,87600,0.83
2015-03-31,0.84,0.86,0.84,0.86,14300,0.86
2015-04-01,0.83,0.86,0.80,0.86,110900,0.86
2015-04-02,0.86,0.87,0.83,0.87,43700,0.87
2015-04-03,0.87,0.87,0.87,0.87,000,0.87
2015-04-06,0.87,0.87,0.87,0.87,000,0.87
2015-04-07,0.885,0.89,0.88,0.88,77900,0.88
2015-04-08,0.88,0.88,0.88,0.88,5100,0.88
2015-04-09,0.88,0.89,0.88,0.89,39300,0.89
2015-04-10,0.88,0.88,0.88,0.88,15000,0.88
2015-04-13,0.89,0.89,0.88,0.88,37300,0.88
2015-04-14,0.87,0.875,0.85,0.875,9800,0.875
2015-04-15,0.875,0.875,0.875,0.875,3000,0.875
2015-04-16,0.875,0.875,0.84,0.84,24000,0.84
2015-04-17,0.84,0.84,0.81,0.81,17800,0.81
2015-04-20,0.81,0.81,0.81,0.81,700,0.81
2015-04-21,0.81,0.825,0.80,0.825,41300,0.825
2015-04-22,0.81,0.85,0.81,0.85,94400,0.85
2015-04-23,0.85,0.85,0.845,0.845,34000,0.845
2015-04-24,0.845,0.845,0.845,0.845,4000,0.845
2015-04-27,0.85,0.87,0.85,0.87,184600,0.87
2015-04-28,0.90,0.91,0.88,0.88,79700,0.88
2015-04-29,0.89,0.90,0.89,0.90,39700,0.90
2015-04-30,0.90,0.90,0.87,0.88,99500,0.88
2015-05-01,0.88,0.88,0.88,0.88,6200,0.88
2015-05-04,0.88,0.91,0.87,0.90,111600,0.90
2015-05-05,0.90,0.90,0.88,0.88,59000,0.88
2015-05-06,0.88,0.88,0.86,0.86,86800,0.86
2015-05-07,0.86,0.86,0.85,0.86,53900,0.86
2015-05-08,0.86,0.88,0.86,0.88,25200,0.88
2015-05-11,0.895,0.895,0.895,0.895,12000,0.895
2015-05-12,0.895,0.895,0.885,0.885,86500,0.885
2015-05-13,0.885,0.885,0.885,0.885,3000,0.885
2015-05-14,0.895,0.97,0.89,0.95,191900,0.95
2015-05-15,0.98,1.07,0.98,1.065,86600,1.065
2015-05-18,1.07,1.10,1.07,1.07,82300,1.07
2015-05-19,1.05,1.05,0.99,1.025,70700,1.025
2015-05-20,1.025,1.025,1.025,1.025,000,1.025
2015-05-21,1.01,1.01,0.95,1.00,157200,1.00
2015-05-22,1.05,1.05,1.00,1.02,24000,1.02
2015-05-25,1.02,1.02,1.00,1.00,12000,1.00
2015-05-26,1.00,1.00,1.00,1.00,5000,1.00
2015-05-27,1.00,1.00,1.00,1.00,18100,1.00
2015-05-28,1.005,1.02,0.99,1.02,27200,1.02
2015-05-29,1.015,1.04,1.01,1.04,23600,1.04
2015-06-01,1.05,1.05,0.99,0.99,74000,0.99
2015-06-02,1.00,1.00,0.985,0.99,95800,0.99
2015-06-03,0.99,1.01,0.98,1.00,54900,1.00
2015-06-04,0.99,1.00,0.98,0.99,29900,0.99
2015-06-05,0.99,1.02,0.99,1.02,96700,1.02
2015-06-08,1.02,1.02,1.02,1.02,000,1.02
2015-06-09,1.03,1.04,1.02,1.02,55000,1.02
2015-06-10,1.03,1.05,0.995,1.01,70300,1.01
2015-06-11,1.03,1.055,1.00,1.00,37600,1.00
2015-06-12,0.99,1.03,0.96,1.00,90600,1.00
2015-06-15,1.02,1.02,0.985,1.00,30400,1.00
2015-06-16,1.00,1.00,1.00,1.00,5600,1.00
2015-06-17,1.00,1.025,0.99,1.02,31400,1.02
2015-06-18,1.04,1.04,1.04,1.04,2000,1.04
2015-06-19,1.01,1.02,1.00,1.02,17100,1.02
2015-06-22,1.02,1.025,1.01,1.01,37800,1.01
2015-06-23,1.015,1.02,1.015,1.02,11000,1.02
2015-06-24,1.00,1.00,1.00,1.00,29400,1.00
2015-06-25,1.00,1.00,0.99,0.99,7700,0.99
2015-06-26,1.00,1.02,1.00,1.02,6000,1.02
2015-06-29,1.02,1.02,1.00,1.00,25600,1.00
2015-06-30,0.99,1.04,0.98,1.04,31600,1.04
2015-07-01,1.04,1.04,1.02,1.02,97600,1.02
2015-07-02,1.03,1.03,1.02,1.02,14000,1.02
2015-07-03,1.06,1.08,1.06,1.065,23200,1.065
2015-07-06,1.09,1.10,1.05,1.055,68600,1.055
2015-07-07,1.10,1.10,1.085,1.10,46600,1.10
2015-07-08,1.16,1.25,1.16,1.235,66200,1.235
2015-07-09,1.23,1.23,1.14,1.21,53800,1.21
2015-07-10,1.21,1.23,1.21,1.21,69300,1.21
2015-07-13,1.22,1.25,1.21,1.25,49000,1.25
2015-07-14,1.25,1.25,1.245,1.25,56100,1.25
2015-07-15,1.25,1.32,1.25,1.30,82700,1.30
2015-07-16,1.305,1.34,1.305,1.32,122800,1.32
2015-07-17,1.34,1.35,1.34,1.35,20500,1.35
2015-07-20,1.37,1.40,1.35,1.35,126000,1.35
2015-07-21,1.36,1.38,1.36,1.38,221000,1.38
2015-07-22,1.38,1.38,1.38,1.38,35600,1.38
2015-07-23,1.36,1.36,1.24,1.30,181900,1.30
2015-07-24,1.30,1.30,1.225,1.24,152000,1.24
2015-07-27,1.23,1.235,1.22,1.23,46400,1.23
2015-07-28,1.245,1.30,1.23,1.275,349200,1.275
2015-07-29,1.275,1.38,1.275,1.37,97100,1.37
2015-07-30,1.37,1.46,1.37,1.44,86400,1.44
2015-07-31,1.46,1.48,1.38,1.40,159900,1.40
2015-08-03,1.37,1.41,1.34,1.41,176200,1.41
2015-08-04,1.41,1.41,1.36,1.36,33900,1.36
2015-08-05,1.40,1.40,1.375,1.39,30800,1.39
2015-08-06,1.365,1.39,1.345,1.35,42800,1.35
2015-08-07,1.34,1.36,1.32,1.36,18200,1.36
2015-08-10,1.39,1.43,1.36,1.38,104300,1.38
2015-08-11,1.38,1.41,1.38,1.41,220200,1.41
2015-08-12,1.41,1.46,1.41,1.45,91200,1.45
2015-08-13,1.44,1.50,1.44,1.49,102900,1.49
2015-08-14,1.49,1.56,1.49,1.54,177900,1.54
2015-08-17,1.58,1.72,1.56,1.67,178600,1.67
2015-08-18,1.68,1.695,1.61,1.61,133000,1.61
2015-08-19,1.645,1.685,1.62,1.64,70000,1.64
2015-08-20,1.67,1.72,1.65,1.65,190500,1.65
2015-08-21,1.65,1.65,1.60,1.65,198800,1.65
2015-08-24,1.60,1.60,1.51,1.54,219800,1.54
2015-08-25,1.50,1.65,1.50,1.65,158800,1.65
2015-08-26,1.64,1.64,1.56,1.585,80600,1.585
2015-08-27,1.65,1.76,1.605,1.76,184100,1.76
2015-08-28,1.76,1.76,1.59,1.64,192500,1.64
2015-08-31,1.49,1.585,1.33,1.50,553700,1.50
2015-09-01,1.50,1.62,1.50,1.58,143100,1.58
2015-09-02,1.58,1.80,1.58,1.80,201000,1.80
2015-09-03,1.785,1.79,1.68,1.685,97500,1.685
2015-09-04,1.70,1.70,1.54,1.55,88300,1.55
2015-09-07,1.58,1.60,1.52,1.58,64000,1.58
2015-09-08,1.55,1.60,1.51,1.56,91400,1.56
2015-09-09,1.60,1.65,1.60,1.645,66100,1.645
2015-09-10,1.64,1.64,1.56,1.59,45600,1.59
2015-09-11,1.59,1.59,1.55,1.55,40100,1.55
2015-09-14,1.56,1.56,1.45,1.50,104700,1.50
2015-09-15,1.50,1.50,1.47,1.475,23700,1.475
2015-09-16,1.485,1.55,1.485,1.53,21200,1.53
2015-09-17,1.57,1.585,1.55,1.56,30000,1.56
2015-09-18,1.57,1.57,1.48,1.48,55000,1.48
2015-09-21,1.50,1.57,1.48,1.55,80500,1.55
2015-09-22,1.515,1.515,1.50,1.505,80000,1.505
2015-09-23,1.50,1.53,1.48,1.495,149000,1.495
