Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.69951,2.69951,2.69951,2.69951,000,2.36749
2015-01-02,2.73108,2.81791,2.7153,2.78634,440300,2.44364
2015-01-05,2.78634,2.8258,2.77055,2.77844,1129800,2.43671
2015-01-06,2.73108,2.74687,2.62058,2.66004,651100,2.33288
2015-01-07,2.66794,2.68372,2.54954,2.62058,319600,2.29827
2015-01-08,2.65215,2.66794,2.56533,2.61268,702000,2.29134
2015-01-09,2.61268,2.74687,2.60479,2.7074,461800,2.37441
2015-01-12,2.69951,2.7074,2.2417,2.28906,1762300,2.00752
2015-01-13,2.32063,2.40746,2.05226,2.09962,3106100,1.84138
2015-01-14,2.13119,2.24959,2.10751,2.13119,1484500,1.86907
2015-01-15,2.13119,2.13909,1.98911,2.11541,1411400,1.85523
2015-01-16,2.13119,2.19434,2.06015,2.09962,1648100,1.84138
2015-01-19,2.17066,2.22591,2.09962,2.11541,834000,1.85523
2015-01-20,2.09962,2.14698,2.08383,2.13119,498200,1.86907
2015-01-21,2.13909,2.15487,2.08383,2.09962,563000,1.84138
2015-01-22,2.10751,2.16277,2.10751,2.11541,718800,1.85523
2015-01-23,2.14698,2.2417,2.13119,2.17066,750600,1.90369
2015-01-26,2.17066,2.17066,2.17066,2.17066,000,1.90369
2015-01-27,2.17855,2.27327,2.17855,2.26538,896600,1.98676
2015-01-28,2.2417,2.39957,2.23381,2.39167,854700,2.09751
2015-01-29,2.35221,2.46271,2.33642,2.42325,586200,2.12521
2015-01-30,2.42325,2.42325,2.31274,2.33642,729200,2.04906
2015-02-02,2.32853,2.35221,2.24959,2.26538,476300,1.98676
2015-02-03,2.25749,2.39957,2.25749,2.29695,1447200,2.01444
2015-02-04,2.38378,2.39957,2.24959,2.24959,1021900,1.97291
2015-02-05,2.27327,2.32853,2.24959,2.30485,1043400,2.02137
2015-02-06,2.32063,2.3601,2.30485,2.34431,738500,2.05598
2015-02-09,2.34431,2.45482,2.34431,2.39957,951000,2.10444
2015-02-10,2.37589,2.41535,2.28906,2.32853,1766700,2.04214
2015-02-11,2.39167,2.39167,2.16277,2.21013,1035300,1.9383
2015-02-12,2.21013,2.21802,2.1233,2.16277,1921600,1.89677
2015-02-13,2.18645,2.24959,2.18645,2.20223,1446900,1.93137
2015-02-16,2.21013,2.32063,2.20223,2.24959,1086000,1.97291
2015-02-17,2.39167,2.44693,2.17066,2.27327,3076400,1.99368
2015-02-18,2.33642,2.39167,2.30879,2.35221,2141800,2.06291
2015-02-19,2.36799,2.46271,2.35221,2.44693,2775500,2.14598
2015-02-20,2.48639,2.7074,2.4785,2.589,2709400,2.27057
2015-02-23,2.66794,2.67583,2.57322,2.66794,1424200,2.3398
2015-02-24,2.66794,2.68372,2.52586,2.54954,1089600,2.23597
2015-02-25,2.5969,2.65215,2.55743,2.63636,953900,2.31211
2015-02-26,2.63636,2.63636,2.589,2.61268,437400,2.29134
2015-02-27,2.61268,2.64426,2.58111,2.60479,836000,2.28442
2015-03-02,2.60479,2.63636,2.51797,2.55743,1374800,2.24289
2015-03-03,2.54954,2.64426,2.54165,2.62847,665100,2.30519
2015-03-04,2.64426,2.66004,2.56533,2.57322,340700,2.25673
2015-03-05,2.57322,2.62058,2.55743,2.62058,282100,2.29827
2015-03-06,2.62058,2.62847,2.56533,2.62847,295800,2.30519
2015-03-09,2.589,2.62847,2.48639,2.50218,439900,2.19443
2015-03-10,2.51797,2.54165,2.44693,2.46271,799400,2.15982
2015-03-11,2.42325,2.54954,2.41535,2.51007,330900,2.20135
2015-03-12,2.50218,2.52586,2.46271,2.4785,453500,2.17366
2015-03-13,2.4785,2.50218,2.43903,2.46271,241700,2.15982
2015-03-16,2.44693,2.49429,2.44693,2.47061,405800,2.16674
2015-03-17,2.50218,2.51402,2.45482,2.47061,700400,2.16674
2015-03-18,2.34431,2.34431,2.21802,2.2417,910800,2.12578
2015-03-19,2.24959,2.30485,2.2417,2.29695,901900,2.17817
2015-03-20,2.28906,2.42325,2.28906,2.38378,1274000,2.26051
2015-03-23,2.3601,2.51797,2.33642,2.48639,701400,2.35782
2015-03-24,2.48639,2.589,2.48639,2.52586,477800,2.39525
2015-03-25,2.54165,2.62847,2.54165,2.62058,736100,2.48507
2015-03-26,2.56533,2.60479,2.54954,2.56533,1852300,2.43268
2015-03-27,2.54954,2.60479,2.54954,2.58111,543700,2.44764
