Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.046,0.046,0.046,0.046,000,0.046
2015-01-02,0.043,0.043,0.043,0.043,20000,0.043
2015-01-05,0.043,0.043,0.041,0.041,710800,0.041
2015-01-06,0.041,0.041,0.041,0.041,000,0.041
2015-01-07,0.043,0.045,0.043,0.044,300000,0.044
2015-01-08,0.043,0.043,0.042,0.043,109000,0.043
2015-01-09,0.043,0.043,0.043,0.043,000,0.043
2015-01-12,0.045,0.046,0.043,0.046,590500,0.046
2015-01-13,0.044,0.044,0.043,0.044,245000,0.044
2015-01-14,0.046,0.052,0.046,0.048,174900,0.048
2015-01-15,0.048,0.048,0.048,0.048,000,0.048
2015-01-16,0.056,0.059,0.056,0.058,318800,0.058
2015-01-19,0.058,0.063,0.058,0.063,628700,0.063
2015-01-20,0.065,0.065,0.062,0.063,365500,0.063
2015-01-21,0.063,0.063,0.062,0.062,193400,0.062
2015-01-22,0.063,0.07,0.062,0.07,1113000,0.07
2015-01-23,0.071,0.073,0.071,0.071,220000,0.071
2015-01-26,0.071,0.071,0.071,0.071,000,0.071
2015-01-27,0.07,0.073,0.07,0.073,188600,0.073
2015-01-28,0.073,0.073,0.073,0.073,000,0.073
2015-01-29,0.072,0.072,0.072,0.072,20000,0.072
2015-01-30,0.072,0.072,0.072,0.072,000,0.072
2015-02-02,0.072,0.072,0.072,0.072,000,0.072
2015-02-03,0.065,0.065,0.055,0.064,606300,0.064
2015-02-04,0.063,0.063,0.063,0.063,17800,0.063
2015-02-05,0.055,0.055,0.052,0.052,111800,0.052
2015-02-06,0.052,0.053,0.052,0.052,267100,0.052
2015-02-09,0.052,0.052,0.052,0.052,000,0.052
2015-02-10,0.049,0.05,0.045,0.045,450000,0.045
2015-02-11,0.045,0.045,0.045,0.045,74500,0.045
2015-02-12,0.046,0.046,0.042,0.042,475000,0.042
2015-02-13,0.042,0.045,0.042,0.045,40700,0.045
2015-02-16,0.045,0.045,0.045,0.045,000,0.045
2015-02-17,0.046,0.046,0.046,0.046,8700,0.046
2015-02-18,0.046,0.046,0.046,0.046,000,0.046
2015-02-19,0.049,0.049,0.049,0.049,100000,0.049
2015-02-20,0.049,0.049,0.049,0.049,000,0.049
2015-02-23,0.046,0.046,0.046,0.046,45300,0.046
2015-02-24,0.047,0.049,0.047,0.049,187800,0.049
2015-02-25,0.06,0.06,0.048,0.048,207400,0.048
2015-02-26,0.05,0.052,0.05,0.05,185200,0.05
2015-02-27,0.05,0.052,0.05,0.052,95300,0.052
2015-03-02,0.05,0.05,0.05,0.05,40000,0.05
2015-03-03,0.05,0.05,0.05,0.05,000,0.05
2015-03-04,0.05,0.05,0.05,0.05,000,0.05
2015-03-05,0.049,0.049,0.049,0.049,50000,0.049
2015-03-06,0.049,0.049,0.049,0.049,000,0.049
2015-03-09,0.049,0.049,0.049,0.049,000,0.049
2015-03-10,0.048,0.048,0.048,0.048,79300,0.048
2015-03-11,0.05,0.05,0.046,0.046,64300,0.046
2015-03-12,0.046,0.046,0.045,0.045,61600,0.045
2015-03-13,0.045,0.045,0.045,0.045,000,0.045
