Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.00,2.00,2.00,2.00,000,1.929
2015-01-02,2.00,2.00,2.00,2.00,22200,1.929
2015-01-05,2.00,2.00,2.00,2.00,33600,1.929
2015-01-06,2.00,2.00,2.00,2.00,4000,1.929
2015-01-07,2.00,2.00,2.00,2.00,96400,1.929
2015-01-08,2.05,2.05,2.05,2.05,10000,1.977
2015-01-09,2.05,2.05,2.05,2.05,000,1.977
2015-01-12,2.05,2.05,2.05,2.05,000,1.977
2015-01-13,2.05,2.05,2.05,2.05,000,1.977
2015-01-14,2.05,2.05,2.05,2.05,000,1.977
2015-01-15,2.05,2.05,2.05,2.05,000,1.977
2015-01-16,2.01,2.01,2.01,2.01,5000,1.938
2015-01-19,2.01,2.01,2.01,2.01,000,1.938
2015-01-20,2.01,2.01,2.01,2.01,000,1.938
2015-01-21,2.01,2.01,2.01,2.01,000,1.938
2015-01-22,2.01,2.01,2.01,2.01,000,1.938
2015-01-23,2.01,2.01,2.01,2.01,000,1.938
2015-01-26,2.01,2.01,2.01,2.01,000,1.938
2015-01-27,2.03,2.03,2.03,2.03,000,1.958
2015-01-28,2.03,2.03,2.03,2.03,000,1.958
2015-01-29,2.08,2.10,2.08,2.10,262800,2.025
2015-01-30,2.10,2.10,2.10,2.10,000,2.025
2015-02-02,2.15,2.15,2.15,2.15,169300,2.073
2015-02-03,2.15,2.15,2.15,2.15,000,2.073
2015-02-04,2.15,2.15,2.15,2.15,000,2.073
2015-02-05,2.15,2.15,2.15,2.15,000,2.073
2015-02-06,2.20,2.20,2.18,2.18,14000,2.102
2015-02-09,2.18,2.18,2.18,2.18,000,2.102
2015-02-10,2.18,2.18,2.18,2.18,4000,2.102
2015-02-11,2.18,2.18,2.18,2.18,000,2.102
2015-02-12,2.20,2.20,2.20,2.20,7500,2.122
2015-02-13,2.20,2.20,2.20,2.20,7900,2.122
2015-02-16,2.20,2.20,2.20,2.20,000,2.122
2015-02-17,2.20,2.20,2.20,2.20,000,2.122
2015-02-18,2.30,2.30,2.30,2.30,18500,2.218
2015-02-19,2.30,2.31,2.30,2.31,42300,2.228
2015-02-20,2.30,2.30,2.28,2.30,12000,2.218
2015-02-23,2.31,2.31,2.30,2.30,4100,2.218
2015-02-24,2.30,2.30,2.30,2.30,308000,2.218
2015-02-25,2.30,2.30,2.30,2.30,639600,2.218
2015-02-26,2.30,2.30,2.30,2.30,27800,2.218
2015-02-27,2.30,2.30,2.30,2.30,000,2.218
2015-03-02,2.30,2.30,2.30,2.30,000,2.218
2015-03-03,2.30,2.30,2.30,2.30,000,2.218
2015-03-04,2.33,2.33,2.32,2.32,97100,2.237
2015-03-05,2.32,2.32,2.32,2.32,000,2.237
2015-03-06,2.35,2.35,2.35,2.35,497600,2.266
2015-03-09,2.35,2.35,2.35,2.35,000,2.266
2015-03-10,2.35,2.35,2.35,2.35,8000,2.266
2015-03-11,2.34,2.35,2.34,2.35,10800,2.266
2015-03-12,2.35,2.35,2.35,2.35,000,2.266
2015-03-13,2.35,2.35,2.35,2.35,000,2.266
2015-03-16,2.35,2.35,2.35,2.35,000,2.266
2015-03-17,2.35,2.35,2.35,2.35,000,2.266
2015-03-18,2.35,2.35,2.35,2.35,000,2.266
2015-03-19,2.35,2.35,2.35,2.35,000,2.266
2015-03-20,2.35,2.35,2.35,2.35,000,2.266
2015-03-23,2.33,2.33,2.33,2.33,2400,2.247
2015-03-24,2.33,2.33,2.33,2.33,000,2.247
2015-03-25,2.33,2.33,2.33,2.33,000,2.247
2015-03-26,2.33,2.33,2.33,2.33,000,2.247
2015-03-27,2.30,2.30,2.30,2.30,2500,2.218
2015-03-30,2.30,2.30,2.30,2.30,000,2.218
2015-03-31,2.30,2.30,2.30,2.30,2600,2.218
2015-04-01,2.35,2.35,2.35,2.35,19500,2.266
2015-04-02,2.35,2.35,2.35,2.35,000,2.266
2015-04-03,2.35,2.35,2.35,2.35,000,2.266
