Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.83,0.83,0.83,0.83,000,0.728
2015-01-02,0.83,0.83,0.83,0.83,000,0.728
2015-01-05,0.83,0.83,0.83,0.83,000,0.728
2015-01-06,0.83,0.83,0.83,0.83,000,0.728
2015-01-07,0.83,0.83,0.83,0.83,000,0.728
2015-01-08,0.83,0.83,0.83,0.83,000,0.728
2015-01-09,0.83,0.83,0.83,0.83,000,0.728
2015-01-12,0.83,0.83,0.83,0.83,000,0.728
2015-01-13,0.83,0.83,0.83,0.83,000,0.728
2015-01-14,0.83,0.83,0.83,0.83,000,0.728
2015-01-15,0.83,0.83,0.83,0.83,000,0.728
2015-01-16,0.83,0.83,0.83,0.83,000,0.728
2015-01-19,0.83,0.83,0.83,0.83,000,0.728
2015-01-20,0.83,0.83,0.83,0.83,000,0.728
2015-01-21,0.83,0.83,0.83,0.83,000,0.728
2015-01-22,0.83,0.83,0.83,0.83,000,0.728
2015-01-23,0.83,0.83,0.83,0.83,000,0.728
2015-01-26,0.83,0.83,0.83,0.83,000,0.728
2015-01-27,0.83,0.83,0.83,0.83,000,0.728
2015-01-28,0.83,0.83,0.83,0.83,000,0.728
2015-01-29,0.83,0.83,0.83,0.83,000,0.728
2015-01-30,0.83,0.83,0.83,0.83,000,0.728
2015-02-02,0.83,0.83,0.83,0.83,000,0.728
2015-02-03,0.83,0.83,0.83,0.83,000,0.728
2015-02-04,0.83,0.83,0.83,0.83,000,0.728
2015-02-05,0.80,0.80,0.80,0.80,1100,0.702
2015-02-06,0.80,0.80,0.80,0.80,000,0.702
2015-02-09,0.80,0.80,0.80,0.80,000,0.702
2015-02-10,0.80,0.80,0.80,0.80,000,0.702
2015-02-11,0.80,0.80,0.80,0.80,000,0.702
2015-02-12,0.80,0.80,0.80,0.80,000,0.702
2015-02-13,0.80,0.80,0.80,0.80,000,0.702
2015-02-16,0.80,0.80,0.80,0.80,000,0.702
2015-02-17,0.80,0.80,0.80,0.80,000,0.702
2015-02-18,0.80,0.80,0.80,0.80,000,0.702
2015-02-19,0.80,0.80,0.80,0.80,000,0.702
2015-02-20,0.80,0.80,0.80,0.80,000,0.702
2015-02-23,0.85,0.85,0.85,0.85,2400,0.746
2015-02-24,0.85,0.85,0.85,0.85,000,0.746
2015-02-25,0.82,0.82,0.81,0.81,100000,0.711
2015-02-26,0.81,0.81,0.81,0.81,000,0.711
2015-02-27,0.84,0.85,0.84,0.85,67900,0.746
2015-03-02,0.85,0.85,0.85,0.85,000,0.746
2015-03-03,0.84,0.84,0.84,0.84,6600,0.737
2015-03-04,0.85,0.85,0.85,0.85,44500,0.746
2015-03-05,0.865,0.89,0.865,0.89,31000,0.781
2015-03-06,0.85,0.85,0.85,0.85,4500,0.746
2015-03-09,0.85,0.85,0.85,0.85,000,0.746
2015-03-10,0.88,0.88,0.88,0.88,15000,0.772
2015-03-11,0.88,0.88,0.88,0.88,000,0.772
2015-03-12,0.88,0.88,0.88,0.88,000,0.805
2015-03-13,0.88,0.88,0.88,0.88,53300,0.805
2015-03-16,0.88,0.88,0.88,0.88,000,0.805
2015-03-17,0.88,0.88,0.88,0.88,000,0.805
2015-03-18,0.88,0.88,0.88,0.88,000,0.805
2015-03-19,0.88,0.88,0.88,0.88,000,0.805
2015-03-20,0.88,0.88,0.88,0.88,000,0.805
2015-03-23,0.88,0.88,0.88,0.88,000,0.805
2015-03-24,0.85,0.85,0.85,0.85,22500,0.777
2015-03-25,0.88,0.89,0.88,0.89,23000,0.814
2015-03-26,0.89,0.89,0.89,0.89,000,0.814
2015-03-27,0.89,0.89,0.89,0.89,4000,0.814
