Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,22.50,22.50,22.50,22.50,000,20.48008
2015-01-02,22.51,22.91,22.51,22.81,135900,20.76225
2015-01-05,22.81,23.18,22.70,22.97,209400,20.90789
2015-01-06,22.70,22.80,22.04,22.20,665200,20.20701
2015-01-07,21.78,21.84,21.26,21.35,713600,19.43332
2015-01-08,21.78,21.78,21.04,21.53,470200,19.59716
2015-01-09,21.62,21.94,21.26,21.49,426000,19.56075
2015-01-12,21.17,21.77,21.17,21.42,225600,19.49704
2015-01-13,21.21,21.53,21.035,21.24,592500,19.3332
2015-01-14,21.37,21.41,20.87,20.97,306700,19.08743
2015-01-15,20.94,20.94,20.50,20.78,227300,18.91449
2015-01-16,20.50,20.89,20.22,20.39,319900,18.5595
2015-01-19,20.80,21.12,20.56,20.69,364100,18.83257
2015-01-20,20.51,20.77,20.51,20.68,182600,18.82347
2015-01-21,20.75,21.05,20.63,20.90,256000,19.02372
2015-01-22,20.95,20.95,20.55,20.68,506400,18.82347
2015-01-23,20.82,21.27,20.77,21.19,307300,19.28769
2015-01-26,21.19,21.19,21.19,21.19,000,19.28769
2015-01-27,21.59,21.68,21.04,21.18,502600,19.27858
2015-01-28,20.85,21.29,20.75,20.80,308300,18.9327
2015-01-29,20.65,20.83,20.55,20.72,292400,18.85988
2015-01-30,20.77,20.86,20.53,20.63,637500,18.77796
2015-02-02,20.67,20.79,20.52,20.65,394400,18.79616
2015-02-03,20.65,21.26,20.65,21.21,354200,19.30589
2015-02-04,21.67,21.73,21.19,21.40,518700,19.47883
2015-02-05,21.50,21.56,21.05,21.20,351100,19.29679
2015-02-06,21.49,21.49,21.06,21.18,346700,19.27858
2015-02-09,21.20,21.29,20.99,21.21,272000,19.30589
2015-02-10,21.23,21.72,21.20,21.45,345400,19.52434
2015-02-11,21.75,22.40,21.46,21.68,663200,19.7337
2015-02-12,21.98,22.16,20.52,20.55,983100,18.70514
2015-02-13,21.20,21.35,20.63,20.90,566600,19.02372
2015-02-16,20.51,20.86,20.41,20.63,703600,18.77796
2015-02-17,20.40,21.19,20.11,21.10,921100,19.20576
2015-02-18,21.10,21.46,20.77,21.30,647600,19.38781
2015-02-19,21.42,21.46,21.01,21.36,388800,19.44242
2015-02-20,21.59,21.74,21.47,21.50,355600,19.56985
2015-02-23,21.74,21.82,21.53,21.76,284000,19.80651
2015-02-24,21.85,21.91,21.57,21.76,399700,19.80651
2015-02-25,21.78,21.89,21.66,21.89,615000,19.92484
2015-02-26,21.81,21.83,21.65,21.81,373400,19.85202
2015-02-27,21.86,22.16,21.82,22.03,885300,20.05228
2015-03-02,22.12,22.17,21.82,22.03,953200,20.05228
2015-03-03,22.10,22.22,21.96,22.07,376900,20.08868
2015-03-04,22.04,22.10,21.82,21.84,662300,19.87933
2015-03-05,21.81,22.03,21.74,22.03,380900,20.05228
2015-03-06,21.90,22.03,21.83,21.93,326900,19.96125
2015-03-09,21.80,21.84,21.51,21.68,280300,19.7337
2015-03-10,21.74,21.90,21.51,21.79,385300,19.83382
2015-03-11,21.51,21.62,21.06,21.27,724900,19.3605
2015-03-12,21.27,21.67,21.16,21.51,347400,19.57896
2015-03-13,21.54,22.12,21.50,22.00,495200,20.02497
2015-03-16,21.15,21.24,20.91,21.13,482300,20.12153
2015-03-17,21.19,21.23,20.80,20.90,684300,19.90251
2015-03-18,20.85,21.04,20.69,20.87,459100,19.87394
2015-03-19,21.15,21.73,21.15,21.55,830300,20.52148
2015-03-20,21.63,21.86,21.45,21.72,397300,20.68337
2015-03-23,21.43,21.78,21.43,21.74,201000,20.70242
2015-03-24,21.62,22.05,21.54,21.80,410800,20.75955
2015-03-25,21.71,21.80,21.31,21.55,413100,20.52148
2015-03-26,21.01,21.32,21.00,21.23,447100,20.21676
2015-03-27,21.29,21.52,21.23,21.40,418500,20.37864
2015-03-30,21.14,21.31,20.92,21.15,284300,20.14057
2015-03-31,21.65,21.67,21.08,21.15,499500,20.14057
2015-04-01,21.28,21.34,20.94,20.97,412800,19.96916
2015-04-02,20.96,21.02,20.73,20.84,380600,19.84537
2015-04-03,20.84,20.84,20.84,20.84,000,19.84537
2015-04-06,20.84,20.84,20.84,20.84,000,19.84537
2015-04-07,21.09,21.46,21.04,21.15,500300,20.14057
2015-04-08,21.14,21.68,21.14,21.35,413200,20.33103
2015-04-09,21.35,21.35,20.85,21.03,298700,20.0263
2015-04-10,21.30,21.44,21.06,21.43,493100,20.40721
2015-04-13,21.48,21.49,20.91,20.97,252600,19.96916
2015-04-14,20.87,20.93,20.28,20.47,519500,19.49303
2015-04-15,20.60,20.65,20.18,20.22,601300,19.25496
2015-04-16,20.40,20.77,20.40,20.68,493400,19.69301
2015-04-17,20.60,20.80,20.47,20.75,615100,19.75966
2015-04-20,20.50,20.53,20.05,20.15,456600,19.1883
2015-04-21,20.26,20.64,20.22,20.28,383600,19.3121
2015-04-22,20.20,20.42,20.04,20.37,428600,19.3978
2015-04-23,20.42,20.84,20.42,20.71,499600,19.72157
2015-04-24,20.30,21.21,20.30,20.83,256700,19.83585
2015-04-27,20.66,21.15,20.58,21.10,357800,20.09296
2015-04-28,21.05,21.39,20.98,21.12,449900,20.11201
2015-04-29,21.06,21.22,20.70,20.96,337400,19.95964
2015-04-30,20.51,21.09,20.45,21.09,495700,20.08344
