Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.30,0.30,0.30,0.30,000,0.291
2015-01-02,0.30,0.30,0.30,0.30,4600,0.291
2015-01-05,0.285,0.30,0.28,0.30,13700,0.291
2015-01-06,0.30,0.30,0.295,0.30,23200,0.291
2015-01-07,0.29,0.29,0.275,0.275,91000,0.267
2015-01-08,0.275,0.275,0.275,0.275,000,0.267
2015-01-09,0.28,0.28,0.28,0.28,2000,0.272
2015-01-12,0.28,0.28,0.275,0.275,30100,0.267
2015-01-13,0.275,0.28,0.27,0.28,76300,0.272
2015-01-14,0.28,0.28,0.28,0.28,000,0.272
2015-01-15,0.28,0.295,0.28,0.29,234700,0.282
2015-01-16,0.29,0.29,0.29,0.29,000,0.282
2015-01-19,0.295,0.30,0.295,0.30,66000,0.291
2015-01-20,0.305,0.305,0.305,0.305,31000,0.296
2015-01-21,0.305,0.305,0.30,0.30,32900,0.291
2015-01-22,0.29,0.29,0.29,0.29,27000,0.282
2015-01-23,0.29,0.295,0.29,0.295,149100,0.286
2015-01-26,0.295,0.295,0.295,0.295,000,0.286
2015-01-27,0.295,0.30,0.295,0.295,63300,0.286
2015-01-28,0.295,0.295,0.295,0.295,63000,0.286
2015-01-29,0.295,0.30,0.295,0.295,86800,0.286
2015-01-30,0.30,0.30,0.295,0.295,182900,0.286
2015-02-02,0.295,0.295,0.295,0.295,7000,0.286
2015-02-03,0.295,0.295,0.295,0.295,000,0.286
2015-02-04,0.295,0.295,0.295,0.295,50000,0.286
2015-02-05,0.295,0.295,0.28,0.28,29100,0.272
2015-02-06,0.275,0.30,0.275,0.30,97300,0.291
2015-02-09,0.305,0.305,0.305,0.305,50000,0.296
2015-02-10,0.30,0.30,0.29,0.29,72800,0.282
2015-02-11,0.29,0.29,0.29,0.29,80000,0.282
2015-02-12,0.295,0.295,0.29,0.29,13400,0.282
2015-02-13,0.29,0.29,0.29,0.29,000,0.282
2015-02-16,0.29,0.295,0.285,0.285,103000,0.277
2015-02-17,0.285,0.285,0.285,0.285,20000,0.277
2015-02-18,0.295,0.30,0.285,0.285,233400,0.277
2015-02-19,0.30,0.30,0.29,0.30,150400,0.291
2015-02-20,0.30,0.30,0.29,0.29,88700,0.282
2015-02-23,0.29,0.295,0.29,0.295,69400,0.286
2015-02-24,0.29,0.305,0.29,0.305,75400,0.296
2015-02-25,0.30,0.30,0.30,0.30,7500,0.291
2015-02-26,0.30,0.30,0.30,0.30,27200,0.291
2015-02-27,0.30,0.30,0.30,0.30,22700,0.291
2015-03-02,0.30,0.30,0.30,0.30,000,0.291
2015-03-03,0.305,0.305,0.30,0.30,8000,0.291
2015-03-04,0.295,0.295,0.29,0.29,26000,0.282
2015-03-05,0.30,0.31,0.30,0.31,65000,0.301
2015-03-06,0.29,0.29,0.29,0.29,18300,0.282
2015-03-09,0.29,0.295,0.29,0.295,21500,0.286
2015-03-10,0.295,0.295,0.295,0.295,000,0.286
2015-03-11,0.29,0.29,0.29,0.29,6400,0.282
2015-03-12,0.31,0.325,0.31,0.32,163600,0.311
2015-03-13,0.32,0.335,0.32,0.33,87600,0.32
2015-03-16,0.33,0.33,0.33,0.33,17500,0.32
2015-03-17,0.33,0.33,0.32,0.325,13200,0.316
2015-03-18,0.32,0.32,0.32,0.32,31800,0.311
2015-03-19,0.32,0.32,0.32,0.32,000,0.311
2015-03-20,0.30,0.30,0.255,0.255,468200,0.248
2015-03-23,0.255,0.27,0.22,0.23,649000,0.223
2015-03-24,0.23,0.24,0.225,0.235,170000,0.228
2015-03-25,0.235,0.24,0.235,0.235,43000,0.228
2015-03-26,0.235,0.235,0.225,0.225,50000,0.218
2015-03-27,0.225,0.23,0.22,0.225,222500,0.218
2015-03-30,0.23,0.23,0.23,0.23,58200,0.223
2015-03-31,0.23,0.23,0.22,0.22,84000,0.214
2015-04-01,0.23,0.23,0.22,0.22,65000,0.214
2015-04-02,0.22,0.22,0.22,0.22,62100,0.214
2015-04-03,0.22,0.22,0.22,0.22,000,0.214
2015-04-06,0.22,0.22,0.22,0.22,000,0.214
2015-04-07,0.215,0.215,0.19,0.195,267100,0.189
2015-04-08,0.19,0.19,0.17,0.175,725000,0.17
2015-04-09,0.18,0.18,0.15,0.165,350400,0.16
2015-04-10,0.165,0.165,0.15,0.16,289000,0.155
2015-04-13,0.155,0.16,0.155,0.16,342500,0.155
2015-04-14,0.16,0.175,0.16,0.175,154400,0.17
2015-04-15,0.17,0.175,0.17,0.175,98200,0.17
2015-04-16,0.18,0.195,0.18,0.195,46000,0.189
2015-04-17,0.195,0.20,0.18,0.18,158900,0.175
2015-04-20,0.18,0.215,0.18,0.215,463400,0.209
2015-04-21,0.215,0.215,0.215,0.215,000,0.209
2015-04-22,0.205,0.21,0.19,0.21,132500,0.204
2015-04-23,0.215,0.215,0.21,0.21,14300,0.204
2015-04-24,0.21,0.21,0.21,0.21,000,0.204
2015-04-27,0.20,0.20,0.19,0.19,55000,0.184
2015-04-28,0.195,0.195,0.195,0.195,49500,0.189
2015-04-29,0.20,0.20,0.20,0.20,75000,0.194
2015-04-30,0.205,0.205,0.205,0.205,4800,0.199
2015-05-01,0.205,0.205,0.205,0.205,000,0.199
2015-05-04,0.20,0.20,0.195,0.195,7200,0.189
2015-05-05,0.19,0.20,0.19,0.20,61000,0.194
2015-05-06,0.19,0.195,0.19,0.195,30200,0.189
2015-05-07,0.195,0.195,0.195,0.195,71000,0.189
2015-05-08,0.185,0.185,0.185,0.185,26100,0.18
2015-05-11,0.19,0.19,0.19,0.19,210000,0.184
2015-05-12,0.19,0.195,0.185,0.185,85700,0.18
2015-05-13,0.20,0.20,0.20,0.20,20000,0.194
2015-05-14,0.185,0.185,0.18,0.18,15000,0.175
2015-05-15,0.195,0.195,0.195,0.195,2700,0.189
2015-05-18,0.19,0.19,0.19,0.19,35000,0.184
2015-05-19,0.19,0.19,0.19,0.19,20000,0.184
2015-05-20,0.185,0.185,0.185,0.185,4900,0.18
2015-05-21,0.185,0.185,0.18,0.18,20000,0.175
2015-05-22,0.18,0.19,0.18,0.18,71000,0.175
2015-05-25,0.185,0.185,0.185,0.185,61000,0.18
2015-05-26,0.18,0.185,0.18,0.18,309100,0.175
2015-05-27,0.18,0.185,0.18,0.185,83000,0.18
2015-05-28,0.185,0.185,0.18,0.18,65500,0.175
2015-05-29,0.185,0.185,0.175,0.18,332100,0.175
2015-06-01,0.18,0.18,0.18,0.18,53800,0.175
2015-06-02,0.18,0.18,0.175,0.175,5000,0.17
2015-06-03,0.175,0.175,0.175,0.175,000,0.17
2015-06-04,0.175,0.175,0.175,0.175,000,0.17
2015-06-05,0.175,0.175,0.175,0.175,60000,0.17
2015-06-08,0.175,0.175,0.175,0.175,000,0.17
2015-06-09,0.175,0.18,0.175,0.18,38800,0.175
2015-06-10,0.18,0.18,0.18,0.18,000,0.175
2015-06-11,0.17,0.175,0.17,0.175,44300,0.17
2015-06-12,0.175,0.175,0.175,0.175,27200,0.17
2015-06-15,0.175,0.175,0.17,0.17,43400,0.165
2015-06-16,0.17,0.17,0.17,0.17,000,0.165
2015-06-17,0.17,0.17,0.155,0.155,35000,0.151
2015-06-18,0.16,0.16,0.15,0.15,285400,0.146
2015-06-19,0.155,0.17,0.14,0.16,344400,0.155
2015-06-22,0.16,0.165,0.16,0.165,171800,0.16
2015-06-23,0.165,0.165,0.165,0.165,28000,0.16
2015-06-24,0.165,0.165,0.165,0.165,55600,0.16
2015-06-25,0.16,0.165,0.16,0.16,152000,0.155
2015-06-26,0.16,0.16,0.16,0.16,45000,0.155
2015-06-29,0.16,0.165,0.16,0.165,117800,0.16
2015-06-30,0.16,0.16,0.16,0.16,153300,0.155
2015-07-01,0.16,0.16,0.16,0.16,000,0.155
2015-07-02,0.175,0.175,0.17,0.175,243300,0.17
2015-07-03,0.18,0.185,0.18,0.185,268800,0.18
2015-07-06,0.18,0.185,0.18,0.185,30000,0.18
2015-07-07,0.185,0.185,0.185,0.185,000,0.18
2015-07-08,0.18,0.19,0.18,0.19,58000,0.184
2015-07-09,0.18,0.20,0.18,0.185,156000,0.18
2015-07-10,0.185,0.20,0.185,0.20,6700,0.194
2015-07-13,0.20,0.20,0.20,0.20,000,0.194
2015-07-14,0.20,0.20,0.20,0.20,000,0.194
2015-07-15,0.19,0.19,0.19,0.19,7000,0.184
2015-07-16,0.20,0.20,0.20,0.20,20000,0.194
2015-07-17,0.20,0.20,0.20,0.20,35000,0.194
2015-07-20,0.19,0.19,0.19,0.19,7000,0.184
2015-07-21,0.19,0.19,0.19,0.19,1600,0.184
2015-07-22,0.20,0.21,0.20,0.21,47200,0.204
2015-07-23,0.21,0.21,0.21,0.21,5700,0.204
2015-07-24,0.21,0.21,0.21,0.21,000,0.204
