Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.19,1.19,1.19,1.19,000,1.08968
2015-01-02,1.19,1.19,1.18,1.19,13800,1.08968
2015-01-05,1.18,1.19,1.18,1.19,210800,1.08968
2015-01-06,1.18,1.19,1.18,1.18,40800,1.08052
2015-01-07,1.17,1.195,1.17,1.175,95000,1.07594
2015-01-08,1.175,1.195,1.175,1.195,34200,1.09426
2015-01-09,1.18,1.18,1.147,1.17,137200,1.07136
2015-01-12,1.17,1.185,1.15,1.185,46500,1.0851
2015-01-13,1.19,1.19,1.17,1.19,55600,1.08968
2015-01-14,1.19,1.19,1.155,1.175,36800,1.07594
2015-01-15,1.17,1.19,1.155,1.18,36200,1.08052
2015-01-16,1.19,1.19,1.16,1.18,83700,1.08052
2015-01-19,1.17,1.18,1.152,1.155,412400,1.05763
2015-01-20,1.155,1.155,1.13,1.14,533800,1.04389
2015-01-21,1.14,1.155,1.14,1.15,17900,1.05305
2015-01-22,1.15,1.185,1.15,1.15,54300,1.05305
2015-01-23,1.15,1.185,1.135,1.17,39900,1.07136
2015-01-26,1.17,1.17,1.17,1.17,000,1.07136
2015-01-27,1.16,1.18,1.13,1.16,68100,1.06221
2015-01-28,1.16,1.19,1.16,1.175,40000,1.07594
2015-01-29,1.175,1.19,1.16,1.17,25700,1.07136
2015-01-30,1.19,1.20,1.155,1.20,244300,1.09883
2015-02-02,1.20,1.20,1.175,1.175,18700,1.07594
2015-02-03,1.18,1.20,1.145,1.145,239700,1.04847
2015-02-04,1.14,1.185,1.135,1.185,35400,1.0851
2015-02-05,1.175,1.23,1.175,1.23,5677200,1.1263
2015-02-06,1.25,1.295,1.25,1.27,265800,1.16293
2015-02-09,1.27,1.27,1.25,1.26,950600,1.15378
2015-02-10,1.26,1.27,1.25,1.27,812900,1.16293
2015-02-11,1.255,1.27,1.25,1.25,11600,1.14462
2015-02-12,1.25,1.27,1.235,1.25,58400,1.14462
2015-02-13,1.25,1.27,1.225,1.25,527800,1.14462
2015-02-16,1.30,1.405,1.30,1.40,2018500,1.28197
2015-02-17,1.40,1.45,1.39,1.395,363100,1.27739
2015-02-18,1.40,1.405,1.325,1.34,2960100,1.22703
2015-02-19,1.30,1.33,1.285,1.31,1927000,1.23647
2015-02-20,1.325,1.385,1.32,1.365,95700,1.28838
2015-02-23,1.38,1.40,1.37,1.40,394000,1.32142
2015-02-24,1.395,1.40,1.38,1.40,39600,1.32142
2015-02-25,1.385,1.40,1.315,1.335,224200,1.26007
2015-02-26,1.38,1.385,1.305,1.33,144200,1.25535
2015-02-27,1.33,1.355,1.32,1.35,260200,1.27422
2015-03-02,1.35,1.395,1.31,1.34,134000,1.26479
2015-03-03,1.305,1.33,1.28,1.33,144800,1.25535
2015-03-04,1.30,1.33,1.30,1.30,212800,1.22703
2015-03-05,1.31,1.315,1.24,1.27,205300,1.19872
2015-03-06,1.27,1.30,1.237,1.27,871500,1.19872
2015-03-09,1.27,1.31,1.27,1.28,30600,1.20815
2015-03-10,1.28,1.33,1.28,1.33,133200,1.25535
2015-03-11,1.28,1.305,1.245,1.30,454300,1.22703
2015-03-12,1.30,1.31,1.275,1.31,195900,1.23647
2015-03-13,1.285,1.30,1.285,1.30,108400,1.22703
2015-03-16,1.28,1.305,1.28,1.30,452500,1.22703
2015-03-17,1.30,1.32,1.30,1.30,2598100,1.22703
2015-03-18,1.30,1.30,1.295,1.30,61600,1.22703
2015-03-19,1.30,1.38,1.29,1.38,606700,1.30254
2015-03-20,1.365,1.41,1.335,1.41,284500,1.33086
2015-03-23,1.39,1.415,1.355,1.415,4514900,1.33558
2015-03-24,1.42,1.45,1.405,1.425,754000,1.34502
2015-03-25,1.435,1.455,1.42,1.44,222300,1.35917
2015-03-26,1.435,1.45,1.41,1.45,1049500,1.36861
2015-03-27,1.455,1.49,1.45,1.485,48600,1.40165
2015-03-30,1.50,1.50,1.437,1.475,104300,1.39221
2015-03-31,1.44,1.475,1.43,1.475,320500,1.39221
2015-04-01,1.43,1.53,1.43,1.47,464700,1.38749
2015-04-02,1.51,1.51,1.47,1.50,165200,1.41581
2015-04-03,1.50,1.50,1.50,1.50,000,1.41581
2015-04-06,1.50,1.50,1.50,1.50,000,1.41581
2015-04-07,1.405,1.50,1.40,1.485,139600,1.40165
2015-04-08,1.44,1.482,1.425,1.455,1108800,1.37333
2015-04-09,1.445,1.47,1.445,1.45,113600,1.36861
2015-04-10,1.45,1.45,1.402,1.42,1041600,1.3403
2015-04-13,1.42,1.47,1.415,1.46,184600,1.37805
2015-04-14,1.45,1.507,1.435,1.475,160800,1.39221
2015-04-15,1.475,1.485,1.42,1.43,374500,1.34973
2015-04-16,1.44,1.495,1.42,1.47,26800,1.38749
2015-04-17,1.475,1.50,1.475,1.485,302300,1.40165
2015-04-20,1.48,1.48,1.425,1.46,5025200,1.37805
2015-04-21,1.44,1.48,1.41,1.48,1235400,1.39693
2015-04-22,1.485,1.505,1.465,1.50,550500,1.41581
2015-04-23,1.50,1.50,1.485,1.49,39900,1.40637
2015-04-24,1.49,1.54,1.49,1.54,326800,1.45356
2015-04-27,1.53,1.58,1.53,1.54,103400,1.45356
2015-04-28,1.55,1.55,1.48,1.48,81200,1.39693
2015-04-29,1.48,1.53,1.48,1.52,218600,1.43468
2015-04-30,1.52,1.60,1.52,1.60,122500,1.51019
2015-05-01,1.57,1.60,1.53,1.53,82700,1.44412
2015-05-04,1.54,1.56,1.495,1.53,70900,1.44412
2015-05-05,1.55,1.55,1.51,1.54,34800,1.45356
2015-05-06,1.54,1.54,1.50,1.52,56600,1.43468
2015-05-07,1.52,1.52,1.52,1.52,000,1.43468
2015-05-08,1.52,1.58,1.52,1.58,1251400,1.49132
2015-05-11,1.58,1.5925,1.53,1.55,166300,1.463
2015-05-12,1.55,1.58,1.545,1.58,2484900,1.49132
2015-05-13,1.58,1.58,1.52,1.53,122700,1.44412
2015-05-14,1.57,1.57,1.55,1.55,14200,1.463
2015-05-15,1.56,1.56,1.53,1.53,277900,1.44412
2015-05-18,1.53,1.55,1.50,1.54,106200,1.45356
2015-05-19,1.55,1.562,1.515,1.54,92700,1.45356
2015-05-20,1.55,1.55,1.527,1.55,49100,1.463
2015-05-21,1.55,1.56,1.54,1.56,225600,1.47244
2015-05-22,1.55,1.625,1.55,1.58,72800,1.49132
2015-05-25,1.59,1.69,1.59,1.63,92700,1.53851
2015-05-26,1.65,1.655,1.635,1.635,238500,1.54323
2015-05-27,1.63,1.63,1.55,1.58,137500,1.49132
2015-05-28,1.575,1.605,1.55,1.60,85300,1.51019
2015-05-29,1.57,1.72,1.565,1.72,177800,1.62346
2015-06-01,1.735,1.735,1.585,1.60,252000,1.51019
2015-06-02,1.65,1.66,1.60,1.60,115600,1.51019
2015-06-03,1.60,1.62,1.59,1.60,617800,1.51019
2015-06-04,1.60,1.60,1.50,1.555,122100,1.46772
2015-06-05,1.55,1.56,1.55,1.55,46200,1.463
2015-06-08,1.55,1.55,1.55,1.55,000,1.463
2015-06-09,1.55,1.59,1.53,1.58,70900,1.49132
2015-06-10,1.575,1.595,1.545,1.55,219700,1.463
2015-06-11,1.55,1.56,1.54,1.56,67300,1.47244
2015-06-12,1.59,1.60,1.565,1.60,133500,1.51019
2015-06-15,1.58,1.58,1.56,1.56,25400,1.47244
2015-06-16,1.56,1.565,1.54,1.54,279100,1.45356
2015-06-17,1.55,1.60,1.55,1.60,961300,1.51019
2015-06-18,1.60,1.60,1.53,1.55,63400,1.463
2015-06-19,1.60,1.60,1.557,1.57,452200,1.48188
2015-06-22,1.55,1.57,1.52,1.56,117200,1.47244
2015-06-23,1.555,1.555,1.545,1.55,222900,1.463
2015-06-24,1.55,1.585,1.55,1.565,45800,1.47716
2015-06-25,1.55,1.585,1.55,1.57,234500,1.48188
2015-06-26,1.56,1.575,1.55,1.55,176400,1.463
2015-06-29,1.55,1.59,1.55,1.555,344000,1.46772
2015-06-30,1.52,1.595,1.52,1.595,101600,1.50547
2015-07-01,1.595,1.595,1.55,1.585,896700,1.49603
2015-07-02,1.59,1.59,1.55,1.59,57800,1.50075
2015-07-03,1.55,1.59,1.55,1.58,4300,1.49132
2015-07-06,1.55,1.56,1.52,1.56,511100,1.47244
2015-07-07,1.545,1.59,1.545,1.565,23200,1.47716
2015-07-08,1.58,1.58,1.545,1.57,23300,1.48188
2015-07-09,1.53,1.57,1.53,1.55,35800,1.463
2015-07-10,1.54,1.56,1.52,1.545,37000,1.45828
2015-07-13,1.56,1.59,1.55,1.55,249500,1.463
2015-07-14,1.52,1.555,1.51,1.515,145600,1.42996
2015-07-15,1.505,1.59,1.505,1.59,82300,1.50075
2015-07-16,1.59,1.60,1.565,1.59,295000,1.50075
2015-07-17,1.60,1.645,1.59,1.63,102800,1.53851
2015-07-20,1.63,1.70,1.625,1.66,475400,1.56682
2015-07-21,1.67,1.685,1.65,1.675,652000,1.58098
2015-07-22,1.665,1.67,1.645,1.65,263700,1.55739
2015-07-23,1.63,1.675,1.63,1.675,251800,1.58098
2015-07-24,1.675,1.69,1.63,1.63,224300,1.53851
2015-07-27,1.63,1.635,1.62,1.625,208000,1.53379
2015-07-28,1.615,1.635,1.59,1.59,245300,1.50075
2015-07-29,1.63,1.63,1.59,1.60,37800,1.51019
2015-07-30,1.63,1.64,1.62,1.64,61600,1.54795
2015-07-31,1.64,1.68,1.64,1.68,282000,1.5857
2015-08-03,1.68,1.705,1.68,1.70,66800,1.60458
2015-08-04,1.70,1.705,1.66,1.66,142900,1.56682
2015-08-05,1.675,1.675,1.625,1.64,119400,1.54795
2015-08-06,1.65,1.70,1.635,1.67,75600,1.57626
2015-08-07,1.60,1.645,1.60,1.625,2300,1.53379
2015-08-10,1.63,1.65,1.615,1.625,92500,1.53379
2015-08-11,1.62,1.635,1.61,1.615,55000,1.52435
2015-08-12,1.61,1.645,1.595,1.595,95000,1.50547
2015-08-13,1.575,1.585,1.565,1.57,487600,1.48188
2015-08-14,1.58,1.61,1.58,1.585,66000,1.49603
2015-08-17,1.585,1.585,1.585,1.585,000,1.49603
2015-08-18,1.59,1.69,1.59,1.69,2816500,1.59514
2015-08-19,1.66,1.78,1.66,1.75,814500,1.65177
2015-08-20,1.80,1.80,1.71,1.74,150900,1.69064
2015-08-21,1.72,1.74,1.69,1.69,796000,1.64206
2015-08-24,1.60,1.71,1.50,1.67,789500,1.62262
2015-08-25,1.66,1.72,1.59,1.67,589100,1.62262
2015-08-26,1.645,1.645,1.58,1.625,20300,1.5789
2015-08-27,1.625,1.65,1.60,1.615,536300,1.56918
2015-08-28,1.61,1.70,1.595,1.70,499900,1.65177
2015-08-31,1.71,1.71,1.585,1.68,59400,1.63234
2015-09-01,1.65,1.665,1.58,1.63,126500,1.58376
2015-09-02,1.60,1.64,1.545,1.64,526700,1.59348
2015-09-03,1.64,1.64,1.58,1.625,2104600,1.5789
2015-09-04,1.61,1.69,1.595,1.69,1074900,1.64206
2015-09-07,1.665,1.665,1.595,1.61,5620600,1.56433
2015-09-08,1.60,1.625,1.575,1.60,389700,1.55461
2015-09-09,1.60,1.6225,1.59,1.60,236500,1.55461
2015-09-10,1.59,1.63,1.575,1.63,91700,1.58376
2015-09-11,1.59,1.625,1.587,1.60,73500,1.55461
2015-09-14,1.58,1.615,1.58,1.61,342200,1.56433
2015-09-15,1.60,1.61,1.585,1.605,81900,1.55947
2015-09-16,1.60,1.615,1.595,1.615,139800,1.56918
2015-09-17,1.61,1.61,1.55,1.55,720000,1.50603
2015-09-18,1.56,1.585,1.525,1.585,765400,1.54004
2015-09-21,1.57,1.61,1.56,1.60,187100,1.55461
2015-09-22,1.61,1.665,1.61,1.65,581300,1.60319
2015-09-23,1.645,1.67,1.60,1.64,520200,1.59348
2015-09-24,1.535,1.635,1.535,1.625,973500,1.5789
2015-09-25,1.62,1.63,1.595,1.615,533500,1.56918
2015-09-28,1.60,1.69,1.60,1.68,393600,1.63234
2015-09-29,1.625,1.685,1.605,1.68,473800,1.63234
2015-09-30,1.67,1.745,1.645,1.74,524500,1.69064
2015-10-01,1.75,1.75,1.68,1.69,194100,1.64206
2015-10-02,1.69,1.70,1.68,1.70,37200,1.65177
2015-10-05,1.68,1.685,1.68,1.685,40800,1.6372
2015-10-06,1.685,1.685,1.63,1.67,118600,1.62262
2015-10-07,1.65,1.68,1.62,1.645,94200,1.59833
2015-10-08,1.645,1.65,1.61,1.64,285200,1.59348
2015-10-09,1.615,1.68,1.615,1.645,171300,1.59833
2015-10-12,1.615,1.66,1.61,1.61,149500,1.56433
2015-10-13,1.62,1.66,1.60,1.64,88800,1.59348
2015-10-14,1.63,1.63,1.55,1.565,3134100,1.5206
2015-10-15,1.595,1.625,1.585,1.585,181900,1.54004
2015-10-16,1.58,1.61,1.562,1.59,184600,1.54489
2015-10-19,1.59,1.63,1.56,1.63,159800,1.58376
2015-10-20,1.63,1.63,1.55,1.57,234000,1.52546
2015-10-21,1.59,1.59,1.565,1.57,269400,1.52546
2015-10-22,1.595,1.60,1.57,1.60,53300,1.55461
2015-10-23,1.60,1.645,1.59,1.64,117600,1.59348
2015-10-26,1.645,1.675,1.642,1.65,137500,1.60319
2015-10-27,1.65,1.65,1.615,1.615,432200,1.56918
2015-10-28,1.627,1.627,1.61,1.615,313800,1.56918
2015-10-29,1.64,1.65,1.625,1.65,260800,1.60319
2015-10-30,1.62,1.63,1.60,1.61,690200,1.56433
2015-11-02,1.61,1.645,1.61,1.63,177400,1.58376
2015-11-03,1.65,1.66,1.61,1.645,131700,1.59833
