Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.225,0.225,0.225,0.225,000,0.225
2015-01-02,0.22,0.23,0.215,0.23,184400,0.23
2015-01-05,0.225,0.235,0.215,0.22,1095000,0.22
2015-01-06,0.22,0.23,0.22,0.22,548500,0.22
2015-01-07,0.22,0.22,0.195,0.215,1173400,0.215
2015-01-08,0.21,0.215,0.20,0.21,372300,0.21
2015-01-09,0.22,0.25,0.22,0.24,2732400,0.24
2015-01-12,0.24,0.24,0.215,0.215,668100,0.215
2015-01-13,0.215,0.215,0.20,0.205,846400,0.205
2015-01-14,0.20,0.215,0.20,0.215,475200,0.215
2015-01-15,0.21,0.225,0.195,0.225,888000,0.225
2015-01-16,0.225,0.225,0.20,0.215,446100,0.215
2015-01-19,0.21,0.215,0.20,0.205,1037100,0.205
2015-01-20,0.205,0.205,0.17,0.18,2614800,0.18
2015-01-21,0.185,0.20,0.17,0.195,1161000,0.195
2015-01-22,0.195,0.195,0.18,0.18,455700,0.18
2015-01-23,0.18,0.195,0.18,0.19,837100,0.19
2015-01-26,0.19,0.19,0.19,0.19,000,0.19
2015-01-27,0.195,0.22,0.185,0.21,1741600,0.21
2015-01-28,0.21,0.22,0.20,0.21,683000,0.21
2015-01-29,0.205,0.215,0.205,0.21,263000,0.21
2015-01-30,0.225,0.23,0.21,0.23,1022600,0.23
2015-02-02,0.22,0.22,0.21,0.21,484000,0.21
2015-02-03,0.22,0.225,0.215,0.225,496300,0.225
2015-02-04,0.225,0.26,0.22,0.26,1838900,0.26
2015-02-05,0.265,0.265,0.24,0.24,2442600,0.24
2015-02-06,0.24,0.245,0.225,0.23,391400,0.23
2015-02-09,0.25,0.26,0.235,0.235,1339000,0.235
2015-02-10,0.235,0.25,0.235,0.24,213400,0.24
2015-02-11,0.24,0.27,0.24,0.25,2478500,0.25
2015-02-12,0.26,0.28,0.245,0.25,2366500,0.25
2015-02-13,0.26,0.265,0.25,0.26,993800,0.26
2015-02-16,0.255,0.265,0.25,0.25,1758000,0.25
2015-02-17,0.252,0.255,0.245,0.255,393000,0.255
2015-02-18,0.26,0.275,0.25,0.26,1634500,0.26
2015-02-19,0.265,0.27,0.26,0.27,398400,0.27
2015-02-20,0.265,0.29,0.265,0.285,1418100,0.285
2015-02-23,0.295,0.295,0.28,0.29,1492200,0.29
2015-02-24,0.285,0.285,0.275,0.28,749500,0.28
2015-02-25,0.27,0.285,0.27,0.28,428200,0.28
2015-02-26,0.28,0.285,0.28,0.285,332300,0.285
2015-02-27,0.28,0.28,0.265,0.265,525200,0.265
2015-03-02,0.26,0.27,0.245,0.25,838500,0.25
2015-03-03,0.24,0.25,0.24,0.24,509700,0.24
2015-03-04,0.24,0.24,0.235,0.24,103200,0.24
2015-03-05,0.25,0.29,0.245,0.29,1754700,0.29
2015-03-06,0.29,0.29,0.26,0.27,614600,0.27
2015-03-09,0.265,0.27,0.26,0.26,561400,0.26
2015-03-10,0.265,0.285,0.26,0.285,1241600,0.285
2015-03-11,0.28,0.33,0.275,0.33,4779500,0.33
2015-03-12,0.32,0.335,0.285,0.31,3669600,0.31
2015-03-13,0.315,0.345,0.31,0.33,2639600,0.33
2015-03-16,0.335,0.35,0.325,0.335,2338800,0.335
2015-03-17,0.34,0.34,0.32,0.325,952000,0.325
2015-03-18,0.34,0.36,0.31,0.355,5655600,0.355
2015-03-19,0.36,0.40,0.355,0.40,7449700,0.40
2015-03-20,0.415,0.48,0.407,0.465,6514900,0.465
2015-03-23,0.47,0.475,0.43,0.445,1979400,0.445
2015-03-24,0.45,0.45,0.405,0.43,2532000,0.43
2015-03-25,0.43,0.445,0.43,0.43,162500,0.43
2015-03-26,0.58,0.60,0.51,0.51,13545700,0.51
2015-03-27,0.51,0.56,0.505,0.535,3806600,0.535
2015-03-30,0.53,0.535,0.49,0.515,2688100,0.515
2015-03-31,0.53,0.545,0.51,0.515,3688000,0.515
2015-04-01,0.52,0.52,0.48,0.49,2079300,0.49
2015-04-02,0.495,0.495,0.47,0.47,1723100,0.47
2015-04-03,0.47,0.47,0.47,0.47,000,0.47
2015-04-06,0.47,0.47,0.47,0.47,000,0.47
2015-04-07,0.475,0.52,0.45,0.515,3207300,0.515
2015-04-08,0.51,0.54,0.50,0.54,3946400,0.54
2015-04-09,0.54,0.645,0.54,0.64,6314200,0.64
2015-04-10,0.67,0.67,0.615,0.63,2889800,0.63
2015-04-13,0.63,0.63,0.585,0.615,2896400,0.615
2015-04-14,0.62,0.685,0.61,0.65,3764300,0.65
2015-04-15,0.655,0.66,0.63,0.63,1100900,0.63
2015-04-16,0.62,0.675,0.615,0.655,2142100,0.655
2015-04-17,0.655,0.685,0.65,0.66,1929000,0.66
2015-04-20,0.65,0.65,0.63,0.635,1673200,0.635
2015-04-21,0.635,0.65,0.605,0.61,1038100,0.61
2015-04-22,0.61,0.62,0.56,0.585,1553700,0.585
2015-04-23,0.585,0.63,0.58,0.62,897000,0.62
2015-04-24,0.62,0.645,0.59,0.62,1591200,0.62
2015-04-27,0.64,0.64,0.59,0.59,1246700,0.59
2015-04-28,0.60,0.60,0.555,0.555,1630100,0.555
2015-04-29,0.55,0.57,0.515,0.52,2052400,0.52
2015-04-30,0.50,0.57,0.455,0.53,2724200,0.53
2015-05-01,0.53,0.545,0.48,0.53,2002300,0.53
2015-05-04,0.54,0.56,0.53,0.55,1969500,0.55
2015-05-05,0.56,0.585,0.55,0.565,1931000,0.565
2015-05-06,0.56,0.57,0.53,0.55,870900,0.55
2015-05-07,0.555,0.56,0.515,0.515,1232200,0.515
2015-05-08,0.52,0.535,0.515,0.535,982500,0.535
2015-05-11,0.54,0.54,0.50,0.53,815900,0.53
2015-05-12,0.52,0.535,0.50,0.51,462800,0.51
2015-05-13,0.50,0.51,0.48,0.48,1322700,0.48
2015-05-14,0.48,0.505,0.48,0.505,397100,0.505
2015-05-15,0.51,0.52,0.49,0.49,388600,0.49
2015-05-18,0.495,0.505,0.485,0.49,292600,0.49
2015-05-19,0.495,0.50,0.48,0.485,1103900,0.485
2015-05-20,0.485,0.495,0.48,0.49,666200,0.49
2015-05-21,0.49,0.50,0.43,0.47,2438500,0.47
2015-05-22,0.47,0.475,0.44,0.44,1356700,0.44
2015-05-25,0.44,0.46,0.42,0.44,1222500,0.44
2015-05-26,0.445,0.47,0.435,0.455,1133200,0.455
2015-05-27,0.45,0.46,0.44,0.45,606800,0.45
2015-05-28,0.445,0.445,0.41,0.41,1531400,0.41
2015-05-29,0.415,0.415,0.38,0.39,2379500,0.39
2015-06-01,0.39,0.42,0.38,0.40,937300,0.40
2015-06-02,0.40,0.41,0.395,0.395,256300,0.395
2015-06-03,0.40,0.41,0.39,0.40,370900,0.40
2015-06-04,0.40,0.42,0.40,0.405,449600,0.405
2015-06-05,0.41,0.485,0.41,0.485,1798300,0.485
2015-06-08,0.485,0.485,0.485,0.485,000,0.485
2015-06-09,0.48,0.485,0.42,0.435,913700,0.435
2015-06-10,0.45,0.45,0.41,0.43,329200,0.43
2015-06-11,0.435,0.475,0.435,0.465,557000,0.465
2015-06-12,0.465,0.465,0.435,0.45,375000,0.45
2015-06-15,0.46,0.46,0.425,0.43,354100,0.43
2015-06-16,0.43,0.45,0.42,0.42,429300,0.42
2015-06-17,0.44,0.44,0.42,0.43,293100,0.43
2015-06-18,0.425,0.43,0.405,0.405,836600,0.405
2015-06-19,0.40,0.405,0.385,0.395,1367700,0.395
2015-06-22,0.40,0.42,0.39,0.40,436300,0.40
2015-06-23,0.40,0.42,0.39,0.41,368400,0.41
2015-06-24,0.40,0.415,0.395,0.40,146800,0.40
2015-06-25,0.39,0.395,0.365,0.365,943400,0.365
2015-06-26,0.365,0.385,0.365,0.37,827500,0.37
2015-06-29,0.375,0.375,0.34,0.365,850300,0.365
2015-06-30,0.35,0.355,0.335,0.335,886800,0.335
2015-07-01,0.335,0.37,0.335,0.365,320600,0.365
2015-07-02,0.40,0.40,0.35,0.365,1788300,0.365
2015-07-03,0.37,0.37,0.35,0.365,181300,0.365
2015-07-06,0.345,0.355,0.335,0.345,283800,0.345
2015-07-07,0.355,0.36,0.31,0.33,1359900,0.33
2015-07-08,0.325,0.355,0.325,0.355,745700,0.355
2015-07-09,0.355,0.37,0.34,0.36,589300,0.36
2015-07-10,0.365,0.37,0.345,0.35,220900,0.35
2015-07-13,0.345,0.355,0.32,0.345,1017500,0.345
2015-07-14,0.345,0.35,0.33,0.34,1204000,0.34
2015-07-15,0.33,0.33,0.31,0.315,963300,0.315
2015-07-16,0.315,0.335,0.315,0.32,698200,0.32
2015-07-17,0.32,0.32,0.295,0.315,832700,0.315
2015-07-20,0.315,0.325,0.30,0.31,829800,0.31
2015-07-21,0.30,0.32,0.30,0.315,753100,0.315
2015-07-22,0.315,0.315,0.28,0.30,2749500,0.30
2015-07-23,0.30,0.315,0.30,0.315,684200,0.315
2015-07-24,0.31,0.335,0.31,0.33,1602800,0.33
2015-07-27,0.325,0.335,0.32,0.335,392800,0.335
2015-07-28,0.33,0.335,0.315,0.33,586200,0.33
2015-07-29,0.315,0.325,0.31,0.31,292400,0.31
2015-07-30,0.32,0.35,0.32,0.34,876000,0.34
2015-07-31,0.335,0.335,0.315,0.315,391500,0.315
2015-08-03,0.315,0.325,0.305,0.31,216800,0.31
2015-08-04,0.315,0.32,0.29,0.29,757300,0.29
2015-08-05,0.295,0.295,0.25,0.275,2005100,0.275
2015-08-06,0.265,0.285,0.24,0.275,2638900,0.275
2015-08-07,0.275,0.275,0.265,0.275,476100,0.275
2015-08-10,0.27,0.27,0.26,0.26,249200,0.26
2015-08-11,0.26,0.265,0.245,0.25,632400,0.25
2015-08-12,0.245,0.25,0.23,0.235,2788300,0.235
2015-08-13,0.235,0.275,0.235,0.27,2583800,0.27
2015-08-14,0.275,0.275,0.255,0.255,631100,0.255
2015-08-17,0.265,0.285,0.265,0.28,1040700,0.28
2015-08-18,0.29,0.315,0.285,0.31,1356000,0.31
2015-08-19,0.31,0.31,0.28,0.29,828300,0.29
2015-08-20,0.295,0.295,0.275,0.275,871200,0.275
2015-08-21,0.27,0.28,0.265,0.28,1090300,0.28
2015-08-24,0.26,0.27,0.25,0.26,1369200,0.26
2015-08-25,0.255,0.275,0.25,0.27,852600,0.27
2015-08-26,0.265,0.275,0.255,0.27,1403800,0.27
2015-08-27,0.28,0.31,0.27,0.31,2270300,0.31
2015-08-28,0.325,0.37,0.315,0.36,3526200,0.36
2015-08-31,0.36,0.40,0.33,0.345,4518700,0.345
2015-09-01,0.355,0.355,0.315,0.325,2790800,0.325
2015-09-02,0.32,0.345,0.30,0.33,2144600,0.33
2015-09-03,0.35,0.35,0.32,0.32,2293200,0.32
2015-09-04,0.325,0.335,0.31,0.31,1067900,0.31
2015-09-07,0.315,0.315,0.29,0.29,1630000,0.29
2015-09-08,0.30,0.31,0.26,0.28,1780500,0.28
2015-09-09,0.285,0.30,0.285,0.295,751700,0.295
2015-09-10,0.29,0.2975,0.28,0.285,875600,0.285
2015-09-11,0.285,0.295,0.285,0.295,385800,0.295
2015-09-14,0.295,0.30,0.285,0.285,1180500,0.285
2015-09-15,0.29,0.295,0.265,0.27,1569700,0.27
2015-09-16,0.28,0.285,0.275,0.28,802900,0.28
2015-09-17,0.28,0.28,0.275,0.275,206300,0.275
2015-09-18,0.275,0.29,0.275,0.285,620600,0.285
2015-09-21,0.29,0.29,0.27,0.28,493000,0.28
2015-09-22,0.28,0.29,0.275,0.28,480100,0.28
