Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.008,0.008,0.008,0.008,000,0.176
2015-01-02,0.008,0.008,0.008,0.008,000,0.176
2015-01-05,0.008,0.008,0.008,0.008,000,0.176
2015-01-06,0.008,0.008,0.008,0.008,000,0.176
2015-01-07,0.008,0.008,0.008,0.008,000,0.176
2015-01-08,0.009,0.009,0.009,0.009,2500,0.198
2015-01-09,0.009,0.009,0.009,0.009,000,0.198
2015-01-12,0.009,0.009,0.009,0.009,8000,0.198
2015-01-13,0.009,0.009,0.009,0.009,000,0.198
2015-01-14,0.01,0.013,0.01,0.012,85100,0.264
2015-01-15,0.012,0.013,0.012,0.013,129200,0.286
2015-01-16,0.013,0.013,0.013,0.013,000,0.286
2015-01-19,0.013,0.013,0.013,0.013,9000,0.286
2015-01-20,0.013,0.013,0.013,0.013,000,0.286
2015-01-21,0.012,0.012,0.012,0.012,6800,0.264
2015-01-22,0.012,0.012,0.012,0.012,000,0.264
2015-01-23,0.012,0.012,0.012,0.012,000,0.264
2015-01-26,0.012,0.012,0.012,0.012,000,0.264
2015-01-27,0.012,0.012,0.012,0.012,000,0.264
2015-01-28,0.012,0.012,0.01,0.01,65900,0.22
2015-01-29,0.011,0.011,0.011,0.011,23800,0.242
2015-01-30,0.011,0.011,0.011,0.011,000,0.242
2015-02-02,0.011,0.011,0.011,0.011,000,0.242
2015-02-03,0.011,0.011,0.011,0.011,000,0.242
2015-02-04,0.011,0.011,0.01,0.011,12400,0.242
2015-02-05,0.01,0.01,0.009,0.009,45400,0.198
2015-02-06,0.009,0.009,0.009,0.009,000,0.198
2015-02-09,0.009,0.009,0.007,0.007,239200,0.154
2015-02-10,0.008,0.008,0.007,0.008,249300,0.176
2015-02-11,0.008,0.008,0.008,0.008,000,0.176
2015-02-12,0.008,0.008,0.008,0.008,000,0.176
2015-02-13,0.008,0.008,0.008,0.008,75400,0.176
2015-02-16,0.008,0.008,0.008,0.008,34000,0.176
2015-02-17,0.008,0.008,0.008,0.008,000,0.176
2015-02-18,0.009,0.009,0.009,0.009,9000,0.198
2015-02-19,0.009,0.009,0.009,0.009,4500,0.198
2015-02-20,0.009,0.009,0.009,0.009,000,0.198
2015-02-23,0.009,0.009,0.009,0.009,000,0.198
2015-02-24,0.009,0.009,0.009,0.009,000,0.198
2015-02-25,0.009,0.009,0.009,0.009,000,0.198
2015-02-26,0.009,0.009,0.009,0.009,000,0.198
2015-02-27,0.009,0.009,0.009,0.009,000,0.198
2015-03-02,0.01,0.01,0.01,0.01,53600,0.22
2015-03-03,0.01,0.011,0.01,0.01,99500,0.22
2015-03-04,0.01,0.01,0.01,0.01,6800,0.22
2015-03-05,0.009,0.01,0.009,0.01,30000,0.22
2015-03-06,0.009,0.009,0.009,0.009,22700,0.198
2015-03-09,0.009,0.009,0.009,0.009,000,0.198
2015-03-10,0.01,0.01,0.01,0.01,4500,0.22
2015-03-11,0.009,0.009,0.009,0.009,5000,0.198
2015-03-12,0.009,0.009,0.009,0.009,000,0.198
2015-03-13,0.009,0.009,0.009,0.009,000,0.198
2015-03-16,0.008,0.008,0.008,0.008,28200,0.176
2015-03-17,0.008,0.008,0.008,0.008,5900,0.176
2015-03-18,0.008,0.008,0.007,0.007,56900,0.154
2015-03-19,0.008,0.008,0.008,0.008,18100,0.176
2015-03-20,0.008,0.008,0.008,0.008,4500,0.176
2015-03-23,0.009,0.01,0.009,0.009,137500,0.198
2015-03-24,0.008,0.008,0.008,0.008,89900,0.176
2015-03-25,0.008,0.008,0.008,0.008,000,0.176
2015-03-26,0.008,0.008,0.008,0.008,000,0.176
2015-03-27,0.008,0.008,0.008,0.008,7200,0.176
2015-03-30,0.007,0.007,0.007,0.007,31200,0.154
2015-03-31,0.007,0.007,0.007,0.007,2300,0.154
