Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.06,0.06,0.06,0.06,000,0.06
2015-01-02,0.059,0.06,0.058,0.06,638100,0.06
2015-01-05,0.06,0.06,0.058,0.06,607000,0.06
2015-01-06,0.06,0.06,0.058,0.059,1383500,0.059
2015-01-07,0.059,0.059,0.056,0.058,1019900,0.058
2015-01-08,0.058,0.058,0.055,0.056,2372300,0.056
2015-01-09,0.057,0.057,0.055,0.056,465600,0.056
2015-01-12,0.057,0.057,0.056,0.057,618100,0.057
2015-01-13,0.058,0.058,0.057,0.057,587100,0.057
2015-01-14,0.058,0.058,0.056,0.057,457100,0.057
2015-01-15,0.057,0.057,0.055,0.056,1392200,0.056
2015-01-16,0.056,0.057,0.054,0.057,851100,0.057
2015-01-19,0.058,0.058,0.054,0.057,1267400,0.057
2015-01-20,0.055,0.057,0.055,0.056,79300,0.056
2015-01-21,0.057,0.058,0.057,0.058,1081600,0.058
2015-01-22,0.058,0.058,0.056,0.058,1056500,0.058
2015-01-23,0.059,0.06,0.056,0.06,2680700,0.06
2015-01-26,0.06,0.06,0.06,0.06,000,0.06
2015-01-27,0.06,0.064,0.06,0.063,4566100,0.063
2015-01-28,0.063,0.066,0.063,0.066,5096300,0.066
2015-01-29,0.065,0.07,0.063,0.064,5508500,0.064
2015-01-30,0.065,0.066,0.063,0.065,1236500,0.065
2015-02-02,0.064,0.064,0.062,0.062,784500,0.062
2015-02-03,0.063,0.063,0.061,0.062,496400,0.062
2015-02-04,0.063,0.064,0.061,0.062,759100,0.062
2015-02-05,0.062,0.063,0.061,0.062,1292100,0.062
2015-02-06,0.063,0.063,0.062,0.063,547700,0.063
2015-02-09,0.063,0.063,0.062,0.063,1465700,0.063
2015-02-10,0.063,0.064,0.061,0.062,1174100,0.062
2015-02-11,0.062,0.062,0.061,0.061,1011700,0.061
2015-02-12,0.061,0.062,0.061,0.061,399300,0.061
2015-02-13,0.061,0.063,0.061,0.063,598900,0.063
2015-02-16,0.063,0.064,0.062,0.062,698800,0.062
2015-02-17,0.062,0.063,0.061,0.061,354400,0.061
2015-02-18,0.062,0.065,0.061,0.064,3398500,0.064
2015-02-19,0.065,0.065,0.063,0.064,4256700,0.064
2015-02-20,0.064,0.065,0.062,0.062,3595000,0.062
2015-02-23,0.066,0.069,0.065,0.069,7878400,0.069
2015-02-24,0.069,0.069,0.066,0.066,2299200,0.066
2015-02-25,0.065,0.065,0.063,0.064,4232600,0.064
2015-02-26,0.064,0.065,0.063,0.063,1543800,0.063
2015-02-27,0.065,0.067,0.064,0.066,3617600,0.066
2015-03-02,0.067,0.072,0.067,0.068,11871500,0.068
2015-03-03,0.069,0.069,0.066,0.066,4858600,0.066
2015-03-04,0.067,0.067,0.066,0.067,854900,0.067
2015-03-05,0.066,0.067,0.065,0.065,2695700,0.065
2015-03-06,0.065,0.066,0.065,0.066,1148500,0.066
2015-03-09,0.064,0.065,0.063,0.065,2109100,0.065
2015-03-10,0.066,0.066,0.064,0.064,2277900,0.064
2015-03-11,0.063,0.064,0.063,0.064,1698600,0.064
2015-03-12,0.064,0.065,0.064,0.064,1614100,0.064
2015-03-13,0.065,0.065,0.06,0.062,3948800,0.062
2015-03-16,0.063,0.065,0.063,0.064,1459900,0.064
2015-03-17,0.065,0.065,0.062,0.064,2410500,0.064
2015-03-18,0.064,0.065,0.062,0.062,1758600,0.062
2015-03-19,0.064,0.064,0.063,0.063,187300,0.063
2015-03-20,0.063,0.063,0.061,0.062,1553100,0.062
2015-03-23,0.062,0.062,0.061,0.061,998500,0.061
2015-03-24,0.061,0.061,0.058,0.058,3871900,0.058
2015-03-25,0.057,0.058,0.056,0.058,2064500,0.058
2015-03-26,0.059,0.062,0.059,0.061,4550000,0.061
2015-03-27,0.061,0.062,0.06,0.061,1113600,0.061
2015-03-30,0.061,0.062,0.058,0.058,1247200,0.058
2015-03-31,0.059,0.063,0.059,0.063,3262100,0.063
2015-04-01,0.06,0.061,0.059,0.059,2224100,0.059
2015-04-02,0.059,0.06,0.058,0.06,804200,0.06
2015-04-03,0.06,0.06,0.06,0.06,000,0.06
2015-04-06,0.06,0.06,0.06,0.06,000,0.06
2015-04-07,0.06,0.06,0.057,0.057,1269300,0.057
2015-04-08,0.059,0.059,0.057,0.058,599900,0.058
2015-04-09,0.059,0.059,0.058,0.058,199400,0.058
2015-04-10,0.059,0.059,0.058,0.059,389700,0.059
2015-04-13,0.06,0.06,0.057,0.057,1167600,0.057
2015-04-14,0.056,0.058,0.056,0.058,354000,0.058
2015-04-15,0.058,0.061,0.057,0.057,1696100,0.057
2015-04-16,0.06,0.06,0.057,0.059,1048800,0.059
2015-04-17,0.06,0.06,0.059,0.059,304900,0.059
2015-04-20,0.059,0.059,0.057,0.059,433500,0.059
2015-04-21,0.06,0.06,0.056,0.057,1044100,0.057
2015-04-22,0.058,0.058,0.057,0.058,330800,0.058
2015-04-23,0.058,0.058,0.056,0.056,1050000,0.056
2015-04-24,0.056,0.057,0.056,0.057,944400,0.057
2015-04-27,0.058,0.058,0.057,0.057,163300,0.057
2015-04-28,0.058,0.058,0.055,0.056,3709300,0.056
2015-04-29,0.057,0.058,0.056,0.058,635900,0.058
2015-04-30,0.058,0.058,0.056,0.058,901400,0.058
2015-05-01,0.058,0.058,0.056,0.057,352400,0.057
2015-05-04,0.058,0.058,0.056,0.056,1263300,0.056
2015-05-05,0.057,0.057,0.054,0.056,1363400,0.056
2015-05-06,0.056,0.056,0.054,0.055,1358500,0.055
2015-05-07,0.055,0.055,0.052,0.052,2152300,0.052
2015-05-08,0.053,0.056,0.053,0.055,1549300,0.055
2015-05-11,0.055,0.056,0.054,0.056,632600,0.056
2015-05-12,0.056,0.056,0.054,0.055,402100,0.055
2015-05-13,0.055,0.056,0.054,0.056,163700,0.056
2015-05-14,0.055,0.056,0.055,0.056,671900,0.056
2015-05-15,0.055,0.055,0.052,0.053,2308100,0.053
2015-05-18,0.053,0.053,0.052,0.052,790500,0.052
2015-05-19,0.053,0.053,0.052,0.053,1713100,0.053
2015-05-20,0.053,0.054,0.052,0.054,480800,0.054
2015-05-21,0.054,0.055,0.052,0.054,1145600,0.054
2015-05-22,0.053,0.054,0.053,0.054,184100,0.054
2015-05-25,0.054,0.055,0.053,0.054,587800,0.054
2015-05-26,0.053,0.053,0.052,0.053,264000,0.053
2015-05-27,0.054,0.054,0.05,0.05,1845500,0.05
2015-05-28,0.051,0.053,0.051,0.053,240200,0.053
2015-05-29,0.051,0.052,0.049,0.05,3565500,0.05
