Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.031,0.031,0.031,0.031,000,0.031
2015-01-02,0.031,0.031,0.031,0.031,35000,0.031
2015-01-05,0.031,0.031,0.031,0.031,000,0.031
2015-01-06,0.031,0.031,0.031,0.031,000,0.031
2015-01-07,0.031,0.031,0.031,0.031,000,0.031
2015-01-08,0.031,0.031,0.031,0.031,1300,0.031
2015-01-09,0.031,0.031,0.031,0.031,000,0.031
2015-01-12,0.031,0.031,0.031,0.031,000,0.031
2015-01-13,0.031,0.031,0.031,0.031,000,0.031
2015-01-14,0.031,0.031,0.031,0.031,000,0.031
2015-01-15,0.031,0.031,0.031,0.031,000,0.031
2015-01-16,0.035,0.035,0.035,0.035,32700,0.035
2015-01-19,0.035,0.035,0.035,0.035,000,0.035
2015-01-20,0.035,0.035,0.035,0.035,000,0.035
2015-01-21,0.032,0.032,0.032,0.032,53500,0.032
2015-01-22,0.035,0.035,0.035,0.035,50000,0.035
2015-01-23,0.035,0.035,0.035,0.035,000,0.035
2015-01-26,0.035,0.035,0.035,0.035,000,0.035
2015-01-27,0.035,0.035,0.035,0.035,000,0.035
2015-01-28,0.033,0.034,0.033,0.034,300000,0.034
2015-01-29,0.035,0.035,0.035,0.035,167200,0.035
2015-01-30,0.035,0.035,0.035,0.035,000,0.035
2015-02-02,0.035,0.035,0.035,0.035,4500,0.035
2015-02-03,0.035,0.035,0.035,0.035,000,0.035
2015-02-04,0.035,0.035,0.035,0.035,000,0.035
2015-02-05,0.036,0.036,0.036,0.036,2000,0.036
2015-02-06,0.036,0.036,0.036,0.036,000,0.036
2015-02-09,0.036,0.036,0.036,0.036,000,0.036
2015-02-10,0.036,0.036,0.036,0.036,000,0.036
2015-02-11,0.036,0.036,0.036,0.036,000,0.036
2015-02-12,0.036,0.036,0.036,0.036,000,0.036
2015-02-13,0.036,0.036,0.036,0.036,000,0.036
2015-02-16,0.035,0.035,0.035,0.035,3000,0.035
2015-02-17,0.035,0.035,0.035,0.035,000,0.035
2015-02-18,0.035,0.035,0.035,0.035,200,0.035
2015-02-19,0.035,0.035,0.035,0.035,000,0.035
2015-02-20,0.035,0.035,0.035,0.035,000,0.035
2015-02-23,0.035,0.035,0.035,0.035,000,0.035
2015-02-24,0.035,0.035,0.035,0.035,000,0.035
2015-02-25,0.035,0.035,0.028,0.028,100000,0.028
2015-02-26,0.028,0.028,0.028,0.028,000,0.028
2015-02-27,0.028,0.028,0.028,0.028,000,0.028
2015-03-02,0.028,0.028,0.028,0.028,000,0.028
2015-03-03,0.028,0.028,0.028,0.028,000,0.028
2015-03-04,0.028,0.028,0.028,0.028,000,0.028
2015-03-05,0.028,0.028,0.028,0.028,000,0.028
2015-03-06,0.028,0.028,0.028,0.028,200,0.028
2015-03-09,0.028,0.028,0.028,0.028,000,0.028
2015-03-10,0.028,0.028,0.028,0.028,000,0.028
2015-03-11,0.028,0.028,0.028,0.028,000,0.028
2015-03-12,0.028,0.028,0.028,0.028,40000,0.028
2015-03-13,0.028,0.028,0.028,0.028,000,0.028
2015-03-16,0.028,0.028,0.028,0.028,000,0.028
2015-03-17,0.028,0.028,0.028,0.028,000,0.028
2015-03-18,0.028,0.028,0.028,0.028,000,0.028
2015-03-19,0.028,0.028,0.028,0.028,25000,0.028
2015-03-20,0.028,0.028,0.028,0.028,000,0.028
2015-03-23,0.028,0.028,0.028,0.028,000,0.028
2015-03-24,0.028,0.028,0.028,0.028,000,0.028
2015-03-25,0.028,0.028,0.028,0.028,000,0.028
2015-03-26,0.028,0.028,0.028,0.028,000,0.028
2015-03-27,0.028,0.028,0.028,0.028,000,0.028
2015-03-30,0.028,0.028,0.028,0.028,000,0.028
2015-03-31,0.028,0.028,0.028,0.028,000,0.028
2015-04-01,0.028,0.028,0.028,0.028,900000,0.028
2015-04-02,0.028,0.028,0.028,0.028,000,0.028
2015-04-03,0.028,0.028,0.028,0.028,000,0.028
2015-04-06,0.028,0.028,0.028,0.028,000,0.028
2015-04-07,0.028,0.028,0.028,0.028,985000,0.028
2015-04-08,0.028,0.028,0.028,0.028,38800,0.028
2015-04-09,0.03,0.03,0.03,0.03,3000,0.03
2015-04-10,0.035,0.035,0.035,0.035,3300,0.035
2015-04-13,0.035,0.035,0.035,0.035,26600,0.035
2015-04-14,0.035,0.035,0.035,0.035,000,0.035
2015-04-15,0.035,0.035,0.035,0.035,000,0.035
2015-04-16,0.035,0.035,0.035,0.035,4200,0.035
2015-04-17,0.035,0.035,0.035,0.035,000,0.035
2015-04-20,0.035,0.035,0.035,0.035,000,0.035
2015-04-21,0.045,0.045,0.045,0.045,20000,0.045
2015-04-22,0.048,0.05,0.047,0.05,508200,0.05
2015-04-23,0.05,0.05,0.049,0.049,843000,0.049
2015-04-24,0.049,0.056,0.049,0.056,778800,0.056
2015-04-27,0.056,0.06,0.056,0.056,451000,0.056
2015-04-28,0.056,0.056,0.056,0.056,529000,0.056
