Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,7.30,7.30,7.30,7.30,000,7.014
2015-01-02,7.30,7.35,7.30,7.35,600,7.062
2015-01-05,7.35,7.39,7.20,7.20,14600,6.918
2015-01-06,7.20,7.20,7.20,7.20,000,6.918
2015-01-07,7.23,7.23,7.23,7.23,1500,6.947
2015-01-08,7.20,7.23,7.00,7.00,4900,6.726
2015-01-09,7.00,7.00,7.00,7.00,400,6.726
2015-01-12,7.05,7.20,7.05,7.08,6700,6.803
2015-01-13,7.10,7.41,7.10,7.30,9100,7.014
2015-01-14,7.30,7.30,7.20,7.20,2400,6.918
2015-01-15,7.20,7.25,7.20,7.20,17100,6.918
2015-01-16,7.23,7.27,7.23,7.25,2600,6.966
2015-01-19,7.25,7.25,7.25,7.25,000,6.966
2015-01-20,7.20,7.30,7.15,7.20,5600,6.918
2015-01-21,7.20,7.40,7.20,7.40,20500,7.11
2015-01-22,7.40,7.45,7.40,7.45,6300,7.158
2015-01-23,7.45,7.50,7.45,7.48,1700,7.187
2015-01-26,7.48,7.48,7.48,7.48,000,7.187
2015-01-27,7.41,7.41,7.40,7.40,5900,7.11
2015-01-28,7.48,7.48,7.40,7.48,7600,7.187
2015-01-29,7.50,7.70,7.48,7.70,9300,7.399
2015-01-30,7.70,8.00,7.70,7.85,12000,7.543
2015-02-02,7.92,8.05,7.90,7.90,15300,7.591
2015-02-03,8.02,8.03,7.90,7.90,4000,7.591
2015-02-04,7.99,8.03,7.99,8.00,21700,7.687
2015-02-05,8.03,8.03,7.90,7.90,5700,7.591
2015-02-06,7.90,8.03,7.90,8.00,11600,7.687
2015-02-09,8.02,8.99,8.02,8.70,86100,8.36
2015-02-10,8.75,9.04,8.69,8.80,49400,8.456
2015-02-11,8.80,9.45,8.80,9.20,18500,8.84
2015-02-12,9.20,9.56,9.05,9.56,19200,9.186
2015-02-13,9.56,10.20,9.56,10.00,40100,9.609
