Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.14,0.14,0.14,0.14,000,0.14
2015-01-02,0.145,0.145,0.145,0.145,10000,0.145
2015-01-05,0.145,0.145,0.145,0.145,000,0.145
2015-01-06,0.145,0.145,0.145,0.145,000,0.145
2015-01-07,0.145,0.145,0.145,0.145,000,0.145
2015-01-08,0.165,0.165,0.14,0.14,21500,0.14
2015-01-09,0.14,0.14,0.135,0.135,12300,0.135
2015-01-12,0.14,0.14,0.14,0.14,48200,0.14
2015-01-13,0.14,0.14,0.14,0.14,000,0.14
2015-01-14,0.15,0.15,0.14,0.14,9000,0.14
2015-01-15,0.135,0.135,0.12,0.12,43900,0.12
2015-01-16,0.12,0.12,0.083,0.10,416100,0.10
2015-01-19,0.10,0.10,0.088,0.091,81400,0.091
2015-01-20,0.095,0.095,0.095,0.095,50000,0.095
2015-01-21,0.095,0.098,0.095,0.098,21300,0.098
2015-01-22,0.098,0.098,0.085,0.09,579000,0.09
2015-01-23,0.09,0.097,0.09,0.097,36500,0.097
2015-01-26,0.097,0.097,0.097,0.097,000,0.097
2015-01-27,0.097,0.097,0.097,0.097,80000,0.097
2015-01-28,0.098,0.098,0.094,0.094,26300,0.094
2015-01-29,0.09,0.094,0.088,0.091,62200,0.091
2015-01-30,0.092,0.099,0.091,0.098,92200,0.098
2015-02-02,0.098,0.098,0.089,0.089,51200,0.089
2015-02-03,0.088,0.09,0.088,0.09,89600,0.09
2015-02-04,0.09,0.09,0.088,0.088,55000,0.088
2015-02-05,0.09,0.09,0.082,0.082,214000,0.082
2015-02-06,0.082,0.082,0.082,0.082,000,0.082
2015-02-09,0.081,0.081,0.08,0.08,130000,0.08
2015-02-10,0.087,0.087,0.08,0.08,27800,0.08
2015-02-11,0.086,0.086,0.08,0.08,105000,0.08
2015-02-12,0.085,0.085,0.085,0.085,37000,0.085
2015-02-13,0.08,0.08,0.072,0.072,347400,0.072
2015-02-16,0.076,0.076,0.074,0.074,100000,0.074
2015-02-17,0.08,0.08,0.078,0.078,119000,0.078
2015-02-18,0.078,0.08,0.078,0.08,64500,0.08
2015-02-19,0.076,0.079,0.076,0.076,85300,0.076
2015-02-20,0.076,0.076,0.076,0.076,000,0.076
2015-02-23,0.079,0.079,0.073,0.073,94500,0.073
2015-02-24,0.073,0.073,0.073,0.073,46300,0.073
2015-02-25,0.073,0.073,0.073,0.073,2000,0.073
2015-02-26,0.083,0.10,0.083,0.083,923100,0.083
2015-02-27,0.084,0.105,0.084,0.10,714700,0.10
2015-03-02,0.11,0.125,0.10,0.12,467400,0.12
2015-03-03,0.12,0.12,0.09,0.09,440100,0.09
2015-03-04,0.09,0.09,0.09,0.09,000,0.09
2015-03-05,0.11,0.14,0.10,0.135,969600,0.135
2015-03-06,0.14,0.145,0.11,0.14,868500,0.14
2015-03-09,0.13,0.15,0.13,0.14,214800,0.14
2015-03-10,0.135,0.135,0.11,0.13,309900,0.13
2015-03-11,0.135,0.14,0.12,0.12,157800,0.12
2015-03-12,0.12,0.12,0.12,0.12,28500,0.12
2015-03-13,0.125,0.135,0.125,0.135,30400,0.135
2015-03-16,0.135,0.135,0.13,0.13,34400,0.13
2015-03-17,0.13,0.13,0.13,0.13,50000,0.13
2015-03-18,0.13,0.13,0.13,0.13,000,0.13
2015-03-19,0.11,0.12,0.10,0.10,186600,0.10
2015-03-20,0.11,0.12,0.11,0.12,23900,0.12
2015-03-23,0.12,0.12,0.12,0.12,000,0.12
2015-03-24,0.115,0.12,0.115,0.115,91400,0.115
2015-03-25,0.115,0.115,0.10,0.10,110500,0.10
