Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.465,1.465,1.465,1.465,000,1.41512
2015-01-02,1.465,1.50,1.465,1.48,227300,1.42961
2015-01-05,1.51,1.63,1.51,1.60,516400,1.54552
2015-01-06,1.59,1.595,1.55,1.58,365800,1.5262
2015-01-07,1.565,1.565,1.37,1.38,706200,1.33301
2015-01-08,1.41,1.50,1.41,1.44,198100,1.39097
2015-01-09,1.50,1.515,1.42,1.45,211600,1.40063
2015-01-12,1.45,1.47,1.42,1.46,108300,1.41029
2015-01-13,1.43,1.465,1.43,1.455,208700,1.40546
2015-01-14,1.46,1.47,1.45,1.46,147500,1.41029
2015-01-15,1.46,1.47,1.455,1.46,177300,1.41029
2015-01-16,1.46,1.465,1.41,1.41,234500,1.36199
2015-01-19,1.445,1.465,1.43,1.45,70500,1.40063
2015-01-20,1.445,1.445,1.40,1.405,58800,1.35716
2015-01-21,1.405,1.415,1.365,1.385,106700,1.33784
2015-01-22,1.385,1.43,1.375,1.395,175200,1.3475
2015-01-23,1.39,1.415,1.38,1.415,154200,1.36682
2015-01-26,1.415,1.415,1.415,1.415,000,1.36682
2015-01-27,1.42,1.42,1.32,1.36,184000,1.3137
2015-01-28,1.315,1.355,1.31,1.31,266700,1.2654
2015-01-29,1.31,1.33,1.26,1.29,311000,1.24608
2015-01-30,1.28,1.28,1.225,1.255,355000,1.21227
2015-02-02,1.26,1.305,1.26,1.29,193700,1.24608
2015-02-03,1.32,1.395,1.32,1.35,214500,1.30404
2015-02-04,1.365,1.47,1.365,1.40,413700,1.35233
2015-02-05,1.46,1.475,1.405,1.475,91100,1.42478
2015-02-06,1.49,1.555,1.49,1.53,97700,1.47791
2015-02-09,1.50,1.565,1.49,1.555,341300,1.50206
2015-02-10,1.57,1.685,1.53,1.595,374800,1.54069
2015-02-11,1.59,1.615,1.54,1.56,179000,1.50689
2015-02-12,1.595,1.595,1.50,1.50,246200,1.44893
2015-02-13,1.54,1.55,1.50,1.50,156300,1.44893
2015-02-16,1.51,1.535,1.505,1.53,203200,1.47791
2015-02-17,1.52,1.535,1.51,1.52,80300,1.46825
2015-02-18,1.51,1.53,1.465,1.52,96700,1.46825
2015-02-19,1.56,1.57,1.455,1.48,303900,1.42961
2015-02-20,1.43,1.50,1.43,1.50,139600,1.44893
2015-02-23,1.50,1.50,1.43,1.435,362400,1.38614
2015-02-24,1.49,1.49,1.44,1.47,107100,1.41995
2015-02-25,1.50,1.51,1.475,1.48,148500,1.42961
2015-02-26,1.485,1.515,1.485,1.495,312000,1.4441
