Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.09,2.09,2.09,2.09,000,1.9919
2015-01-02,2.10,2.11,2.08,2.10,162100,2.0014
2015-01-05,2.10,2.11,2.08,2.10,69200,2.0014
2015-01-06,2.08,2.09,2.00,2.04,242300,1.9442
2015-01-07,2.05,2.07,2.00,2.00,431800,1.9061
2015-01-08,2.01,2.09,2.00,2.06,485500,1.9633
2015-01-09,2.06,2.10,2.05,2.08,124100,1.9823
2015-01-12,2.06,2.19,2.05,2.12,756100,2.0205
2015-01-13,2.11,2.14,2.01,2.10,366800,2.0014
2015-01-14,2.07,2.14,2.07,2.11,181300,2.0109
2015-01-15,2.12,2.14,2.07,2.14,378200,2.0395
2015-01-16,2.10,2.13,2.05,2.06,775900,1.9633
2015-01-19,2.08,2.10,2.005,2.05,875000,1.9538
2015-01-20,2.02,2.04,2.00,2.02,551300,1.9252
2015-01-21,2.02,2.05,2.01,2.02,516100,1.9252
2015-01-22,2.02,2.05,2.00,2.03,1025900,1.9347
2015-01-23,2.04,2.07,2.03,2.07,306700,1.9728
2015-01-26,2.07,2.07,2.07,2.07,000,1.9728
2015-01-27,2.07,2.08,1.96,2.02,1128000,1.9252
2015-01-28,2.03,2.05,1.965,2.03,1183700,1.9347
2015-01-29,2.04,2.07,2.02,2.03,990900,1.9347
2015-01-30,2.05,2.07,2.03,2.04,843200,1.9442
2015-02-02,2.03,2.08,2.02,2.05,1062700,1.9538
2015-02-03,2.05,2.10,2.05,2.07,642700,1.9728
2015-02-04,2.10,2.11,2.07,2.07,579600,1.9728
2015-02-05,2.07,2.15,2.06,2.14,654200,2.0395
2015-02-06,2.10,2.19,2.10,2.14,603300,2.0395
2015-02-09,2.14,2.20,2.13,2.17,1013700,2.0681
2015-02-10,2.17,2.19,2.16,2.18,469800,2.0777
2015-02-11,2.16,2.20,2.13,2.18,509700,2.0777
2015-02-12,2.19,2.20,2.10,2.15,1097400,2.0491
2015-02-13,2.19,2.22,2.135,2.16,693200,2.0586
2015-02-16,2.19,2.26,2.18,2.25,637000,2.1444
2015-02-17,2.16,2.16,2.04,2.10,4232800,2.0014
2015-02-18,2.10,2.16,2.10,2.15,2083300,2.0491
2015-02-19,2.16,2.19,2.15,2.17,877200,2.0681
2015-02-20,2.18,2.20,2.16,2.19,683000,2.0872
2015-02-23,2.20,2.20,2.17,2.18,889400,2.0777
2015-02-24,2.19,2.19,2.16,2.16,805900,2.0586
2015-02-25,2.19,2.19,2.14,2.14,1350500,2.0395
2015-02-26,2.16,2.20,2.15,2.17,2203400,2.0681
