Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.012,0.012,0.012,0.012,000,0.012
2015-01-02,0.01,0.01,0.01,0.01,50000,0.01
2015-01-05,0.01,0.01,0.01,0.01,000,0.01
2015-01-06,0.01,0.01,0.01,0.01,51200,0.01
2015-01-07,0.011,0.011,0.011,0.011,559300,0.011
2015-01-08,0.011,0.011,0.011,0.011,000,0.011
2015-01-09,0.011,0.012,0.011,0.012,800000,0.012
2015-01-12,0.012,0.012,0.012,0.012,000,0.012
2015-01-13,0.012,0.012,0.012,0.012,000,0.012
2015-01-14,0.011,0.011,0.011,0.011,300000,0.011
2015-01-15,0.012,0.013,0.011,0.013,1440000,0.013
2015-01-16,0.012,0.013,0.012,0.013,932400,0.013
2015-01-19,0.013,0.014,0.013,0.013,3452400,0.013
2015-01-20,0.013,0.016,0.013,0.014,4594000,0.014
2015-01-21,0.015,0.017,0.015,0.016,6506900,0.016
2015-01-22,0.016,0.019,0.016,0.018,27525600,0.018
2015-01-23,0.018,0.018,0.014,0.014,13471500,0.014
2015-01-26,0.014,0.014,0.014,0.014,000,0.014
2015-01-27,0.014,0.014,0.012,0.014,7103300,0.014
2015-01-28,0.014,0.014,0.012,0.012,6190400,0.012
2015-01-29,0.013,0.015,0.013,0.015,6010500,0.015
2015-01-30,0.015,0.015,0.013,0.013,2610000,0.013
2015-02-02,0.013,0.013,0.013,0.013,3185000,0.013
2015-02-03,0.013,0.013,0.013,0.013,000,0.013
2015-02-04,0.013,0.014,0.012,0.014,2090000,0.014
2015-02-05,0.013,0.013,0.013,0.013,400000,0.013
2015-02-06,0.013,0.015,0.013,0.015,907800,0.015
2015-02-09,0.015,0.015,0.015,0.015,000,0.015
2015-02-10,0.015,0.015,0.015,0.015,000,0.015
2015-02-11,0.015,0.015,0.015,0.015,000,0.015
2015-02-12,0.015,0.015,0.015,0.015,000,0.015
2015-02-13,0.012,0.013,0.011,0.012,3315300,0.012
2015-02-16,0.012,0.012,0.012,0.012,617400,0.012
2015-02-17,0.011,0.011,0.01,0.011,1720100,0.011
2015-02-18,0.011,0.012,0.011,0.011,285000,0.011
2015-02-19,0.012,0.012,0.012,0.012,1675100,0.012
2015-02-20,0.012,0.012,0.012,0.012,000,0.012
2015-02-23,0.012,0.013,0.012,0.012,529800,0.012
2015-02-24,0.012,0.012,0.012,0.012,000,0.012
2015-02-25,0.012,0.012,0.012,0.012,000,0.012
2015-02-26,0.012,0.012,0.012,0.012,000,0.012
2015-02-27,0.01,0.011,0.01,0.011,2173600,0.011
2015-03-02,0.011,0.011,0.011,0.011,1171700,0.011
2015-03-03,0.012,0.012,0.011,0.011,670200,0.011
2015-03-04,0.01,0.011,0.01,0.011,1300000,0.011
2015-03-05,0.011,0.011,0.011,0.011,000,0.011
2015-03-06,0.011,0.011,0.011,0.011,000,0.011
2015-03-09,0.01,0.01,0.009,0.01,1605000,0.01
2015-03-10,0.01,0.011,0.01,0.011,1139700,0.011
2015-03-11,0.011,0.011,0.011,0.011,000,0.011
2015-03-12,0.011,0.011,0.011,0.011,000,0.011
2015-03-13,0.009,0.01,0.009,0.01,350000,0.01
2015-03-16,0.01,0.01,0.01,0.01,185000,0.01
2015-03-17,0.01,0.01,0.01,0.01,000,0.01
2015-03-18,0.01,0.01,0.01,0.01,200000,0.01
2015-03-19,0.01,0.01,0.01,0.01,426600,0.01
2015-03-20,0.01,0.01,0.01,0.01,123300,0.01
2015-03-23,0.009,0.01,0.009,0.01,363300,0.01
2015-03-24,0.01,0.01,0.01,0.01,000,0.01
2015-03-25,0.01,0.01,0.01,0.01,000,0.01
2015-03-26,0.009,0.01,0.009,0.01,742300,0.01
2015-03-27,0.01,0.01,0.01,0.01,000,0.01
2015-03-30,0.01,0.01,0.01,0.01,50000,0.01
2015-03-31,0.009,0.01,0.009,0.01,500000,0.01
2015-04-01,0.01,0.01,0.01,0.01,000,0.01
2015-04-02,0.009,0.01,0.009,0.01,935100,0.01
2015-04-03,0.01,0.01,0.01,0.01,000,0.01
2015-04-06,0.01,0.01,0.01,0.01,000,0.01
2015-04-07,0.009,0.01,0.009,0.01,150000,0.01
2015-04-08,0.01,0.01,0.01,0.01,000,0.01
2015-04-09,0.009,0.01,0.009,0.009,1166500,0.009
2015-04-10,0.009,0.0095,0.008,0.008,677400,0.008
2015-04-13,0.009,0.009,0.009,0.009,593900,0.009
2015-04-14,0.009,0.009,0.009,0.009,310000,0.009
2015-04-15,0.01,0.01,0.009,0.01,734000,0.01
2015-04-16,0.009,0.01,0.009,0.01,2131300,0.01
2015-04-17,0.01,0.011,0.01,0.011,1282600,0.011
2015-04-20,0.011,0.013,0.011,0.013,530400,0.013
2015-04-21,0.013,0.014,0.013,0.013,2200400,0.013
2015-04-22,0.013,0.013,0.013,0.013,000,0.013
2015-04-23,0.013,0.013,0.013,0.013,000,0.013
2015-04-24,0.012,0.012,0.012,0.012,750000,0.012
2015-04-27,0.011,0.012,0.011,0.012,1733300,0.012
2015-04-28,0.011,0.012,0.011,0.012,255700,0.012
2015-04-29,0.013,0.013,0.013,0.013,1750000,0.013
2015-04-30,0.013,0.013,0.012,0.012,2753800,0.012
2015-05-01,0.011,0.011,0.009,0.009,902600,0.009
2015-05-04,0.01,0.01,0.01,0.01,100000,0.01
2015-05-05,0.011,0.012,0.011,0.012,1899600,0.012
2015-05-06,0.012,0.012,0.012,0.012,660000,0.012
2015-05-07,0.012,0.012,0.012,0.012,1450000,0.012
2015-05-08,0.012,0.012,0.012,0.012,2165800,0.012
2015-05-11,0.011,0.012,0.011,0.012,2406900,0.012
2015-05-12,0.012,0.014,0.012,0.014,2600000,0.014
2015-05-13,0.014,0.017,0.014,0.015,1664600,0.015
2015-05-14,0.014,0.015,0.014,0.015,956000,0.015
2015-05-15,0.014,0.014,0.012,0.014,4018500,0.014
2015-05-18,0.013,0.014,0.013,0.014,1150000,0.014
2015-05-19,0.014,0.014,0.012,0.012,615900,0.012
2015-05-20,0.012,0.012,0.012,0.012,1250200,0.012
2015-05-21,0.011,0.011,0.011,0.011,100000,0.011
2015-05-22,0.014,0.017,0.011,0.013,6488000,0.013
2015-05-25,0.013,0.013,0.013,0.013,240000,0.013
2015-05-26,0.012,0.013,0.012,0.013,480000,0.013
2015-05-27,0.013,0.013,0.013,0.013,000,0.013
2015-05-28,0.013,0.013,0.013,0.013,450000,0.013
2015-05-29,0.013,0.013,0.013,0.013,540000,0.013
2015-06-01,0.013,0.014,0.013,0.014,393300,0.014
2015-06-02,0.014,0.014,0.014,0.014,1884400,0.014
2015-06-03,0.015,0.016,0.014,0.015,4689800,0.015
2015-06-04,0.014,0.014,0.013,0.014,840600,0.014
2015-06-05,0.015,0.015,0.015,0.015,98300,0.015
2015-06-08,0.015,0.015,0.015,0.015,000,0.015
2015-06-09,0.015,0.015,0.015,0.015,000,0.015
2015-06-10,0.015,0.015,0.015,0.015,000,0.015
2015-06-11,0.015,0.015,0.014,0.014,3010000,0.014
2015-06-12,0.013,0.013,0.012,0.013,2483300,0.013
2015-06-15,0.013,0.014,0.013,0.013,1763000,0.013
2015-06-16,0.012,0.014,0.012,0.013,5255000,0.013
2015-06-17,0.013,0.015,0.013,0.015,6950000,0.015
2015-06-18,0.015,0.016,0.015,0.016,3214000,0.016
2015-06-19,0.015,0.016,0.015,0.016,4732300,0.016
2015-06-22,0.016,0.016,0.016,0.016,286100,0.016
2015-06-23,0.016,0.016,0.014,0.015,3829100,0.015
