Date,Open,High,Low,Close,Volume,Adj Close
2016-03-03,0.49,0.72,0.475,0.72,297500,0.72
2016-03-04,0.70,0.70,0.48,0.60,38100,0.60
2016-03-07,0.50,0.59,0.42,0.59,71400,0.59
2016-03-08,0.58,0.58,0.42,0.42,18500,0.42
2016-03-09,0.48,0.48,0.35,0.41,24200,0.41
2016-03-10,0.37,0.375,0.36,0.37,12500,0.37
2016-03-11,0.335,0.34,0.33,0.33,8600,0.33
2016-03-14,0.335,0.365,0.335,0.365,20600,0.365
2016-03-15,0.31,0.44,0.31,0.44,31700,0.44
2016-03-16,0.40,0.41,0.38,0.38,15700,0.38
2016-03-17,0.38,0.38,0.38,0.38,000,0.38
2016-03-18,0.36,0.45,0.36,0.45,27000,0.45
2016-03-21,0.445,0.47,0.40,0.40,38700,0.40
2016-03-22,0.455,0.455,0.41,0.41,7200,0.41
2016-03-23,0.41,0.465,0.40,0.465,9600,0.465
2016-03-24,0.42,0.48,0.42,0.48,12000,0.48
2016-03-25,0.48,0.48,0.48,0.48,000,0.48
2016-03-28,0.48,0.48,0.48,0.48,000,0.48
2016-03-29,0.48,0.50,0.47,0.50,52100,0.50
2016-03-30,0.50,0.59,0.50,0.50,63300,0.50
2016-03-31,0.55,0.65,0.55,0.65,28300,0.65
2016-04-01,0.645,0.65,0.62,0.65,43600,0.65
2016-04-04,0.68,0.78,0.68,0.78,25000,0.78
2016-04-05,0.77,0.78,0.77,0.78,13300,0.78
2016-04-06,0.70,0.70,0.64,0.70,19300,0.70
2016-04-07,0.66,0.70,0.63,0.70,59300,0.70
2016-04-08,0.70,0.71,0.63,0.63,21400,0.63
2016-04-11,0.65,0.67,0.65,0.67,5000,0.67
2016-04-12,0.675,0.69,0.67,0.69,6300,0.69
2016-04-13,0.71,0.775,0.71,0.775,9400,0.775
2016-04-14,0.75,0.775,0.70,0.775,24800,0.775
2016-04-15,0.775,0.80,0.775,0.80,21000,0.80


2016-04-18,0.795,0.82,0.795,0.82,9600,0.82
2016-04-19,0.82,0.83,0.82,0.83,13100,0.83
2016-04-20,0.83,0.83,0.80,0.80,3000,0.80
2016-04-21,0.80,0.80,0.80,0.80,1100,0.80
2016-04-22,0.80,0.825,0.80,0.825,5400,0.825


2016-04-25,0.825,0.825,0.825,0.825,000,0.825
2016-04-26,0.825,0.825,0.775,0.775,16100,0.775
2016-04-27,0.775,0.79,0.775,0.775,9600,0.775
2016-04-28,0.775,0.775,0.775,0.775,000,0.775
2016-04-29,0.80,0.81,0.775,0.79,15300,0.79


2016-05-02,0.78,0.78,0.78,0.78,3300,0.78
2016-05-03,0.78,0.78,0.78,0.78,3000,0.78
2016-05-04,0.775,0.79,0.775,0.79,3300,0.79
2016-05-05,0.79,0.80,0.79,0.80,6300,0.80
2016-05-06,0.79,0.79,0.79,0.79,000,0.79


2016-05-09,0.79,0.83,0.775,0.83,5000,0.83
2016-05-10,0.83,0.83,0.83,0.83,000,0.83
2016-05-11,0.775,0.80,0.77,0.80,3300,0.80
2016-05-12,0.80,0.80,0.80,0.80,3300,0.80
2016-05-13,0.80,0.80,0.80,0.80,000,0.80


2016-05-16,0.765,0.81,0.75,0.77,13600,0.77
2016-05-17,0.77,0.83,0.765,0.83,6800,0.83
2016-05-18,0.83,0.83,0.83,0.83,000,0.83
2016-05-19,0.83,0.83,0.83,0.83,000,0.83
2016-05-20,0.83,0.83,0.83,0.83,000,0.83


2016-05-23,0.83,0.83,0.83,0.83,000,0.83
2016-05-24,0.83,0.83,0.83,0.83,000,0.83
2016-05-25,0.83,0.83,0.83,0.83,000,0.83
2016-05-26,0.82,0.83,0.82,0.83,4000,0.83
2016-05-27,0.83,0.83,0.83,0.83,000,0.83


2016-05-30,0.83,0.83,0.83,0.83,000,0.83
2016-05-31,0.81,0.81,0.80,0.80,7900,0.80
2016-06-01,0.80,0.80,0.795,0.795,17000,0.795
2016-06-02,0.795,0.795,0.795,0.795,000,0.795
2016-06-03,0.795,0.795,0.795,0.795,000,0.795


2016-06-06,0.80,0.80,0.80,0.80,2000,0.80
2016-06-07,0.80,0.80,0.80,0.80,000,0.80
2016-06-08,0.80,0.80,0.80,0.80,000,0.80
2016-06-09,0.80,0.80,0.80,0.80,000,0.80
2016-06-10,0.80,0.80,0.80,0.80,000,0.80


2016-06-13,0.80,0.80,0.80,0.80,000,0.80
2016-06-14,0.80,0.80,0.80,0.80,000,0.80
