Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.21,0.21,0.21,0.21,000,0.21
2015-01-02,0.21,0.21,0.21,0.21,000,0.21
2015-01-05,0.22,0.24,0.22,0.24,266900,0.24
2015-01-06,0.24,0.24,0.225,0.24,194300,0.24
2015-01-07,0.235,0.235,0.22,0.22,143200,0.22
2015-01-08,0.225,0.225,0.22,0.22,84500,0.22
2015-01-09,0.225,0.225,0.21,0.215,91400,0.215
2015-01-12,0.215,0.215,0.215,0.215,000,0.215
2015-01-13,0.215,0.22,0.21,0.22,17400,0.22
2015-01-14,0.21,0.21,0.21,0.21,120000,0.21
2015-01-15,0.205,0.22,0.205,0.22,34200,0.22
2015-01-16,0.21,0.21,0.205,0.205,60000,0.205
2015-01-19,0.20,0.21,0.20,0.21,250600,0.21
2015-01-20,0.21,0.21,0.205,0.205,23000,0.205
2015-01-21,0.20,0.20,0.20,0.20,65000,0.20
2015-01-22,0.20,0.205,0.20,0.205,108200,0.205
2015-01-23,0.20,0.205,0.20,0.205,53200,0.205
2015-01-26,0.205,0.205,0.205,0.205,000,0.205
2015-01-27,0.21,0.21,0.20,0.20,46500,0.20
2015-01-28,0.205,0.21,0.20,0.205,82300,0.205
2015-01-29,0.21,0.21,0.20,0.20,200300,0.20
2015-01-30,0.21,0.21,0.20,0.205,181800,0.205
2015-02-02,0.205,0.21,0.20,0.20,56700,0.20
2015-02-03,0.21,0.22,0.21,0.21,154300,0.21
2015-02-04,0.22,0.225,0.21,0.225,274400,0.225
2015-02-05,0.225,0.23,0.22,0.225,150000,0.225
2015-02-06,0.22,0.22,0.21,0.21,121800,0.21
2015-02-09,0.205,0.205,0.205,0.205,174800,0.205
2015-02-10,0.205,0.21,0.205,0.205,12400,0.205
2015-02-11,0.205,0.205,0.20,0.20,360900,0.20
2015-02-12,0.20,0.205,0.20,0.205,34000,0.205
2015-02-13,0.205,0.21,0.20,0.21,144100,0.21
2015-02-16,0.21,0.215,0.205,0.215,70000,0.215
2015-02-17,0.215,0.215,0.205,0.21,143900,0.21
2015-02-18,0.21,0.21,0.21,0.21,3500,0.21
2015-02-19,0.215,0.215,0.21,0.21,221700,0.21
2015-02-20,0.21,0.22,0.21,0.215,212900,0.215
2015-02-23,0.215,0.215,0.21,0.21,160400,0.21
2015-02-24,0.21,0.21,0.21,0.21,000,0.21
2015-02-25,0.205,0.21,0.205,0.205,109100,0.205
2015-02-26,0.21,0.21,0.205,0.205,128400,0.205
2015-02-27,0.205,0.205,0.20,0.20,118000,0.20
2015-03-02,0.205,0.205,0.20,0.205,324900,0.205
2015-03-03,0.20,0.21,0.20,0.21,562600,0.21
2015-03-04,0.21,0.21,0.21,0.21,133500,0.21
2015-03-05,0.21,0.21,0.20,0.20,34700,0.20
2015-03-06,0.21,0.21,0.20,0.20,204400,0.20
2015-03-09,0.21,0.21,0.20,0.21,90100,0.21
2015-03-10,0.205,0.205,0.205,0.205,20000,0.205
2015-03-11,0.21,0.21,0.205,0.21,170800,0.21
2015-03-12,0.205,0.205,0.20,0.20,151800,0.20
2015-03-13,0.21,0.21,0.205,0.205,46000,0.205
2015-03-16,0.205,0.205,0.205,0.205,000,0.205
2015-03-17,0.20,0.21,0.20,0.20,137200,0.20
2015-03-18,0.20,0.205,0.20,0.205,77300,0.205
2015-03-19,0.205,0.205,0.205,0.205,128000,0.205
2015-03-20,0.20,0.20,0.20,0.20,9000,0.20
2015-03-23,0.20,0.205,0.20,0.20,49000,0.20
2015-03-24,0.205,0.205,0.20,0.202,94700,0.202
2015-03-25,0.20,0.205,0.20,0.205,50000,0.205
2015-03-26,0.205,0.205,0.20,0.20,35800,0.20
2015-03-27,0.20,0.20,0.20,0.20,000,0.20
2015-03-30,0.20,0.21,0.20,0.21,793800,0.21
2015-03-31,0.215,0.215,0.21,0.21,336300,0.21
2015-04-01,0.215,0.215,0.21,0.21,153700,0.21
2015-04-02,0.215,0.215,0.21,0.21,61400,0.21
2015-04-03,0.21,0.21,0.21,0.21,000,0.21
2015-04-06,0.21,0.21,0.21,0.21,000,0.21
2015-04-07,0.21,0.21,0.205,0.21,240100,0.21
2015-04-08,0.21,0.21,0.21,0.21,85000,0.21
