Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.081,0.081,0.081,0.081,000,1.62
2015-01-02,0.082,0.09,0.082,0.09,17000,1.80
2015-01-05,0.096,0.145,0.095,0.14,126100,2.80
2015-01-06,0.14,0.185,0.14,0.145,328900,2.90
2015-01-07,0.15,0.15,0.125,0.135,70600,2.70
2015-01-08,0.14,0.185,0.14,0.185,133900,3.70
2015-01-09,0.175,0.175,0.145,0.15,175200,3.00
2015-01-12,0.145,0.165,0.14,0.16,92600,3.20
2015-01-13,0.155,0.16,0.13,0.13,97300,2.60
2015-01-14,0.13,0.145,0.125,0.13,89500,2.60
2015-01-15,0.13,0.135,0.125,0.135,23100,2.70
2015-01-16,0.125,0.135,0.12,0.135,36700,2.70
2015-01-19,0.135,0.14,0.11,0.11,89200,2.20
2015-01-20,0.115,0.125,0.11,0.125,12300,2.50
2015-01-21,0.125,0.13,0.115,0.115,41300,2.30
2015-01-22,0.115,0.12,0.105,0.12,29700,2.40
2015-01-23,0.115,0.125,0.11,0.125,33600,2.50
2015-01-26,0.125,0.125,0.125,0.125,000,2.50
2015-01-27,0.12,0.125,0.115,0.12,111000,2.40
2015-01-28,0.125,0.125,0.115,0.115,9200,2.30
2015-01-29,0.115,0.12,0.115,0.12,25600,2.40
2015-01-30,0.13,0.135,0.115,0.12,58500,2.40
2015-02-02,0.12,0.12,0.11,0.11,51100,2.20
2015-02-03,0.105,0.115,0.105,0.11,37800,2.20
2015-02-04,0.11,0.125,0.11,0.115,30400,2.30
2015-02-05,0.12,0.125,0.12,0.125,32000,2.50
2015-02-06,0.125,0.14,0.115,0.14,33100,2.80
2015-02-09,0.14,0.14,0.135,0.135,4900,2.70
2015-02-10,0.13,0.135,0.125,0.13,17800,2.60
2015-02-11,0.13,0.13,0.12,0.13,7400,2.60
2015-02-12,0.13,0.13,0.12,0.12,3300,2.40
2015-02-13,0.12,0.13,0.12,0.125,27200,2.50
2015-02-16,0.12,0.13,0.12,0.125,12400,2.50
2015-02-17,0.125,0.13,0.125,0.13,28200,2.60
2015-02-18,0.13,0.16,0.13,0.16,76200,3.20
2015-02-19,0.155,0.165,0.145,0.165,70700,3.30
2015-02-20,0.16,0.16,0.145,0.145,28200,2.90
2015-02-23,0.145,0.155,0.145,0.145,30500,2.90
2015-02-24,0.15,0.17,0.15,0.17,57200,3.40
2015-02-25,0.165,0.17,0.16,0.17,50300,3.40
2015-02-26,0.16,0.17,0.155,0.16,15900,3.20
2015-02-27,0.18,0.195,0.175,0.19,451700,3.80
2015-03-02,0.185,0.195,0.15,0.15,131800,3.00
2015-03-03,0.155,0.165,0.14,0.145,104700,2.90
2015-03-04,0.15,0.15,0.12,0.125,93900,2.50
2015-03-05,0.125,0.14,0.125,0.14,56300,2.80
2015-03-06,0.13,0.135,0.13,0.135,16800,2.70
2015-03-09,0.14,0.145,0.14,0.14,13600,2.80
2015-03-10,0.145,0.145,0.14,0.14,4100,2.80
2015-03-11,0.14,0.165,0.14,0.16,44700,3.20
2015-03-12,0.175,0.19,0.15,0.16,119900,3.20
