Date,Open,High,Low,Close,Volume,Adj Close
2015-09-15,1.00,1.00,0.99,0.99,206800,0.99
2015-09-16,0.99,0.99,0.99,0.99,2600,0.99
2015-09-17,0.99,0.99,0.97,0.97,26500,0.97
2015-09-18,0.98,0.995,0.98,0.995,64900,0.995
2015-09-21,0.995,0.995,0.995,0.995,000,0.995
2015-09-22,0.995,1.00,0.99,0.99,115000,0.99
2015-09-23,0.99,0.99,0.99,0.99,000,0.99
2015-09-24,1.00,1.00,1.00,1.00,57000,1.00
2015-09-25,1.00,1.00,1.00,1.00,33500,1.00
2015-09-28,1.02,1.02,1.00,1.00,9500,1.00
2015-09-29,1.00,1.00,0.995,0.995,10000,0.995
2015-09-30,0.995,0.995,0.995,0.995,51300,0.995
2015-10-01,1.00,1.01,1.00,1.01,117000,1.01
2015-10-02,1.02,1.02,1.02,1.02,000,1.02
2015-10-05,1.02,1.02,1.02,1.02,10000,1.02
2015-10-06,1.02,1.02,1.015,1.02,57900,1.02
2015-10-07,1.02,1.02,1.02,1.02,000,1.02
2015-10-08,1.015,1.015,1.015,1.015,25000,1.015
2015-10-09,1.00,1.015,1.00,1.005,43000,1.005
2015-10-12,1.005,1.005,1.005,1.005,9800,1.005
2015-10-13,1.005,1.005,1.00,1.00,14200,1.00
2015-10-14,1.00,1.00,0.99,0.99,10000,0.99
2015-10-15,1.00,1.00,0.995,0.995,32000,0.995
2015-10-16,0.99,0.99,0.985,0.985,63000,0.985
2015-10-19,0.985,0.99,0.985,0.99,40000,0.99
2015-10-20,0.98,0.98,0.98,0.98,140000,0.98
2015-10-21,0.985,1.01,0.985,1.005,155800,1.005
2015-10-22,1.00,1.00,0.99,0.99,34000,0.99
2015-10-23,0.99,0.99,0.99,0.99,62000,0.99
2015-10-26,1.00,1.00,1.00,1.00,66000,1.00
2015-10-27,1.00,1.00,1.00,1.00,19000,1.00
2015-10-28,1.00,1.005,1.00,1.00,94200,1.00
2015-10-29,1.00,1.00,0.99,0.99,69700,0.99
2015-10-30,1.00,1.00,0.995,0.995,22000,0.995
2015-11-02,0.995,0.995,0.995,0.995,000,0.995
2015-11-03,0.995,0.995,0.995,0.995,000,0.995
2015-11-04,0.995,0.995,0.995,0.995,000,0.995
2015-11-05,0.995,0.995,0.995,0.995,000,0.995
2015-11-06,0.995,1.005,0.995,1.005,94900,1.005
2015-11-09,1.00,1.00,1.00,1.00,74000,1.00
2015-11-10,1.00,1.00,0.99,0.99,210600,0.99
2015-11-11,0.99,1.00,0.99,0.99,176300,0.99
2015-11-12,1.00,1.00,1.00,1.00,1400,1.00
2015-11-13,1.00,1.00,1.00,1.00,23000,1.00
2015-11-16,1.00,1.00,1.00,1.00,000,1.00
2015-11-17,0.99,0.99,0.99,0.99,10000,0.99
2015-11-18,0.99,1.00,0.99,1.00,50900,1.00
2015-11-19,1.00,1.00,0.99,0.99,69500,0.99
2015-11-20,0.99,0.99,0.99,0.99,000,0.99
2015-11-23,1.00,1.00,0.99,0.99,53000,0.99
2015-11-24,1.005,1.005,1.005,1.005,5000,1.005
2015-11-25,0.995,1.005,0.995,1.005,25000,1.005
2015-11-26,1.00,1.00,0.99,0.99,45000,0.99
2015-11-27,1.00,1.00,1.00,1.00,16000,1.00
2015-11-30,0.99,1.005,0.99,1.005,78500,1.005
2015-12-01,0.99,1.00,0.99,0.99,63500,0.99
2015-12-02,1.00,1.00,1.00,1.00,27000,1.00
2015-12-03,1.00,1.00,1.00,1.00,000,1.00
2015-12-04,1.00,1.00,1.00,1.00,21400,1.00
2015-12-07,1.00,1.00,0.99,0.99,7500,0.99
2015-12-08,1.00,1.00,0.985,0.99,17500,0.99
2015-12-09,0.99,0.99,0.985,0.985,39900,0.985
2015-12-10,0.985,0.985,0.965,0.98,56300,0.98
2015-12-11,0.98,0.98,0.98,0.98,000,0.98
2015-12-14,0.98,0.98,0.97,0.97,23100,0.97
2015-12-15,0.98,0.98,0.98,0.98,36200,0.98
2015-12-16,0.98,0.99,0.98,0.99,83300,0.99
2015-12-17,0.99,1.00,0.97,0.97,152200,0.97
2015-12-18,0.97,1.00,0.955,1.00,27100,1.00
2015-12-21,1.00,1.00,1.00,1.00,000,1.00
2015-12-22,1.00,1.00,1.00,1.00,000,1.00
2015-12-23,1.00,1.00,1.00,1.00,20000,1.00
2015-12-24,1.00,1.00,1.00,1.00,000,1.00
2015-12-25,1.00,1.00,1.00,1.00,000,1.00
2015-12-28,1.00,1.00,1.00,1.00,000,1.00
2015-12-29,1.00,1.00,1.00,1.00,000,1.00
2015-12-30,1.00,1.00,1.00,1.00,000,1.00
2015-12-31,0.985,0.985,0.96,0.96,55000,0.96
2016-01-01,0.96,0.96,0.96,0.96,000,0.96
2016-01-04,0.97,0.97,0.96,0.96,27000,0.96
2016-01-05,0.96,0.96,0.96,0.96,000,0.96
2016-01-06,0.96,0.96,0.96,0.96,000,0.96
2016-01-07,0.965,0.98,0.96,0.96,21100,0.96
2016-01-08,0.96,0.96,0.95,0.95,46000,0.95
2016-01-11,0.95,0.95,0.95,0.95,10000,0.95
2016-01-12,0.95,0.95,0.95,0.95,000,0.95
2016-01-13,0.95,0.95,0.95,0.95,17000,0.95
2016-01-14,0.95,0.95,0.92,0.92,53000,0.92
2016-01-15,0.92,0.92,0.92,0.92,000,0.92
2016-01-18,0.92,0.92,0.92,0.92,000,0.92
2016-01-19,0.87,0.87,0.86,0.86,10000,0.86
2016-01-20,0.86,0.86,0.80,0.805,375200,0.805
2016-01-21,0.805,0.805,0.805,0.805,000,0.805
2016-01-22,0.82,0.83,0.815,0.83,66200,0.83
2016-01-25,0.83,0.83,0.83,0.83,000,0.83
2016-01-26,0.83,0.83,0.83,0.83,000,0.83
2016-01-27,0.89,0.90,0.88,0.90,6000,0.90
2016-01-28,0.90,0.90,0.90,0.90,000,0.90
2016-01-29,0.85,0.85,0.84,0.85,203000,0.85
2016-02-01,0.85,0.85,0.84,0.84,55000,0.84
2016-02-02,0.85,0.85,0.85,0.85,15000,0.85
2016-02-03,0.85,0.85,0.85,0.85,000,0.85
2016-02-04,0.88,0.90,0.88,0.90,22300,0.90
2016-02-05,0.90,0.90,0.90,0.90,000,0.90
2016-02-08,0.85,0.85,0.84,0.84,20000,0.84
2016-02-09,0.85,0.85,0.82,0.82,60000,0.82
2016-02-10,0.85,0.85,0.85,0.85,18500,0.85
2016-02-11,0.86,0.86,0.86,0.86,3300,0.86
2016-02-12,0.86,0.86,0.86,0.86,000,0.86
2016-02-15,0.82,0.85,0.815,0.85,44000,0.85
2016-02-16,0.835,0.86,0.835,0.86,35800,0.86
2016-02-17,0.85,0.85,0.845,0.85,24800,0.85
2016-02-18,0.82,0.84,0.82,0.84,28600,0.84
2016-02-19,0.825,0.825,0.825,0.825,8900,0.825
2016-02-22,0.825,0.825,0.825,0.825,000,0.825
2016-02-23,0.825,0.825,0.825,0.825,000,0.825
2016-02-24,0.86,0.86,0.85,0.85,15000,0.85
2016-02-25,0.845,0.845,0.845,0.845,32500,0.845
2016-02-26,0.86,0.86,0.86,0.86,5000,0.86
2016-02-29,0.845,0.845,0.84,0.84,38000,0.84
2016-03-01,0.84,0.84,0.815,0.83,101700,0.83
2016-03-02,0.81,0.81,0.80,0.80,13500,0.80
2016-03-03,0.80,0.80,0.80,0.80,000,0.80
2016-03-04,0.82,0.83,0.82,0.83,14200,0.83
2016-03-07,0.815,0.82,0.80,0.82,11200,0.82
2016-03-08,0.815,0.82,0.81,0.82,28700,0.82
2016-03-09,0.83,0.83,0.83,0.83,5000,0.83
2016-03-10,0.85,0.85,0.85,0.85,23500,0.85
2016-03-11,0.83,0.835,0.83,0.835,65500,0.835
2016-03-14,0.835,0.835,0.835,0.835,000,0.835
2016-03-15,0.82,0.835,0.82,0.835,40000,0.835
2016-03-16,0.835,0.835,0.835,0.835,000,0.835
2016-03-17,0.835,0.835,0.835,0.835,000,0.835
2016-03-18,0.825,0.825,0.815,0.815,38400,0.815
2016-03-21,0.815,0.815,0.815,0.815,000,0.815
2016-03-22,0.835,0.835,0.815,0.815,27000,0.815
2016-03-23,0.81,0.82,0.81,0.81,68000,0.81
2016-03-24,0.80,0.80,0.80,0.80,44800,0.80
2016-03-25,0.80,0.80,0.80,0.80,000,0.80
2016-03-28,0.80,0.80,0.80,0.80,000,0.80
2016-03-29,0.80,0.80,0.79,0.79,7700,0.79
2016-03-30,0.79,0.79,0.78,0.78,11300,0.78
2016-03-31,0.78,0.78,0.78,0.78,7600,0.78
2016-04-01,0.77,0.77,0.77,0.77,12300,0.77
2016-04-04,0.77,0.77,0.77,0.77,000,0.77
2016-04-05,0.77,0.77,0.77,0.77,000,0.77
2016-04-06,0.77,0.77,0.77,0.77,000,0.77
2016-04-07,0.74,0.76,0.74,0.76,12500,0.76
2016-04-08,0.76,0.82,0.76,0.80,46000,0.80
2016-04-11,0.82,0.82,0.80,0.80,29500,0.80
2016-04-12,0.80,0.82,0.80,0.82,41200,0.82
2016-04-13,0.82,0.84,0.82,0.84,39400,0.84
2016-04-14,0.82,0.85,0.82,0.85,76300,0.85
2016-04-15,0.85,0.85,0.84,0.85,33500,0.85


2016-04-18,0.81,0.85,0.80,0.85,55500,0.85
2016-04-19,0.85,0.85,0.81,0.84,23500,0.84
2016-04-20,0.84,0.84,0.84,0.84,000,0.84
2016-04-21,0.84,0.87,0.84,0.87,13000,0.87
2016-04-22,0.87,0.87,0.87,0.87,000,0.87


