Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,2.70,2.82,2.65,2.78,22956600,2.703
2015-04-23,2.78,2.89,2.76,2.80,2631300,2.722
2015-04-24,2.80,2.82,2.77,2.82,936400,2.742
2015-04-27,2.80,2.83,2.79,2.80,393500,2.722
2015-04-28,2.80,2.80,2.75,2.76,1039000,2.683
2015-04-29,2.76,2.77,2.72,2.75,1381400,2.674
2015-04-30,2.74,2.75,2.72,2.74,408700,2.664
2015-05-01,2.74,2.75,2.70,2.73,370300,2.654
2015-05-04,2.73,2.73,2.70,2.73,930200,2.654
2015-05-05,2.72,2.74,2.72,2.72,552500,2.645
2015-05-06,2.72,2.75,2.72,2.73,378100,2.654
2015-05-07,2.70,2.75,2.66,2.70,676300,2.625
2015-05-08,2.74,2.74,2.70,2.71,163100,2.635
2015-05-11,2.68,2.685,2.60,2.66,504700,2.586
2015-05-12,2.65,2.72,2.64,2.70,387600,2.625
2015-05-13,2.67,2.69,2.67,2.68,75400,2.606
2015-05-14,2.67,2.70,2.64,2.70,1228900,2.625
2015-05-15,2.70,2.74,2.70,2.72,238800,2.645
2015-05-18,2.74,2.80,2.73,2.80,461400,2.722
2015-05-19,2.80,2.90,2.76,2.90,350000,2.82
2015-05-20,2.90,2.93,2.85,2.89,1160500,2.81
2015-05-21,2.87,3.12,2.87,3.01,501400,2.927
2015-05-22,2.96,3.09,2.96,3.04,172800,2.956
2015-05-25,3.07,3.20,3.06,3.17,302700,3.082
2015-05-26,3.16,3.28,3.12,3.19,1724500,3.102
2015-05-27,3.15,3.15,3.12,3.14,218300,3.053
2015-05-28,3.14,3.14,3.05,3.12,235100,3.033
2015-05-29,3.10,3.12,3.05,3.05,207800,2.965
2015-06-01,3.19,3.19,3.06,3.14,126300,3.053
2015-06-02,3.11,3.13,3.08,3.08,145200,2.995
2015-06-03,3.08,3.10,3.05,3.09,274200,3.004
2015-06-04,3.08,3.10,3.02,3.10,306700,3.014
2015-06-05,3.10,3.10,3.06,3.10,106700,3.014
2015-06-08,3.10,3.10,3.10,3.10,000,3.014
2015-06-09,3.11,3.20,3.10,3.15,226300,3.063
2015-06-10,3.15,3.15,3.07,3.11,312200,3.024
2015-06-11,3.11,3.25,3.11,3.16,521100,3.072
2015-06-12,3.17,3.20,3.16,3.19,446000,3.102
2015-06-15,3.23,3.23,3.15,3.18,178900,3.092
2015-06-16,3.18,3.18,3.13,3.16,42700,3.072
2015-06-17,3.16,3.16,3.11,3.11,24600,3.024
2015-06-18,3.10,3.10,3.03,3.05,202800,2.965
2015-06-19,3.04,3.04,3.00,3.01,126800,2.927
2015-06-22,3.01,3.01,2.97,2.97,240500,2.888
2015-06-23,2.95,2.95,2.84,2.89,1353800,2.81
2015-06-24,2.90,2.90,2.85,2.90,458600,2.82
2015-06-25,2.89,2.89,2.84,2.85,548500,2.771
2015-06-26,2.86,2.86,2.84,2.85,138500,2.771
2015-06-29,2.85,2.86,2.81,2.86,204300,2.781
2015-06-30,2.83,2.86,2.83,2.86,520800,2.781
2015-07-01,2.91,2.91,2.86,2.88,250700,2.80
2015-07-02,2.92,2.99,2.89,2.90,271600,2.82
2015-07-03,2.90,2.98,2.90,2.97,161200,2.888
2015-07-06,2.935,2.96,2.92,2.96,25800,2.878
2015-07-07,2.99,3.00,2.97,3.00,104900,2.917
2015-07-08,2.97,3.00,2.93,2.95,98400,2.868
2015-07-09,2.93,3.05,2.92,2.95,42700,2.868
2015-07-10,2.95,2.96,2.93,2.96,157200,2.878
2015-07-13,2.97,2.99,2.94,2.96,39500,2.878
2015-07-14,3.01,3.05,2.95,3.00,104400,2.917
2015-07-15,3.00,3.03,2.96,3.01,94600,2.927
2015-07-16,3.03,3.05,2.97,3.00,86700,2.917
2015-07-17,3.00,3.15,2.97,3.09,155300,3.004
2015-07-20,3.10,3.12,3.03,3.08,253000,2.995
2015-07-21,3.07,3.10,3.03,3.08,166000,2.995
2015-07-22,3.07,3.19,3.07,3.19,112300,3.102
2015-07-23,3.19,3.19,3.08,3.13,98900,3.043
2015-07-24,3.15,3.16,3.14,3.15,145800,3.063
2015-07-27,3.14,3.17,3.10,3.13,148800,3.043
2015-07-28,3.11,3.15,3.11,3.15,46200,3.063
2015-07-29,3.15,3.16,3.07,3.15,499500,3.063
2015-07-30,3.15,3.16,3.14,3.15,128300,3.063
2015-07-31,3.15,3.16,3.13,3.13,272100,3.043
2015-08-03,3.16,3.16,3.14,3.15,64600,3.063
2015-08-04,3.15,3.17,3.14,3.15,429900,3.063
2015-08-05,3.15,3.17,3.14,3.15,269700,3.063
2015-08-06,3.15,3.17,3.14,3.15,681700,3.063
2015-08-07,3.15,3.155,3.07,3.14,104800,3.053
2015-08-10,3.15,3.15,3.05,3.14,33400,3.053
2015-08-11,3.14,3.14,3.06,3.12,683000,3.033
2015-08-12,3.12,3.14,3.045,3.10,535200,3.014
2015-08-13,3.14,3.14,3.05,3.14,48000,3.053
2015-08-14,3.13,3.17,3.11,3.15,142000,3.063
2015-08-17,3.15,3.24,3.13,3.15,297600,3.063
2015-08-18,3.19,3.21,3.14,3.17,250400,3.082
2015-08-19,3.20,3.225,3.12,3.20,186800,3.111
2015-08-20,3.20,3.22,3.16,3.19,604600,3.102
2015-08-21,3.19,3.19,3.08,3.10,190900,3.014
2015-08-24,3.00,3.10,2.97,3.00,479800,2.917
2015-08-25,2.90,3.09,2.86,3.09,930000,3.004
2015-08-26,3.10,3.17,2.98,2.98,76400,2.897
2015-08-27,3.10,3.10,3.03,3.08,168700,2.995
2015-08-28,3.09,3.09,3.03,3.06,66700,2.975
2015-08-31,3.06,3.15,2.91,3.15,115200,3.063
2015-09-01,3.12,3.15,3.05,3.11,115700,3.024
2015-09-02,3.08,3.17,3.05,3.15,243400,3.063
2015-09-03,3.05,3.17,3.00,3.15,103000,3.063
2015-09-04,3.13,3.13,2.98,3.05,288500,2.965
2015-09-07,3.05,3.10,3.00,3.06,28900,2.975
2015-09-08,3.06,3.10,3.02,3.07,30400,2.985
2015-09-09,3.10,3.14,3.06,3.14,135600,3.053
2015-09-10,3.105,3.105,2.98,3.09,182000,3.004
2015-09-11,3.05,3.09,2.98,3.05,130600,2.965
2015-09-14,3.06,3.10,3.05,3.07,182200,2.985
2015-09-15,3.04,3.10,3.03,3.06,197900,2.975
2015-09-16,3.06,3.08,3.02,3.06,343100,2.975
2015-09-17,3.07,3.07,2.99,3.07,112100,2.985
2015-09-18,2.99,3.05,2.93,3.02,2021600,2.936
2015-09-21,3.05,3.05,2.97,2.98,80800,2.897
2015-09-22,2.98,3.00,2.96,3.00,59000,2.917
2015-09-23,2.99,3.02,2.98,3.00,80400,2.917
2015-09-24,3.00,3.03,2.97,2.98,331600,2.897
2015-09-25,2.98,2.99,2.89,2.99,151900,2.907
2015-09-28,2.99,3.00,2.92,2.97,240700,2.888
2015-09-29,2.97,2.97,2.89,2.94,47700,2.858
2015-09-30,2.92,3.04,2.87,3.01,398000,2.927
2015-10-01,2.94,3.00,2.93,3.00,40300,2.917
2015-10-02,3.00,3.05,2.93,3.01,86900,2.927
2015-10-05,3.01,3.05,3.00,3.01,57300,2.927
2015-10-06,3.01,3.07,2.97,3.05,645400,2.965
2015-10-07,3.00,3.07,3.00,3.05,399400,2.965
2015-10-08,3.05,3.11,2.99,3.10,340900,3.014
2015-10-09,3.10,3.10,3.00,3.07,1091000,2.985
2015-10-12,3.03,3.07,3.02,3.07,106200,2.985
2015-10-13,3.05,3.07,3.03,3.05,158400,2.965
2015-10-14,3.02,3.06,2.96,2.98,1269300,2.897
2015-10-15,2.94,3.06,2.93,3.06,146800,2.975
2015-10-16,2.97,3.15,2.95,3.15,202000,3.063
2015-10-19,3.15,3.19,3.07,3.19,211300,3.102
2015-10-20,3.13,3.25,3.11,3.25,237900,3.16
2015-10-21,3.16,3.25,3.16,3.18,197100,3.092
2015-10-22,3.18,3.24,3.13,3.18,160300,3.092
2015-10-23,3.22,3.62,3.14,3.30,517700,3.208
2015-10-26,3.32,3.45,3.31,3.40,511200,3.306
2015-10-27,3.48,3.59,3.44,3.50,329500,3.403
2015-10-28,3.46,3.50,3.34,3.39,66400,3.296
2015-10-29,3.42,3.45,3.33,3.38,69900,3.286
2015-10-30,3.42,3.75,3.42,3.54,568900,3.442
2015-11-02,3.53,3.75,3.52,3.60,293900,3.50
2015-11-03,3.60,3.60,3.48,3.55,36100,3.452
2015-11-04,3.51,3.55,3.31,3.39,274000,3.296
2015-11-05,3.44,3.44,3.38,3.44,609800,3.345
2015-11-06,3.38,3.50,3.38,3.45,523500,3.354
2015-11-09,3.37,3.41,3.37,3.40,431000,3.306
2015-11-10,3.39,3.39,2.95,3.06,2932300,2.975
2015-11-11,3.12,3.31,3.12,3.20,1197300,3.111
2015-11-12,3.23,3.29,3.18,3.28,1327700,3.189
2015-11-13,3.30,3.39,3.30,3.33,293200,3.238
2015-11-16,3.23,3.44,3.23,3.35,250800,3.257
2015-11-17,3.33,3.38,3.30,3.35,595900,3.257
2015-11-18,3.34,3.36,3.27,3.34,175400,3.247
2015-11-19,3.34,3.40,3.32,3.38,350200,3.286
2015-11-20,3.36,3.54,3.36,3.42,154700,3.325
2015-11-23,3.45,3.45,3.39,3.42,236400,3.325
