Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-01-02,0.0058,0.0058,0.0058,0.0058,4000,0.58
2015-01-05,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-01-06,0.0058,0.0058,0.0058,0.0058,4100,0.58
2015-01-07,0.00677,0.00677,0.0058,0.0058,1900,0.58
2015-01-08,0.0058,0.0058,0.0058,0.0058,800,0.58
2015-01-09,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-01-12,0.0058,0.0058,0.0058,0.0058,200,0.58
2015-01-13,0.0058,0.0058,0.0058,0.0058,56900,0.58
2015-01-14,0.0058,0.0058,0.0058,0.0058,24600,0.58
2015-01-15,0.0058,0.0058,0.00483,0.0058,30500,0.58
2015-01-16,0.0058,0.0058,0.0058,0.0058,2900,0.58
2015-01-19,0.0058,0.0058,0.00483,0.00483,66800,0.48333
2015-01-20,0.00483,0.00483,0.00483,0.00483,000,0.48333
2015-01-21,0.00483,0.00483,0.00483,0.00483,000,0.48333
2015-01-22,0.0058,0.00677,0.0058,0.0058,109900,0.58
2015-01-23,0.00677,0.00677,0.0058,0.0058,6800,0.58
2015-01-26,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-01-27,0.0058,0.00628,0.0058,0.0058,26400,0.58
2015-01-28,0.0058,0.0058,0.00483,0.0058,89900,0.58
2015-01-29,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-01-30,0.0058,0.0058,0.0058,0.0058,33100,0.58
2015-02-02,0.0058,0.0058,0.00483,0.00483,6200,0.48333
2015-02-03,0.0058,0.00677,0.0058,0.0058,11000,0.58
2015-02-04,0.00677,0.00677,0.0058,0.0058,127300,0.58
2015-02-05,0.00677,0.00677,0.0058,0.0058,15500,0.58
2015-02-06,0.0058,0.00628,0.0058,0.0058,15200,0.58
2015-02-09,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-02-10,0.0058,0.0058,0.0058,0.0058,000,0.58
2015-02-11,0.0058,0.00628,0.0058,0.0058,8100,0.58
2015-02-12,0.0058,0.00677,0.0058,0.00677,39500,0.67667
2015-02-13,0.00677,0.00677,0.0058,0.0058,15200,0.58
2015-02-16,0.00677,0.00677,0.0058,0.0058,2800,0.58
2015-02-17,0.0058,0.0058,0.0058,0.0058,5800,0.58
2015-02-18,0.00677,0.00677,0.0058,0.0058,19900,0.58
2015-02-19,0.0058,0.0058,0.0058,0.0058,36900,0.58
