Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.145,0.145,0.145,0.145,000,0.145
2015-01-02,0.145,0.155,0.145,0.15,145200,0.15
2015-01-05,0.155,0.16,0.15,0.16,220100,0.16
2015-01-06,0.16,0.18,0.16,0.175,1146600,0.175
2015-01-07,0.18,0.18,0.17,0.17,277000,0.17
2015-01-08,0.175,0.18,0.17,0.18,288300,0.18
2015-01-09,0.175,0.175,0.16,0.165,1665900,0.165
2015-01-12,0.16,0.16,0.155,0.16,320900,0.16
2015-01-13,0.155,0.16,0.155,0.16,769700,0.16
2015-01-14,0.155,0.155,0.14,0.145,1303300,0.145
2015-01-15,0.15,0.15,0.14,0.145,840200,0.145
2015-01-16,0.14,0.14,0.135,0.14,1627400,0.14
2015-01-19,0.137,0.14,0.135,0.135,100100,0.135
2015-01-20,0.135,0.14,0.132,0.14,755200,0.14
2015-01-21,0.14,0.14,0.13,0.14,213600,0.14
2015-01-22,0.135,0.135,0.13,0.13,454900,0.13
2015-01-23,0.13,0.14,0.125,0.14,770700,0.14
2015-01-26,0.14,0.14,0.14,0.14,000,0.14
2015-01-27,0.14,0.14,0.125,0.125,373700,0.125
2015-01-28,0.125,0.13,0.12,0.12,618000,0.12
2015-01-29,0.12,0.125,0.11,0.12,1035400,0.12
2015-01-30,0.11,0.12,0.11,0.12,836500,0.12
2015-02-02,0.12,0.12,0.115,0.115,1962200,0.115
2015-02-03,0.115,0.115,0.11,0.11,1305000,0.11
2015-02-04,0.12,0.12,0.11,0.11,1906600,0.11
2015-02-05,0.11,0.11,0.102,0.11,1993100,0.11
2015-02-06,0.11,0.115,0.11,0.11,363500,0.11
2015-02-09,0.11,0.11,0.105,0.105,590400,0.105
2015-02-10,0.11,0.11,0.105,0.105,29252700,0.105
2015-02-11,0.115,0.12,0.11,0.12,1467100,0.12
2015-02-12,0.12,0.125,0.11,0.11,3591300,0.11
2015-02-13,0.12,0.122,0.11,0.11,1756200,0.11
2015-02-16,0.115,0.13,0.115,0.13,738000,0.13
2015-02-17,0.13,0.135,0.125,0.125,689300,0.125
2015-02-18,0.125,0.13,0.125,0.13,494300,0.13
2015-02-19,0.13,0.135,0.13,0.13,765700,0.13
2015-02-20,0.13,0.1325,0.125,0.13,974400,0.13
2015-02-23,0.13,0.135,0.125,0.125,778500,0.125
2015-02-24,0.13,0.132,0.125,0.125,1079300,0.125
2015-02-25,0.125,0.13,0.125,0.125,220400,0.125
2015-02-26,0.125,0.135,0.125,0.125,451400,0.125
2015-02-27,0.127,0.13,0.125,0.125,362600,0.125
2015-03-02,0.125,0.13,0.12,0.125,1062100,0.125
2015-03-03,0.13,0.13,0.125,0.125,117300,0.125
2015-03-04,0.127,0.13,0.127,0.127,107900,0.127
2015-03-05,0.125,0.13,0.125,0.13,1494900,0.13
