Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.40,2.40,2.40,2.40,000,2.40
2015-01-02,2.40,2.40,2.37,2.40,36200,2.40
2015-01-05,2.40,2.51,2.38,2.50,410400,2.50
2015-01-06,2.48,2.50,2.40,2.50,307300,2.50
2015-01-07,2.46,2.51,2.46,2.49,272500,2.49
2015-01-08,2.51,2.60,2.50,2.59,284300,2.59
2015-01-09,2.60,2.65,2.60,2.63,380600,2.63
2015-01-12,2.64,2.75,2.62,2.75,549500,2.75
2015-01-13,2.75,2.85,2.735,2.85,864700,2.85
2015-01-14,2.92,2.97,2.87,2.90,1065700,2.90
2015-01-15,2.89,2.96,2.85,2.96,458200,2.96
2015-01-16,2.96,3.06,2.945,3.00,873300,3.00
2015-01-19,3.00,3.05,2.97,3.00,306100,3.00
2015-01-20,2.99,3.00,2.91,2.94,269600,2.94
2015-01-21,2.92,3.02,2.91,2.95,397300,2.95
2015-01-22,2.95,2.97,2.90,2.95,303000,2.95
2015-01-23,2.97,3.13,2.97,3.13,1102300,3.13
2015-01-26,3.13,3.13,3.13,3.13,000,3.13
2015-01-27,3.20,3.49,3.20,3.49,1243500,3.49
2015-01-28,3.48,3.53,3.42,3.50,510900,3.50
2015-01-29,3.48,3.48,3.31,3.31,441600,3.31
2015-01-30,3.29,3.38,3.06,3.29,645700,3.29
2015-02-02,3.30,3.30,3.13,3.16,307500,3.16
2015-02-03,3.13,3.24,3.12,3.21,545800,3.21
2015-02-04,3.25,3.29,3.23,3.26,555500,3.26
2015-02-05,3.28,3.28,3.22,3.24,316500,3.24
2015-02-06,3.24,3.24,3.15,3.18,287400,3.18
2015-02-09,3.17,3.19,3.01,3.03,273100,3.03
2015-02-10,3.03,3.085,2.81,2.99,808700,2.99
2015-02-11,2.98,3.03,2.96,2.98,125600,2.98
2015-02-12,3.04,3.04,2.95,2.95,149000,2.95
2015-02-13,2.97,2.99,2.91,2.93,191200,2.93
2015-02-16,2.93,2.98,2.91,2.97,332600,2.97
2015-02-17,2.97,3.03,2.94,2.94,322700,2.94
2015-02-18,2.95,3.01,2.95,2.96,141200,2.96
2015-02-19,2.97,2.99,2.75,2.82,501900,2.82
2015-02-20,2.82,2.88,2.69,2.73,382400,2.73
2015-02-23,2.73,2.78,2.65,2.65,515300,2.65
2015-02-24,2.65,2.82,2.65,2.80,449300,2.80
2015-02-25,2.85,2.86,2.78,2.78,244400,2.78
2015-02-26,2.79,2.80,2.77,2.80,102100,2.80
2015-02-27,2.79,2.79,2.71,2.79,141900,2.79
2015-03-02,2.78,2.80,2.72,2.74,133200,2.74
2015-03-03,2.75,2.75,2.61,2.64,455700,2.64
