Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.75,1.75,1.75,1.75,000,1.75
2015-01-02,1.75,1.75,1.75,1.75,000,1.75
2015-01-05,1.75,1.75,1.75,1.75,000,1.75
2015-01-06,1.75,1.75,1.75,1.75,000,1.75
2015-01-07,1.705,1.705,1.70,1.70,14100,1.70
2015-01-08,1.75,1.75,1.75,1.75,000,1.75
2015-01-09,1.75,1.75,1.75,1.75,000,1.75
2015-01-12,1.73,1.73,1.73,1.73,11600,1.73
2015-01-13,1.75,1.75,1.75,1.75,000,1.75
2015-01-14,1.80,1.80,1.80,1.80,000,1.80
2015-01-15,1.80,1.83,1.80,1.83,16100,1.83
2015-01-16,1.80,1.80,1.80,1.80,000,1.80
2015-01-19,1.80,1.80,1.80,1.80,000,1.80
2015-01-20,1.80,1.80,1.80,1.80,000,1.80
2015-01-21,6.2085,6.2085,6.2085,6.2085,000,6.2085
2015-01-22,6.2085,6.2085,6.2085,6.2085,000,6.2085
2015-01-23,6.2085,6.2085,6.2085,6.2085,000,6.2085
2015-01-27,1.80,1.80,1.80,1.80,000,1.80
2015-01-28,1.80,1.80,1.80,1.80,000,1.80
2015-01-29,1.80,1.80,1.80,1.80,000,1.80
2015-01-30,1.83,1.83,1.83,1.83,3900,1.83
2015-02-02,1.80,1.80,1.80,1.80,000,1.80
2015-02-03,1.80,1.80,1.80,1.80,000,1.80
2015-02-04,1.80,1.80,1.80,1.80,000,1.80
2015-02-05,1.80,1.80,1.80,1.80,000,1.80
2015-02-06,1.80,1.80,1.80,1.80,000,1.80
2015-02-09,1.80,1.80,1.80,1.80,000,1.80
2015-02-10,1.80,1.80,1.80,1.80,000,1.80
2015-02-11,1.88,1.88,1.88,1.88,300,1.88
2015-02-12,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-13,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-16,1.945,1.945,1.945,1.945,100,1.945
2015-02-17,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-18,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-19,1.94,1.94,1.94,1.94,19800,1.94
2015-02-20,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-23,1.94,1.94,1.94,1.94,15400,1.94
2015-02-24,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-25,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-26,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-02-27,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-02,1.95,1.95,1.95,1.95,14200,1.95
2015-03-03,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-04,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-05,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-06,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-09,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-10,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-11,1.93,1.93,1.91,1.91,10000,1.91
2015-03-12,1.8461,1.8461,1.8461,1.8461,000,1.8461
2015-03-13,1.88,1.88,1.88,1.88,000,1.88
2015-03-16,1.91,1.91,1.91,1.91,4100,1.91
2015-03-17,1.88,1.88,1.88,1.88,000,1.88
2015-03-18,1.88,1.88,1.88,1.88,000,1.88
2015-03-19,1.95,1.95,1.95,1.95,4100,1.95
2015-03-20,1.88,1.88,1.88,1.88,000,1.88
2015-03-23,1.94,1.94,1.94,1.94,6500,1.94
2015-03-24,1.88,1.88,1.88,1.88,000,1.88
2015-03-25,1.88,1.88,1.88,1.88,000,1.88
2015-03-26,1.88,1.88,1.88,1.88,000,1.88
2015-03-27,1.88,1.88,1.88,1.88,000,1.88
2015-03-30,1.93,1.93,1.93,1.93,12900,1.93
2015-03-31,1.96,1.96,1.96,1.96,000,1.96
2015-04-01,1.88,1.88,1.88,1.88,000,1.88
2015-04-02,2.01,2.01,2.01,2.01,3500,2.01
