Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.042,0.042,0.042,0.042,000,0.042
2015-01-02,0.042,0.042,0.042,0.042,000,0.042
2015-01-05,0.042,0.042,0.042,0.042,000,0.042
2015-01-06,0.042,0.042,0.042,0.042,000,0.042
2015-01-07,0.042,0.042,0.042,0.042,000,0.042
2015-01-08,0.042,0.042,0.042,0.042,000,0.042
2015-01-09,0.042,0.042,0.042,0.042,000,0.042
2015-01-12,0.042,0.042,0.042,0.042,000,0.042
2015-01-13,0.042,0.042,0.042,0.042,000,0.042
2015-01-14,0.042,0.042,0.042,0.042,000,0.042
2015-01-15,0.042,0.042,0.042,0.042,000,0.042
2015-01-16,0.042,0.042,0.042,0.042,000,0.042
2015-01-19,0.042,0.042,0.042,0.042,000,0.042
2015-01-20,0.042,0.042,0.042,0.042,000,0.042
2015-01-21,0.042,0.042,0.042,0.042,000,0.042
2015-01-22,0.045,0.045,0.045,0.045,200000,0.045
2015-01-23,0.046,0.046,0.046,0.046,200000,0.046
2015-01-26,0.046,0.046,0.046,0.046,000,0.046
2015-01-27,0.046,0.046,0.046,0.046,000,0.046
2015-01-28,0.046,0.046,0.046,0.046,000,0.046
2015-01-29,0.046,0.046,0.046,0.046,000,0.046
2015-01-30,0.046,0.046,0.046,0.046,000,0.046
2015-02-02,0.046,0.046,0.046,0.046,000,0.046
2015-02-03,0.046,0.046,0.046,0.046,000,0.046
2015-02-04,0.045,0.046,0.045,0.046,109300,0.046
2015-02-05,0.046,0.046,0.046,0.046,20000,0.046
2015-02-06,0.046,0.047,0.046,0.047,200000,0.047
2015-02-09,0.06,0.06,0.059,0.06,424500,0.06
2015-02-10,0.06,0.06,0.06,0.06,172000,0.06
2015-02-11,0.06,0.06,0.06,0.06,000,0.06
2015-02-12,0.06,0.06,0.057,0.058,112000,0.058
2015-02-13,0.058,0.058,0.058,0.058,000,0.058
2015-02-16,0.058,0.058,0.058,0.058,000,0.058
2015-02-17,0.058,0.06,0.058,0.059,1128200,0.059
2015-02-18,0.058,0.059,0.058,0.059,129300,0.059
2015-02-19,0.059,0.059,0.059,0.059,000,0.059
2015-02-20,0.06,0.065,0.06,0.065,412300,0.065
2015-02-23,0.066,0.066,0.066,0.066,70600,0.066
2015-02-24,0.067,0.07,0.067,0.07,80000,0.07
2015-02-25,0.071,0.071,0.071,0.071,55000,0.071
2015-02-26,0.071,0.071,0.071,0.071,000,0.071
2015-02-27,0.075,0.076,0.075,0.076,75000,0.076
2015-03-02,0.076,0.076,0.076,0.076,000,0.076
2015-03-03,0.076,0.076,0.076,0.076,21000,0.076
2015-03-04,0.075,0.075,0.075,0.075,29000,0.075
2015-03-05,0.075,0.075,0.075,0.075,209700,0.075
2015-03-06,0.072,0.072,0.072,0.072,290000,0.072
2015-03-09,0.072,0.072,0.072,0.072,000,0.072
2015-03-10,0.072,0.072,0.072,0.072,000,0.072
2015-03-11,0.072,0.072,0.072,0.072,57000,0.072
2015-03-12,0.072,0.072,0.072,0.072,000,0.072
2015-03-13,0.071,0.071,0.071,0.071,25000,0.071
2015-03-16,0.071,0.071,0.071,0.071,000,0.071
2015-03-17,0.071,0.071,0.071,0.071,000,0.071
2015-03-18,0.071,0.071,0.071,0.071,000,0.071
2015-03-19,0.071,0.071,0.071,0.071,000,0.071
2015-03-20,0.071,0.071,0.071,0.071,000,0.071
2015-03-23,0.071,0.071,0.071,0.071,000,0.071
2015-03-24,0.071,0.071,0.071,0.071,000,0.071
2015-03-25,0.071,0.071,0.071,0.071,000,0.071
2015-03-26,0.071,0.071,0.071,0.071,000,0.071
2015-03-27,0.071,0.071,0.071,0.071,140000,0.071
2015-03-30,0.071,0.071,0.071,0.071,10400,0.071
2015-03-31,0.071,0.071,0.071,0.071,000,0.071
2015-04-01,0.071,0.071,0.071,0.071,000,0.071
2015-04-02,0.071,0.071,0.071,0.071,000,0.071
2015-04-03,0.071,0.071,0.071,0.071,000,0.071
2015-04-06,0.071,0.071,0.071,0.071,000,0.071
2015-04-07,0.071,0.071,0.071,0.071,000,0.071
2015-04-08,0.071,0.071,0.071,0.071,000,0.071
2015-04-09,0.071,0.071,0.071,0.071,000,0.071
2015-04-10,0.07,0.07,0.07,0.07,498500,0.07
2015-04-13,0.07,0.07,0.07,0.07,000,0.07
2015-04-14,0.07,0.07,0.07,0.07,18000,0.07
2015-04-15,0.07,0.07,0.07,0.07,000,0.07
2015-04-16,0.07,0.07,0.07,0.07,200000,0.07
2015-04-17,0.07,0.071,0.07,0.07,205400,0.07
2015-04-20,0.075,0.12,0.075,0.09,5154700,0.09
2015-04-21,0.094,0.098,0.08,0.082,3121000,0.082
2015-04-22,0.083,0.195,0.082,0.175,6520500,0.175
2015-04-23,0.19,0.19,0.135,0.16,4092700,0.16
2015-04-24,0.15,0.155,0.13,0.14,1929300,0.14
2015-04-27,0.145,0.17,0.125,0.16,1664000,0.16
2015-04-28,0.15,0.265,0.15,0.245,7382200,0.245
2015-04-29,0.245,0.245,0.245,0.245,000,0.245
2015-04-30,0.245,0.245,0.245,0.245,000,0.245
2015-05-01,0.255,0.255,0.16,0.185,3270100,0.185
2015-05-04,0.19,0.1975,0.165,0.17,963000,0.17
2015-05-05,0.18,0.185,0.165,0.17,850000,0.17
