Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.57,0.57,0.57,0.57,000,0.57
2015-01-02,0.56,0.56,0.56,0.56,12900,0.56
2015-01-05,0.565,0.565,0.565,0.565,29000,0.565
2015-01-06,0.565,0.565,0.55,0.55,53900,0.55
2015-01-07,0.555,0.555,0.545,0.545,29600,0.545
2015-01-08,0.55,0.555,0.535,0.555,78800,0.555
2015-01-09,0.56,0.56,0.56,0.56,23700,0.56
2015-01-12,0.555,0.555,0.535,0.535,40400,0.535
2015-01-13,0.535,0.54,0.53,0.535,45000,0.535
2015-01-14,0.53,0.53,0.53,0.53,4100,0.53
2015-01-15,0.535,0.535,0.535,0.535,13200,0.535
2015-01-16,0.54,0.54,0.535,0.535,108700,0.535
2015-01-19,0.54,0.55,0.54,0.545,157100,0.545
2015-01-20,0.55,0.56,0.545,0.55,393400,0.55
2015-01-21,0.56,0.56,0.54,0.54,142200,0.54
2015-01-22,0.55,0.60,0.545,0.575,631200,0.575
2015-01-23,0.58,0.625,0.58,0.605,908600,0.605
2015-01-26,0.605,0.605,0.605,0.605,000,0.605
2015-01-27,0.61,0.645,0.61,0.63,237900,0.63
2015-01-28,0.63,0.63,0.60,0.605,300100,0.605
2015-01-29,0.605,0.63,0.60,0.61,315400,0.61
2015-01-30,0.595,0.60,0.58,0.59,99100,0.59
2015-02-02,0.60,0.61,0.60,0.60,30600,0.60
2015-02-03,0.61,0.61,0.58,0.585,278200,0.585
2015-02-04,0.60,0.60,0.585,0.585,60100,0.585
2015-02-05,0.585,0.61,0.585,0.61,60000,0.61
2015-02-06,0.615,0.615,0.61,0.615,57300,0.615
2015-02-09,0.615,0.615,0.605,0.615,44100,0.615
2015-02-10,0.61,0.63,0.60,0.60,133800,0.60
2015-02-11,0.61,0.62,0.60,0.62,22200,0.62
2015-02-12,0.62,0.63,0.62,0.63,28200,0.63
2015-02-13,0.625,0.665,0.625,0.64,322200,0.64
2015-02-16,0.645,0.65,0.625,0.645,347100,0.645
2015-02-17,0.645,0.645,0.625,0.645,51200,0.645
2015-02-18,0.645,0.645,0.635,0.64,239100,0.64
2015-02-19,0.64,0.64,0.63,0.63,449500,0.63
2015-02-20,0.635,0.635,0.60,0.615,719100,0.615
2015-02-23,0.625,0.65,0.625,0.65,98700,0.65
2015-02-24,0.65,0.715,0.65,0.68,369100,0.68
2015-02-25,0.68,0.70,0.66,0.67,174700,0.67
2015-02-26,0.67,0.67,0.66,0.66,59400,0.66
2015-02-27,0.665,0.67,0.65,0.66,62700,0.66
2015-03-02,0.67,0.68,0.66,0.67,222200,0.67
2015-03-03,0.68,0.68,0.665,0.665,92700,0.665
2015-03-04,0.67,0.68,0.67,0.675,392000,0.675
2015-03-05,0.68,0.68,0.675,0.675,320800,0.675
2015-03-06,0.68,0.68,0.68,0.68,125600,0.68
2015-03-09,0.675,0.685,0.65,0.65,228200,0.65
2015-03-10,0.67,0.68,0.655,0.68,161000,0.68
2015-03-11,0.655,0.665,0.65,0.65,56800,0.65
2015-03-12,0.67,0.67,0.66,0.66,167500,0.66
